Governmental Unit,Outstanding Debt,Percentage Applicable,Estimated Share of Overlapping Debt
Debt Repaid With Property Taxes:,,,
Township of Middletown,"$46,428,959",100.0%,"$46,428,959"
Other Debt:,,,
County of Monmouth - Township's Share,"$1,283,315,000",9.0533%,"$116,182,287"
Township of Middletown Sewerage Authority,"$11,462,142",100.0%,"$11,462,142"
"Subtotal, Overlapping Debt",,,"$174,073,388"
Middletown Township School District Direct Debt,"$42,005,000",,
Total Direct & Overlapping Debt,,,"$216,078,388"
