Fiscal Year,Debt Limit ($),Applicable Net Total Debt ($),Legal Debt Margin %
2012,"16,094,000","554,543,266",31.05%
2013,"95,590,000","534,300,087",31.85%
2014,"57,966,000","814,067,950",81.70%
2015,"27,957,000","214,071,456",71.56%
2016,"86,029,000","114,012,019",61.67%
2017,"74,570,000","734,958,466",01.57%
2018,"46,026,000","714,677,794",51.74%
2019,"06,541,000","424,934,513",41.71%
2020,"55,584,000","134,893,584",21.68%
2021,"24,500,000","844,603,881",9.73%
