GROUP,CONAME,DIST,DISTNAME,PP3VV,STPCT01VV,LTPCT01VV,FDPCT01VV,TUPCT01VV,FBPCT01VV,OTPCT01VV,STRAT01VV,SSRAT01VV,SARAT01VV,PCTSEVV,CO,OTHER01
D. K-8 / 751 +,ATLANTIC,10,ABSECON CITY,14297,0.201,0.751,0.039,0.002,0,0.007,13.4,115.5,218,0.106,1,0
G. K-12 / 3501 +,ATLANTIC,110,ATLANTIC CITY,25676,0.171,0.722,0.033,0.067,0,0.007,9.8,103.6,171.8,0.123,1,3183431
J. VOC,ATLANTIC,120,ATLANTIC CO VOCATIONAL,16663,0.289,0.329,0.027,0.354,0,0.001,12.7,130,184.2,0.093,1,0
I. CSSD,ATLANTIC,125,ATLANTIC CO SPECIAL SERV,55032,0.076,0.199,0.01,0.694,0,0.021,6,13,71.2,1.000,1,0
C. K-8 / 401 - 750,ATLANTIC,570,BRIGANTINE CITY,23046,0.167,0.756,0.02,0.001,0,0.056,11.1,77.2,151.4,0.111,1,50044
F. K-12 / 1801 - 3500,ATLANTIC,590,BUENA REGIONAL,19128,0.555,0.313,0.054,0.048,0,0.03,12.2,65.6,136.4,0.158,1,9642
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,22829,0.579,0.256,0.098,0,0,0.067,10.3,56.1,101,0.188,1,0
G. K-12 / 3501 +,ATLANTIC,1310,EGG HARBOR TWP,17481,0.402,0.547,0.025,0.005,0,0.021,12.8,79.3,201.6,0.104,1,0
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,17741,0.47,0.494,0.024,0,0,0.012,13.6,85.5,94.5,0.063,1,0
C. K-8 / 401 - 750,ATLANTIC,1540,FOLSOM BORO,14642,0.734,0.218,0.027,0,0,0.021,12.5,80.6,139.7,0.138,1,0
D. K-8 / 751 +,ATLANTIC,1690,GALLOWAY TWP,17810,0.439,0.436,0.025,0.003,0.09,0.007,11.1,83.7,199.4,0.161,1,149126
H. 7-12 / 9-12,ATLANTIC,1790,GREATER EGG HARBOR REG,20143,0.499,0.433,0.021,0.014,0,0.033,12.8,102.7,122.6,0.177,1,24997
D. K-8 / 751 +,ATLANTIC,1940,HAMILTON TWP,16257,0.566,0.391,0.027,0,0,0.016,11.8,98.5,236.5,0.147,1,0
G. K-12 / 3501 +,ATLANTIC,1960,HAMMONTON TOWN,13836,0.386,0.359,0.035,0.2,0,0.02,14.9,105.5,198.2,0.147,1,667099
D. K-8 / 751 +,ATLANTIC,2680,LINWOOD CITY,18089,0.198,0.762,0.014,0,0.02,0.006,11.1,74.2,147.5,0.141,1,0
H. 7-12 / 9-12,ATLANTIC,2910,MAINLAND REGIONAL,22114,0.353,0.627,0.021,0,0,0,11.6,82.2,145.6,0.142,1,0
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,26060,0.119,0.794,0.013,0.051,0,0.023,10.1,52.8,118.8,0.107,1,-97896
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,16689,0.572,0.314,0.057,0.025,0,0.032,12.3,112.4,148.4,0.108,1,215575
D. K-8 / 751 +,ATLANTIC,3720,NORTHFIELD CITY,16292,0.358,0.609,0.029,0.001,0.003,0,11.8,90.4,316.6,0.124,1,0
G. K-12 / 3501 +,ATLANTIC,4180,PLEASANTVILLE CITY,20526,0.861,0.093,0.036,0.006,0,0.004,10.1,72.6,125.4,0.122,1,294976
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,16723,0.422,0.556,0.022,0,0,0,7.2,115,115,0.061,1,0
D. K-8 / 751 +,ATLANTIC,4800,SOMERS POINT CITY,15801,0.438,0.504,0.046,0.004,0,0.008,10.7,74.4,135.8,0.147,1,844
D. K-8 / 751 +,ATLANTIC,5350,VENTNOR CITY,20058,0.157,0.8,0.032,0,0,0.011,11.3,96.9,174.4,0.081,1,-124887
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,17718,0.546,0.405,0.037,0,0,0.012,9.6,61.3,98,0.092,1,19575
K. CHARTER,ATLANTIC,6612,GALLOWAY COMMUNITY CS,18707,0.593,0.341,0.066,0,0,0,8.6,189,55.9,0.103,80,0
K. CHARTER,ATLANTIC,7410,CHARTER~TECH HIGH SCHOOL,15495,0.424,0.527,0.049,0,0,0,11.5,87.1,162.3,0.132,80,0
D. K-8 / 751 +,BERGEN,40,ALLENDALE BORO,16576,0.107,0.861,0.013,0.005,0,0.014,13,86.1,180.8,0.059,3,235919
