GROUP,CONAME,DIST,DISTNAME,PP3VV,STPCT01VV,LTPCT01VV,FDPCT01VV,TUPCT01VV,FBPCT01VV,OTPCT01VV,STRAT01VV,SSRAT01VV,SARAT01VV,PCTSEVV,CO,OTHER01
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,27459,0.093,0.895,0.01,0,0,0.002,7.7,45,42.4,0.131,3,0
I. CSSD,BERGEN,285,BERGEN CO SPECIAL SERVICE,93953,0.184,0.166,0.037,0.605,0,0.008,3.4,4.7,40.7,1.000,3,0
J. VOC,BERGEN,290,BERGEN COUNTY VOCATIONAL,33685,0.17,0.468,0.022,0.336,0,0.004,9.9,65.8,126,0.180,3,50000
G. K-12 / 3501 +,BERGEN,300,BERGENFIELD BORO,17937,0.256,0.695,0.025,0.023,0,0.001,13.7,79.3,144,0.141,3,0
E. K-12 / 0 - 1800,BERGEN,440,BOGOTA BORO,18310,0.332,0.61,0.028,0,0.021,0.009,12.6,63.5,120.9,0.144,3,0
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,20295,0.1,0.86,0.019,0.004,0,0.017,13.3,90.5,119.4,0.128,3,876
H. 7-12 / 9-12,BERGEN,745,CARLSTADT-EAST RUTHERFORD,25994,0.096,0.891,0.013,0,0,0,12.5,123.6,68.7,0.138,3,0
F. K-12 / 1801 - 3500,BERGEN,890,CLIFFSIDE PARK BORO,15328,0.169,0.645,0.039,0.147,0,0,14.4,100.6,300.6,0.143,3,0
D. K-8 / 751 +,BERGEN,930,CLOSTER BORO,17385,0.115,0.781,0.012,0.016,0.035,0.041,12.5,80.2,187.2,0.104,3,0
E. K-12 / 0 - 1800,BERGEN,990,CRESSKILL BORO,17682,0.128,0.807,0.013,0.034,0,0.018,13.4,68.5,142.8,0.113,3,1724
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,20478,0.117,0.861,0.012,0.003,0,0.007,11.7,73.7,165.8,0.113,3,-44701
F. K-12 / 1801 - 3500,BERGEN,1130,DUMONT BORO,17547,0.276,0.697,0.017,0.001,0,0.009,13.1,86.6,149.3,0.081,3,0
D. K-8 / 751 +,BERGEN,1230,EAST RUTHERFORD BORO,21197,0.139,0.821,0.024,0.006,0,0.01,11.5,61.9,158.4,0.116,3,0
A. K-6,BERGEN,1270,EDGEWATER BORO,16457,0.112,0.867,0.011,0,0,0.01,14.4,129.7,259.3,0.063,3,49147
F. K-12 / 1801 - 3500,BERGEN,1345,ELMWOOD PARK,14543,0.198,0.754,0.028,0.004,0,0.016,16.5,117.1,194.5,0.160,3,448
E. K-12 / 0 - 1800,BERGEN,1360,EMERSON BORO,16755,0.123,0.86,0.014,0.003,0,0,12.8,75.6,125.7,0.116,3,0
F. K-12 / 1801 - 3500,BERGEN,1370,ENGLEWOOD CITY,21231,0.235,0.728,0.024,0.003,0,0.01,10.9,66.1,150.5,0.116,3,0
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,21881,0.116,0.849,0.011,0.021,0,0.003,10.9,51.9,124.5,0.092,3,0
G. K-12 / 3501 +,BERGEN,1450,FAIR LAWN BORO,19430,0.136,0.838,0.016,0.006,0,0.004,12.5,76.6,178.9,0.184,3,1406
D. K-8 / 751 +,BERGEN,1470,FAIRVIEW BORO,14030,0.384,0.558,0.059,0,0,0,16.1,134.9,173.4,0.134,3,0
G. K-12 / 3501 +,BERGEN,1550,FORT LEE BORO,17197,0.135,0.837,0.027,0,0,0.001,13.7,87.5,249.1,0.111,3,0
D. K-8 / 751 +,BERGEN,1580,FRANKLIN LAKES BORO,23294,0.122,0.807,0.011,0.055,0,0.005,8.5,42.6,131.1,0.146,3,210
G. K-12 / 3501 +,BERGEN,1700,GARFIELD CITY,20466,0.695,0.244,0.022,0,0,0.039,14.7,102.2,196.2,0.146,3,0
F. K-12 / 1801 - 3500,BERGEN,1760,GLEN ROCK BORO,21294,0.124,0.862,0.012,0,0,0.002,11.7,74.4,157.7,0.131,3,643644
G. K-12 / 3501 +,BERGEN,1860,HACKENSACK CITY,24046,0.219,0.63,0.032,0.071,0.034,0.014,18.8,99.1,173.8,0.144,3,-1337482
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,18481,0.123,0.855,0.013,0,0,0.009,11.7,76.7,158.3,0.104,3,0
F. K-12 / 1801 - 3500,BERGEN,2080,HASBROUCK HEIGHTS BORO,15127,0.135,0.857,0,0.004,0,0.004,15.4,69.7,172.2,0.109,3,8757
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,20299,0.118,0.87,0.01,0,0,0.002,14.1,0,0,0.091,3,0
D. K-8 / 751 +,BERGEN,2180,HILLSDALE BORO,16511,0.136,0.833,0.018,0.003,0,0.01,13.1,74.6,190.3,0.167,3,3
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,16325,0.107,0.857,0.012,0.011,0,0.013,12.6,99.5,161.8,0.113,3,0
F. K-12 / 1801 - 3500,BERGEN,2620,LEONIA BORO,18189,0.2,0.573,0.015,0.204,0,0.008,11.3,64.6,127.8,0.119,3,-91636
D. K-8 / 751 +,BERGEN,2710,LITTLE FERRY BORO,14916,0.152,0.822,0.024,0.002,0,0,14.5,128,204.3,0.060,3,0
F. K-12 / 1801 - 3500,BERGEN,2740,LODI BOROUGH,16531,0.324,0.643,0.031,0,0,0.002,14.4,114.1,178.5,0.084,3,0
F. K-12 / 1801 - 3500,BERGEN,2860,LYNDHURST TWP,17673,0.143,0.828,0.026,0,0,0.003,13.3,117.8,134.4,0.124,3,0
F. K-12 / 1801 - 3500,BERGEN,2900,MAHWAH TWP,19734,0.116,0.861,0.016,0,0,0.007,12.9,87.5,159.8,0.117,3,3712
D. K-8 / 751 +,BERGEN,3060,MAYWOOD BORO,16051,0.128,0.823,0.02,0.015,0,0.014,14.2,93.9,159.7,0.114,3,0
E. K-12 / 0 - 1800,BERGEN,3170,MIDLAND PARK BORO,20426,0.117,0.86,0.015,0.001,0,0.007,11.1,55.5,111.1,0.112,3,-176850
D. K-8 / 751 +,BERGEN,3330,MONTVALE BORO,16096,0.127,0.845,0.014,0.002,0,0.012,12.2,97.7,145.3,0.098,3,29043
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,28733,0.083,0.649,0.018,0.018,0,0.232,9.7,56.1,94,0.163,3,0
F. K-12 / 1801 - 3500,BERGEN,3550,NEW MILFORD BORO,16368,0.151,0.818,0.021,0.003,0,0.007,13.6,82.1,188,0.144,3,0
E. K-12 / 0 - 1800,BERGEN,3600,NORTH ARLINGTON BORO,15972,0.154,0.817,0.027,0.001,0,0.001,13.7,100.8,121.6,0.124,3,0
H. 7-12 / 9-12,BERGEN,3700,NORTHERN HIGHLANDS REG,21018,0.116,0.722,0.007,0.148,0,0.007,11.8,112.4,179.3,0.111,3,102578
H. 7-12 / 9-12,BERGEN,3710,NORTHERN VALLEY REGIONAL,23170,0.136,0.834,0.014,0.003,0,0.013,10.4,52.1,109.5,0.184,3,0
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,17762,0.105,0.74,0.012,0.035,0.101,0.007,10.9,81.9,169.3,0.100,3,-129314
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,17285,0.117,0.856,0.014,0.002,0,0.011,12.2,82.6,209.4,0.107,3,115014
D. K-8 / 751 +,BERGEN,3760,OAKLAND BORO,17865,0.121,0.846,0.014,0,0.018,0.001,13.2,53.7,231.6,0.137,3,27
D. K-8 / 751 +,BERGEN,3850,OLD TAPPAN BORO,18527,0.131,0.858,0.011,0,0,0,11.4,83.9,188.8,0.075,3,0
A. K-6,BERGEN,3870,ORADELL BORO,15303,0.119,0.836,0.015,0.01,0,0.02,12.5,121.7,130.2,0.129,3,23
E. K-12 / 0 - 1800,BERGEN,3910,PALISADES PARK,16535,0.175,0.792,0.031,0,0,0.002,0,1588,0,0.116,3,0
G. K-12 / 3501 +,BERGEN,3930,PARAMUS BORO,20521,0.124,0.839,0.021,0.008,0,0.008,12.7,64.1,196,0.150,3,13691
E. K-12 / 0 - 1800,BERGEN,3940,PARK RIDGE BORO,22395,0.12,0.836,0.013,0.004,0,0.027,11.5,69,113.2,0.142,3,0
H. 7-12 / 9-12,BERGEN,3960,PASCACK VALLEY REGIONAL,23472,0.108,0.859,0.01,0.01,0,0.013,12.8,72.4,103.5,0.171,3,-4936583
H. 7-12 / 9-12,BERGEN,4300,RAMAPO-INDIAN HILL REG,23039,0.102,0.869,0.009,0.002,0,0.018,10.9,94.7,92.4,0.147,3,1097005
F. K-12 / 1801 - 3500,BERGEN,4310,RAMSEY BORO,19582,0.12,0.842,0.014,0.022,0,0.002,11.9,69.3,241.5,0.119,3,0
E. K-12 / 0 - 1800,BERGEN,4370,RIDGEFIELD BORO,20501,0.176,0.529,0.017,0.268,0,0.01,11.1,57.8,130.3,0.238,3,375000
F. K-12 / 1801 - 3500,BERGEN,4380,RIDGEFIELD PARK TWP,16613,0.242,0.619,0.028,0.111,0,0,13.2,76.7,140.7,0.114,3,-73080
G. K-12 / 3501 +,BERGEN,4390,RIDGEWOOD VILLAGE,17982,0.129,0.831,0.016,0.005,0,0.019,13.5,83.1,200.9,0.135,3,-1207660
H. 7-12 / 9-12,BERGEN,4405,RIVER DELL REGIONAL,19735,0.114,0.846,0.016,0.013,0,0.011,13.1,87.9,137.7,0.144,3,0
A. K-6,BERGEN,4410,RIVER EDGE BORO,15076,0.158,0.778,0.019,0.041,0,0.004,14.3,69.7,169.3,0.111,3,0
D. K-8 / 751 +,BERGEN,4430,RIVER VALE TWP,17315,0.112,0.865,0.009,0.001,0,0.013,13.6,89.2,207.6,0.119,3,49362
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,17939,0.114,0.864,0.016,0,0,0.006,10.5,63.8,226.5,0.099,3,0
F. K-12 / 1801 - 3500,BERGEN,4600,RUTHERFORD BORO,17477,0.194,0.782,0.014,0,0,0.01,12.8,85.7,146.6,0.097,3,0
E. K-12 / 0 - 1800,BERGEN,4610,SADDLE BROOK TWP,23708,0.099,0.711,0.013,0,0,0.177,12.3,52.8,186.4,0.183,3,-105833
A. K-6,BERGEN,4620,SADDLE RIVER BORO,21022,0.104,0.868,0.013,0.013,0,0.002,9.2,206,68.7,0.102,3,0
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,23282,0.083,0.879,0.014,0.002,0,0.022,13.1,49.2,128,0.098,3,76179
G. K-12 / 3501 +,BERGEN,5150,TEANECK TWP,24019,0.149,0.826,0.018,0.001,0,0.006,11.1,66.1,161.1,0.181,3,-394390
G. K-12 / 3501 +,BERGEN,5160,TENAFLY BORO,18720,0.126,0.845,0.012,0.014,0,0.003,12.5,83.1,143,0.126,3,740673
D. K-8 / 751 +,BERGEN,5330,UPPER SADDLE RIVER BORO,18054,0.123,0.857,0.011,0.009,0,0,65.3,1339,669.5,0.121,3,227326
E. K-12 / 0 - 1800,BERGEN,5410,WALDWICK BORO,19050,0.13,0.85,0.014,0.001,0,0.005,11.7,76.3,180.9,0.140,3,0
E. K-12 / 0 - 1800,BERGEN,5430,WALLINGTON BORO,15283,0.248,0.698,0.028,0,0.019,0.007,14.6,80.7,110.1,0.080,3,0
F. K-12 / 1801 - 3500,BERGEN,5755,WESTWOOD REGIONAL,20148,0.13,0.852,0.017,0.001,0,0,12.2,68.2,122.4,0.114,3,-149763
E. K-12 / 0 - 1800,BERGEN,5830,WOOD-RIDGE BORO,16803,0.119,0.756,0.018,0.065,0,0.042,14.7,88.6,127.9,0.116,3,0
D. K-8 / 751 +,BERGEN,5880,WOODCLIFF LAKE BORO,20319,0.111,0.865,0.012,0.002,0,0.01,11.2,52,97.5,0.108,3,0
D. K-8 / 751 +,BERGEN,5920,WYCKOFF TWP,18633,0.118,0.855,0.014,0.004,0,0.009,12,65.1,171.7,0.091,3,511
K. CHARTER,BERGEN,6013,BERGEN ARTS AND SCIENCES CS,13822,0.479,0.495,0.026,0,0,0,11.6,165,220,0.035,80,0
K. CHARTER,BERGEN,6430,ENGLEWOOD ON THE PALISADES CS,18316,0.869,0.067,0.05,0,0,0.014,10.4,360,198,0.083,80,0
K. CHARTER,BERGEN,7890,TEANECK COMMUNITY CS,16020,0.132,0.868,0,0,0,0,11.8,212.5,127.5,0.111,80,0
A. K-6,BURLINGTON,200,BASS RIVER TWP,21668,0.447,0.512,0.038,0.003,0,0,9.3,64,128,0.133,5,0
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,18927,0.575,0.378,0.047,0,0,0,14,43.9,61.4,0.127,5,0
F. K-12 / 1801 - 3500,BURLINGTON,475,BORDENTOWN REGIONAL,16943,0.278,0.658,0.022,0.021,0,0.021,13.7,66.7,178.8,0.131,5,0
E. K-12 / 0 - 1800,BURLINGTON,600,BURLINGTON CITY,23393,0.538,0.252,0.036,0.049,0,0.125,10.1,64.5,127.1,0.161,5,85702
I. CSSD,BURLINGTON,605,BURLINGTON CO SPEC SERV,58603,0.09,0.137,0.004,0.769,0,0,5.4,8.7,33.9,0.993,5,0
J. VOC,BURLINGTON,610,BURLINGTON CO VOCATIONAL,21157,0.388,0.429,0.03,0.134,0,0.019,14.4,84.9,187.5,0.205,5,-3.72529E-9
G. K-12 / 3501 +,BURLINGTON,620,BURLINGTON TWP,16996,0.378,0.586,0.019,0.006,0,0.011,12.4,104.4,191.5,0.129,5,0
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,16495,0.135,0.783,0.021,0.004,0.057,0,14.4,103.9,160,0.108,5,344714
F. K-12 / 1801 - 3500,BURLINGTON,840,CINNAMINSON TWP,18620,0.295,0.686,0.017,0.002,0,0,12.6,105.1,202.1,0.133,5,-167280
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,17438,0.32,0.633,0.025,0.004,0,0.018,12.4,71.5,148.5,0.124,5,49814
F. K-12 / 1801 - 3500,BURLINGTON,1060,DELRAN TWP,16345,0.348,0.626,0.022,0.002,0,0.002,14,91.9,177.1,0.129,5,0
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,18448,0.487,0.437,0.027,0.002,0,0.047,11.8,62.8,218.6,0.134,5,1509
D. K-8 / 751 +,BURLINGTON,1280,EDGEWATER PARK TWP,16578,0.478,0.477,0.032,0.002,0.008,0.003,12.3,83.1,134.3,0.111,5,3070
D. K-8 / 751 +,BURLINGTON,1420,EVESHAM TWP,17108,0.256,0.653,0.018,0,0.068,0.005,12.6,74.4,229.8,0.168,5,2349
E. K-12 / 0 - 1800,BURLINGTON,1520,FLORENCE TWP,18427,0.385,0.566,0.032,0.002,0,0.015,12.8,86.6,178,0.095,5,-235642
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,15645,0.217,0.736,0.023,0.008,0,0.016,11.8,76.4,179.2,0.140,5,21316
H. 7-12 / 9-12,BURLINGTON,2610,LENAPE REGIONAL,21878,0.271,0.707,0.011,0,0,0.011,12.3,80.3,229.3,0.141,5,0
D. K-8 / 751 +,BURLINGTON,2850,LUMBERTON TWP,21303,0.428,0.524,0.022,0.001,0,0.025,14.3,58.2,153.2,0.164,5,0
A. K-6,BURLINGTON,2960,MANSFIELD TWP,16023,0.134,0.823,0.011,0.007,0,0.025,12.7,94.6,174.8,0.121,5,522
F. K-12 / 1801 - 3500,BURLINGTON,3010,MAPLE SHADE TWP,17764,0.319,0.63,0.029,0.01,0,0.012,12.5,84.3,162.2,0.193,5,-388620
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,15211,0.234,0.735,0.017,0,0,0.014,12.5,87.9,134,0.123,5,0
D. K-8 / 751 +,BURLINGTON,3080,MEDFORD TWP,17337,0.181,0.793,0.016,0,0,0.01,14,69.8,244.2,0.121,5,-206820
G. K-12 / 3501 +,BURLINGTON,3360,MOORESTOWN TWP,17902,0.147,0.817,0.02,0.01,0,0.006,12.4,75.3,169.5,0.117,5,-519092
D. K-8 / 751 +,BURLINGTON,3430,MOUNT HOLLY TWP,18689,0.575,0.358,0.052,0.013,0,0.002,11.9,74.8,149.6,0.176,5,-294780
D. K-8 / 751 +,BURLINGTON,3440,MOUNT LAUREL TWP,17331,0.162,0.812,0.019,0,0,0.007,12.3,63.5,179.4,0.136,5,-2337846
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,21276,0.398,0.249,0.339,0,0,0.014,9.3,71.7,126.7,0.119,5,14637
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,19697,0.558,0.106,0.335,0,0,0.001,10.7,57.8,158.9,0.164,5,0
H. 7-12 / 9-12,BURLINGTON,3690,NORTHERN BURLINGTON REG,18798,0.421,0.504,0.053,0.005,0.003,0.014,12.9,89.1,142,0.157,5,0
E. K-12 / 0 - 1800,BURLINGTON,3920,PALMYRA BORO,17416,0.37,0.484,0.036,0.107,0.003,0,11.8,71.9,119.8,0.153,5,0
G. K-12 / 3501 +,BURLINGTON,4050,PEMBERTON TWP,23459,0.832,0.108,0.038,0.003,0,0.019,11.1,59.5,156.2,0.135,5,0
H. 7-12 / 9-12,BURLINGTON,4320,RANCOCAS VALLEY REGIONAL,17399,0.499,0.44,0.016,0.045,0,0,15.7,109,173.8,0.157,5,1067
E. K-12 / 0 - 1800,BURLINGTON,4450,RIVERSIDE TWP,16772,0.552,0.32,0.034,0.074,0,0.02,12.4,89.1,158.4,0.156,5,345
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,16669,0.163,0.806,0.019,0.003,0,0.009,12,60.2,141.5,0.110,5,0
D. K-8 / 751 +,BURLINGTON,4740,SHAMONG TWP,16583,0.361,0.609,0.018,0,0,0.012,0,0,0,0.114,5,41513
C. K-8 / 401 - 750,BURLINGTON,4930,SOUTHAMPTON TWP,19535,0.235,0.737,0.022,0,0,0.006,11.1,76.7,127.8,0.130,5,0
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,18775,0.317,0.654,0.027,0,0,0.002,10.6,71.4,132,0.106,5,0
D. K-8 / 751 +,BURLINGTON,5130,TABERNACLE TWP,18737,0.457,0.497,0.024,0.01,0,0.012,12.7,60.7,161.4,0.097,5,2149
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,20465,0.356,0.59,0.017,0,0,0.037,8.6,60.3,0,0.122,5,0
D. K-8 / 751 +,BURLINGTON,5720,WESTAMPTON,14749,0.335,0.63,0.023,0,0,0.012,13.7,91.7,198,0.121,5,28047
G. K-12 / 3501 +,BURLINGTON,5805,WILLINGBORO TWP,19414,0.583,0.347,0.052,0.003,0,0.015,45.5,793.2,495.8,0.118,5,0
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,16811,0.416,0.553,0.032,0,0,0,21.6,0,160,0.069,5,0
K. CHARTER,BURLINGTON,6026,RIVERBANK CHARTER SCHOOL OF EXCELLENCE,10677,0.661,0.331,0.009,0,0,0,11.1,0,96,0.028,80,0
K. CHARTER,BURLINGTON,6044,RENAISSANCE REGIONAL LEADERSHIP CS,10396,0.739,0.23,0.031,0,0,0,12.9,97.5,70.9,0.060,80,0
K. CHARTER,BURLINGTON,6076,BENJAMIN BANNEKER PREP CS,12395,0.621,0.379,0,0,0,0,15,120,60,0.059,80,0
K. CHARTER,CAMDEM,6067,KINGDOM CS OF LEADERSHIP,13332,0.54,0.412,0.048,0,0,0,0,0,0,0.055,80,0
E. K-12 / 0 - 1800,CAMDEN,150,AUDUBON BORO,17576,0.396,0.456,0.023,0.111,0,0.014,12,86.3,156.3,0.187,7,0
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,15455,0.301,0.661,0.027,0,0,0.011,11.2,91.8,160,0.101,7,197
D. K-8 / 751 +,CAMDEN,260,BELLMAWR BORO,14126,0.429,0.52,0.042,0.006,0,0.003,14.4,111.4,159.1,0.112,7,13868
D. K-8 / 751 +,CAMDEN,330,BERLIN BORO,13682,0.398,0.566,0.024,0,0,0.012,13.3,113.3,173.6,0.109,7,0
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,19171,0.439,0.515,0.028,0.011,0,0.007,9.7,58.9,91.3,0.178,7,3810
H. 7-12 / 9-12,CAMDEN,390,BLACK HORSE PIKE REGIONAL,17952,0.545,0.43,0.019,0.004,0,0.002,14.6,98,133.2,0.137,7,0
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,14052,0.755,0.193,0.036,0,0,0.016,12.7,302.5,0,0.116,7,76584
G. K-12 / 3501 +,CAMDEN,680,CAMDEN CITY,25575,0.864,0.024,0.067,0.001,0,0.044,9.4,58,62.2,0.163,7,819995
J. VOC,CAMDEN,700,CAMDEN COUNTY VOCATIONAL,22506,0.554,0.254,0.053,0.134,0,0.005,11.2,67.9,98.1,0.291,7,0
G. K-12 / 3501 +,CAMDEN,800,CHERRY HILL TWP,17276,0.166,0.803,0.023,0.004,0,0.004,12.9,79.9,241.9,0.158,7,17
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,19289,0.592,0.356,0.039,0,0,0.013,9.6,86,236.5,0.113,7,570
F. K-12 / 1801 - 3500,CAMDEN,940,COLLINGSWOOD BORO,18644,0.384,0.447,0.028,0.12,0,0.021,11.3,85.3,98.3,0.136,7,15272
H. 7-12 / 9-12,CAMDEN,1255,EASTERN CAMDEN COUNTY REG,17690,0.326,0.65,0.016,0.003,0,0.005,126.1,1094.7,2080,0.114,7,0
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,24341,0.364,0.591,0.02,0,0,0.025,10.7,69.1,156.5,0.113,7,0
F. K-12 / 1801 - 3500,CAMDEN,1770,GLOUCESTER CITY,23176,0.767,0.081,0.049,0.031,0,0.072,21.6,101.2,243.7,0.158,7,256128
D. K-8 / 751 +,CAMDEN,1780,GLOUCESTER TWP,15649,0.536,0.381,0.029,0,0.045,0.009,13.4,78.9,239.3,0.134,7,0
E. K-12 / 0 - 1800,CAMDEN,1880,HADDON HEIGHTS BORO,17249,0.167,0.527,0.019,0.266,0,0.021,11.4,83.6,132.4,0.098,7,37487
F. K-12 / 1801 - 3500,CAMDEN,1890,HADDON TWP,15685,0.332,0.631,0.023,0.004,0,0.01,15.6,99,210.8,0.154,7,0
F. K-12 / 1801 - 3500,CAMDEN,1900,HADDONFIELD BORO,15344,0.12,0.839,0.015,0.013,0,0.013,16.1,90.6,283,0.152,7,0
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,14963,0.429,0.547,0.024,0,0,0,12.8,77.1,127.6,0.184,7,0
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,21619,0.455,0.464,0.066,0,0,0.015,19.4,122.1,97.7,0.122,7,21059
F. K-12 / 1801 - 3500,CAMDEN,2670,LINDENWOLD BORO,17836,0.661,0.261,0.06,0.01,0,0.008,11.7,87.4,135.9,0.122,7,0
B. K-8 / 0 - 400,CAMDEN,2890,MAGNOLIA BORO,16100,0.515,0.452,0.032,0,0,0.001,11.4,101,139.3,0.156,7,130
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,17705,0.39,0.572,0.036,0.002,0,0,12.9,102.5,295.2,0.143,7,51052
