GROUP,CONAME,DIST,DISTNAME,SSRAT0017,RK0017,SALS0017,RKSAL0017,SSRAT0117,RK0117,SALS0117,RKSAL0117
A. K-6,,,K-6 Average,82,,61368,,84.9,,61653,
A. K-6,BERGEN,1270,EDGEWATER BORO,129.7,10,58587,23,156.3,3,61062,31
A. K-6,BERGEN,3870,ORADELL BORO,121.7,11,62205,33,120.6,12,62205,36
A. K-6,BERGEN,4410,RIVER EDGE BORO,69.7,39,72595,48,68.4,37,74285,49
A. K-6,BERGEN,4620,SADDLE RIVER BORO,206,2,59786,25,100.5,17,60569,29
A. K-6,BURLINGTON,200,BASS RIVER TWP,64,45,61904,32,56,47,61904,33
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,103.9,13,77658,52,92.8,18,51245,17
A. K-6,BURLINGTON,2960,MANSFIELD TWP,94.6,15,67158,41,76.6,33,60105,28
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,57.8,49,65490,40,59.6,45,65490,42
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,71.4,36,54634,19,54.9,49,55800,24
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,77.1,26,11804,2,136.4,7,13178,3
A. K-6,CAMDEN,5560,WATERFORD TWP,65.3,43,61196,29,64.1,40,55794,23
A. K-6,CAPE MAY,710,CAPE MAY CITY,,,,,,,,
A. K-6,CAPE MAY,2840,LOWER TWP,85.9,19,85002,54,79.2,31,80564,54
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,198,3,7868,1,159.2,2,11505,1
A. K-6,ESSEX,1400,ESSEX FELLS BORO,55,50,45306,14,58.9,46,44932,14
A. K-6,ESSEX,1465,FAIRFIELD TWP,86.5,18,72182,46,90.7,21,72674,47
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,71.9,35,51896,16,76.1,34,52000,18
A. K-6,ESSEX,4530,ROSELAND BORO,73.8,31,62410,34,61.7,43,61930,35
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,132,9,75322,51,145.5,6,75404,51
A. K-6,GLOUCESTER,1330,ELK TWP,74,30,43890,13,89.8,22,65417,41
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,87.7,17,60474,28,81.6,26,58113,25
A. K-6,GLOUCESTER,2070,HARRISON TWP,99.8,14,72365,47,106.1,15,69993,45
A. K-6,GLOUCESTER,2990,MANTUA TWP,72.1,34,59976,26,,,,
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,50.2,53,54255,17,89.7,23,51178,16
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,79.6,24,33164,10,112.1,13,33164,9
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,79,25,54271,18,107.2,14,55591,22
A. K-6,GLOUCESTER,5590,WENONAH BORO,189.2,4,28851,7,126.1,11,28851,7
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,72.3,32,63860,36,62.6,41,59390,27
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,50.5,52,69222,42,46,52,59242,26
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,87.8,16,81102,53,132.8,8,79557,53
A. K-6,HUNTERDON,2590,LEBANON BORO,,,,,,,,
A. K-6,HUNTERDON,5050,STOCKTON BORO,212,1,25000,5,,,,
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,68,41,61763,31,85.1,25,66382,44
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,181.1,5,46408,15,177.8,1,47907,15
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,64.6,44,22884,4,62.1,42,23734,4
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,62,47,37628,11,44.8,54,36460,10
A. K-6,MORRIS,3240,MINE HILL TWP,165.4,6,43102,12,153.6,4,52713,19
A. K-6,OCEAN,230,BEACH HAVEN BORO,69.6,40,16380,3,25.9,55,24760,5
A. K-6,OCEAN,320,BERKELEY TWP,80.9,22,69443,43,79.9,28,71635,46
A. K-6,OCEAN,1150,EAGLESWOOD TWP,114.5,12,25600,6,129.4,9,52785,20
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,,,,,128.2,10,25639,6
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,76.6,28,60268,27,68.8,36,61107,32
A. K-6,OCEAN,2760,LONG BEACH ISLAND,52.6,51,64807,39,101.8,16,76712,52
A. K-6,OCEAN,3800,OCEAN GATE BORO,,,,,45.7,53,43965,12
A. K-6,OCEAN,3820,OCEAN TWP,63.6,46,64692,37,54.1,50,66256,43
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,,,,,67,38,53044,21
A. K-6,OCEAN,5020,STAFFORD TWP,76.7,27,64786,38,77.8,32,62722,37
A. K-6,OCEAN,5220,TUCKERTON BORO,66,42,32850,9,76.1,34,12000,2
A. K-6,SUSSEX,1630,FREDON TWP,135,8,56707,22,92,20,44796,13
A. K-6,SUSSEX,1980,HAMPTON TWP,80.5,23,61296,30,79.3,30,63033,39
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,150,7,70346,45,148,5,73586,48
A. K-6,SUSSEX,5040,STILLWATER TWP,70.4,38,75180,50,60.2,44,81675,55
A. K-6,WARREN,400,BLAIRSTOWN TWP,58.3,48,69875,44,50.5,51,61920,34
A. K-6,WARREN,1620,FRANKLIN TWP,70.5,37,63178,35,86.2,24,64568,40
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,83.3,21,31099,8,81.3,27,31333,8
A. K-6,WARREN,2470,KNOWLTON TWP,49,54,55490,20,56,47,43201,11
A. K-6,WARREN,2970,MANSFIELD TWP,75.8,29,73629,49,79.7,29,75343,50
A. K-6,WARREN,5480,WASHINGTON BORO,83.8,20,59405,24,92.2,19,60960,30
A. K-6,WARREN,5530,WASHINGTON TWP,72.2,33,56575,21,64.7,39,62762,38
B. K-8 / 0 - 400,,,K-8 Average,78.2,,65600,,75,,66144,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,85.5,28,69882,60,57.9,52,62797,57
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,115,12,50680,29,63,47,36692,17
