GROUP,CONAME,DIST,DISTNAME,STRAT0016,RK0016,SALT0016,RKSAL0016,STRAT0116,RK0116,SALT0116,RKSAL0116
A. K-6,,,K-6 Average,12,,57605,,11.9,,57437,
A. K-6,BERGEN,1270,EDGEWATER BORO,14.4,5,51810,7,16,1,51816,9
A. K-6,BERGEN,3870,ORADELL BORO,12.5,19,55810,21,12.4,12,55580,23
A. K-6,BERGEN,4410,RIVER EDGE BORO,14.3,7,59430,35,13.8,3,61539,41
A. K-6,BERGEN,4620,SADDLE RIVER BORO,9.2,50,64266,50,9.1,46,63706,49
A. K-6,BURLINGTON,200,BASS RIVER TWP,9.3,47,54119,15,8.1,54,54119,17
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,14.4,5,53739,10,14.2,2,53344,14
A. K-6,BURLINGTON,2960,MANSFIELD TWP,12.7,17,57605,28,12.7,9,59629,36
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,10.7,38,60585,38,11.1,21,60635,39
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,10.6,39,60828,40,9.4,43,58695,33
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,12.8,15,56446,25,12.4,12,57136,29
A. K-6,CAMDEN,5560,WATERFORD TWP,12.8,15,54816,17,11.9,16,54378,18
A. K-6,CAPE MAY,710,CAPE MAY CITY,27.3,3,58651,32,7.3,56,54950,20
A. K-6,CAPE MAY,2840,LOWER TWP,12.4,20,61733,46,13.1,6,55899,25
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,14.1,8,51120,6,11.8,18,52878,13
A. K-6,ESSEX,1400,ESSEX FELLS BORO,8.1,55,58559,31,7.3,56,60325,38
A. K-6,ESSEX,1465,FAIRFIELD TWP,11.8,23,58951,33,11.1,21,55874,24
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,10,45,54000,13,9.8,39,53354,15
A. K-6,ESSEX,4530,ROSELAND BORO,12.6,18,63410,48,10.9,25,60053,37
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,14.9,4,57151,27,13.8,3,55462,22
A. K-6,GLOUCESTER,1330,ELK TWP,11,33,50830,4,10.9,25,56619,28
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,12.9,13,52524,9,12.5,11,52013,12
A. K-6,GLOUCESTER,2070,HARRISON TWP,13.5,10,54430,16,13.4,5,58153,31
A. K-6,GLOUCESTER,2990,MANTUA TWP,10.9,36,53868,12,,,,
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,10.9,36,71709,55,11,24,70249,57
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,12.9,13,47490,2,12.9,7,46626,2
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,13,11,53756,11,12.9,7,53656,16
A. K-6,GLOUCESTER,5590,WENONAH BORO,11.2,30,59418,34,10.4,31,58589,32
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,11.3,29,65610,52,11.6,19,65915,53
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,11,33,55224,20,10.2,33,55224,21
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,13,11,62942,47,10.7,27,60674,40
A. K-6,HUNTERDON,2590,LEBANON BORO,7.2,57,57000,26,4.2,58,52000,10
A. K-6,HUNTERDON,5050,STOCKTON BORO,,,,,10.5,29,30751,1
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,8.1,55,60874,41,10.2,33,64392,51
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,11.1,32,65560,51,10.5,29,66485,54
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,9,53,60725,39,8.2,52,63310,48
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,9.2,50,50843,5,9.8,39,47581,3
A. K-6,MORRIS,3240,MINE HILL TWP,13.6,9,57962,29,12.6,10,59353,34
A. K-6,OCEAN,230,BEACH HAVEN BORO,36.4,2,44394,1,7.5,55,47829,4
A. K-6,OCEAN,320,BERKELEY TWP,12.3,21,56216,24,12.4,12,56141,27
A. K-6,OCEAN,1150,EAGLESWOOD TWP,10.1,44,54008,14,9.9,38,50898,7
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,10.4,42,52314,8,8.5,50,51756,8
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,11.8,23,60458,37,10.4,31,61972,43
A. K-6,OCEAN,2760,LONG BEACH ISLAND,9.3,47,80214,57,8.2,52,64081,50
A. K-6,OCEAN,3800,OCEAN GATE BORO,,,,,8.5,50,49120,6
A. K-6,OCEAN,3820,OCEAN TWP,10.6,39,60108,36,10,37,61672,42
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,77.3,1,54900,19,9.7,41,62664,46
A. K-6,OCEAN,5020,STAFFORD TWP,11.6,25,56033,23,11.9,16,56033,26
A. K-6,OCEAN,5220,TUCKERTON BORO,11.4,28,48704,3,11.1,21,48529,5
A. K-6,SUSSEX,1630,FREDON TWP,11,33,54882,18,10.2,33,52007,11
A. K-6,SUSSEX,1980,HAMPTON TWP,9.3,47,63752,49,9.2,44,62004,44
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,9.2,50,55820,22,8.6,49,54612,19
A. K-6,SUSSEX,5040,STILLWATER TWP,10.2,43,66480,54,9.5,42,67800,55
A. K-6,WARREN,400,BLAIRSTOWN TWP,11.2,30,58500,30,9.2,44,57600,30
A. K-6,WARREN,1620,FRANKLIN TWP,9.8,46,61360,42,8.9,47,59520,35
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,10.5,41,61482,43,10.1,36,62732,47
A. K-6,WARREN,2470,KNOWLTON TWP,9,53,61658,45,8.7,48,62585,45
A. K-6,WARREN,2970,MANSFIELD TWP,12.1,22,73629,56,12,15,74110,58
A. K-6,WARREN,5480,WASHINGTON BORO,11.6,25,61518,44,11.4,20,65090,52
A. K-6,WARREN,5530,WASHINGTON TWP,11.5,27,66255,53,10.6,28,68767,56
B. K-8 / 0 - 400,,,K-8 Average,12.2,,60230,,11.5,,61136,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,13.6,9,71393,64,13.3,5,57697,35
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,7.2,64,51571,11,9.8,41,50754,9
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,9.6,50,52003,12,9.1,49,52878,12
