CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
1,10,9761516,6520196,6284695,160526,74975,1154157,960246,1083774,903533,950850,521486,0,44765,0,867,ABSECON CITY,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,110,146941104,89028574,83295116,3769683,1963775,21270472,18820309,11810950,9031697,22488449,10375205,300000,1611291,532400,7089,ATLANTIC CITY,ATLANTIC,G. K-12 / 3501 +,3,A,,1,ATLANTIC
1,120,16171529,8135817,7442920,570087,122810,1667049,1548193,1806794,1241656,3825344,1759020,0,389902,216345,1211,ATLANTIC CO VOCATIONAL,ATLANTIC,J. VOC,8,,,1,ATLANTIC
1,125,21006316,12236070,11801047,139628,295395,4226147,4005305,2468564,2148281,1942535,979337,133000,0,42845,440,ATLANTIC CO SPECIAL SERV,ATLANTIC,I. CSSD,7,,,1,ATLANTIC
1,570,13774463,8522909,8194749,255200,72960,1969894,1722019,1321063,1101819,1774844,930214,0,181739,174000,756,BRIGANTINE CITY,ATLANTIC,C. K-8 / 401 - 750,2,CD,,1,ATLANTIC
1,590,30030531,17480923,16893752,393451,193720,5180556,4124181,3257041,2660651,3308994,1698194,0,781614,91600,2184,BUENA REGIONAL,ATLANTIC,F. K-12 / 1801 - 3500,3,A,,1,ATLANTIC
1,1300,7595743,4483469,4326569,123550,33350,1448499,1297909,803469,655699,786932,406995,0,73374,0,541,EGG HARBOR CITY,ATLANTIC,C. K-8 / 401 - 750,2,A,,1,ATLANTIC
1,1310,100202823,60425011,58743289,1526813,154909,17402357,15972538,8471999,6796373,11699474,7256245,0,1169619,222000,7730,EGG HARBOR TWP,ATLANTIC,G. K-12 / 3501 +,3,CD,,1,ATLANTIC
1,1410,2760293,1462721,1400222,52499,10000,514955,434106,330806,271406,419840,194631,6000,19119,0,191,ESTELL MANOR CITY,ATLANTIC,B. K-8 / 0 - 400,2,DE,,1,ATLANTIC
1,1540,5667531,3316507,2834507,355000,127000,916000,708950,665741,403241,700295,257295,0,66160,0,416,FOLSOM BORO,ATLANTIC,C. K-8 / 401 - 750,2,CD,,1,ATLANTIC
1,1690,49022754,32082598,31063132,758805,260661,7272791,6557334,4580181,3903130,4847338,2570758,80000,120696,5000,3370,GALLOWAY TWP,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,1790,52836510,28928313,27418913,1311900,197500,6044492,5860392,6120837,4918616,8985890,5268957,0,2729642,0,3650,GREATER EGG HARBOR REG,ATLANTIC,H. 7-12 / 9-12,5,CD,,1,ATLANTIC
1,1940,36701343,22052725,20843334,936075,273316,5808162,5280618,3974926,2986373,4582994,2206623,0,257014,126330,3086,HAMILTON TWP,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,1960,41498054,25452411,22961857,2309279,181275,6291355,5472190,4394635,3366283,4232061,1768710,0,769958,100000,3707,HAMMONTON TOWN,ATLANTIC,G. K-12 / 3501 +,3,B,,1,ATLANTIC
1,2680,13535780,7981109,7600651,339287,41171,2156290,2030572,1560751,1123304,1691848,768048,0,145782,48384,865,LINWOOD CITY,ATLANTIC,D. K-8 / 751 +,2,GH,,1,ATLANTIC
1,2910,23616908,13973579,13441629,514750,17200,3298670,2881220,1852995,1410220,2839588,1396392,0,1346600,130000,1463,MAINLAND REGIONAL,ATLANTIC,H. 7-12 / 9-12,5,DE,,1,ATLANTIC
1,3020,9572037,5498646,5093515,385587,19544,1695740,1440579,859888,685117,1379574,617074,58973,63149,36000,467,MARGATE CITY,ATLANTIC,C. K-8 / 401 - 750,2,DE,,1,ATLANTIC
1,3480,9458999,6194708,5920174,181008,93526,1135001,953880,1081326,910263,1006303,549094,17000,24660,0,763,MULLICA TWP,ATLANTIC,C. K-8 / 401 - 750,2,B,,1,ATLANTIC
1,3720,12517272,8557378,8253216,274850,29312,1319915,1188115,1383059,1088103,1185599,585750,0,71321,18800,1021,NORTHFIELD CITY,ATLANTIC,D. K-8 / 751 +,2,DE,,1,ATLANTIC
1,4180,67925169,39619972,36857911,1439600,1322461,10393704,9340583,6985703,5704049,9077373,4537565,0,1082953,0,3810,PLEASANTVILLE CITY,ATLANTIC,G. K-12 / 3501 +,3,A,1,1,ATLANTIC
1,4240,1843781,1108863,1058051,17050,33762,396018,349668,194629,134950,137951,66215,0,6320,0,173,PORT REPUBLIC CITY,ATLANTIC,B. K-8 / 0 - 400,2,FG,,1,ATLANTIC
