GROUP,CONAME,DIST,DISTNAME,SARAT0018,RK0018,SALAM0018,RKSAL0018,SARAT0118,RK0118,SALAM0118,RKSAL0118
A. K-6,,,K-6 Average,165.9,,104137,,156.6,,99900,
A. K-6,BERGEN,1270,EDGEWATER BORO,259.3,5,120000,46,220.7,3,116110,51
A. K-6,BERGEN,3870,ORADELL BORO,130.2,38,91250,15,193.7,9,106100,42
A. K-6,BERGEN,4410,RIVER EDGE BORO,169.3,22,140021,56,145.4,30,133702,58
A. K-6,BERGEN,4620,SADDLE RIVER BORO,68.7,52,125000,50,67,54,125000,56
A. K-6,BURLINGTON,200,BASS RIVER TWP,128,39,106274,35,112,36,106274,43
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,160,29,104178,32,173,16,104178,41
A. K-6,BURLINGTON,2960,MANSFIELD TWP,174.8,18,99071,24,179.8,13,107291,44
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,158.9,30,113185,42,150.7,23,99600,31
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,132,37,98328,23,95,41,86700,24
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,127.6,40,47169,4,95.5,40,38389,6
A. K-6,CAMDEN,5560,WATERFORD TWP,166.2,25,110223,40,163.3,21,101341,36
A. K-6,CAPE MAY,710,CAPE MAY CITY,177.5,16,125000,50,45.7,57,78102,17
A. K-6,CAPE MAY,2840,LOWER TWP,257.7,6,119221,45,202.4,6,120721,55
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,57.1,55,78500,10,45.9,56,77775,16
A. K-6,ESSEX,1400,ESSEX FELLS BORO,105,45,106167,34,103,38,103750,40
A. K-6,ESSEX,1465,FAIRFIELD TWP,164.8,26,122843,49,123.8,34,119035,54
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,169,23,125000,50,167.5,18,115000,49
A. K-6,ESSEX,4530,ROSELAND BORO,150,33,115000,43,110.2,37,100689,34
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,171.6,20,88434,14,174.6,15,96390,26
A. K-6,GLOUCESTER,1330,ELK TWP,370,3,95721,18,179.5,14,10000,2
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,200.4,10,97137,21,198.3,8,99274,30
A. K-6,GLOUCESTER,2070,HARRISON TWP,205.3,9,108769,39,203.4,5,108663,46
A. K-6,GLOUCESTER,2990,MANTUA TWP,188.6,11,103936,31,,,,
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,142.2,36,33142,3,149.4,27,33142,5
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,119.3,42,85591,13,134.5,32,76796,14
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,246,7,101281,26,222.5,2,103270,38
A. K-6,GLOUCESTER,5590,WENONAH BORO,246,7,103590,30,162.1,22,69831,12
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,182.6,15,28570,1,165,20,29750,3
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,158.6,31,82000,11,150,26,75500,13
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,118.5,43,112259,41,125.8,33,54000,8
A. K-6,HUNTERDON,2590,LEBANON BORO,79,51,48000,5,89,45,50000,7
A. K-6,HUNTERDON,5050,STOCKTON BORO,,,,,51.5,55,62494,11
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,58,54,127269,54,93.6,43,81000,20
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,271.7,4,115000,43,150.2,24,118865,53
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,102.8,46,31690,2,98.9,39,32263,4
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,24.9,56,62645,7,32,58,56811,9
A. K-6,MORRIS,3240,MINE HILL TWP,413.5,2,106927,36,192,10,4126,1
A. K-6,OCEAN,230,BEACH HAVEN BORO,800,1,125129,53,75,50,115000,49
A. K-6,OCEAN,320,BERKELEY TWP,186.8,12,120000,46,191.8,11,131000,57
