GROUP,CONAME,DIST,DISTNAME,DE120,DE220,DE320,DE420
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,408602,417541,826143,411073
B. K-8 / 0 - 400,CAMDEN,2890,MAGNOLIA BORO,1181286,334920,1516206,399884
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,1405904,-26498,1379406,-487257
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,1015316,194939,1210255,279736
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,2470913,364864,2836133,-86606
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,1284562,-18846,1265716,1704
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,282650,38059,320709,1083882
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,-9017,-167805,-300835,-435864
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,724324,140665,864989,-196738
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,886924,157126,1044050,257975
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,361168,47794,408962,73428
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,231281,37603,268884,80522
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,2185486,-50617,2134869,241188
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,929799,200633,1130432,63043
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,203388,52249,255637,3554
B. K-8 / 0 - 400,HUNTERDON,910,CLINTON-GLEN GARDNER,462739,366023,828762,4274
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,346310,404237,750547,-62737
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,438865,44591,483456,126854
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,262041,101534,363575,-88154
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,834974,208756,1043730,79085
B. K-8 / 0 - 400,HUNTERDON,2450,KINGWOOD TWP,1423529,-107144,1316385,551948
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,433166,61366,494532,-18192
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,829628,227979,1057607,312175
