GROUP,CONAME,DIST,DISTNAME,PP12,RK12,PCT12,PP22,RK22,PCT22,PP32,RK32,PCT32
A. K-6,,,1. State average - Operating Type K-6,7668,,,7939,,,8366,,
A. K-6,,,2. State median - Operating Type K-6,8215,,,8705,,,9140,,
A. K-6,,,5. State average - All operating types,8202,,,8414,,,8769,,
A. K-6,,,6. State median - All operating types,7916,,,8113,,,8535,,
A. K-6,BERGEN,1270,EDGEWATER BORO,6076,4,0.602,4432,1,0.452,6932,5,0.615
A. K-6,BERGEN,3870,ORADELL BORO,7308,18,0.607,7616,14,0.613,7670,10,0.603
A. K-6,BERGEN,4410,RIVER EDGE BORO,7554,21,0.645,7797,18,0.647,8451,22,0.654
A. K-6,BERGEN,4620,SADDLE RIVER BORO,11712,56,0.536,11414,54,0.523,12945,58,0.504
A. K-6,BURLINGTON,200,BASS RIVER TWP,8432,34,0.579,9518,41,0.579,9358,35,0.588
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,6266,6,0.555,6035,3,0.564,5924,1,0.561
A. K-6,BURLINGTON,2960,MANSFIELD TWP,6850,9,0.618,7094,11,0.597,7955,16,0.609
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,9515,47,0.618,9558,42,0.620,9735,38,0.602
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,8491,35,0.628,9720,46,0.631,9802,40,0.593
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,7194,16,0.619,7853,19,0.634,8528,24,0.622
A. K-6,CAMDEN,5560,WATERFORD TWP,7058,13,0.548,6821,8,0.569,7860,14,0.561
A. K-6,CAPE MAY,710,CAPE MAY CITY,13480,58,0.629,15044,59,0.634,12780,56,0.599
A. K-6,CAPE MAY,2840,LOWER TWP,8155,28,0.638,8485,27,0.628,8170,19,0.600
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,9824,49,0.617,9290,39,0.610,10096,44,0.647
A. K-6,ESSEX,1400,ESSEX FELLS BORO,11476,55,0.635,11784,55,0.635,11345,55,0.638
A. K-6,ESSEX,1465,FAIRFIELD TWP,8368,32,0.612,8917,34,0.635,9155,31,0.637
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,9325,45,0.645,9047,35,0.635,9852,42,0.622
A. K-6,ESSEX,4530,ROSELAND BORO,8370,33,0.640,8584,28,0.626,8589,25,0.610
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,5898,2,0.628,5940,2,0.638,6120,2,0.613
A. K-6,GLOUCESTER,1330,ELK TWP,6899,10,0.633,7766,16,0.640,8058,17,0.628
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,6572,8,0.616,6819,7,0.607,7355,7,0.601
A. K-6,GLOUCESTER,2070,HARRISON TWP,6547,7,0.648,7045,10,0.665,7422,8,0.661
