GROUP,CONAME,DIST,DISTNAME,PP114,PP214,PP314
A. K-6,,,1. State average - Operating Type K-6,0.299,0.303,0.348
A. K-6,,,2. State median - Operating Type K-6,0.284,0.291,0.326
A. K-6,,,5. State average - All operating types,0.293,0.291,0.316
A. K-6,,,6. State median - All operating types,0.278,0.277,0.306
A. K-6,BERGEN,1270,EDGEWATER BORO,0.313,0.298,0.352
A. K-6,BERGEN,3870,ORADELL BORO,0.291,0.265,0.328
A. K-6,BERGEN,4410,RIVER EDGE BORO,0.234,0.239,0.281
A. K-6,BERGEN,4620,SADDLE RIVER BORO,0.279,0.336,0.389
A. K-6,BURLINGTON,200,BASS RIVER TWP,0.284,0.297,0.328
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,0.312,0.303,0.351
A. K-6,BURLINGTON,2960,MANSFIELD TWP,0.281,0.278,0.387
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,0.333,0.323,0.355
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,0.318,0.327,0.329
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,0.284,0.303,0.309
A. K-6,CAMDEN,5560,WATERFORD TWP,0.241,0.247,0.286
A. K-6,CAPE MAY,710,CAPE MAY CITY,0.269,0.291,0.308
A. K-6,CAPE MAY,2840,LOWER TWP,0.352,0.421,0.373
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,0.177,0.144,0.207
A. K-6,ESSEX,1400,ESSEX FELLS BORO,0.286,0.265,0.326
A. K-6,ESSEX,1465,FAIRFIELD TWP,0.296,0.299,0.330
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,0.375,0.356,0.382
A. K-6,ESSEX,4530,ROSELAND BORO,0.272,0.253,0.287
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,0.249,0.246,0.293
A. K-6,GLOUCESTER,1330,ELK TWP,0.305,0.300,0.307
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,0.346,0.345,0.362
A. K-6,GLOUCESTER,2070,HARRISON TWP,0.246,0.257,0.284
A. K-6,GLOUCESTER,2990,MANTUA TWP,0.328,0.322,0.386
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,0.307,0.283,0.303
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,0.180,0.187,0.243
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,0.302,0.308,0.436
A. K-6,GLOUCESTER,5590,WENONAH BORO,0.207,0.227,0.250
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,0.254,0.275,0.305
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,0.197,0.204,0.248
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,0.294,0.295,0.329
A. K-6,HUNTERDON,2590,LEBANON BORO,0.269,0.284,0.339
A. K-6,HUNTERDON,5050,STOCKTON BORO,0.158,0.155,0.182
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,0.273,0.299,0.368
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,0.307,0.300,0.319
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,0.293,0.305,0.306
