GROUP,CONAME,DIST,DISTNAME,PP114,PP214,PP314
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,0.190,0.188,0.234
A. K-6,MORRIS,3240,MINE HILL TWP,0.212,0.191,0.243
A. K-6,OCEAN,230,BEACH HAVEN BORO,0.222,0.267,0.293
A. K-6,OCEAN,320,BERKELEY TWP,0.321,0.358,0.413
A. K-6,OCEAN,1150,EAGLESWOOD TWP,0.248,0.270,0.313
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,0.222,0.233,0.262
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,0.358,0.351,0.400
A. K-6,OCEAN,2760,LONG BEACH ISLAND,0.329,0.355,0.388
A. K-6,OCEAN,3800,OCEAN GATE BORO,0.297,0.328,0.359
A. K-6,OCEAN,3820,OCEAN TWP,0.303,0.316,0.400
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,0.480,0.523,0.576
A. K-6,OCEAN,5020,STAFFORD TWP,0.299,0.303,0.370
A. K-6,OCEAN,5220,TUCKERTON BORO,0.233,0.260,0.389
A. K-6,SUSSEX,1630,FREDON TWP,0.289,0.272,0.314
A. K-6,SUSSEX,1980,HAMPTON TWP,0.237,0.148,0.360
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,0.263,0.277,0.290
A. K-6,SUSSEX,5040,STILLWATER TWP,0.273,0.268,0.335
A. K-6,WARREN,400,BLAIRSTOWN TWP,0.266,0.247,0.295
A. K-6,WARREN,1620,FRANKLIN TWP,0.404,0.356,0.389
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,0.317,0.308,0.326
A. K-6,WARREN,2470,KNOWLTON TWP,0.251,0.265,0.290
A. K-6,WARREN,2970,MANSFIELD TWP,0.301,0.301,0.314
A. K-6,WARREN,5480,WASHINGTON BORO,0.328,0.343,0.414
A. K-6,WARREN,5530,WASHINGTON TWP,0.279,0.277,0.285
B. K-8 / 0 - 400,,,1. State average - Operating Type K-8,0.290,0.296,0.329
B. K-8 / 0 - 400,,,2. State median - Operating Type K-8,0.284,0.286,0.320
B. K-8 / 0 - 400,,,5. State average - All operating types,0.293,0.291,0.316
B. K-8 / 0 - 400,,,6. State median - All operating types,0.278,0.277,0.306
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,0.317,0.259,0.259
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,0.257,0.284,0.338
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,0.328,0.346,0.379
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,0.245,0.256,0.299
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,0.353,0.338,0.420
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,0.304,0.307,0.360
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,0.266,0.249,0.295
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,0.287,0.299,0.337
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,0.447,0.411,0.436
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,0.216,0.239,0.267
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,0.277,0.246,0.318
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,0.336,0.382,0.377
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,0.273,0.290,0.322
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,0.354,0.394,0.404
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,0.263,0.279,0.303
B. K-8 / 0 - 400,CAMDEN,2890,MAGNOLIA BORO,0.285,0.357,0.444
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,0.235,0.245,0.253
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,0.371,0.353,0.450
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,0.274,0.286,0.314
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,0.336,0.330,0.383
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,0.309,0.307,0.362
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,0.356,0.379,0.329
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,0.348,0.359,0.415
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,0.254,0.302,0.364
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,0.268,0.287,0.316
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,0.371,0.361,0.387
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,0.230,0.303,0.361
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,0.246,0.259,0.318
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,0.237,0.255,0.269
B. K-8 / 0 - 400,HUNTERDON,910,CLINTON-GLEN GARDNER,0.305,0.283,0.299
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,0.259,0.259,0.280
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,0.242,0.225,0.313
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,0.275,0.320,0.377
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,0.238,0.237,0.252
B. K-8 / 0 - 400,HUNTERDON,2450,KINGWOOD TWP,0.292,0.304,0.345
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,0.234,0.238,0.285
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,0.257,0.289,0.319
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,0.325,0.350,0.360
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,0.234,0.192,0.304
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,0.190,0.205,0.239
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,0.210,0.223,0.288
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,0.351,0.353,0.402
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,0.222,0.222,0.354
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,0.332,0.295,0.295
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,0.258,0.275,0.294
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,0.329,0.288,0.322
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,0.249,0.242,0.288
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,0.212,0.246,0.263
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,0.257,0.259,0.292
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,0.316,0.324,0.333
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,0.291,0.271,0.294
B. K-8 / 0 - 400,SALEM,60,ALLOWAY TWP,0.299,0.316,0.329
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,0.197,0.219,0.241
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,0.314,0.283,0.338
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,0.399,0.391,0.437
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,0.250,0.272,0.280
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,0.250,0.235,0.288
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,0.320,0.312,0.317
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,0.282,0.274,0.355
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,0.245,0.262,0.281
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,0.234,0.271,0.305
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,0.268,0.269,0.290
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,0.253,0.240,0.283
B. K-8 / 0 - 400,UNION,1710,GARWOOD BORO,0.261,0.285,0.284
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,0.215,0.212,0.219
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,0.310,0.307,0.381
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,0.300,0.317,0.364
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,0.289,0.284,0.346
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,0.229,0.235,0.266
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,0.293,0.321,0.395
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,0.414,0.355,0.409
C. K-8 / 401 - 750,,,1. State average - Operating Type K-8,0.290,0.296,0.329
C. K-8 / 401 - 750,,,2. State median - Operating Type K-8,0.284,0.286,0.320
C. K-8 / 401 - 750,,,5. State average - All operating types,0.293,0.291,0.316
C. K-8 / 401 - 750,,,6. State median - All operating types,0.278,0.277,0.306
C. K-8 / 401 - 750,ATLANTIC,570,BRIGANTINE CITY,0.300,0.311,0.365
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,0.317,0.330,0.384
C. K-8 / 401 - 750,ATLANTIC,1540,FOLSOM BORO,0.259,0.253,0.351
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,0.286,0.264,0.309
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,0.274,0.272,0.314
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,0.276,0.285,0.364
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,0.266,0.282,0.365
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,0.284,0.276,0.328
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,0.252,0.280,0.304
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,0.236,0.236,0.288
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,0.258,0.269,0.301
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,0.258,0.270,0.306
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,0.266,0.277,0.335
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,0.257,0.263,0.300
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,0.293,0.329,0.328
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,0.306,0.311,0.336
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,0.257,0.249,0.303
C. K-8 / 401 - 750,BURLINGTON,4930,SOUTHAMPTON TWP,0.273,0.293,0.311
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,0.290,0.308,0.343
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,0.294,0.279,0.298
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,0.365,0.345,0.377
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,0.321,0.268,0.453
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,0.330,0.367,0.398
C. K-8 / 401 - 750,CAMDEN,5900,WOODLYNNE BORO,0.386,0.362,0.469
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,0.262,0.279,0.302
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,0.400,0.413,0.455
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,0.261,0.289,0.301
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,0.249,0.270,0.282
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,0.287,0.292,0.301
C. K-8 / 401 - 750,CUMBERLAND,3050,MAURICE RIVER TWP,0.291,0.314,0.377
C. K-8 / 401 - 750,GLOUCESTER,1830,GREENWICH TWP,0.343,0.337,0.460
C. K-8 / 401 - 750,HUNTERDON,20,ALEXANDRIA TWP,0.257,0.225,0.265
C. K-8 / 401 - 750,HUNTERDON,370,BETHLEHEM TWP,0.280,0.248,0.237
C. K-8 / 401 - 750,HUNTERDON,1040,DELAWARE TWP,0.306,0.311,0.349
C. K-8 / 401 - 750,HUNTERDON,1160,EAST AMWELL TWP,0.249,0.256,0.276
C. K-8 / 401 - 750,HUNTERDON,2220,HOLLAND TWP,0.393,0.377,0.429
C. K-8 / 401 - 750,HUNTERDON,2600,LEBANON TWP,0.407,0.394,0.379
C. K-8 / 401 - 750,HUNTERDON,5180,TEWKSBURY TWP,0.298,0.260,0.294
C. K-8 / 401 - 750,HUNTERDON,5270,UNION TWP,0.301,0.292,0.326
C. K-8 / 401 - 750,MIDDLESEX,970,CRANBURY TWP,0.314,0.302,0.336
C. K-8 / 401 - 750,MIDDLESEX,2370,JAMESBURG BORO,0.303,0.343,0.354
C. K-8 / 401 - 750,MIDDLESEX,3220,MILLTOWN BORO,0.285,0.300,0.311
C. K-8 / 401 - 750,MONMOUTH,270,BELMAR BORO,0.337,0.325,0.400
C. K-8 / 401 - 750,MONMOUTH,560,BRIELLE BORO,0.283,0.286,0.293
C. K-8 / 401 - 750,MONMOUTH,3830,OCEANPORT BORO,0.328,0.300,0.371
C. K-8 / 401 - 750,MONMOUTH,4770,SHREWSBURY BORO,0.325,0.299,0.343
C. K-8 / 401 - 750,MONMOUTH,5230,UNION BEACH,0.304,0.286,0.357
C. K-8 / 401 - 750,MONMOUTH,5640,WEST LONG BRANCH BORO,0.338,0.318,0.350
C. K-8 / 401 - 750,MORRIS,460,BOONTON TWP,0.283,0.296,0.309
C. K-8 / 401 - 750,MORRIS,3090,MENDHAM BORO,0.251,0.257,0.319
C. K-8 / 401 - 750,MORRIS,3100,MENDHAM TWP,0.319,0.331,0.365
C. K-8 / 401 - 750,MORRIS,3380,MORRIS PLAINS BORO,0.311,0.276,0.312
C. K-8 / 401 - 750,MORRIS,4480,ROCKAWAY BORO,0.284,0.283,0.301
C. K-8 / 401 - 750,OCEAN,2500,LAKEHURST BORO,0.400,0.351,0.411
C. K-8 / 401 - 750,PASSAIC,420,BLOOMINGDALE BORO,0.342,0.311,0.370
C. K-8 / 401 - 750,PASSAIC,3640,NORTH HALEDON BORO,0.295,0.279,0.297
C. K-8 / 401 - 750,SOMERSET,240,BEDMINSTER TWP,0.263,0.230,0.329
C. K-8 / 401 - 750,SOMERSET,4850,SOUTH BOUND BROOK,0.254,0.250,0.312
C. K-8 / 401 - 750,SOMERSET,5540,WATCHUNG BORO,0.348,0.330,0.366
C. K-8 / 401 - 750,SUSSEX,90,ANDOVER REG,0.265,0.227,0.299
C. K-8 / 401 - 750,SUSSEX,1560,FRANKFORD TWP,0.275,0.275,0.310
C. K-8 / 401 - 750,SUSSEX,1570,FRANKLIN BORO,0.301,0.320,0.366
C. K-8 / 401 - 750,SUSSEX,1800,GREEN TWP,0.245,0.249,0.282
C. K-8 / 401 - 750,WARREN,30,ALLAMUCHY TWP,0.328,0.295,0.298
D. K-8 / 751 +,,,1. State average - Operating Type K-8,0.290,0.296,0.329
D. K-8 / 751 +,,,2. State median - Operating Type K-8,0.284,0.286,0.320
D. K-8 / 751 +,,,5. State average - All operating types,0.293,0.291,0.316
D. K-8 / 751 +,,,6. State median - All operating types,0.278,0.277,0.306
D. K-8 / 751 +,ATLANTIC,10,ABSECON CITY,0.335,0.322,0.346
D. K-8 / 751 +,ATLANTIC,1690,GALLOWAY TWP,0.373,0.366,0.400
D. K-8 / 751 +,ATLANTIC,1940,HAMILTON TWP,0.295,0.322,0.367
D. K-8 / 751 +,ATLANTIC,2680,LINWOOD CITY,0.282,0.299,0.336
D. K-8 / 751 +,ATLANTIC,3720,NORTHFIELD CITY,0.347,0.341,0.371
D. K-8 / 751 +,ATLANTIC,4800,SOMERS POINT CITY,0.315,0.332,0.359
D. K-8 / 751 +,ATLANTIC,5350,VENTNOR CITY,0.321,0.347,0.333
D. K-8 / 751 +,BERGEN,40,ALLENDALE BORO,0.237,0.258,0.284
D. K-8 / 751 +,BERGEN,930,CLOSTER BORO,0.212,0.224,0.255
D. K-8 / 751 +,BERGEN,1230,EAST RUTHERFORD BORO,0.253,0.242,0.260
D. K-8 / 751 +,BERGEN,1470,FAIRVIEW BORO,0.242,0.243,0.274
D. K-8 / 751 +,BERGEN,1580,FRANKLIN LAKES BORO,0.256,0.254,0.305
D. K-8 / 751 +,BERGEN,2180,HILLSDALE BORO,0.223,0.221,0.270
D. K-8 / 751 +,BERGEN,2710,LITTLE FERRY BORO,0.198,0.281,0.235
D. K-8 / 751 +,BERGEN,3060,MAYWOOD BORO,0.216,0.224,0.254
D. K-8 / 751 +,BERGEN,3330,MONTVALE BORO,0.274,0.273,0.310
D. K-8 / 751 +,BERGEN,3760,OAKLAND BORO,0.345,0.338,0.365
D. K-8 / 751 +,BERGEN,3850,OLD TAPPAN BORO,0.248,0.245,0.374
D. K-8 / 751 +,BERGEN,4430,RIVER VALE TWP,0.257,0.251,0.279
D. K-8 / 751 +,BERGEN,5330,UPPER SADDLE RIVER BORO,0.294,0.303,0.350
D. K-8 / 751 +,BERGEN,5880,WOODCLIFF LAKE BORO,0.255,0.242,0.332
D. K-8 / 751 +,BERGEN,5920,WYCKOFF TWP,0.226,0.235,0.276
D. K-8 / 751 +,BURLINGTON,1280,EDGEWATER PARK TWP,0.351,0.346,0.389
D. K-8 / 751 +,BURLINGTON,1420,EVESHAM TWP,0.295,0.313,0.324
D. K-8 / 751 +,BURLINGTON,2850,LUMBERTON TWP,0.279,0.268,0.326
D. K-8 / 751 +,BURLINGTON,3080,MEDFORD TWP,0.293,0.311,0.371
D. K-8 / 751 +,BURLINGTON,3430,MOUNT HOLLY TWP,0.357,0.287,0.324
D. K-8 / 751 +,BURLINGTON,3440,MOUNT LAUREL TWP,0.244,0.259,0.302
D. K-8 / 751 +,BURLINGTON,4740,SHAMONG TWP,0.333,0.314,0.360
D. K-8 / 751 +,BURLINGTON,5130,TABERNACLE TWP,0.323,0.352,0.361
D. K-8 / 751 +,BURLINGTON,5720,WESTAMPTON,0.268,0.262,0.307
D. K-8 / 751 +,CAMDEN,260,BELLMAWR BORO,0.244,0.299,0.303
D. K-8 / 751 +,CAMDEN,330,BERLIN BORO,0.265,0.277,0.275
D. K-8 / 751 +,CAMDEN,1780,GLOUCESTER TWP,0.274,0.291,0.318
D. K-8 / 751 +,CAMDEN,4590,RUNNEMEDE BORO,0.336,0.329,0.371
D. K-8 / 751 +,CAMDEN,5080,STRATFORD BORO,0.265,0.262,0.274
D. K-8 / 751 +,CAMDEN,5400,VOORHEES TWP,0.266,0.280,0.321
D. K-8 / 751 +,CAPE MAY,5340,UPPER TWP,0.257,0.227,0.268
D. K-8 / 751 +,CUMBERLAND,5300,UPPER DEERFIELD TWP,0.289,0.292,0.300
D. K-8 / 751 +,GLOUCESTER,2750,LOGAN TWP,0.246,0.253,0.290
D. K-8 / 751 +,HUDSON,1850,GUTTENBERG TOWN,0.338,0.330,0.335
D. K-8 / 751 +,HUNTERDON,920,CLINTON TWP,0.324,0.303,0.299
D. K-8 / 751 +,HUNTERDON,1510,FLEMINGTON-RARITAN REG,0.296,0.321,0.301
D. K-8 / 751 +,HUNTERDON,4350,READINGTON TWP,0.272,0.269,0.295
D. K-8 / 751 +,MONMOUTH,945,COLTS NECK TWP,0.316,0.318,0.290
D. K-8 / 751 +,MONMOUTH,1260,EATONTOWN BORO,0.256,0.268,0.299
D. K-8 / 751 +,MONMOUTH,1440,FAIR HAVEN BORO,0.300,0.311,0.330
D. K-8 / 751 +,MONMOUTH,1640,FREEHOLD BORO,0.325,0.330,0.392
D. K-8 / 751 +,MONMOUTH,1660,FREEHOLD TWP,0.394,0.391,0.398
D. K-8 / 751 +,MONMOUTH,2290,HOWELL TWP,0.300,0.356,0.380
D. K-8 / 751 +,MONMOUTH,2720,LITTLE SILVER BORO,0.239,0.259,0.278
D. K-8 / 751 +,MONMOUTH,2920,MANALAPAN-ENGLISHTOWN REG,0.288,0.310,0.352
D. K-8 / 751 +,MONMOUTH,3030,MARLBORO TWP,0.279,0.291,0.321
D. K-8 / 751 +,MONMOUTH,3200,MILLSTONE TWP,0.323,0.334,0.374
D. K-8 / 751 +,MONMOUTH,4360,RED BANK BORO,0.360,0.342,0.411
D. K-8 / 751 +,MONMOUTH,4570,RUMSON BORO,0.330,0.324,0.333
D. K-8 / 751 +,MONMOUTH,5185,TINTON FALLS,0.238,0.286,0.328
D. K-8 / 751 +,MORRIS,820,CHESTER TWP,0.294,0.307,0.340
D. K-8 / 751 +,MORRIS,1090,DENVILLE TWP,0.307,0.300,0.349
D. K-8 / 751 +,MORRIS,1190,EAST HANOVER TWP,0.245,0.251,0.296
D. K-8 / 751 +,MORRIS,1530,FLORHAM PARK BORO,0.294,0.317,0.364
D. K-8 / 751 +,MORRIS,2000,HANOVER TWP,0.282,0.295,0.304
D. K-8 / 751 +,MORRIS,2650,LINCOLN PARK BORO,0.274,0.259,0.303
D. K-8 / 751 +,MORRIS,4000,LONG HILL TWP,0.261,0.273,0.300
D. K-8 / 751 +,MORRIS,4490,ROCKAWAY TWP,0.309,0.326,0.360
D. K-8 / 751 +,MORRIS,5520,WASHINGTON TWP,0.284,0.265,0.274
D. K-8 / 751 +,MORRIS,5770,WHARTON BORO,0.276,0.274,0.312
D. K-8 / 751 +,PASSAIC,1920,HALEDON BORO,0.256,0.269,0.288
D. K-8 / 751 +,PASSAIC,2700,LITTLE FALLS TWP,0.264,0.274,0.309
D. K-8 / 751 +,PASSAIC,4270,PROSPECT PARK BORO,0.253,0.249,0.279
D. K-8 / 751 +,PASSAIC,4400,RINGWOOD BORO,0.289,0.295,0.320
D. K-8 / 751 +,PASSAIC,5200,TOTOWA BORO,0.281,0.285,0.259
D. K-8 / 751 +,PASSAIC,5440,WANAQUE BORO,0.225,0.250,0.280
D. K-8 / 751 +,PASSAIC,5690,WOODLAND PARK,0.269,0.265,0.291
D. K-8 / 751 +,SOMERSET,510,BRANCHBURG TWP,0.291,0.310,0.334
D. K-8 / 751 +,SOMERSET,1810,GREEN BROOK TWP,0.300,0.303,0.358
D. K-8 / 751 +,SOMERSET,5470,WARREN TWP,0.261,0.242,0.295
D. K-8 / 751 +,SUSSEX,640,BYRAM TWP,0.274,0.261,0.287
D. K-8 / 751 +,SUSSEX,2030,HARDYSTON TWP,0.299,0.285,0.318
D. K-8 / 751 +,SUSSEX,5100,SUSSEX-WANTAGE REGIONAL,0.354,0.309,0.349
D. K-8 / 751 +,UNION,3470,MOUNTAINSIDE BORO,0.284,0.280,0.348
D. K-8 / 751 +,WARREN,1785,GREAT MEADOWS REGIONAL,0.288,0.301,0.332
D. K-8 / 751 +,WARREN,1840,GREENWICH TWP,0.366,0.315,0.401
D. K-8 / 751 +,WARREN,2790,LOPATCONG TWP,0.289,0.305,0.312
E. K-12 / 0 - 1800,,,1. State average - Operating Type K-12,0.294,0.291,0.313
E. K-12 / 0 - 1800,,,2. State median - Operating Type K-12,0.280,0.277,0.305
E. K-12 / 0 - 1800,,,5. State average - All operating types,0.293,0.291,0.316
E. K-12 / 0 - 1800,,,6. State median - All operating types,0.278,0.277,0.306
E. K-12 / 0 - 1800,BERGEN,440,BOGOTA BORO,0.238,0.237,0.260
E. K-12 / 0 - 1800,BERGEN,990,CRESSKILL BORO,0.235,0.231,0.245
E. K-12 / 0 - 1800,BERGEN,1360,EMERSON BORO,0.218,0.209,0.261
E. K-12 / 0 - 1800,BERGEN,3170,MIDLAND PARK BORO,0.248,0.263,0.306
E. K-12 / 0 - 1800,BERGEN,3600,NORTH ARLINGTON BORO,0.246,0.235,0.237
E. K-12 / 0 - 1800,BERGEN,3910,PALISADES PARK,0.263,0.262,0.285
E. K-12 / 0 - 1800,BERGEN,3940,PARK RIDGE BORO,0.230,0.229,0.289
E. K-12 / 0 - 1800,BERGEN,4370,RIDGEFIELD BORO,0.263,0.267,0.276
E. K-12 / 0 - 1800,BERGEN,4610,SADDLE BROOK TWP,0.271,0.270,0.272
E. K-12 / 0 - 1800,BERGEN,5410,WALDWICK BORO,0.265,0.287,0.309
E. K-12 / 0 - 1800,BERGEN,5430,WALLINGTON BORO,0.247,0.260,0.288
E. K-12 / 0 - 1800,BERGEN,5830,WOOD-RIDGE BORO,0.242,0.247,0.290
