GROUP,CONAME,DIST,DISTNAME,PP115,PP215,PP315
A. K-6,,,1. State average - Operating Type K-6,114,109,118
A. K-6,,,2. State median - Operating Type K-6,44,63,120
A. K-6,,,5. State average - All operating types,88,109,82
A. K-6,,,6. State median - All operating types,62,82,66
A. K-6,BERGEN,1270,EDGEWATER BORO,0,145,0
A. K-6,BERGEN,3870,ORADELL BORO,14,7,0
A. K-6,BERGEN,4410,RIVER EDGE BORO,0,24,0
A. K-6,BERGEN,4620,SADDLE RIVER BORO,0,18,561
A. K-6,BURLINGTON,200,BASS RIVER TWP,12,0,0
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,12,0,0
A. K-6,BURLINGTON,2960,MANSFIELD TWP,44,92,0
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,301,379,231
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,13,0,11
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,0,0,0
A. K-6,CAMDEN,5560,WATERFORD TWP,26,40,0
A. K-6,CAPE MAY,710,CAPE MAY CITY,247,475,203
A. K-6,CAPE MAY,2840,LOWER TWP,81,29,105
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,0,1090,667
A. K-6,ESSEX,1400,ESSEX FELLS BORO,0,0,0
A. K-6,ESSEX,1465,FAIRFIELD TWP,0,61,10
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,86,79,26
A. K-6,ESSEX,4530,ROSELAND BORO,142,15,0
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,30,33,12
A. K-6,GLOUCESTER,1330,ELK TWP,62,186,123
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,15,108,123
A. K-6,GLOUCESTER,2070,HARRISON TWP,95,34,0
A. K-6,GLOUCESTER,2990,MANTUA TWP,143,83,0
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,0,0,162
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,55,80,251
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,0,1,4
A. K-6,GLOUCESTER,5590,WENONAH BORO,12,9,0
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,0,0,0
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,10,0,74
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,26,273,220
A. K-6,HUNTERDON,2590,LEBANON BORO,0,0,0
A. K-6,HUNTERDON,5050,STOCKTON BORO,0,0,0
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,0,15,16
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,265,151,91
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,0,0,0
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,0,0,0
A. K-6,MORRIS,3240,MINE HILL TWP,0,32,20
A. K-6,OCEAN,230,BEACH HAVEN BORO,165,0,0
A. K-6,OCEAN,320,BERKELEY TWP,258,226,330
A. K-6,OCEAN,1150,EAGLESWOOD TWP,0,0,0
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,0,22,0
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,25,92,3
A. K-6,OCEAN,2760,LONG BEACH ISLAND,79,131,0
A. K-6,OCEAN,3800,OCEAN GATE BORO,0,55,0
A. K-6,OCEAN,3820,OCEAN TWP,0,65,75
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,0,0,250
A. K-6,OCEAN,5020,STAFFORD TWP,351,237,120
A. K-6,OCEAN,5220,TUCKERTON BORO,0,235,0
A. K-6,SUSSEX,1630,FREDON TWP,39,399,131
A. K-6,SUSSEX,1980,HAMPTON TWP,30,0,0
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,0,32,292
A. K-6,SUSSEX,5040,STILLWATER TWP,50,17,0
A. K-6,WARREN,400,BLAIRSTOWN TWP,4,0,0
A. K-6,WARREN,1620,FRANKLIN TWP,0,20,0
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,0,0,0
A. K-6,WARREN,2470,KNOWLTON TWP,5,18,28
