GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31,ABBOTT
B. K-8 / 0 - 400,,,1. State average - Operating Type K-8,12696,,13356,,14159,,,,,
B. K-8 / 0 - 400,,,2. State median - Operating Type K-8,12874,,13637,,14532,,,,,
B. K-8 / 0 - 400,,,5. State average - All operating types,13733,,14166,,14781,,,,,
B. K-8 / 0 - 400,,,6. State median - All operating types,13198,,13714,,14080,,,,,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,12514,19,13638,28,14452,27,196,196,191,
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,15562,50,15244,42,10658,4,119,117,173,
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,12772,24,14151,33,14515,28,209,203,201,
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,24314,69,25614,67,27264,70,145,146,144,
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,18108,63,28231,68,19815,60,282,277,283,
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,15930,53,17044,53,17847,56,253,248,253,
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,13524,33,12886,18,13736,18,295,308,324,
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,11584,9,12472,16,14767,32,394,386,392,
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,17207,60,17648,55,20538,63,175,188,161,
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,11918,12,12123,11,12458,12,283,284,291,
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,22688,68,24665,66,23206,67,45,37,41,
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,13667,35,13810,29,14102,24,152,158,161,
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,10290,3,10347,3,10287,3,341,366,400,
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,15196,49,19786,63,14648,30,248,194,276,
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,13364,30,15435,45,16354,46,261,265,301,
B. K-8 / 0 - 400,CAMDEN,2890,MAGNOLIA BORO,12485,17,13465,26,15470,41,439,430,424,
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,12372,15,12928,19,13854,20,353,373,361,
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,40412,71,43440,70,44099,71,66,60,67,
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,18804,64,18863,62,21063,64,308,313,315,
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,29590,70,28588,69,26504,69,73,,87,
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,19459,65,19807,64,21163,65,249,243,261,
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,14920,48,14308,35,14048,22,220,236,228,
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,10968,7,11776,7,11868,9,357,349,346,
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,13229,28,13562,27,15387,37,181,182,189,
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,14368,43,14745,39,15616,42,78,74,78,
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,11965,14,12399,15,13721,17,117,117,114,
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,9034,1,9665,1,9980,1,238,254,259,
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,12668,21,14653,38,15430,38,153,149,157,
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,14393,44,15173,41,17095,51,144,146,128,
B. K-8 / 0 - 400,HUNTERDON,910,CLINTON-GLEN GARDNER,13131,27,14406,36,14861,33,492,477,466,
