GROUP,CONAME,DIST,DISTNAME,FARAT0019,RK0019,FARAT0119,RK0119
A. K-6,,,K-6 Average,15.8,,15,
A. K-6,BERGEN,1270,EDGEWATER BORO,20,10,15,31
A. K-6,BERGEN,3870,ORADELL BORO,11.5,42,17.2,15
A. K-6,BERGEN,4410,RIVER EDGE BORO,14.3,34,12.7,37
A. K-6,BERGEN,4620,SADDLE RIVER BORO,7.8,51,8,53
A. K-6,BURLINGTON,200,BASS RIVER TWP,15.8,29,15.8,28
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,12.7,39,14.1,33
A. K-6,BURLINGTON,2960,MANSFIELD TWP,15.7,30,16.5,22
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,17.6,17,16.1,25
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,14.3,34,11.8,41
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,11.3,43,8.4,52
A. K-6,CAMDEN,5560,WATERFORD TWP,15.6,31,16.3,23
A. K-6,CAPE MAY,710,CAPE MAY CITY,6.5,54,6.3,55
A. K-6,CAPE MAY,2840,LOWER TWP,23.8,5,18,12
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,4.4,55,4.2,57
A. K-6,ESSEX,1400,ESSEX FELLS BORO,14.9,32,15.9,27
A. K-6,ESSEX,1465,FAIRFIELD TWP,15.9,26,12.5,39
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,19.3,12,19.3,6
A. K-6,ESSEX,4530,ROSELAND BORO,14,37,11.9,40
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,12.8,38,13.8,34
A. K-6,GLOUCESTER,1330,ELK TWP,38.6,1,18.5,7
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,17.9,16,18.3,9
A. K-6,GLOUCESTER,2070,HARRISON TWP,17.2,23,17.1,16
A. K-6,GLOUCESTER,2990,MANTUA TWP,19.8,11,,
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,15.9,26,15.3,29
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,10.7,45,11.4,43
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,22.1,7,19.4,5
A. K-6,GLOUCESTER,5590,WENONAH BORO,23.2,6,16.9,18
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,18.6,13,16.9,18
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,17.6,17,18.1,11
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,10.5,47,12.7,37
A. K-6,HUNTERDON,2590,LEBANON BORO,11,44,21,3
A. K-6,HUNTERDON,5050,STOCKTON BORO,,,4.9,56
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,8,50,10.3,45
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,26,4,15.3,29
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,12.7,39,13.3,35
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,3.1,56,4,58
A. K-6,MORRIS,3240,MINE HILL TWP,33,3,16.6,20
A. K-6,OCEAN,230,BEACH HAVEN BORO,34,2,12.9,36
A. K-6,OCEAN,320,BERKELEY TWP,17.4,20,17.9,13
A. K-6,OCEAN,1150,EAGLESWOOD TWP,7.3,53,7.7,54
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,7.7,52,9.1,50
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,17.3,22,16.6,20
A. K-6,OCEAN,2760,LONG BEACH ISLAND,20.4,9,33.9,1
A. K-6,OCEAN,3800,OCEAN GATE BORO,,,9.6,49
A. K-6,OCEAN,3820,OCEAN TWP,17,24,17.5,14
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,,,23.8,2
A. K-6,OCEAN,5020,STAFFORD TWP,18.4,14,19.8,4
A. K-6,OCEAN,5220,TUCKERTON BORO,17.5,19,17.1,16
A. K-6,SUSSEX,1630,FREDON TWP,16,25,10,47
A. K-6,SUSSEX,1980,HAMPTON TWP,20.7,8,11.5,42
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,17.4,20,18.3,9
A. K-6,SUSSEX,5040,STILLWATER TWP,9.9,48,9.8,48
A. K-6,WARREN,400,BLAIRSTOWN TWP,11.8,41,11,44
A. K-6,WARREN,1620,FRANKLIN TWP,14.2,36,10.3,45
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,8.6,49,8.7,51
A. K-6,WARREN,2470,KNOWLTON TWP,10.7,45,16,26
A. K-6,WARREN,2970,MANSFIELD TWP,15.9,26,16.2,24
A. K-6,WARREN,5480,WASHINGTON BORO,18.2,15,18.4,8
A. K-6,WARREN,5530,WASHINGTON TWP,14.8,33,14.9,32
B. K-8 / 0 - 400,,,K-8 Average,16.2,,15.8,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,8.1,54,8.5,53
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,17,4,,
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,11.8,29,8.2,55
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,6.4,59,6.7,60
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,11.4,33,9.5,50
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,12.4,28,9.1,52
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,5.8,62,5.5,66
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,14,17,18.5,10
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,15.5,12,15.2,20
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,14.2,16,13.7,24
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,,,,
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,7.4,57,5.9,64
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,,,12.9,27
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,16.9,5,17.3,13
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,5.8,62,4.5,68
B. K-8 / 0 - 400,CAMDEN,2890,MAGNOLIA BORO,13.6,20,13.9,23
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,24.8,1,25,2
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,5.2,64,7.7,56
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,13.6,20,12.7,28
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,,,3.9,69
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,9.3,48,9.6,49
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,6,61,5.8,65
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,16.8,6,10.3,42
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,15.2,13,19.4,8
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,15.8,9,10,44
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,11.5,32,19.9,7
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,7.5,56,9.5,50
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,,,6.8,58
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,13.4,22,6.8,58
