GROUP,CONAME,DIST,DISTNAME,EX121,EX221
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,0,0
B. K-8 / 0 - 400,HUNTERDON,910,CLINTON-GLEN GARDNER,0,0
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,62167,58051
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,0,0
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,0,0
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,60082,0
B. K-8 / 0 - 400,HUNTERDON,2450,KINGWOOD TWP,104184,106211
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,3473,0
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,339457,438535
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,301090,255410
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,0,0
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,47636,56187
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,292527,274904
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,489232,360075
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,24143,0
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,909589,708848
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,117581,127409
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,174890,233004
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,273995,343683
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,217266,0
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,242682,252163
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,172349,0
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,0,115925
B. K-8 / 0 - 400,SALEM,60,ALLOWAY TWP,154324,59164
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,130307,50315
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,340854,427703
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,106078,0
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,66723,77742
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,263184,305643
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,165076,164137
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,311827,450646
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,0,39723
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,0,0
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,0,0
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,170132,166606
B. K-8 / 0 - 400,UNION,1710,GARWOOD BORO,0,0
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,0,11246
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,134507,361102
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,112206,158842
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,68463,110804
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,0,0
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,274540,553538
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,251975,321334
C. K-8 / 401 - 750,ATLANTIC,570,BRIGANTINE CITY,1110504,1192607
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,479354,380736
C. K-8 / 401 - 750,ATLANTIC,1540,FOLSOM BORO,935674,1017094
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,704354,687132
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,552744,560001
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,70724,205408
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,1742265,1631848
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,15582,0
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,0,450474
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,0,0
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,355479,603201
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,781834,670000
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,40000,40000
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,40295,0
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,0,33597
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,143950,181199
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,143291,200509
C. K-8 / 401 - 750,BURLINGTON,4930,SOUTHAMPTON TWP,271257,59770
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,0,0
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,623382,780314
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,554626,0
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,281317,653157
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,94605,153449
C. K-8 / 401 - 750,CAMDEN,5900,WOODLYNNE BORO,371344,270579
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,20244,0
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,88309,584774
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,0,0
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,458126,141454
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,431716,228193
C. K-8 / 401 - 750,CUMBERLAND,3050,MAURICE RIVER TWP,32978,0
C. K-8 / 401 - 750,GLOUCESTER,1830,GREENWICH TWP,1015010,684873
C. K-8 / 401 - 750,HUNTERDON,20,ALEXANDRIA TWP,27136,30467
C. K-8 / 401 - 750,HUNTERDON,370,BETHLEHEM TWP,350035,350035
C. K-8 / 401 - 750,HUNTERDON,1040,DELAWARE TWP,0,248398
C. K-8 / 401 - 750,HUNTERDON,1160,EAST AMWELL TWP,107894,100729
C. K-8 / 401 - 750,HUNTERDON,2220,HOLLAND TWP,100816,109292
C. K-8 / 401 - 750,HUNTERDON,2600,LEBANON TWP,940129,1212316
C. K-8 / 401 - 750,HUNTERDON,5180,TEWKSBURY TWP,88612,300000
C. K-8 / 401 - 750,HUNTERDON,5270,UNION TWP,0,0
C. K-8 / 401 - 750,MIDDLESEX,970,CRANBURY TWP,0,0
C. K-8 / 401 - 750,MIDDLESEX,2370,JAMESBURG BORO,0,38328
C. K-8 / 401 - 750,MIDDLESEX,3220,MILLTOWN BORO,539170,418196
C. K-8 / 401 - 750,MONMOUTH,270,BELMAR BORO,0,32650
C. K-8 / 401 - 750,MONMOUTH,560,BRIELLE BORO,0,0
C. K-8 / 401 - 750,MONMOUTH,3830,OCEANPORT BORO,0,208963
C. K-8 / 401 - 750,MONMOUTH,4770,SHREWSBURY BORO,0,107927
C. K-8 / 401 - 750,MONMOUTH,5230,UNION BEACH,449716,0
C. K-8 / 401 - 750,MONMOUTH,5640,WEST LONG BRANCH BORO,928415,897684
C. K-8 / 401 - 750,MORRIS,460,BOONTON TWP,103384,142563
C. K-8 / 401 - 750,MORRIS,3090,MENDHAM BORO,365590,0
C. K-8 / 401 - 750,MORRIS,3100,MENDHAM TWP,500866,747137
C. K-8 / 401 - 750,MORRIS,3380,MORRIS PLAINS BORO,144243,265013
C. K-8 / 401 - 750,MORRIS,4480,ROCKAWAY BORO,119877,119000
C. K-8 / 401 - 750,OCEAN,2500,LAKEHURST BORO,32583,0
C. K-8 / 401 - 750,PASSAIC,420,BLOOMINGDALE BORO,0,0
C. K-8 / 401 - 750,PASSAIC,3640,NORTH HALEDON BORO,79344,247928
C. K-8 / 401 - 750,SOMERSET,240,BEDMINSTER TWP,0,0
C. K-8 / 401 - 750,SOMERSET,4850,SOUTH BOUND BROOK,0,249366
C. K-8 / 401 - 750,SOMERSET,5540,WATCHUNG BORO,462382,374941
C. K-8 / 401 - 750,SUSSEX,90,ANDOVER REG,0,0
C. K-8 / 401 - 750,SUSSEX,1560,FRANKFORD TWP,150000,150000
C. K-8 / 401 - 750,SUSSEX,1570,FRANKLIN BORO,339401,342585
C. K-8 / 401 - 750,SUSSEX,1800,GREEN TWP,227695,0
C. K-8 / 401 - 750,WARREN,30,ALLAMUCHY TWP,0,74050
D. K-8 / 751 +,ATLANTIC,10,ABSECON CITY,65935,199745
D. K-8 / 751 +,ATLANTIC,1690,GALLOWAY TWP,2770192,2799822
D. K-8 / 751 +,ATLANTIC,1940,HAMILTON TWP,1603230,1574496
D. K-8 / 751 +,ATLANTIC,2680,LINWOOD CITY,585270,527467
D. K-8 / 751 +,ATLANTIC,3720,NORTHFIELD CITY,455025,417410
D. K-8 / 751 +,ATLANTIC,4800,SOMERS POINT CITY,600094,605037
D. K-8 / 751 +,ATLANTIC,5350,VENTNOR CITY,820586,416186
D. K-8 / 751 +,BERGEN,40,ALLENDALE BORO,986020,1065123
D. K-8 / 751 +,BERGEN,930,CLOSTER BORO,300000,326437
D. K-8 / 751 +,BERGEN,1230,EAST RUTHERFORD BORO,0,223159
D. K-8 / 751 +,BERGEN,1470,FAIRVIEW BORO,0,184306
D. K-8 / 751 +,BERGEN,1580,FRANKLIN LAKES BORO,641513,496940
D. K-8 / 751 +,BERGEN,2180,HILLSDALE BORO,216234,560857
D. K-8 / 751 +,BERGEN,2710,LITTLE FERRY BORO,0,463568
D. K-8 / 751 +,BERGEN,3060,MAYWOOD BORO,832639,471363
D. K-8 / 751 +,BERGEN,3330,MONTVALE BORO,266589,278190
