CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
80,6612,2110829,1313491,1229871,64720,18900,349565,212917,829741,646939,107740,0,0,0,10000,210,Galloway Community CS,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,7410,4190933,2482480,2306700,114700,61080,719696,571870,801171,609381,1191374,0,0,0,0,350,chARTer~TECH HIGH SCHOOL,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,6013,7868761,5481587,4487187,670000,324400,1372597,864897,1736109,1366949,1373747,0,0,0,30000,880,Bergen Arts and Sciences CS,BERGEN,K. CHARTER,C,,,1,BERGEN
80,6430,3384335,2229885,2034385,114000,81500,667517,360474,862425,582725,428975,0,0,0,70000,192,Englewood on the Palisades CS,BERGEN,K. CHARTER,C,,,1,BERGEN
80,7890,4066147,2677214,2559214,60000,58000,462374,327374,495081,450081,957000,0,0,0,19000,306,Teaneck Community CS,BERGEN,K. CHARTER,C,,,1,BERGEN
80,6026,1164923,791789,698607,50182,43000,136045,106445,300335,271155,181006,0,0,0,0,144,Riverbank Charter School of Excellence,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,6044,1286304,779815,718115,34000,27700,96632,68787,368439,312399,246876,0,0,0,7000,160,Renaissance Regional Leadership CS,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,6076,1590350,1053117,879117,115000,59000,243885,178935,404707,283407,138100,0,0,0,20000,150,Benjamin Banneker Prep CS,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,6067,1618732,1058622,879522,110250,68850,276300,147800,355701,200701,265184,0,0,0,20000,179,Kingdom CS of Leadership,CAMDEM,K. CHARTER,C,,,1,CAMDEM
80,6024,2553376,1784990,1629990,120000,35000,332162,222162,414648,344648,595076,0,0,0,40000,240,Camden's Pride Charter School,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6063,2938384,860780,529851,167274,163655,203717,0,1110937,354402,986439,0,0,0,0,150,Camden Community Charter School,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6083,2566595,1941555,1528435,220000,193120,335470,256470,390892,286815,558678,0,0,0,2856,239,Knowledge A to Z Charter School,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6086,1035458,777471,655011,106860,15600,137649,101449,311573,181699,136254,0,0,0,0,132,Hope Community CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6088,3788780,2619086,2014086,310000,295000,650996,299496,941949,437574,351750,0,0,0,0,373,City Invincible CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6212,5358526,3562605,3137605,170000,255000,662314,349043,786452,493952,1338755,0,0,0,350000,448,Camden Academy Charter HS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6215,6488918,4508748,4178748,190000,140000,534770,124960,908542,591042,1092148,0,0,0,0,459,Camden's Promise CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6232,2822911,2045888,1720488,156600,168800,516527,269227,621031,490131,341603,0,0,0,15000,227,Environment Community CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
