GROUP,CONAME,DIST,DISTNAME,PP110,RK110,PCT110,PP210,RK210,PCT210,PP310,RK310,PCT310
A. K-6,,,1. State average - Operating Type K-6,1381,,,1418,,,1552,,
A. K-6,,,2. State median - Operating Type K-6,1357,,,1378,,,1554,,
A. K-6,,,5. State average - All operating types,1643,,,1692,,,1799,,
A. K-6,,,6. State median - All operating types,1503,,,1538,,,1642,,
A. K-6,BERGEN,1270,EDGEWATER BORO,900,4,0.089,1193,18,0.122,1510,26,0.134
A. K-6,BERGEN,3870,ORADELL BORO,1140,16,0.095,1147,10,0.092,1414,21,0.111
A. K-6,BERGEN,4410,RIVER EDGE BORO,1080,10,0.092,1034,8,0.086,1081,4,0.084
A. K-6,BERGEN,4620,SADDLE RIVER BORO,1534,38,0.070,1783,46,0.082,2464,54,0.096
A. K-6,BURLINGTON,200,BASS RIVER TWP,1766,47,0.121,1887,50,0.115,1835,43,0.115
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,1660,42,0.147,1513,37,0.141,1460,22,0.138
A. K-6,BURLINGTON,2960,MANSFIELD TWP,1132,13,0.102,1245,22,0.105,1279,14,0.098
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,1919,49,0.125,1801,47,0.117,2109,49,0.130
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,1471,35,0.109,1620,41,0.105,2066,48,0.125
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,1243,24,0.107,1296,26,0.105,1499,25,0.109
A. K-6,CAMDEN,5560,WATERFORD TWP,1897,48,0.147,1435,33,0.120,1594,32,0.114
A. K-6,CAPE MAY,710,CAPE MAY CITY,2734,58,0.128,3000,57,0.126,2861,57,0.134
A. K-6,CAPE MAY,2840,LOWER TWP,1497,36,0.117,1532,38,0.113,1714,38,0.126
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,2559,57,0.161,1819,48,0.119,1770,41,0.113
A. K-6,ESSEX,1400,ESSEX FELLS BORO,1999,52,0.111,1966,51,0.106,1772,42,0.100
A. K-6,ESSEX,1465,FAIRFIELD TWP,1700,43,0.124,1366,28,0.097,1334,17,0.093
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,1540,39,0.107,1745,44,0.122,1990,47,0.126
A. K-6,ESSEX,4530,ROSELAND BORO,1212,20,0.093,1243,21,0.091,1374,20,0.098
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,1029,8,0.110,950,4,0.102,1163,6,0.116
A. K-6,GLOUCESTER,1330,ELK TWP,1152,17,0.106,1147,10,0.094,1236,9,0.096
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,1333,29,0.125,1448,34,0.129,1668,36,0.136
A. K-6,GLOUCESTER,2070,HARRISON TWP,1229,22,0.122,1167,13,0.110,1290,16,0.115
A. K-6,GLOUCESTER,2990,MANTUA TWP,1292,27,0.108,1378,30,0.111,1514,27,0.111
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,1357,30,0.104,1287,24,0.093,1763,40,0.112
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,1133,14,0.133,1248,23,0.121,1482,24,0.133
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,1126,12,0.119,1174,16,0.117,1283,15,0.119
A. K-6,GLOUCESTER,5590,WENONAH BORO,888,2,0.082,1075,9,0.093,1068,3,0.092
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,961,6,0.076,896,3,0.069,1236,9,0.088
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,899,3,0.073,820,2,0.064,1182,7,0.082
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,1223,21,0.089,1182,17,0.089,1197,8,0.080
A. K-6,HUNTERDON,2590,LEBANON BORO,1953,51,0.085,2347,54,0.093,2599,56,0.134
A. K-6,HUNTERDON,5050,STOCKTON BORO,2027,53,0.138,1169,14,0.086,1342,18,0.105
