GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
A. K-6,,,1. State average - Operating Type K-6,40,,,40,,,36,,
A. K-6,,,2. State median - Operating Type K-6,33,,,23,,,37,,
A. K-6,,,5. State average - All operating types,38,,,40,,,38,,
A. K-6,,,6. State median - All operating types,33,,,32,,,34,,
A. K-6,BERGEN,1270,EDGEWATER BORO,49,35,0.005,62,45,0.006,77,51,0.007
A. K-6,BERGEN,3870,ORADELL BORO,94,47,0.008,82,48,0.007,63,45,0.005
A. K-6,BERGEN,4410,RIVER EDGE BORO,20,19,0.002,13,13,0.001,25,21,0.002
A. K-6,BERGEN,4620,SADDLE RIVER BORO,160,53,0.007,183,54,0.008,28,25,0.001
A. K-6,BURLINGTON,200,BASS RIVER TWP,25,22,0.002,114,52,0.007,74,48,0.005
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,26,23,0.002,50,39,0.005,23,20,0.002
A. K-6,BURLINGTON,2960,MANSFIELD TWP,33,28,0.003,61,43,0.005,49,36,0.004
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,11,12,0.001,8,9,0.001,11,5,0.001
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,74,41,0.005,20,21,0.001,37,29,0.002
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,,,0.000,,,0.000,14,10,0.001
A. K-6,CAMDEN,5560,WATERFORD TWP,34,29,0.003,20,21,0.002,52,40,0.004
A. K-6,CAPE MAY,710,CAPE MAY CITY,26,23,0.001,23,27,0.001,29,27,0.001
A. K-6,CAPE MAY,2840,LOWER TWP,17,17,0.001,26,31,0.002,18,14,0.001
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,147,52,0.009,30,34,0.002,49,36,0.003
A. K-6,ESSEX,1400,ESSEX FELLS BORO,97,49,0.005,55,40,0.003,75,50,0.004
A. K-6,ESSEX,1465,FAIRFIELD TWP,71,40,0.005,72,46,0.005,69,47,0.005
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,45,31,0.003,13,13,0.001,51,38,0.003
A. K-6,ESSEX,4530,ROSELAND BORO,45,31,0.003,28,32,0.002,41,33,0.003
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,22,21,0.002,13,13,0.001,26,23,0.003
A. K-6,GLOUCESTER,1330,ELK TWP,19,18,0.002,56,41,0.005,16,13,0.001
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,79,43,0.007,49,38,0.004,29,27,0.002
A. K-6,GLOUCESTER,2070,HARRISON TWP,45,31,0.004,25,30,0.002,28,25,0.002
A. K-6,GLOUCESTER,2990,MANTUA TWP,15,15,0.001,18,20,0.001,12,7,0.001
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,3,3,0.000,7,5,0.000,8,2,0.001
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,74,41,0.009,7,5,0.001,56,43,0.005
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,7,6,0.001,7,5,0.001,7,1,0.001
A. K-6,GLOUCESTER,5590,WENONAH BORO,7,6,0.001,17,16,0.001,12,7,0.001
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,2,1,0.000,1,1,0.000,20,17,0.001
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,8,9,0.001,21,26,0.002,21,18,0.001
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,3,3,0.000,28,32,0.002,48,35,0.003
A. K-6,HUNTERDON,2590,LEBANON BORO,1065,55,0.046,2776,57,0.110,51,38,0.003
A. K-6,HUNTERDON,5050,STOCKTON BORO,,,0.000,20,21,0.001,82,52,0.006
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,61,38,0.004,84,49,0.006,106,57,0.007
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,95,48,0.007,58,42,0.004,82,52,0.006
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,80,44,0.005,23,27,0.001,53,42,0.003
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,6,5,0.000,61,43,0.003,52,40,0.003
A. K-6,MORRIS,3240,MINE HILL TWP,91,46,0.009,43,37,0.004,74,48,0.006
A. K-6,OCEAN,230,BEACH HAVEN BORO,122,51,0.006,160,53,0.007,88,56,0.004
A. K-6,OCEAN,320,BERKELEY TWP,35,30,0.003,17,16,0.001,37,29,0.003
A. K-6,OCEAN,1150,EAGLESWOOD TWP,2,1,0.000,17,16,0.001,37,29,0.002
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,82,45,0.005,107,51,0.007,86,55,0.006
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,28,25,0.002,20,21,0.002,25,21,0.002
A. K-6,OCEAN,2760,LONG BEACH ISLAND,294,54,0.014,213,56,0.010,158,58,0.007
A. K-6,OCEAN,3800,OCEAN GATE BORO,109,50,0.007,86,50,0.006,61,44,0.004
A. K-6,OCEAN,3820,OCEAN TWP,15,15,0.001,23,27,0.002,18,14,0.001
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,65,39,0.004,204,55,0.008,68,46,0.004
A. K-6,OCEAN,5020,STAFFORD TWP,56,36,0.005,77,47,0.006,84,54,0.006
A. K-6,OCEAN,5220,TUCKERTON BORO,20,19,0.002,17,16,0.001,26,23,0.002
A. K-6,SUSSEX,1630,FREDON TWP,30,26,0.002,11,12,0.001,39,32,0.003
A. K-6,SUSSEX,1980,HAMPTON TWP,10,11,0.001,10,11,0.001,11,5,0.001
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,59,37,0.004,38,36,0.002,13,9,0.001
A. K-6,SUSSEX,5040,STILLWATER TWP,32,27,0.002,34,35,0.002,44,34,0.003
