GROUP,CONAME,DIST,DISTNAME,PP113,RK113,PCT113,PP213,RK213,PCT213,PP313,RK313,PCT313
A. K-6,,,1. State average - Operating Type K-6,36,,,37,,,39,,
A. K-6,,,2. State median - Operating Type K-6,46,,,30,,,39,,
A. K-6,,,5. State average - All operating types,255,,,262,,,284,,
A. K-6,,,6. State median - All operating types,188,,,192,,,216,,
A. K-6,BERGEN,1270,EDGEWATER BORO,56,29,0.006,,,0.000,16,12,0.001
A. K-6,BERGEN,3870,ORADELL BORO,18,11,0.002,26,16,0.002,16,12,0.001
A. K-6,BERGEN,4410,RIVER EDGE BORO,,,0.000,,,0.000,,,0.000
A. K-6,BERGEN,4620,SADDLE RIVER BORO,171,39,0.008,200,40,0.009,,,0.000
A. K-6,BURLINGTON,200,BASS RIVER TWP,100,37,0.007,148,38,0.009,107,39,0.007
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,16,10,0.001,7,8,0.001,11,8,0.001
A. K-6,BURLINGTON,2960,MANSFIELD TWP,,,0.000,,,0.000,,,0.000
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,53,26,0.003,49,28,0.003,71,32,0.004
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,,,0.000,,,0.000,,,0.000
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,,,0.000,,,0.000,18,15,0.001
A. K-6,CAMDEN,5560,WATERFORD TWP,,,0.000,,,0.000,,,0.000
A. K-6,CAPE MAY,710,CAPE MAY CITY,138,38,0.006,240,41,0.010,341,43,0.016
A. K-6,CAPE MAY,2840,LOWER TWP,,,0.000,,,0.000,,,0.000
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,9,4,0.001,3,2,0.000,27,20,0.002
A. K-6,ESSEX,1400,ESSEX FELLS BORO,42,19,0.002,10,9,0.001,4,1,0.000
A. K-6,ESSEX,1465,FAIRFIELD TWP,,,0.000,,,0.000,,,0.000
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,,,0.000,,,0.000,,,0.000
A. K-6,ESSEX,4530,ROSELAND BORO,47,22,0.004,,,0.000,22,16,0.002
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,,,0.000,,,0.000,,,0.000
A. K-6,GLOUCESTER,1330,ELK TWP,11,6,0.001,14,12,0.001,14,9,0.001
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,11,6,0.001,14,12,0.001,15,11,0.001
A. K-6,GLOUCESTER,2070,HARRISON TWP,,,0.000,,,0.000,,,0.000
A. K-6,GLOUCESTER,2990,MANTUA TWP,24,14,0.002,26,16,0.002,39,22,0.003
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,22,13,0.002,25,15,0.002,36,21,0.002
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,,,0.000,,,0.000,4,1,0.000
