CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM
,,STATE AVERAGE - ALL OPERATING TYPES,,,18025,,,,18891,,,
,,STATE MEDIAN - ALL OPERATING TYPES,,,17269,,,,18031,,,
ATLANTIC,10,ABSECON CITY,13688601,938.6,14584,14,13409191,937.9,14297,6,"K. K-12|K-8,751+",KK-12K-8751plus
ATLANTIC,110,ATLANTIC CITY,174010107,6807.8,25560,103,183301283,7139,25676,103,"N. K-12|K-12,3500+",NK-12K-123500plus
ATLANTIC,120,ATLANTIC CO VOCATIONAL,16513149,1022,16157,4,18598352,1116.1,16663,5,Q. COUNTY VOC,QCOUNTYVOC
ATLANTIC,125,ATLANTIC CO SPECIAL SERV,23102814,438.4,52699,4,23881860,434,55032,4,P. CSSD,PCSSD
ATLANTIC,570,BRIGANTINE CITY,20546556,1024.7,20052,53,22761183,987.6,23046,62,"J. K-12|K-8,401-750",JK-12K-8401-750
ATLANTIC,590,BUENA REGIONAL,43852340,2420.8,18115,52,42980184,2247,19128,51,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
ATLANTIC,1300,EGG HARBOR CITY,10843720,498.9,21735,61,11540821,505.5,22829,60,"D. K-8|K-8,401-750",DK-8K-8401-750
ATLANTIC,1310,EGG HARBOR TWP,126502369,7825.6,16165,28,136093960,7785.4,17481,36,"N. K-12|K-12,3500+",NK-12K-123500plus
ATLANTIC,1410,ESTELL MANOR CITY,4727681,281.3,16805,23,4763500,268.5,17741,29,"I. K-12|K-8,0-400",IK-12K-80-400
ATLANTIC,1540,FOLSOM BORO,7542165,522.5,14435,4,7689958,525.2,14642,2,"J. K-12|K-8,401-750",JK-12K-8401-750
ATLANTIC,1690,GALLOWAY TWP,58015242,3467.3,16732,52,61146618,3433.3,17810,52,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,1790,GREATER EGG HARBOR REG,72314253,3783.5,19113,18,75554137,3751,20143,20,"G. G9-12|7-12,9-12",GG9-127-129-12
ATLANTIC,1940,HAMILTON TWP,49970631,3183.2,15698,30,50613177,3113.4,16257,23,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,1960,HAMMONTON TOWN,48885527,3571.6,13687,1,50244989,3631.3,13836,1,"N. K-12|K-12,3500+",NK-12K-123500plus
ATLANTIC,2680,LINWOOD CITY,15288393,881.2,17350,58,16004436,884.7,18089,58,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,2910,MAINLAND REGIONAL,30066903,1498.2,20068,27,31621233,1429.9,22114,31,"G. G9-12|7-12,9-12",GG9-127-129-12
ATLANTIC,3020,MARGATE CITY,14949492,618.6,24166,64,15699478,602.4,26060,64,"J. K-12|K-8,401-750",JK-12K-8401-750
ATLANTIC,3480,MULLICA TWP,11734865,719.5,16310,23,12081042,723.9,16689,17,"D. K-8|K-8,401-750",DK-8K-8401-750
ATLANTIC,3720,NORTHFIELD CITY,15296498,1049.9,14570,13,16414423,1007.5,16292,24,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,4180,PLEASANTVILLE CITY,95893109,4018.9,23861,102,92744206,4518.3,20526,81,"N. K-12|K-12,3500+",NK-12K-123500plus
ATLANTIC,4240,PORT REPUBLIC CITY,2883114,163.3,17655,34,2733864,163.5,16723,16,"I. K-12|K-8,0-400",IK-12K-80-400
ATLANTIC,4800,SOMERS POINT CITY,16298314,1111.8,14659,15,17321476,1096.3,15801,18,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,5350,VENTNOR CITY,23690353,1257.2,18844,78,24361642,1214.6,20058,76,"K. K-12|K-8,751+",KK-12K-8751plus
ATLANTIC,5760,WEYMOUTH TWP,4953890,302.1,16399,19,5326414,300.6,17718,28,"I. K-12|K-8,0-400",IK-12K-80-400
ATLANTIC,6612,GALLOWAY COMMUNITY CHARTER SCHOOL,3453666,164.1,21046,71,3632996,194.2,18707,71,O. CHARTER,OCHARTER
ATLANTIC,7410,CHARTER-TECH H.S. FOR PRF. ARTS,5018009,309.7,16203,42,4702839,303.5,15495,37,O. CHARTER,OCHARTER
BERGEN,40,ALLENDALE BORO,16248491,930,17471,62,15501480,935.2,16576,29,"E. K-8|K-8,751+",EK-8K-8751plus
BERGEN,80,ALPINE BORO,5691489,219.4,25936,65,5954061,216.8,27459,67,"I. K-12|K-8,0-400",IK-12K-80-400
