GROUP,CONAME,DIST,DISTNAME,STRAT0016,RK0016,SALT0016,RKSAL0016,STRAT0116,RK0116,SALT0116,RKSAL0116
A. K-6,,,K-6 Average,12,,54523,,12.3,,55905,
A. K-6,BERGEN,1270,EDGEWATER BORO,13.8,3,55160,35,14.3,4,52910,16
A. K-6,BERGEN,3870,ORADELL BORO,12.9,13,49610,13,13.3,14,50010,8
A. K-6,BERGEN,4410,RIVER EDGE BORO,14,2,58175,42,14.2,5,59613,42
A. K-6,BERGEN,4620,SADDLE RIVER BORO,9.7,45,58598,46,9.4,49,60427,44
A. K-6,BURLINGTON,200,BASS RIVER TWP,10.2,40,51599,19,9.5,48,53869,19
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,12.6,16,51190,18,13.6,9,52642,13
A. K-6,BURLINGTON,2960,MANSFIELD TWP,12.6,16,53416,27,13.5,11,53416,17
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,10.4,37,56530,39,10.7,37,61075,47
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,12.5,18,55808,37,11.5,31,59662,43
A. K-6,CAMDEN,810,CHESILHURST,,,,,,,,
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,11.1,27,48160,8,13,17,54134,22
A. K-6,CAMDEN,5560,WATERFORD TWP,12.1,22,72340,58,13.1,16,64222,55
A. K-6,CAPE MAY,710,CAPE MAY CITY,9.9,44,48650,10,8.1,55,55400,30
A. K-6,CAPE MAY,2840,LOWER TWP,13.6,4,62481,53,13.2,15,63689,54
A. K-6,CAPE MAY,4700,SEA ISLE CITY,7.3,59,64263,55,6,60,70236,59
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,5.9,60,50042,15,6.8,58,51363,11
A. K-6,ESSEX,1400,ESSEX FELLS BORO,9.4,50,51855,20,9.1,50,56259,33
A. K-6,ESSEX,1465,FAIRFIELD TWP,13.4,6,52500,23,13.4,12,53875,20
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,10.4,37,47651,6,10.7,37,54512,27
A. K-6,ESSEX,4530,ROSELAND BORO,13.3,9,62000,52,13.6,9,63665,53
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,13.4,6,52966,24,13.9,8,55263,29
A. K-6,GLOUCESTER,1330,ELK TWP,10.9,29,51951,21,11.5,31,52723,15
