CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
3,740,8225344,5137651,5009158,88755,39738,957166,857416,1072945,913945,1034284,448284,15000,7000,0,577,CARLSTADT BORO,BERGEN,C. K-8 / 401 - 750,2,DE,,1,BERGEN
3,745,9499702,5657097,5380297,251950,24850,1381231,842632,992841,607091,1103336,398463,5000,347905,0,532,CARLSTADT-EAST RUTHERFORD,BERGEN,H. 7-12 / 9-12,5,CD,,1,BERGEN
3,890,34338673,21666658,20697515,434913,534230,4850888,3687510,3543841,2890821,3222116,1719110,1000,870394,0,2706,CLIFFSIDE PARK BORO,BERGEN,F. K-12 / 1801 - 3500,3,B,,1,BERGEN
3,930,15280303,9613248,9221361,184740,207147,2089359,1697244,1704362,1505362,1788314,853622,0,82036,0,1156,CLOSTER BORO,BERGEN,D. K-8 / 751 +,2,I,,1,BERGEN
3,990,21486340,12419994,11941286,325260,153448,3639045,3067091,2486565,2185869,2359281,1168981,0,581454,0,1684,CRESSKILL BORO,BERGEN,E. K-12 / 0 - 1800,3,I,,1,BERGEN
3,1070,10634059,6146512,5657878,315935,172699,1829041,1516028,1194563,1039573,1242075,626275,21600,131345,0,659,DEMAREST BORO,BERGEN,C. K-8 / 401 - 750,2,I,,1,BERGEN
3,1130,33857427,20796740,20068879,553534,174327,3640078,3392798,4104890,3575390,4449700,2645850,0,824702,10090,2835,DUMONT BORO,BERGEN,F. K-12 / 1801 - 3500,3,FG,,1,BERGEN
3,1230,11929446,7367502,7087202,256800,23500,1809284,1392284,1348309,1075309,1327324,677284,0,40512,0,719,EAST RUTHERFORD BORO,BERGEN,D. K-8 / 751 +,2,CD,,1,BERGEN
3,1270,7174266,4085383,3950763,94800,39820,1332802,858392,810526,597936,873265,260773,0,47662,0,673,EDGEWATER BORO,BERGEN,A. K-6,1,DE,,1,BERGEN
3,1345,23162634,12375349,11636861,420946,317542,3777227,2898789,3294381,2574408,2942350,1719419,0,750534,0,2400,ELMWOOD PARK,BERGEN,F. K-12 / 1801 - 3500,3,CD,,1,BERGEN
3,1360,14987530,8274110,7906242,254117,113751,2059044,1438624,2165858,2034036,1895313,1096693,0,569315,6000,1259,EMERSON BORO,BERGEN,E. K-12 / 0 - 1800,3,GH,,1,BERGEN
3,1370,49609632,27425259,26290509,676500,458250,8771882,5803349,5037013,4242931,7373956,1032471,0,896653,0,2863,ENGLEWOOD CITY,BERGEN,F. K-12 / 1801 - 3500,3,DE,,1,BERGEN
3,1380,8214912,4564928,4357452,107700,99776,1845602,1349842,843818,583798,928894,430594,0,19486,28950,450,ENGLEWOOD CLIFFS BORO,BERGEN,C. K-8 / 401 - 750,2,I,,1,BERGEN
3,1450,68987056,40905904,39916585,559276,430043,10856260,9704284,7516285,6483528,7728091,4997230,0,1286862,0,4764,FAIR LAWN BORO,BERGEN,G. K-12 / 3501 +,3,GH,,1,BERGEN
3,1470,10669383,6007964,5758524,157700,91740,1100351,1024316,1839664,1455464,1540900,635312,10000,48215,7500,1111,FAIRVIEW BORO,BERGEN,D. K-8 / 751 +,2,A,,1,BERGEN
3,1550,45443967,27150750,26309141,551572,290037,7167974,6100170,5788918,4813269,4290645,1613792,0,970771,0,3550,FORT LEE BORO,BERGEN,G. K-12 / 3501 +,3,FG,,1,BERGEN
3,1580,24227583,15634919,14895523,648396,91000,3646142,3371367,2473529,2139219,2323968,204635,0,146023,108626,1418,FRANKLIN LAKES BORO,BERGEN,D. K-8 / 751 +,2,I,,1,BERGEN
3,1700,63315580,39430608,38025007,1231207,174394,9583088,7866670,6563597,5300636,6384530,3404930,0,1076245,491879,4552,GARFIELD CITY,BERGEN,G. K-12 / 3501 +,3,B,1,1,BERGEN
3,1760,36706293,20576107,19047580,810744,717783,6532969,5461955,4729689,3929725,4141222,2413873,0,720860,0,2523,GLEN ROCK BORO,BERGEN,F. K-12 / 1801 - 3500,3,J,,1,BERGEN
3,1860,74520244,49392377,47914462,1063420,414495,9314435,8456415,6837956,5883856,7808914,3873914,0,1165441,30000,4991,HACKENSACK CITY,BERGEN,G. K-12 / 3501 +,3,CD,,1,BERGEN
3,2050,9027079,5684405,5544981,110804,28620,1322475,1078033,870245,651388,1039591,363539,0,110362,0,692,HARRINGTON PARK BORO,BERGEN,C. K-8 / 401 - 750,2,I,,1,BERGEN
3,2080,20258654,12110523,11716881,355972,37670,3287124,2731727,2176108,1746147,2089360,977359,0,568992,0,1660,HASBROUCK HEIGHTS BORO,BERGEN,E. K-12 / 0 - 1800,3,FG,,1,BERGEN
3,2090,6930048,4256255,4090902,125153,40200,996973,793543,860369,632219,760338,233538,0,56113,0,478,HAWORTH BORO,BERGEN,C. K-8 / 401 - 750,2,I,,1,BERGEN
3,2180,17205758,10349256,9863477,296779,189000,2854752,2094522,1968382,1627745,1883996,572685,0,135148,0,1444,HILLSDALE BORO,BERGEN,D. K-8 / 751 +,2,GH,,1,BERGEN
3,2200,8432372,5431040,5140821,143256,146963,1101526,1016981,1024095,808697,871386,396265,0,0,0,676,HO HO KUS BORO,BERGEN,C. K-8 / 401 - 750,2,J,,1,BERGEN
3,2620,24014363,14197994,13744920,438074,15000,3377500,3052025,3442402,2889902,2170912,593262,90000,680851,0,1836,LEONIA BORO,BERGEN,E. K-12 / 0 - 1800,3,GH,,1,BERGEN
3,2710,10345371,6737680,6481430,211714,44536,1207448,920101,1076741,815678,1192601,559511,0,43736,9000,938,LITTLE FERRY BORO,BERGEN,D. K-8 / 751 +,2,CD,,1,BERGEN
3,2740,38553906,22408504,21512182,516794,379528,5833283,4933036,4801093,4351385,4433443,2315590,0,652856,0,3301,LODI BOROUGH,BERGEN,F. K-12 / 1801 - 3500,3,B,,1,BERGEN
3,2860,28501055,16412394,15884073,401480,126841,4427868,4096693,3815784,3092717,2666558,1307947,205000,758872,0,2432,LYNDHURST TWP,BERGEN,F. K-12 / 1801 - 3500,3,DE,,1,BERGEN
3,2900,47397047,27208433,26257678,693336,257419,7276591,5954964,5911053,4636286,5482678,1019893,0,1390735,0,3442,MAHWAH TWP,BERGEN,F. K-12 / 1801 - 3500,3,I,,1,BERGEN
3,3060,10726972,6748087,6330507,240780,176800,1528393,1259361,1177751,885515,1183841,586222,0,83043,0,920,MAYWOOD BORO,BERGEN,D. K-8 / 751 +,2,FG,,1,BERGEN
3,3170,15059518,8407219,8056826,260867,89526,2440252,2070354,1992908,1648701,1670231,792641,0,543545,0,1133,MIDLAND PARK BORO,BERGEN,E. K-12 / 0 - 1800,3,GH,,1,BERGEN
3,3330,12679925,7902463,7490931,309095,102437,1823551,1527922,1656891,1479305,1277078,724043,0,19209,0,1070,MONTVALE BORO,BERGEN,D. K-8 / 751 +,2,I,,1,BERGEN
3,3350,5473508,2979220,2866086,86854,26280,1208240,648804,533866,436690,630316,365656,29203,48158,0,288,MOONACHIE BORO,BERGEN,B. K-8 / 0 - 400,2,B,,1,BERGEN
3,3550,24504921,12982884,12439510,462608,80766,3903567,3181284,3119872,2542966,3708978,2056987,0,696940,72600,2089,NEW MILFORD BORO,BERGEN,F. K-12 / 1801 - 3500,3,FG,,1,BERGEN
3,3600,19137607,11407306,10941663,255575,210068,2004685,1717744,2682643,2283512,2258978,1087021,0,457350,0,1754,NORTH ARLINGTON BORO,BERGEN,E. K-12 / 0 - 1800,3,DE,,1,BERGEN
3,3700,20786337,11669671,10944322,554501,170848,2438648,1993784,2313218,1967215,3059477,1324868,0,1261633,26400,1316,NORTHERN HIGHLANDS REG,BERGEN,H. 7-12 / 9-12,5,J,,1,BERGEN
3,3710,41900824,23759658,22298838,937518,523302,6401939,5482089,5175436,4152152,4104344,1977838,0,2412308,125624,2821,NORTHERN VALLEY REGIONAL,BERGEN,H. 7-12 / 9-12,5,I,,1,BERGEN
3,3730,7667677,4442275,4202525,215450,24300,1324004,1055644,1055577,838860,757530,286687,0,86183,0,588,NORTHVALE BORO,BERGEN,C. K-8 / 401 - 750,2,FG,,1,BERGEN
3,3740,7942973,4781553,4540026,189042,52485,1259103,919681,945055,781303,932131,530081,0,25131,0,628,NORWOOD BORO,BERGEN,C. K-8 / 401 - 750,2,I,,1,BERGEN
3,3760,22307997,13867076,13411303,369268,86505,3099960,2787370,3035108,2685478,2155122,1215891,0,98567,2400,1638,OAKLAND BORO,BERGEN,D. K-8 / 751 +,2,I,,1,BERGEN
3,3850,12249860,7611753,7248276,201527,161950,1577498,1205573,1517459,1176045,1451261,357987,0,91889,0,860,OLD TAPPAN BORO,BERGEN,D. K-8 / 751 +,2,I,,1,BERGEN
3,3870,9139214,5298462,5027824,237625,33013,1510491,1252988,1227396,994336,1061996,578061,0,12431,0,806,ORADELL BORO,BERGEN,A. K-6,1,I,,1,BERGEN
3,3910,19779216,13194424,12349156,611987,233281,1902126,1784057,2204943,1838744,1846457,959457,0,519096,0,1701,PALISADES PARK,BERGEN,E. K-12 / 0 - 1800,3,CD,,1,BERGEN
3,3930,62067325,34651690,33323490,1084050,244150,7920612,6730556,7295234,6119549,10520589,5350763,0,1335308,267000,4215,PARAMUS BORO,BERGEN,G. K-12 / 3501 +,3,GH,,1,BERGEN
3,3940,19971049,10703744,10213399,431296,59049,4132097,3248998,2363251,1809026,2059432,887055,0,704710,30000,1291,PARK RIDGE BORO,BERGEN,E. K-12 / 0 - 1800,3,I,,1,BERGEN
