GROUP,CONAME,DIST,DISTNAME,PP13,RK13,PCT13,SBA3,PP23,RK23,PCT23,SBB3,PP33,RK33,PCT33,SBC3
A. K-6,,,1. State average - Operating Type K-6,6767,,,,7052,,,,7138,,,
A. K-6,,,2. State median - Operating Type K-6,7146,,,,7391,,,,7562,,,
A. K-6,,,5. State average - All operating types,7357,,,,7642,,,,7611,,,
A. K-6,,,6. State median - All operating types,7025,,,,7319,,,,7284,,,
A. K-6,BERGEN,1270,EDGEWATER BORO,6780,21,0.544,0.940,6381,13,0.554,0.933,5870,4,0.551,0.967
A. K-6,BERGEN,3870,ORADELL BORO,5890,7,0.527,0.937,6170,10,0.541,0.946,6238,11,0.550,0.949
A. K-6,BERGEN,4410,RIVER EDGE BORO,6292,15,0.577,0.947,6264,11,0.571,0.920,7002,22,0.602,0.956
A. K-6,BERGEN,4620,SADDLE RIVER BORO,8817,48,0.477,0.929,9738,53,0.501,0.941,10499,56,0.505,0.943
A. K-6,BURLINGTON,200,BASS RIVER TWP,8512,45,0.508,0.963,7619,34,0.543,0.965,7731,37,0.547,0.953
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,5810,5,0.513,0.936,6072,7,0.533,0.943,5936,6,0.514,0.944
A. K-6,BURLINGTON,2960,MANSFIELD TWP,5958,10,0.558,0.959,6868,20,0.578,0.948,6594,18,0.576,0.971
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,8737,46,0.553,0.927,8770,45,0.553,0.919,9432,49,0.577,0.941
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,7038,30,0.576,0.974,7282,28,0.565,0.977,7815,38,0.590,0.979
A. K-6,CAMDEN,810,CHESILHURST,8900,50,0.505,0.917,,,0.000,0.000,,,0.000,0.000
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,6181,11,0.559,0.918,6703,16,0.555,0.905,5994,7,0.508,0.895
A. K-6,CAMDEN,5560,WATERFORD TWP,6865,23,0.537,0.967,7246,27,0.527,0.959,6179,9,0.517,0.968
A. K-6,CAPE MAY,710,CAPE MAY CITY,8150,43,0.550,0.923,8872,46,0.560,0.927,9956,52,0.570,0.938
A. K-6,CAPE MAY,2840,LOWER TWP,6791,22,0.572,0.957,6984,23,0.576,0.963,7242,27,0.593,0.964
A. K-6,CAPE MAY,4700,SEA ISLE CITY,,,0.000,0.000,,,0.000,0.000,16741,59,0.494,0.952
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,13663,60,0.643,0.948,14142,59,0.643,0.953,17129,60,0.569,0.937
A. K-6,ESSEX,1400,ESSEX FELLS BORO,9086,51,0.618,0.972,8733,44,0.583,0.954,9092,47,0.581,0.951
A. K-6,ESSEX,1465,FAIRFIELD TWP,6939,27,0.610,0.935,7171,25,0.604,0.933,7622,33,0.601,0.945
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,8776,47,0.600,0.955,8409,42,0.595,0.962,8909,46,0.600,0.956
A. K-6,ESSEX,4530,ROSELAND BORO,7585,38,0.621,0.966,8110,40,0.637,0.968,7701,35,0.615,0.977
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,5213,1,0.556,0.953,5622,3,0.566,0.911,5697,3,0.572,0.938
A. K-6,GLOUCESTER,1330,ELK TWP,6625,19,0.611,0.974,6828,19,0.610,0.956,6677,19,0.610,0.970
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,5587,4,0.567,0.929,5678,4,0.535,0.891,5882,5,0.552,0.921
A. K-6,GLOUCESTER,2070,HARRISON TWP,5816,6,0.616,0.948,5987,6,0.624,0.954,6154,8,0.627,0.950
A. K-6,GLOUCESTER,2990,MANTUA TWP,6197,14,0.601,0.967,6959,22,0.623,0.965,6447,14,0.603,0.971
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,6881,24,0.585,0.948,6705,17,0.589,0.960,6986,21,0.578,0.951
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,5359,3,0.550,0.902,5116,1,0.543,0.896,4539,1,0.513,0.923
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,5320,2,0.588,0.963,5851,5,0.612,0.974,5531,2,0.604,0.958
A. K-6,GLOUCESTER,5590,WENONAH BORO,5935,9,0.607,0.946,6163,9,0.606,0.969,6199,10,0.613,0.968
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,7866,39,0.628,0.931,8230,41,0.677,0.962,8540,41,0.652,0.967
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,7262,33,0.639,0.963,7391,30,0.636,0.969,6574,17,0.635,0.972
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,10246,57,0.609,0.950,11347,56,0.630,0.944,10201,55,0.598,0.971
A. K-6,HUNTERDON,2590,LEBANON BORO,9948,56,0.498,0.947,10349,54,0.517,0.930,10137,54,0.485,0.885
A. K-6,HUNTERDON,5050,STOCKTON BORO,8040,42,0.506,0.941,9096,48,0.618,0.947,9632,50,0.615,0.949
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,7258,32,0.595,0.952,7660,35,0.593,0.957,7727,36,0.592,0.964
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,8206,44,0.562,0.936,9539,50,0.655,0.970,8769,42,0.622,0.951
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,9803,55,0.510,0.941,9007,47,0.496,0.936,9313,48,0.492,0.925
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,8895,49,0.668,0.959,10803,55,0.641,0.966,10084,53,0.605,0.935
A. K-6,MORRIS,3240,MINE HILL TWP,6192,13,0.551,0.950,6096,8,0.564,0.945,6327,13,0.546,0.930
A. K-6,OCEAN,230,BEACH HAVEN BORO,10704,58,0.589,0.937,11842,57,0.602,0.961,10986,58,0.614,0.958
A. K-6,OCEAN,320,BERKELEY TWP,6527,18,0.551,0.940,6764,18,0.561,0.947,7122,25,0.553,0.936
A. K-6,OCEAN,1150,EAGLESWOOD TWP,9410,53,0.629,0.934,8648,43,0.591,0.968,7994,39,0.589,0.934
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,9301,52,0.571,0.937,9502,49,0.581,0.938,8885,45,0.579,0.950
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,6771,20,0.581,0.951,7202,26,0.583,0.961,7535,30,0.609,0.972
A. K-6,OCEAN,2760,LONG BEACH ISLAND,11056,59,0.518,0.923,12524,58,0.517,0.936,10587,57,0.496,0.923
A. K-6,OCEAN,3800,OCEAN GATE BORO,6335,17,0.474,0.933,7818,36,0.503,0.942,7589,31,0.526,0.925
A. K-6,OCEAN,3820,OCEAN TWP,7971,40,0.527,0.941,9693,51,0.608,0.931,8854,44,0.560,0.968
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,7978,41,0.554,0.979,7515,31,0.547,0.965,7236,26,0.541,0.964
A. K-6,OCEAN,5020,STAFFORD TWP,6186,12,0.519,0.925,6517,15,0.520,0.925,7006,23,0.532,0.944
A. K-6,OCEAN,5220,TUCKERTON BORO,7254,31,0.552,0.939,7375,29,0.581,0.963,6518,15,0.565,0.950
A. K-6,SUSSEX,1630,FREDON TWP,5923,8,0.530,0.930,5592,2,0.489,0.898,6272,12,0.520,0.941
A. K-6,SUSSEX,1980,HAMPTON TWP,7352,36,0.563,0.909,7818,36,0.597,0.961,7694,34,0.605,0.959
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,9492,54,0.655,0.970,9717,52,0.640,0.959,9663,51,0.620,0.962
A. K-6,SUSSEX,5040,STILLWATER TWP,7406,37,0.614,0.959,7916,38,0.616,0.974,8479,40,0.614,0.970
A. K-6,WARREN,400,BLAIRSTOWN TWP,6910,25,0.660,0.962,7582,33,0.645,0.959,7253,28,0.642,0.974
A. K-6,WARREN,1620,FRANKLIN TWP,7289,34,0.613,0.941,7917,39,0.606,0.940,8813,43,0.614,0.954
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,6937,26,0.605,0.950,6293,12,0.564,0.919,6534,16,0.586,0.944
A. K-6,WARREN,2470,KNOWLTON TWP,6991,29,0.572,0.955,7569,32,0.593,0.967,7606,32,0.575,0.947
A. K-6,WARREN,2970,MANSFIELD TWP,6989,28,0.659,0.936,6906,21,0.659,0.946,7020,24,0.685,0.981
A. K-6,WARREN,5480,WASHINGTON BORO,7328,35,0.632,0.972,7126,24,0.623,0.971,7404,29,0.613,0.966
A. K-6,WARREN,5530,WASHINGTON TWP,6322,16,0.566,0.965,6513,14,0.581,0.967,6897,20,0.572,0.983
B. K-8 / 0 - 400,,,1. State average - Operating Type K-8,7052,,,,7367,,,,7398,,,
