GROUP,CONAME,DIST,DISTNAME,FARAT0019,RK0019,FARAT0119,RK0119
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,8.8,56,8.7,56
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,16.2,19,29.1,2
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,16,20,16.3,11
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,11.1,42,10.7,44
B. K-8 / 0 - 400,CAPE MAY,4701,SEA ISLE CITY,,,,
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,13.4,26,13.4,26
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,18,10,16.5,9
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,12.9,30,12.4,31
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,16.9,16,16.1,12
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,20.6,6,15.5,17
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,5.5,67,4.6,67
B. K-8 / 0 - 400,CUMBERLAND,3050,MAURICE RIVER TWP,19.5,8,14.5,21
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,13.1,28,12.1,34
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,7.4,62,7.4,60
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,16.8,17,16.8,8
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,13.7,25,13.7,23
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,11.9,37,9,55
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,12.1,35,13.5,25
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,12.6,31,11.7,36
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,12.1,35,12,35
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,10.7,46,10.2,47
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,9.2,53,10.5,46
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,10.2,47,11,41
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,6.2,66,6.5,64
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,15.6,21,15.2,19
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,9.9,49,9.2,53
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,19.1,9,18,7
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,11.3,38,11.6,38
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,9.5,51,7.8,59
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,13.1,28,16.1,12
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,13.4,26,13,28
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,20.6,6,12.9,29
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,20.7,5,14,22
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,10.8,44,10.8,43
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,7.6,61,7.3,62
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,10.1,48,10.1,48
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,12.6,31,11.6,38
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,17.7,12,16.1,12
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,17.2,14,15.3,18
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,14.2,22,12.6,30
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,11.3,38,10.6,45
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,23.7,4,23.8,5
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,17.8,11,16.1,12
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,8.7,57,9.8,51
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,12.4,34,11.7,36
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,8.5,58,8.3,57
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,11.3,38,11.4,40
B. K-8 / 0 - 400,UNION,1710,GARWOOD BORO,14,23,13.6,24
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,9,54,9.4,52
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,31.1,1,14.6,20
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,16.8,17,25.9,3
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,6.6,64,6.3,65
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,11.1,42,10.1,48
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,11.3,38,10.9,42
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,10.8,44,18.6,6
C. K-8 / 401 - 750,,,K-8 Average,16.1,,16.3,
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,14.8,29,11.8,58
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,12.1,54,14,39
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,13.5,38,12.5,51
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,9.8,63,9.6,62
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,19.3,6,18.2,13
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,15.6,25,17.6,16
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,15.9,24,20.9,6
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,21.3,3,46.9,1
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,16.6,20,17.7,15
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,17.6,14,20,7
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,32.2,1,30.9,2
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,17.9,10,15.5,30
C. K-8 / 401 - 750,BURLINGTON,1030,DELANCO TWP,10,62,13.5,42
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,17.6,14,13.9,40
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,16,22,30.7,3
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,12.4,52,11.9,56
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,18.2,7,19.9,8
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,13.3,45,15.4,31
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,13.5,38,18.5,12
C. K-8 / 401 - 750,CAMDEN,2890,MAGNOLIA BORO,23.7,2,21.7,5
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,11,59,8.2,63
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,13.8,36,12.7,50
C. K-8 / 401 - 750,CAMDEN,5900,WOODLYNNE BORO,20.2,5,12.8,48
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,13.5,38,19.7,9
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,16.3,21,18.7,11
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,11.9,57,29.5,4
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,12.9,47,11.6,59
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,16,22,16.6,24
C. K-8 / 401 - 750,GLOUCESTER,1830,GREENWICH TWP,13.4,42,15.3,32
C. K-8 / 401 - 750,HUNTERDON,20,ALEXANDRIA TWP,14.1,35,12.8,48
C. K-8 / 401 - 750,HUNTERDON,370,BETHLEHEM TWP,12.6,50,10.2,61
C. K-8 / 401 - 750,HUNTERDON,910,CLINTON TOWN,18.2,7,16.9,20
C. K-8 / 401 - 750,HUNTERDON,1040,DELAWARE TWP,12.7,48,12.4,53
C. K-8 / 401 - 750,HUNTERDON,1160,EAST AMWELL TWP,15,27,14.7,35
C. K-8 / 401 - 750,HUNTERDON,2220,HOLLAND TWP,14.8,29,17.4,18
C. K-8 / 401 - 750,HUNTERDON,2450,KINGWOOD TWP,16.9,18,14.5,36
C. K-8 / 401 - 750,HUNTERDON,5180,TEWKSBURY TWP,13.2,46,15.7,29
