CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM
,,STATE AVERAGE - ALL OPERATING TYPES,,,17209,,,,17787,,,
,,STATE MEDIAN - ALL OPERATING TYPES,,,16274,,,,16791,,,
ATLANTIC,10,ABSECON CITY,12973047,890.1,14575,25,13380208,890.1,15033,23,"K. K-12|K-8,751+",KK-12K-8751plus
ATLANTIC,110,ATLANTIC CITY,157864750,6635.5,23791,106,162570985,6734,24142,106,"N. K-12|K-12,3500+",NK-12K-123500plus
ATLANTIC,120,ATLANTIC CO VOCATIONAL,11608226,754.2,15392,3,13419242,800.1,16771,6,Q. COUNTY VOC,QCOUNTYVOC
ATLANTIC,125,ATLANTIC CO SPECIAL SERV,22415584,489.5,45789,3,23025513,476.5,48327,4,P. CSSD,PCSSD
ATLANTIC,570,BRIGANTINE CITY,20052925,1053.5,19035,83,21619021,1049.9,20591,86,"K. K-12|K-8,751+",KK-12K-8751plus
ATLANTIC,590,BUENA REGIONAL,42252292,2615.1,16157,33,46065334,2565.5,17955,53,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
ATLANTIC,1300,EGG HARBOR CITY,10459245,485.5,21542,62,10957646,479.4,22859,62,"D. K-8|K-8,401-750",DK-8K-8401-750
ATLANTIC,1310,EGG HARBOR TWP,120548615,7744.6,15566,33,129038688,7822,16497,39,"N. K-12|K-12,3500+",NK-12K-123500plus
ATLANTIC,1410,ESTELL MANOR CITY,4877722,311.3,15669,21,4990869,311.7,16011,20,"I. K-12|K-8,0-400",IK-12K-80-400
ATLANTIC,1540,FOLSOM BORO,6735575,501.8,13424,5,6995929,507.2,13793,2,"I. K-12|K-8,0-400",IK-12K-80-400
ATLANTIC,1690,GALLOWAY TWP,58256245,3572.1,16308,57,60253656,3537.7,17032,65,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,1790,GREATER EGG HARBOR REG,65616945,4031.8,16275,10,68130963,3971,17157,10,"G. G9-12|7-12,9-12",GG9-127-129-12
ATLANTIC,1940,HAMILTON TWP,47556945,3230.2,14723,31,49707481,3363.9,14777,17,"E. K-8|K-8,751+",EK-8K-8751plus
