GROUP,CONAME,DIST,DISTNAME,PP111,RK111,PCT111,SBA11,PP211,RK211,PCT211,SBB11,PP311,RK311,PCT311,SBC11
A. K-6,,,1. State average - Operating Type K-6,645,,,,673,,,,658,,,
A. K-6,,,2. State median - Operating Type K-6,625,,,,680,,,,644,,,
A. K-6,,,5. State average - All operating types,832,,,,852,,,,833,,,
A. K-6,,,6. State median - All operating types,727,,,,752,,,,729,,,
A. K-6,BERGEN,1270,EDGEWATER BORO,586,23,0.047,0.436,446,9,0.039,0.346,388,7,0.036,0.299
A. K-6,BERGEN,3870,ORADELL BORO,764,41,0.068,0.552,788,41,0.069,0.596,717,35,0.063,0.544
A. K-6,BERGEN,4410,RIVER EDGE BORO,624,29,0.057,0.594,609,25,0.055,0.589,601,23,0.052,0.544
A. K-6,BERGEN,4620,SADDLE RIVER BORO,742,40,0.040,0.381,397,7,0.020,0.238,635,29,0.031,0.327
A. K-6,BURLINGTON,200,BASS RIVER TWP,1300,58,0.078,0.575,879,47,0.063,0.459,776,40,0.055,0.416
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,692,38,0.061,0.474,686,32,0.060,0.525,913,50,0.079,0.528
A. K-6,BURLINGTON,2960,MANSFIELD TWP,623,28,0.058,0.536,809,44,0.068,0.579,823,43,0.072,0.587
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,945,50,0.060,0.422,958,51,0.060,0.457,872,46,0.053,0.392
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,1048,55,0.086,0.608,844,46,0.066,0.587,923,53,0.070,0.560
A. K-6,CAMDEN,810,CHESILHURST,531,15,0.030,0.313,,,0.000,0.000,,,0.000,0.000
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,83,2,0.008,0.061,88,2,0.007,0.068,63,2,0.005,0.048
A. K-6,CAMDEN,5560,WATERFORD TWP,940,49,0.074,0.561,1005,53,0.073,0.556,304,4,0.025,0.207
A. K-6,CAPE MAY,710,CAPE MAY CITY,887,48,0.060,0.406,920,48,0.058,0.405,915,51,0.052,0.374
A. K-6,CAPE MAY,2840,LOWER TWP,1082,57,0.091,0.652,950,50,0.078,0.602,871,45,0.071,0.579
A. K-6,CAPE MAY,4700,SEA ISLE CITY,,,0.000,0.000,,,0.000,0.000,1977,59,0.058,0.296
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,804,44,0.038,0.307,946,49,0.043,0.366,1379,56,0.046,0.329
A. K-6,ESSEX,1400,ESSEX FELLS BORO,639,32,0.043,0.462,757,39,0.051,0.541,903,49,0.058,0.505
A. K-6,ESSEX,1465,FAIRFIELD TWP,519,14,0.046,0.422,532,14,0.045,0.416,622,28,0.049,0.466
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,1057,56,0.072,0.573,983,52,0.069,0.548,921,52,0.062,0.541
A. K-6,ESSEX,4530,ROSELAND BORO,606,25,0.050,0.415,557,20,0.044,0.470,575,20,0.046,0.443
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,544,18,0.058,0.439,556,19,0.056,0.447,563,17,0.057,0.443
A. K-6,GLOUCESTER,1330,ELK TWP,603,24,0.056,0.542,639,27,0.057,0.557,705,34,0.064,0.580
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,689,37,0.070,0.546,751,38,0.071,0.538,817,42,0.077,0.525
A. K-6,GLOUCESTER,2070,HARRISON TWP,484,10,0.051,0.399,500,13,0.052,0.426,539,15,0.055,0.458
A. K-6,GLOUCESTER,2990,MANTUA TWP,644,34,0.062,0.512,679,29,0.061,0.558,718,36,0.067,0.574
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,638,31,0.054,0.499,610,26,0.054,0.482,653,31,0.054,0.467
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,23,1,0.002,0.018,34,1,0.004,0.029,45,1,0.005,0.033
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,204,3,0.023,0.187,253,3,0.026,0.231,197,3,0.021,0.176
A. K-6,GLOUCESTER,5590,WENONAH BORO,625,30,0.064,0.552,543,16,0.053,0.583,425,8,0.042,0.486
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,402,6,0.032,0.404,346,4,0.028,0.358,452,10,0.034,0.409
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,366,5,0.032,0.422,370,5,0.032,0.445,339,6,0.033,0.437
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,617,27,0.037,0.382,658,28,0.037,0.445,644,30,0.038,0.357
