GROUP,CONAME,DIST,DISTNAME,SARAT0018,RK0018,SALAM0018,RKSAL0018,SARAT0118,RK0118,SALAM0118,RKSAL0118
A. K-6,,,K-6 Average,160.7,,101369,,165.4,,102000,
A. K-6,BERGEN,1270,EDGEWATER BORO,200,11,102500,40,206,12,103525,37
A. K-6,BERGEN,3870,ORADELL BORO,156.4,26,107007,46,172.8,21,108637,46
A. K-6,BERGEN,4410,RIVER EDGE BORO,198.8,12,138196,60,217.3,8,138896,59
A. K-6,BERGEN,4620,SADDLE RIVER BORO,58.5,57,137561,59,57,57,143063,60
A. K-6,BURLINGTON,200,BASS RIVER TWP,125,38,99786,36,119,39,102979,35
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,120.5,40,103166,42,137,31,104714,40
A. K-6,BURLINGTON,2960,MANSFIELD TWP,144,29,97290,29,177.5,19,98093,30
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,127,37,109800,50,146.4,30,116780,51
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,96.5,44,86096,16,102.9,44,112014,48
A. K-6,CAMDEN,810,CHESILHURST,,,,,,,,
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,215,8,40320,5,207.5,11,53485,5
A. K-6,CAMDEN,5560,WATERFORD TWP,133.1,32,113025,52,161.6,25,118808,52
A. K-6,CAPE MAY,710,CAPE MAY CITY,111.3,43,91069,20,86.1,49,93951,25
A. K-6,CAPE MAY,2840,LOWER TWP,237.1,3,116076,53,305.7,1,123298,53
A. K-6,CAPE MAY,4700,SEA ISLE CITY,85.7,48,35750,3,80,51,50000,4
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,24,60,35100,2,26.7,59,35100,2
A. K-6,ESSEX,1400,ESSEX FELLS BORO,80.7,52,81816,13,121,38,103300,36
A. K-6,ESSEX,1465,FAIRFIELD TWP,188.9,16,112339,51,173.3,20,116484,50
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,160,24,99629,34,165.5,23,106714,43
A. K-6,ESSEX,4530,ROSELAND BORO,158.1,25,107642,48,177.9,18,109200,47
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,192.4,15,101574,38,202.6,13,87000,16
A. K-6,GLOUCESTER,1330,ELK TWP,194,14,94298,23,194,16,90192,19
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,202.1,10,99670,35,201.7,14,93000,24
A. K-6,GLOUCESTER,2070,HARRISON TWP,218.6,7,103000,41,212.1,9,104545,39
A. K-6,GLOUCESTER,2990,MANTUA TWP,297.6,1,122025,56,286.4,2,126543,57
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,173.9,20,58800,9,102.9,44,75900,11
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,116.1,41,85591,15,137,31,85591,14
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,244.9,2,94640,24,249,5,94640,26
