GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
A. K-6,,,1. State average - Operating Type K-6,,,,42,,,37,,
A. K-6,,,2. State median - Operating Type K-6,,,,36,,,29,,
A. K-6,,,5. State average - All operating types,,,,38,,,36,,
A. K-6,,,6. State median - All operating types,,,,32,,,33,,
A. K-6,BERGEN,1270,EDGEWATER BORO,,,0.000,110,52,0.010,94,52,0.009
A. K-6,BERGEN,3870,ORADELL BORO,,,0.000,49,36,0.004,57,41,0.005
A. K-6,BERGEN,4410,RIVER EDGE BORO,,,0.000,13,12,0.001,36,34,0.003
A. K-6,BERGEN,4620,SADDLE RIVER BORO,,,0.000,37,30,0.002,21,20,0.001
A. K-6,BURLINGTON,200,BASS RIVER TWP,,,0.000,70,41,0.005,67,44,0.005
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,,,0.000,27,21,0.002,21,20,0.002
A. K-6,BURLINGTON,2960,MANSFIELD TWP,,,0.000,48,34,0.004,45,39,0.004
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,,,0.000,34,28,0.002,16,14,0.001
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,,,0.000,86,49,0.007,67,44,0.005
A. K-6,CAMDEN,810,CHESILHURST,,,0.000,,,0.000,,,0.000
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,,,0.000,,,0.000,,,0.000
A. K-6,CAMDEN,5560,WATERFORD TWP,,,0.000,63,39,0.005,70,47,0.006
A. K-6,CAPE MAY,710,CAPE MAY CITY,,,0.000,15,15,0.001,20,19,0.001
A. K-6,CAPE MAY,2840,LOWER TWP,,,0.000,13,12,0.001,16,14,0.001
A. K-6,CAPE MAY,4700,SEA ISLE CITY,,,0.000,838,57,0.031,,,0.000
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,,,0.000,,,0.000,105,54,0.003
A. K-6,ESSEX,1400,ESSEX FELLS BORO,,,0.000,178,55,0.012,81,48,0.005
A. K-6,ESSEX,1465,FAIRFIELD TWP,,,0.000,131,53,0.011,105,54,0.008
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,,,0.000,85,48,0.006,60,42,0.004
A. K-6,ESSEX,4530,ROSELAND BORO,,,0.000,33,26,0.003,39,35,0.003
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,,,0.000,20,17,0.002,29,28,0.003
A. K-6,GLOUCESTER,1330,ELK TWP,,,0.000,5,4,0.000,19,18,0.002
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,,,0.000,41,31,0.004,35,33,0.003
A. K-6,GLOUCESTER,2070,HARRISON TWP,,,0.000,27,21,0.003,23,23,0.002
A. K-6,GLOUCESTER,2990,MANTUA TWP,,,0.000,12,11,0.001,9,6,0.001
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,,,0.000,3,1,0.000,4,2,0.000
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,,,0.000,51,37,0.005,40,37,0.005
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,,,0.000,3,1,0.000,8,5,0.001
A. K-6,GLOUCESTER,5590,WENONAH BORO,,,0.000,5,4,0.000,4,2,0.000
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,,,0.000,6,7,0.001,13,12,0.001
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,,,0.000,10,10,0.001,4,2,0.000
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,,,0.000,9,9,0.000,33,31,0.002
A. K-6,HUNTERDON,2590,LEBANON BORO,,,0.000,78,45,0.004,11,10,0.001
A. K-6,HUNTERDON,5050,STOCKTON BORO,,,0.000,86,49,0.006,132,58,0.008
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,,,0.000,74,43,0.006,111,56,0.008
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,,,0.000,106,51,0.007,94,52,0.007
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,,,0.000,61,38,0.003,83,50,0.004
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,,,0.000,78,45,0.005,23,23,0.001
A. K-6,MORRIS,3240,MINE HILL TWP,,,0.000,75,44,0.007,68,46,0.006
A. K-6,OCEAN,230,BEACH HAVEN BORO,,,0.000,64,40,0.003,39,35,0.002
A. K-6,OCEAN,320,BERKELEY TWP,,,0.000,32,25,0.003,34,32,0.003
A. K-6,OCEAN,1150,EAGLESWOOD TWP,,,0.000,13,12,0.001,10,9,0.001
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,,,0.000,361,56,0.022,42,38,0.003
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,,,0.000,44,33,0.004,23,23,0.002
A. K-6,OCEAN,2760,LONG BEACH ISLAND,,,0.000,29,23,0.001,24,26,0.001
A. K-6,OCEAN,3800,OCEAN GATE BORO,,,0.000,82,47,0.005,29,28,0.002
A. K-6,OCEAN,3820,OCEAN TWP,,,0.000,36,29,0.002,65,43,0.004
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,,,0.000,144,54,0.010,119,57,0.009
A. K-6,OCEAN,5020,STAFFORD TWP,,,0.000,73,42,0.006,81,48,0.006
A. K-6,OCEAN,5220,TUCKERTON BORO,,,0.000,26,20,0.002,29,28,0.002
A. K-6,SUSSEX,1630,FREDON TWP,,,0.000,48,34,0.004,84,51,0.007
A. K-6,SUSSEX,1980,HAMPTON TWP,,,0.000,8,8,0.001,12,11,0.001
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,,,0.000,33,26,0.002,9,6,0.001
A. K-6,SUSSEX,5040,STILLWATER TWP,,,0.000,31,24,0.002,28,27,0.002
A. K-6,WARREN,400,BLAIRSTOWN TWP,,,0.000,5,4,0.000,15,13,0.001
A. K-6,WARREN,1620,FRANKLIN TWP,,,0.000,22,18,0.002,17,16,0.001
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,,,0.000,,,0.000,3,1,0.000
A. K-6,WARREN,2470,KNOWLTON TWP,,,0.000,43,32,0.003,53,40,0.004
A. K-6,WARREN,2970,MANSFIELD TWP,,,0.000,15,15,0.001,21,20,0.002
A. K-6,WARREN,5480,WASHINGTON BORO,,,0.000,24,19,0.002,9,6,0.001
A. K-6,WARREN,5530,WASHINGTON TWP,,,0.000,4,3,0.000,17,16,0.001
B. K-8 / 0 - 400,,,1. State average - Operating Type K-8,,,,37,,,36,,
B. K-8 / 0 - 400,,,2. State median - Operating Type K-8,,,,37,,,35,,
B. K-8 / 0 - 400,,,5. State average - All operating types,,,,38,,,36,,
B. K-8 / 0 - 400,,,6. State median - All operating types,,,,32,,,33,,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,,,0.000,39,31,0.003,50,42,0.005
B. K-8 / 0 - 400,ATLANTIC,1540,FOLSOM BORO,,,0.000,29,26,0.003,37,33,0.003
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,,,0.000,210,65,0.014,175,68,0.011
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,,,0.000,20,17,0.002,36,32,0.003
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,,,0.000,111,57,0.005,71,59,0.003
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,,,0.000,71,49,0.004,35,31,0.002
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,,,0.000,47,36,0.003,31,25,0.002
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,,,0.000,175,64,0.011,100,64,0.008
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,,,0.000,51,39,0.003,60,52,0.004
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,,,0.000,19,16,0.001,43,35,0.004
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,,,0.000,72,50,0.004,74,61,0.004
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,,,0.000,83,52,0.006,94,63,0.007
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,,,0.000,49,38,0.004,49,41,0.004
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,,,0.000,20,17,0.001,61,55,0.004
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,,,0.000,308,66,0.023,171,67,0.014
