GROUP,CONAME,DIST,DISTNAME,PP12,RK12,PCT12,PP22,RK22,PCT22,PP32,RK32,PCT32
A. K-6,,,1. State average - Operating Type K-6,7151,,,7452,,,7482,,
A. K-6,,,2. State median - Operating Type K-6,7506,,,7686,,,7820,,
A. K-6,,,5. State average - All operating types,7776,,,8041,,,8004,,
A. K-6,,,6. State median - All operating types,7445,,,7679,,,7686,,
A. K-6,BERGEN,1270,EDGEWATER BORO,7212,24,0.578,6841,13,0.594,6070,3,0.569
A. K-6,BERGEN,3870,ORADELL BORO,6287,9,0.563,6520,10,0.571,6574,10,0.580
A. K-6,BERGEN,4410,RIVER EDGE BORO,6643,14,0.609,6809,12,0.621,7322,22,0.629
A. K-6,BERGEN,4620,SADDLE RIVER BORO,9495,50,0.514,10346,52,0.532,11132,55,0.535
A. K-6,BURLINGTON,200,BASS RIVER TWP,8838,45,0.528,7895,33,0.563,8111,37,0.573
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,6210,6,0.549,6442,8,0.566,6287,5,0.545
A. K-6,BURLINGTON,2960,MANSFIELD TWP,6212,7,0.581,7243,20,0.609,6794,15,0.594
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,9427,49,0.597,9538,45,0.602,10022,48,0.613
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,7223,25,0.591,7455,25,0.579,7980,32,0.603
A. K-6,CAMDEN,810,CHESILHURST,9709,51,0.551,,,0.000,,,0.000
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,6730,16,0.609,7408,24,0.614,6699,13,0.567
A. K-6,CAMDEN,5560,WATERFORD TWP,7099,21,0.556,7557,27,0.550,6381,6,0.534
A. K-6,CAPE MAY,710,CAPE MAY CITY,8827,44,0.596,9570,46,0.604,10616,53,0.608
A. K-6,CAPE MAY,2840,LOWER TWP,7097,20,0.598,7252,21,0.599,7512,27,0.615
A. K-6,CAPE MAY,4700,SEA ISLE CITY,,,0.000,,,0.000,17590,59,0.519
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,14408,60,0.678,14832,59,0.674,18280,60,0.607
A. K-6,ESSEX,1400,ESSEX FELLS BORO,9349,48,0.636,9155,44,0.611,9556,47,0.610
A. K-6,ESSEX,1465,FAIRFIELD TWP,7423,29,0.653,7686,30,0.648,8063,36,0.635
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,9189,46,0.628,8742,42,0.618,9319,45,0.628
A. K-6,ESSEX,4530,ROSELAND BORO,7850,37,0.643,8377,39,0.658,7885,31,0.630
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,5468,1,0.583,6171,3,0.621,6072,4,0.610
A. K-6,GLOUCESTER,1330,ELK TWP,6799,18,0.627,7140,17,0.638,6883,18,0.628
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,6013,4,0.611,6374,7,0.601,6389,7,0.600
A. K-6,GLOUCESTER,2070,HARRISON TWP,6133,5,0.649,6274,5,0.653,6477,9,0.660
A. K-6,GLOUCESTER,2990,MANTUA TWP,6411,11,0.621,7208,19,0.645,6641,11,0.621
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,7258,26,0.617,6985,15,0.613,7345,23,0.608
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,5942,3,0.609,5707,1,0.606,4919,1,0.556
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,5523,2,0.610,6006,2,0.628,5771,2,0.631
A. K-6,GLOUCESTER,5590,WENONAH BORO,6274,8,0.641,6362,6,0.625,6404,8,0.634
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,8451,40,0.675,8559,41,0.704,8829,41,0.674
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,7541,31,0.664,7626,28,0.657,6762,14,0.653
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,10781,57,0.640,12024,56,0.668,10503,52,0.615
A. K-6,HUNTERDON,2590,LEBANON BORO,10508,56,0.526,11133,54,0.556,11460,56,0.548
A. K-6,HUNTERDON,5050,STOCKTON BORO,8544,42,0.537,9602,47,0.652,10150,51,0.648
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,7620,33,0.625,8004,35,0.620,8019,33,0.614
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,8768,43,0.600,9838,49,0.676,9220,43,0.654
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,10418,55,0.541,9618,48,0.530,10071,50,0.532
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,9274,47,0.696,11186,55,0.664,10790,54,0.647
A. K-6,MORRIS,3240,MINE HILL TWP,6521,12,0.580,6450,9,0.596,6806,16,0.588
A. K-6,OCEAN,230,BEACH HAVEN BORO,11427,58,0.628,12323,57,0.626,11466,58,0.641
A. K-6,OCEAN,320,BERKELEY TWP,6941,19,0.586,7144,18,0.592,7606,28,0.591
A. K-6,OCEAN,1150,EAGLESWOOD TWP,10073,54,0.673,8937,43,0.610,8557,39,0.630
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,9926,53,0.609,10129,50,0.619,9356,46,0.610
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,7117,22,0.611,7495,26,0.607,7755,30,0.627
A. K-6,OCEAN,2760,LONG BEACH ISLAND,11984,59,0.561,13374,58,0.553,11465,57,0.537
A. K-6,OCEAN,3800,OCEAN GATE BORO,6790,17,0.508,8299,38,0.534,8203,38,0.569
A. K-6,OCEAN,3820,OCEAN TWP,8470,41,0.560,10409,53,0.653,9143,42,0.578
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,8150,39,0.566,7791,31,0.568,7509,26,0.561
A. K-6,OCEAN,5020,STAFFORD TWP,6690,15,0.561,7046,16,0.562,7422,24,0.563
A. K-6,OCEAN,5220,TUCKERTON BORO,7728,35,0.588,7661,29,0.603,6861,17,0.594
A. K-6,SUSSEX,1630,FREDON TWP,6372,10,0.570,6230,4,0.544,6663,12,0.552
A. K-6,SUSSEX,1980,HAMPTON TWP,8089,38,0.619,8133,37,0.621,8022,34,0.631
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,9784,52,0.675,10129,50,0.667,10046,49,0.644
A. K-6,SUSSEX,5040,STILLWATER TWP,7725,34,0.640,8129,36,0.633,8739,40,0.633
A. K-6,WARREN,400,BLAIRSTOWN TWP,7186,23,0.686,7903,34,0.672,7447,25,0.659
A. K-6,WARREN,1620,FRANKLIN TWP,7746,36,0.651,8426,40,0.645,9242,44,0.644
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,7304,27,0.637,6846,14,0.613,6919,19,0.621
A. K-6,WARREN,2470,KNOWLTON TWP,7318,28,0.599,7829,32,0.613,8029,35,0.607
A. K-6,WARREN,2970,MANSFIELD TWP,7470,30,0.704,7303,22,0.696,7159,21,0.698
A. K-6,WARREN,5480,WASHINGTON BORO,7541,31,0.650,7338,23,0.641,7663,29,0.634
A. K-6,WARREN,5530,WASHINGTON TWP,6554,13,0.587,6732,11,0.601,7015,20,0.581
B. K-8 / 0 - 400,,,1. State average - Operating Type K-8,7458,,,7729,,,7739,,
B. K-8 / 0 - 400,,,2. State median - Operating Type K-8,7474,,,7792,,,7765,,
B. K-8 / 0 - 400,,,5. State average - All operating types,7776,,,8041,,,8004,,
B. K-8 / 0 - 400,,,6. State median - All operating types,7445,,,7679,,,7686,,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,7387,20,0.580,6794,9,0.570,5811,2,0.532
B. K-8 / 0 - 400,ATLANTIC,1540,FOLSOM BORO,5265,1,0.594,5434,2,0.579,6201,3,0.539
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,9813,56,0.608,8906,41,0.587,9488,49,0.609
