GROUP,CONAME,DIST,DISTNAME,pp3vv,stpct01vv,ltpct01vv,fdpct01vv,tupct01vv,fbpct01vv,otpct01vv,strat01vv,ssrat01vv,sarat01vv,pctsevv
K. CHARTER,ESSEX,6410,EAST ORANGE COMMUNITY CS,14885,0.776,0.12,0.104,0,0,0,15.3,94.5,162.5,0.072
K. CHARTER,ESSEX,6665,GRAY CS,15995,0.807,0.117,0.076,0,0,0,12.2,0,140.5,0.004
K. CHARTER,ESSEX,7100,LADY LIBERTY ACADEMY CS,16747,0.139,0.77,0.091,0,0,0,9.4,86.6,108.3,0.093
K. CHARTER,ESSEX,7210,MARION P. THOMAS CS,16098,0.784,0.118,0.098,0,0,0,17.1,171,85.5,0.041
K. CHARTER,ESSEX,7280,GREATER NEWARK CS,16072,0.769,0.125,0.106,0,0,0,12.2,85.5,35.6,0.076
K. CHARTER,ESSEX,7290,NEW HORIZONS COMM. CS,14489,0.841,0.039,0.12,0,0,0,15.1,113,75.3,0.029
K. CHARTER,ESSEX,7320,NORTH STAR ACAD. CS OF NEWARK,16723,0.815,0.106,0.079,0,0,0,11.7,452.5,104,0.051
K. CHARTER,ESSEX,7325,TEAM ACADEMY CHARTER SCHOOL,17915,0.871,0.064,0.065,0,0,0,19.8,1069,1069,0.086
K. CHARTER,ESSEX,7730,ROBERT TREAT ACADEMY CS,16193,0.757,0.173,0.071,0,0,0,13.5,249.5,237.6,0.032
K. CHARTER,ESSEX,7735,MARIA L. VARISCO-ROGERS CS,12423,0.778,0.142,0.08,0,0,0,11.3,76,101.3,0.080
K. CHARTER,ESSEX,8065,UNIVERSITY HEIGHTS CS,17240,0.757,0.159,0.083,0,0,0.001,8.6,99,99,0.056
E. K-12 / 0 - 1800,GLOUCESTER,860,CLAYTON BORO,15439,0.463,0.36,0.175,0,0,0.002,12.7,85.9,148,0.122
H. 7-12 / 9-12,GLOUCESTER,870,CLEARVIEW REGIONAL,14964,0.412,0.493,0.091,0.004,0,0,13.7,123.3,161.1,0.112
G. K-12 / 3501 +,GLOUCESTER,1100,DEPTFORD TWP,15167,0.342,0.553,0.094,0.003,0,0.008,13,94.6,195.7,0.116
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,13627,0.247,0.704,0.048,0,0,0.001,13.4,90.8,192.4,0.103
A. K-6,GLOUCESTER,1330,ELK TWP,15613,0.441,0.422,0.114,0.023,0,0,10.9,71.9,194,0.085
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,13604,0.451,0.436,0.107,0.006,0,0,14.3,88.4,202.1,0.105
H. 7-12 / 9-12,GLOUCESTER,1715,GATEWAY REGIONAL,23321,0.345,0.527,0.077,0.004,0.045,0.002,10.2,53.7,75,0.186
F. K-12 / 1801 - 3500,GLOUCESTER,1730,GLASSBORO,18928,0.422,0.46,0.115,0.003,0,0,12.1,90.7,159.3,0.148
I. CSSD,GLOUCESTER,1774,GLOUCESTER CO SPEC SERV,43274,0.156,0.124,0.051,0.67,0,0,6.6,9.6,36.6,0.961
J. VOC,GLOUCESTER,1775,GLOUCESTER CO VOCATIONAL,18156,0.343,0.514,0.131,0.011,0,0.001,13.7,141.8,174.5,0.197
C. K-8 / 401 - 750,GLOUCESTER,1830,GREENWICH TWP,17813,0.155,0.794,0.038,0.013,0,0,11.3,59.9,127.1,0.140
A. K-6,GLOUCESTER,2070,HARRISON TWP,13063,0.351,0.571,0.071,0.007,0,0,13.6,93.9,218.6,0.054
H. 7-12 / 9-12,GLOUCESTER,2440,KINGSWAY REGIONAL,14711,0.246,0.544,0.064,0.144,0,0.002,13.6,109.5,170.1,0.131
D. K-8 / 751 +,GLOUCESTER,2750,LOGAN TWP,16065,0.302,0.621,0.071,0.006,0,0,11.5,88,135.2,0.074
A. K-6,GLOUCESTER,2990,MANTUA TWP,14719,0.357,0.559,0.073,0.011,0,0,12.4,78.3,297.6,0.152
G. K-12 / 3501 +,GLOUCESTER,3280,MONROE TWP,14066,0.411,0.489,0.094,0.004,0,0.002,14.4,117.3,245.5,0.148
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,14008,0.489,0.388,0.116,0,0,0.007,12.5,195.6,173.9,0.112
E. K-12 / 0 - 1800,GLOUCESTER,4020,PAULSBORO BORO,17030,0.535,0.218,0.183,0.057,0,0.007,11.6,78.4,118.3,0.174
E. K-12 / 0 - 1800,GLOUCESTER,4140,PITMAN BORO,16182,0.432,0.464,0.093,0.007,0,0.004,11.3,69.1,119.1,0.144
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,14650,0.303,0.638,0.059,0,0,0,12.8,133.3,116.1,0.078
H. 7-12 / 9-12,GLOUCESTER,4940,DELSEA REGIONAL H.S DIST.,17771,0.446,0.426,0.114,0.014,0,0,12.9,94.7,146,0.130
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,14038,0.328,0.613,0.059,0,0,0,13.2,113.5,244.9,0.152
G. K-12 / 3501 +,GLOUCESTER,5500,WASHINGTON TWP,16718,0.399,0.492,0.073,0.002,0.035,0,12.1,76.5,175.8,0.137
A. K-6,GLOUCESTER,5590,WENONAH BORO,12638,0.232,0.712,0.054,0.003,0,0,10.9,223.6,175.7,0.081
F. K-12 / 1801 - 3500,GLOUCESTER,5620,WEST DEPTFORD TWP,14438,0.275,0.643,0.077,0.005,0,0,14.4,96.4,210.9,0.148
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,15203,0.476,0.363,0.118,0.029,0,0.014,10.4,119.3,127.9,0.179
E. K-12 / 0 - 1800,GLOUCESTER,5860,WOODBURY CITY,17986,0.435,0.4,0.127,0.008,0,0.03,11.6,85.3,136.8,0.162
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,14232,0.377,0.536,0.087,0,0,0,11.6,59,196.7,0.114
G. K-12 / 3501 +,HUDSON,220,BAYONNE CITY,15497,0.387,0.493,0.119,0.001,0,0,13.5,136.4,210.7,0.126
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,12895,0.496,0.314,0.19,0,0,0,14.9,175,102.1,0.049
D. K-8 / 751 +,HUDSON,1850,GUTTENBERG TOWN,12771,0.271,0.584,0.146,0,0,0,13.9,149.6,145.3,0.092
F. K-12 / 1801 - 3500,HUDSON,2060,HARRISON TOWN,21728,0.616,0.216,0.133,0.032,0,0.003,12.6,81,105.7,0.112
F. K-12 / 1801 - 3500,HUDSON,2210,HOBOKEN CITY,23820,0.346,0.596,0.052,0.006,0,0,9.7,54.3,102.8,0.116
J. VOC,HUDSON,2295,HUDSON COUNTY VOCATIONAL,42516,0.38,0.445,0.169,0.007,0,0,15.6,103,174.3,0.091
G. K-12 / 3501 +,HUDSON,2390,JERSEY CITY,21911,0.71,0.154,0.135,0,0,0.001,9.7,62,149.4,0.115
G. K-12 / 3501 +,HUDSON,2410,KEARNY TOWN,15168,0.353,0.544,0.096,0,0,0.007,13.1,108.4,196.7,0.114
G. K-12 / 3501 +,HUDSON,3610,NORTH BERGEN TWP,15456,0.485,0.341,0.141,0.033,0,0,13.6,138.4,176.1,0.130
F. K-12 / 1801 - 3500,HUDSON,4730,SECAUCUS TOWN,17496,0.099,0.875,0.026,0,0,0,14.1,105.1,151,0.113
G. K-12 / 3501 +,HUDSON,5240,UNION CITY,19769,0.716,0.08,0.204,0,0,0,12.8,113.8,141.3,0.108
E. K-12 / 0 - 1800,HUDSON,5580,WEEHAWKEN TWP,18657,0.22,0.718,0.048,0.002,0.012,0,11.5,81.9,121.2,0.107
G. K-12 / 3501 +,HUDSON,5670,WEST NEW YORK TOWN,16938,0.735,0.105,0.16,0,0,0,12.1,79.5,117.8,0.114
K. CHARTER,HUDSON,6030,THE ETHICAL COMMUNITY CHARTER SCHOOL,12244,0.812,0.011,0.176,0,0,0.001,17.1,0,80,0.008
K. CHARTER,HUDSON,6036,HOLA HOBOKEN DUAL LANG CS,0,0,0,0,0,0,0,0,0,0,0
K. CHARTER,HUDSON,6235,LIBERTY ACADEMY CS,16453,0.77,0.161,0.069,0,0,0,8.9,0,89.3,0.086
K. CHARTER,HUDSON,6420,ELYSIAN CS OF HOBOKEN,15721,0.882,0.08,0.038,0,0,0,12.4,162.8,146.5,0.119
K. CHARTER,HUDSON,6720,HOBOKEN CS,17135,0.947,0.003,0.049,0,0,0.001,8.6,274,54.8,0.135
K. CHARTER,HUDSON,6910,JERSEY CITY COMM. CS,14287,0.685,0.198,0.117,0,0,0,17.7,1166,583,0.052
K. CHARTER,HUDSON,6915,JERSEY CITY GOLDEN DOOR,13018,0.278,0.612,0.11,0,0,0,13.3,161.9,74,0.055
K. CHARTER,HUDSON,7115,LEARNING COMMUNITY CS,11525,0.921,0.027,0.053,0,0,0,15.4,90.8,151.3,0.066
K. CHARTER,HUDSON,7820,SCHOMBURG CS,18926,0.675,0.173,0.152,0,0,0,10.4,0,69.3,0.089
K. CHARTER,HUDSON,7830,SOARING HEIGHTS CS,14029,0.701,0.188,0.111,0,0,0,13.9,213,213,0.051
K. CHARTER,HUDSON,8060,UNIVERSITY ACADEMY CS,13260,0.738,0.185,0.077,0,0,0,11.2,59.3,166,0.127
C. K-8 / 401 - 750,HUNTERDON,20,ALEXANDRIA TWP,17504,0.225,0.712,0.04,0,0.014,0.009,9.8,83.1,123,0.130
C. K-8 / 401 - 750,HUNTERDON,370,BETHLEHEM TWP,18014,0.198,0.768,0.035,0,0,0,10.6,54.5,112.2,0.114
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,14165,0.388,0.54,0.067,0.005,0,0,8.7,156.3,138.9,0.080
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,15999,0.184,0.76,0.05,0.005,0,0.001,10.3,65.8,121.5,0.082
C. K-8 / 401 - 750,HUNTERDON,910,CLINTON TOWN,16966,0.22,0.717,0.043,0.019,0,0.001,11,77.1,174.7,0.147
D. K-8 / 751 +,HUNTERDON,920,CLINTON TWP,16980,0.134,0.814,0.021,0.015,0.017,0,12.1,62,190,0.141
C. K-8 / 401 - 750,HUNTERDON,1040,DELAWARE TWP,18191,0.195,0.777,0.021,0.006,0,0.001,10.2,78.1,115.2,0.153
H. 7-12 / 9-12,HUNTERDON,1050,DELAWARE VALLEY REGIONAL,19026,0.247,0.669,0.054,0,0.006,0.024,12.9,84.6,108.1,0.126
C. K-8 / 401 - 750,HUNTERDON,1160,EAST AMWELL TWP,16137,0.152,0.777,0.033,0.02,0.017,0.001,11.3,71.4,147.1,0.124
D. K-8 / 751 +,HUNTERDON,1510,FLEMINGTON-RARITAN REG,16506,0.16,0.786,0.03,0,0.023,0.001,11.6,84.2,172.4,0.115
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,19693,0.114,0.8,0.03,0,0.038,0.018,11,70.8,113.3,0.100
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,19232,0.278,0.632,0.064,0.026,0,0,9.2,62.4,97.5,0.128
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,21717,0.383,0.565,0.052,0,0,0,7.3,57.8,82.1,0.173
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,19555,0.28,0.67,0.037,0.012,0,0.001,9.7,55.8,100.5,0.224
C. K-8 / 401 - 750,HUNTERDON,2220,HOLLAND TWP,17112,0.221,0.715,0.049,0.002,0.009,0.004,10.1,76.6,131.8,0.132
H. 7-12 / 9-12,HUNTERDON,2300,HUNTERDON CENTRAL REG,21246,0.12,0.762,0.023,0.002,0.093,0,12.3,82,145.6,0.149
J. VOC,HUNTERDON,2308,HUNTERDON CO VOCATIONAL,8805,0.213,0.273,0.102,0.333,0.079,0,25.9,111.5,111.5,0.215
C. K-8 / 401 - 750,HUNTERDON,2450,KINGWOOD TWP,16392,0.245,0.697,0.042,0.002,0.014,0,10.5,59.2,150,0.091
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,21781,0.136,0.822,0.035,0,0.007,0,8.8,88.3,79.5,0.195
A. K-6,HUNTERDON,2590,LEBANON BORO,21994,0.084,0.859,0.033,0,0.024,0,7.6,42.5,85,0.106
D. K-8 / 751 +,HUNTERDON,2600,LEBANON TWP,17973,0.175,0.723,0.037,0.002,0.063,0,10.4,65.5,195,0.127
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,19573,0.187,0.756,0.038,0.016,0.003,0,8.6,57.8,80,0.115
H. 7-12 / 9-12,HUNTERDON,3660,N HUNT/VOORHEES REGIONAL,20474,0.131,0.774,0.021,0,0.075,0,12.2,68.7,108.6,0.147
D. K-8 / 751 +,HUNTERDON,4350,READINGTON TWP,18013,0.13,0.759,0.021,0.001,0.052,0.037,11.4,73,158.8,0.113
H. 7-12 / 9-12,HUNTERDON,4890,SOUTH HUNTERDON REGIONAL,31800,0.151,0.802,0.019,0.013,0.005,0.01,8,38.3,67.4,0.184
A. K-6,HUNTERDON,5050,STOCKTON BORO,19292,0.111,0.813,0.046,0.031,0,0,8.4,370,46.3,0.027
C. K-8 / 401 - 750,HUNTERDON,5180,TEWKSBURY TWP,18890,0.107,0.773,0.018,0.002,0.1,0,11.3,78.6,131,0.070
C. K-8 / 401 - 750,HUNTERDON,5270,UNION TWP,19810,0.132,0.842,0.026,0,0,0,11.8,63.3,177.3,0.118
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,16647,0.119,0.804,0.026,0,0.052,0,11,129.5,129.5,0.085
G. K-12 / 3501 +,MERCER,1245,EAST WINDSOR REGIONAL,17072,0.265,0.671,0.056,0.009,0,0,13.2,90.6,174.1,0.114
G. K-12 / 3501 +,MERCER,1430,EWING TWP,17659,0.186,0.759,0.05,0.004,0,0.001,11.8,76.3,161.2,0.128
G. K-12 / 3501 +,MERCER,1950,HAMILTON TWP,14936,0.393,0.509,0.099,0,0,0,12.9,76.3,202.5,0.144
G. K-12 / 3501 +,MERCER,2280,HOPEWELL VALLEY REGIONAL,19284,0.114,0.844,0.013,0.004,0.025,0,11.6,68.6,156.5,0.134
G. K-12 / 3501 +,MERCER,2580,LAWRENCE TWP,18912,0.137,0.808,0.036,0.003,0,0.016,11.7,57.1,145.5,0.129
I. CSSD,MERCER,3103,MERCER CO SPECIAL SERVICE,62962,0.101,0.108,0.012,0.78,0,0,5.9,7.1,48.8,1.000
J. VOC,MERCER,3105,MERCER COUNTY VOCATIONAL,19294,0.168,0.555,0.081,0.196,0,0,23.1,103.8,103.8,0.395
G. K-12 / 3501 +,MERCER,4255,PRINCETON REGIONAL,22511,0.131,0.781,0.02,0.068,0,0,11.1,58.3,140.5,0.107
G. K-12 / 3501 +,MERCER,5210,TRENTON CITY,21042,0.772,0.072,0.156,0,0,0,12.9,65.7,161.4,0.129
F. K-12 / 1801 - 3500,MERCER,5510,ROBBINSVILLE TWP,15219,0.138,0.836,0.027,0,0,0,11.8,87.7,195.5,0.119
G. K-12 / 3501 +,MERCER,5715,W WINDSOR-PLAINSBORO REG,16555,0.12,0.821,0.019,0.002,0.038,0,13.1,85.9,217.8,0.099
K. CHARTER,MERCER,6017,FOUNDATION ACADEMY CS,14424,0.848,0.096,0.056,0,0,0,18.8,132.9,186,0.107
K. CHARTER,MERCER,6023,CAPITAL PREP CHARTER SCHOOL,0,0,0,0,0,0,0,0,0,0,0
K. CHARTER,MERCER,6025,PAUL ROBESON HUMANITIES  CS,13559,0.839,0.093,0.068,0,0,0,8.8,67.3,101,0.129
K. CHARTER,MERCER,6425,EMILY FISHER CS OF ADV. STUDIES,18674,0.819,0.077,0.104,0,0,0,11.8,224.5,280.6,0.337
K. CHARTER,MERCER,6810,INTERNATIONAL CS OF TRENTON,17391,0.801,0.079,0.119,0,0,0.001,7.9,111.3,89,0.101
K. CHARTER,MERCER,7500,PACE CS OF HAMILTON,12763,0.762,0.137,0.101,0,0,0,10.5,0,72.5,0.044
K. CHARTER,MERCER,7540,PRINCETON CS,14396,0.097,0.894,0.01,0,0,0,10.9,344,132.3,0.029
K. CHARTER,MERCER,7901,TRENTON COMMUNITY CS,16502,0.814,0.08,0.105,0,0,0.001,11.1,101.7,305,0.100
K. CHARTER,MERCER,8140,VILLAGE CS,15754,0.801,0.084,0.115,0,0,0,11,90.8,181.5,0.048
G. K-12 / 3501 +,MIDDLESEX,750,CARTERET BORO,15249,0.476,0.4,0.124,0,0,0,13.2,103.5,174.1,0.100
C. K-8 / 401 - 750,MIDDLESEX,970,CRANBURY TWP,21033,0.092,0.888,0.019,0,0,0.001,10.1,64.8,124.2,0.106
E. K-12 / 0 - 1800,MIDDLESEX,1140,DUNELLEN BORO,15126,0.352,0.554,0.092,0.003,0,0,11.7,105.6,142.6,0.067
G. K-12 / 3501 +,MIDDLESEX,1170,EAST BRUNSWICK TWP,17260,0.177,0.784,0.038,0.001,0,0,13,84.4,194.2,0.105
G. K-12 / 3501 +,MIDDLESEX,1290,EDISON TWP,15533,0.159,0.808,0.032,0.001,0,0,12.1,98.5,245.3,0.098
E. K-12 / 0 - 1800,MIDDLESEX,2150,HIGHLAND PARK BORO,19437,0.195,0.748,0.041,0.001,0.015,0,11.3,63.6,134.1,0.133
C. K-8 / 401 - 750,MIDDLESEX,2370,JAMESBURG BORO,15393,0.378,0.52,0.102,0,0,0,12.9,84.1,134.6,0.126
F. K-12 / 1801 - 3500,MIDDLESEX,3120,METUCHEN BORO,17640,0.137,0.836,0.027,0,0,0,12.5,90.7,127.1,0.134
F. K-12 / 1801 - 3500,MIDDLESEX,3140,MIDDLESEX BORO,15780,0.302,0.621,0.073,0.004,0,0,12.1,78.2,163,0.115
J. VOC,MIDDLESEX,3150,MIDDLESEX CO VOCATIONAL,20568,0.297,0.602,0.088,0.013,0,0,12.6,53.7,102.7,0.245
C. K-8 / 401 - 750,MIDDLESEX,3220,MILLTOWN BORO,15664,0.138,0.821,0.038,0.002,0,0.001,10.8,99.6,169.3,0.084
G. K-12 / 3501 +,MIDDLESEX,3290,MONROE TWP,18306,0.1,0.843,0.016,0.034,0.005,0.002,12,73.6,213.6,0.133
G. K-12 / 3501 +,MIDDLESEX,3530,NEW BRUNSWICK CITY,21076,0.701,0.161,0.138,0,0,0,11.8,60,160,0.135
G. K-12 / 3501 +,MIDDLESEX,3620,NORTH BRUNSWICK TWP,16182,0.178,0.779,0.043,0,0,0,12.2,104.7,177.9,0.121
G. K-12 / 3501 +,MIDDLESEX,3845,OLD BRIDGE TWP,15746,0.328,0.588,0.084,0,0,0,13.4,105.5,221.2,0.115
G. K-12 / 3501 +,MIDDLESEX,4090,PERTH AMBOY CITY,18414,0.692,0.129,0.178,0,0,0.001,12.6,79.2,199.5,0.080
G. K-12 / 3501 +,MIDDLESEX,4130,PISCATAWAY TWP,16701,0.215,0.732,0.049,0.004,0,0,13.3,91.3,206.3,0.120
G. K-12 / 3501 +,MIDDLESEX,4660,SAYREVILLE BORO,14590,0.283,0.624,0.061,0.006,0,0.026,13.5,93.8,223.8,0.139
E. K-12 / 0 - 1800,MIDDLESEX,4830,SOUTH AMBOY CITY,14983,0.429,0.464,0.106,0,0,0.001,13.1,88.9,144.4,0.143
G. K-12 / 3501 +,MIDDLESEX,4860,SOUTH BRUNSWICK TWP,15941,0.195,0.725,0.046,0.001,0.033,0,13.1,89.9,166.6,0.111
G. K-12 / 3501 +,MIDDLESEX,4910,SOUTH PLAINFIELD BORO,16226,0.211,0.736,0.053,0,0,0,11.9,88.7,187.2,0.124
F. K-12 / 1801 - 3500,MIDDLESEX,4920,SOUTH RIVER BORO,13593,0.426,0.459,0.114,0.001,0,0,13.4,91.5,155.6,0.111
F. K-12 / 1801 - 3500,MIDDLESEX,4970,SPOTSWOOD BORO,15362,0.264,0.528,0.066,0.141,0,0.001,12.1,75.7,151.4,0.117
G. K-12 / 3501 +,MIDDLESEX,5850,WOODBRIDGE TWP,15301,0.194,0.744,0.054,0,0,0.008,12.7,99.6,196.7,0.115
K. CHARTER,MIDDLESEX,6032,ACADEMY FOR URBAN LEADERSHIP CS,0,0,0,0,0,0,0,0,0,0,0
K. CHARTER,MIDDLESEX,6041,HATIKVAH INTERNATIONAL CS,0,0,0,0,0,0,0,0,0,0,0
K. CHARTER,MIDDLESEX,6635,GREATER BRUNSWICK CS,14831,0.615,0.305,0.055,0,0,0.025,12.9,0,152.1,0.058
F. K-12 / 1801 - 3500,MONMOUTH,100,ASBURY PARK CITY,29819,0.785,0.082,0.129,0.001,0,0.003,7.6,32.1,67.7,0.149
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,19007,0.135,0.814,0.03,0.021,0,0,9.6,81.7,89.1,0.119
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,19262,0.135,0.823,0.014,0.014,0.014,0,10.1,73.6,81,0.062
C. K-8 / 401 - 750,MONMOUTH,270,BELMAR BORO,17296,0.17,0.604,0.068,0.158,0,0,10.6,146.8,132.9,0.115
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,20140,0.179,0.645,0.045,0,0.13,0.001,9.8,105.8,91.7,0.134
C. K-8 / 401 - 750,MONMOUTH,560,BRIELLE BORO,13824,0.117,0.853,0.028,0.003,0,0,13.5,99.9,243,0.069
D. K-8 / 751 +,MONMOUTH,945,COLTS NECK TWP,19628,0.141,0.822,0.037,0.001,0,0,9.6,76.5,144.6,0.119
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,25442,0.094,0.699,0.01,0.103,0.095,0,7.6,108.8,43.5,0.000
D. K-8 / 751 +,MONMOUTH,1260,EATONTOWN BORO,20676,0.234,0.648,0.05,0,0.067,0.001,10.4,56,156.9,0.179
D. K-8 / 751 +,MONMOUTH,1440,FAIR HAVEN BORO,13807,0.101,0.875,0.022,0.002,0,0,13.5,91.7,168.2,0.117
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,16446,0.38,0.563,0.051,0.006,0,0,8.5,150,125,0.167
D. K-8 / 751 +,MONMOUTH,1640,FREEHOLD BORO,15875,0.413,0.413,0.169,0.005,0,0,12.1,100,136,0.131
H. 7-12 / 9-12,MONMOUTH,1650,FREEHOLD REGIONAL,16013,0.307,0.627,0.065,0.001,0,0,15,114.6,156.2,0.123
D. K-8 / 751 +,MONMOUTH,1660,FREEHOLD TWP,15976,0.13,0.841,0.028,0.001,0,0,13.1,77.5,179.2,0.126
F. K-12 / 1801 - 3500,MONMOUTH,2105,HAZLET TWP,14882,0.282,0.628,0.065,0.001,0.024,0,12.3,99.9,157.5,0.148
H. 7-12 / 9-12,MONMOUTH,2120,HENRY HUDSON REGIONAL,23542,0.153,0.813,0.034,0,0,0,10.7,47.3,78.8,0.224
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,22914,0.178,0.773,0.049,0,0,0,9.2,45.1,80,0.205
F. K-12 / 1801 - 3500,MONMOUTH,2230,HOLMDEL TWP,17742,0.134,0.836,0.026,0.004,0,0,13,84.2,172.8,0.116
D. K-8 / 751 +,MONMOUTH,2290,HOWELL TWP,17834,0.323,0.595,0.07,0.004,0,0.008,12.8,72.9,182.7,0.154
E. K-12 / 0 - 1800,MONMOUTH,2400,KEANSBURG BORO,23307,0.738,0.106,0.156,0,0,0,7.7,36.1,83.8,0.165
E. K-12 / 0 - 1800,MONMOUTH,2430,KEYPORT BORO,16528,0.317,0.446,0.085,0.151,0,0.001,11.4,83.7,117.2,0.168
D. K-8 / 751 +,MONMOUTH,2720,LITTLE SILVER BORO,15957,0.109,0.871,0.019,0,0,0.001,11.3,71.2,132.8,0.094
G. K-12 / 3501 +,MONMOUTH,2770,LONG BRANCH CITY,19930,0.582,0.316,0.099,0.003,0,0,10.2,65.5,189.2,0.103
D. K-8 / 751 +,MONMOUTH,2920,MANALAPAN-ENGLISHTOWN REG,15076,0.29,0.646,0.062,0,0,0.002,13.3,90.9,206.3,0.128
E. K-12 / 0 - 1800,MONMOUTH,2930,MANASQUAN BORO,15381,0.11,0.504,0.026,0.36,0,0,13.3,79.7,144.6,0.131
D. K-8 / 751 +,MONMOUTH,3030,MARLBORO TWP,14956,0.192,0.743,0.04,0.002,0,0.023,13.3,90.4,211.5,0.113
G. K-12 / 3501 +,MONMOUTH,3040,MATAWAN-ABERDEEN REGIONAL,17281,0.238,0.707,0.053,0.002,0,0,11.4,92.8,181.3,0.089
G. K-12 / 3501 +,MONMOUTH,3160,MIDDLETOWN TWP,15937,0.196,0.768,0.035,0,0,0.001,13.3,77.7,214.4,0.139
D. K-8 / 751 +,MONMOUTH,3200,MILLSTONE TWP,16304,0.185,0.799,0.014,0.002,0,0,13,82.9,174,0.186
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,15366,0.118,0.852,0.029,0,0,0.001,12.1,100.3,107,0.072
J. VOC,MONMOUTH,3260,MONMOUTH CO VOCATIONAL,22139,0.259,0.451,0.046,0.244,0,0,10.8,99.1,130.4,0.165
H. 7-12 / 9-12,MONMOUTH,3270,MONMOUTH REGIONAL,23129,0.177,0.79,0.033,0,0,0,10.3,64.9,93.6,0.168
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,14680,0.209,0.582,0.085,0,0.125,0,11.7,102.3,199.5,0.135
G. K-12 / 3501 +,MONMOUTH,3510,NEPTUNE TWP,21568,0.532,0.347,0.087,0.031,0,0.003,12.5,69.7,153.9,0.156
G. K-12 / 3501 +,MONMOUTH,3810,OCEAN TWP,17711,0.188,0.776,0.034,0,0.003,0,11.5,69.2,153.3,0.120
C. K-8 / 401 - 750,MONMOUTH,3830,OCEANPORT BORO,17088,0.128,0.762,0.024,0.087,0,0,11.3,74.1,134.8,0.114
D. K-8 / 751 +,MONMOUTH,4360,RED BANK BORO,19934,0.256,0.61,0.128,0.005,0,0.001,11.1,64.4,112.6,0.102
H. 7-12 / 9-12,MONMOUTH,4365,RED BANK REGIONAL,23776,0.117,0.683,0.031,0.114,0.055,0,10.3,53.7,93.3,0.139
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,17754,0.313,0.608,0.058,0.021,0,0,8.8,140,33.6,0.000
D. K-8 / 751 +,MONMOUTH,4570,RUMSON BORO,15388,0.127,0.846,0.026,0.002,0,0,12.1,122.4,244.8,0.144
H. 7-12 / 9-12,MONMOUTH,4580,RUMSON-FAIR HAVEN REG,19310,0.107,0.862,0.02,0.009,0,0.002,12.2,85,94.9,0.143
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,20587,0.113,0.843,0.016,0.027,0,0.001,8.9,74.6,89.5,0.101
H. 7-12 / 9-12,MONMOUTH,4760,SHORE REGIONAL,22921,0.093,0.873,0.019,0.002,0.008,0.005,11.7,81.8,171.9,0.120
C. K-8 / 401 - 750,MONMOUTH,4770,SHREWSBURY BORO,16478,0.116,0.856,0.022,0.005,0,0.001,11,75.4,174.1,0.113
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,20793,0.131,0.84,0.029,0,0,0,11.3,72.4,93,0.098
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,16485,0.12,0.828,0.031,0.004,0.018,0,11,85.1,127.7,0.087
D. K-8 / 751 +,MONMOUTH,5185,TINTON FALLS,16800,0.192,0.762,0.033,0.005,0,0.008,12.2,72,176,0.119
D. K-8 / 751 +,MONMOUTH,5230,UNION BEACH,15416,0.457,0.418,0.126,0,0,0,13.4,91.1,175,0.135
F. K-12 / 1801 - 3500,MONMOUTH,5310,UPPER FREEHOLD REGIONAL,17172,0.185,0.542,0.031,0.243,0,0,12.7,82.1,174,0.142
G. K-12 / 3501 +,MONMOUTH,5420,WALL TWP,16213,0.149,0.819,0.03,0.001,0,0.001,12.7,77.7,184.6,0.143
