GROUP,CONAME,DIST,DISTNAME,pp3vv,stpct01vv,ltpct01vv,fdpct01vv,tupct01vv,fbpct01vv,otpct01vv,strat01vv,ssrat01vv,sarat01vv,pctsevv
E. K-12 / 0 - 1800,BURLINGTON,1520,FLORENCE TWP,17464,0.339,0.548,0.094,0.002,0,0.017,12.2,81,162.9,0.125
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,14675,0.212,0.727,0.045,0.014,0,0.002,12.1,112.7,174.8,0.157
H. 7-12 / 9-12,BURLINGTON,2610,LENAPE REGIONAL,20274,0.255,0.696,0.049,0,0,0,12,81.1,184.5,0.144
D. K-8 / 751 +,BURLINGTON,2850,LUMBERTON TWP,15058,0.362,0.558,0.08,0,0,0,13.5,65.1,167.9,0.202
A. K-6,BURLINGTON,2960,MANSFIELD TWP,16064,0.156,0.798,0.029,0.017,0,0,12.6,84.7,144,0.108
F. K-12 / 1801 - 3500,BURLINGTON,3010,MAPLE SHADE TWP,17079,0.286,0.64,0.07,0.004,0,0,13,82.7,159.1,0.193
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,13536,0.21,0.746,0.044,0,0,0,13.1,76.2,139,0.108
D. K-8 / 751 +,BURLINGTON,3080,MEDFORD TWP,16199,0.149,0.803,0.042,0,0,0.006,14.6,69.4,222.9,0.123
G. K-12 / 3501 +,BURLINGTON,3360,MOORESTOWN TWP,17117,0.137,0.804,0.034,0.024,0,0.001,13,63.4,171.8,0.099
D. K-8 / 751 +,BURLINGTON,3430,MOUNT HOLLY TWP,18896,0.506,0.352,0.131,0.011,0,0,10.4,71.3,110.9,0.162
D. K-8 / 751 +,BURLINGTON,3440,MOUNT LAUREL TWP,15484,0.146,0.817,0.032,0.005,0,0,12.5,68.6,187.8,0.145
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,20672,0.35,0.288,0.204,0,0.155,0.003,9.1,81.5,58.2,0.184
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,22440,0.424,0.101,0.456,0.003,0,0.016,10.4,52,127,0.142
H. 7-12 / 9-12,BURLINGTON,3690,NORTHERN BURLINGTON REG,19425,0.353,0.539,0.104,0.004,0,0,11.4,92,120.8,0.149
E. K-12 / 0 - 1800,BURLINGTON,3920,PALMYRA BORO,16327,0.313,0.488,0.091,0.104,0,0.004,11,68.4,107.1,0.163
G. K-12 / 3501 +,BURLINGTON,4050,PEMBERTON TWP,22022,0.775,0.11,0.111,0.002,0,0.002,10.2,50.1,138.9,0.142
H. 7-12 / 9-12,BURLINGTON,4320,RANCOCAS VALLEY REGIONAL,16434,0.37,0.474,0.11,0.045,0,0.001,15.5,96.6,130.7,0.176
E. K-12 / 0 - 1800,BURLINGTON,4450,RIVERSIDE TWP,16993,0.471,0.332,0.117,0.075,0,0.005,11.7,91.6,152.7,0.178
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,15984,0.167,0.789,0.043,0.001,0,0,11.5,55.2,132.5,0.147
D. K-8 / 751 +,BURLINGTON,4740,SHAMONG TWP,15517,0.32,0.606,0.07,0.001,0,0.003,13.2,84.9,186.8,0.094
D. K-8 / 751 +,BURLINGTON,4930,SOUTHAMPTON TWP,17087,0.238,0.728,0.034,0,0,0,11,72.2,132.3,0.159
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,16581,0.274,0.658,0.067,0,0,0.001,12.5,74.8,96.5,0.127
D. K-8 / 751 +,BURLINGTON,5130,TABERNACLE TWP,16837,0.392,0.533,0.068,0.006,0,0.001,12.3,81.3,172.4,0.099
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,22266,0.398,0.569,0.03,0,0.004,0,6.9,68,0,0.118
D. K-8 / 751 +,BURLINGTON,5720,WESTAMPTON,14997,0.327,0.605,0.066,0.002,0,0,12.4,87.6,157.7,0.100
