GROUP,CONAME,DIST,DISTNAME,PP114,PP214,PP314
A. K-6,,,1. State average - Operating Type K-6,0.272,0.288,0.330
A. K-6,,,2. State median - Operating Type K-6,0.254,0.273,0.306
A. K-6,,,5. State average - All operating types,0.260,0.276,0.306
A. K-6,,,6. State median - All operating types,0.248,0.267,0.297
A. K-6,BERGEN,1270,EDGEWATER BORO,0.260,0.272,0.295
A. K-6,BERGEN,3870,ORADELL BORO,0.307,0.296,0.309
A. K-6,BERGEN,4410,RIVER EDGE BORO,0.236,0.225,0.264
A. K-6,BERGEN,4620,SADDLE RIVER BORO,0.226,0.238,0.301
A. K-6,BURLINGTON,200,BASS RIVER TWP,0.269,0.305,0.358
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,0.247,0.273,0.307
A. K-6,BURLINGTON,2960,MANSFIELD TWP,0.273,0.299,0.330
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,0.296,0.331,0.344
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,0.283,0.291,0.307
A. K-6,CAMDEN,810,CHESILHURST,0.240,,
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,0.242,0.220,0.304
A. K-6,CAMDEN,5560,WATERFORD TWP,0.262,0.285,0.271
A. K-6,CAPE MAY,710,CAPE MAY CITY,0.256,0.248,0.284
A. K-6,CAPE MAY,2840,LOWER TWP,0.288,0.322,0.317
A. K-6,CAPE MAY,4700,SEA ISLE CITY,,,0.440
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,0.143,0.156,0.189
A. K-6,ESSEX,1400,ESSEX FELLS BORO,0.253,0.252,0.321
A. K-6,ESSEX,1465,FAIRFIELD TWP,0.267,0.273,0.329
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,0.288,0.326,0.370
A. K-6,ESSEX,4530,ROSELAND BORO,0.274,0.310,0.284
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,0.203,0.218,0.278
A. K-6,GLOUCESTER,1330,ELK TWP,0.272,0.290,0.352
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,0.281,0.292,0.304
A. K-6,GLOUCESTER,2070,HARRISON TWP,0.224,0.244,0.268
A. K-6,GLOUCESTER,2990,MANTUA TWP,0.269,0.290,0.338
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,0.262,0.294,0.382
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,0.172,0.176,0.214
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,0.293,0.281,0.309
A. K-6,GLOUCESTER,5590,WENONAH BORO,0.164,0.182,0.217
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,0.184,0.206,0.248
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,0.192,0.208,0.219
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,0.226,0.292,0.356
A. K-6,HUNTERDON,2590,LEBANON BORO,0.249,0.269,0.317
A. K-6,HUNTERDON,5050,STOCKTON BORO,0.131,0.132,0.165
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,0.245,0.245,0.329
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,0.213,0.266,0.302
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,0.312,0.264,0.297
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,0.147,0.183,0.238
A. K-6,MORRIS,3240,MINE HILL TWP,0.231,0.209,0.203
A. K-6,OCEAN,230,BEACH HAVEN BORO,0.248,0.212,0.259
A. K-6,OCEAN,320,BERKELEY TWP,0.277,0.299,0.385
A. K-6,OCEAN,1150,EAGLESWOOD TWP,0.266,0.302,0.306
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,0.197,0.194,0.260
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,0.370,0.375,0.439
A. K-6,OCEAN,2760,LONG BEACH ISLAND,0.307,0.322,0.364
A. K-6,OCEAN,3800,OCEAN GATE BORO,0.247,0.260,0.294
A. K-6,OCEAN,3820,OCEAN TWP,0.243,0.303,0.367
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,0.413,0.459,0.432
A. K-6,OCEAN,5020,STAFFORD TWP,0.305,0.306,0.420
A. K-6,OCEAN,5220,TUCKERTON BORO,0.255,0.274,0.358
A. K-6,SUSSEX,1630,FREDON TWP,0.226,0.235,0.248
A. K-6,SUSSEX,1980,HAMPTON TWP,0.247,0.290,0.326
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,0.229,0.249,0.232
A. K-6,SUSSEX,5040,STILLWATER TWP,0.232,0.255,0.280
A. K-6,WARREN,400,BLAIRSTOWN TWP,0.294,0.285,0.362
A. K-6,WARREN,1620,FRANKLIN TWP,0.324,0.385,0.410
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,0.291,0.313,0.281
A. K-6,WARREN,2470,KNOWLTON TWP,0.204,0.225,0.237
A. K-6,WARREN,2970,MANSFIELD TWP,0.299,0.315,0.338
A. K-6,WARREN,5480,WASHINGTON BORO,0.382,0.381,0.459
A. K-6,WARREN,5530,WASHINGTON TWP,0.236,0.258,0.273
B. K-8 / 0 - 400,,,1. State average - Operating Type K-8,0.262,0.276,0.307
B. K-8 / 0 - 400,,,2. State median - Operating Type K-8,0.255,0.270,0.303
B. K-8 / 0 - 400,,,5. State average - All operating types,0.260,0.276,0.306
B. K-8 / 0 - 400,,,6. State median - All operating types,0.248,0.267,0.297
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,0.235,0.244,0.336
B. K-8 / 0 - 400,ATLANTIC,1540,FOLSOM BORO,0.225,0.232,0.290
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,0.213,0.232,0.430
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,0.273,0.294,0.330
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,0.194,0.215,0.246
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,0.305,0.327,0.387
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,0.256,0.276,0.320
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,0.221,0.215,0.289
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,0.312,0.330,0.408
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,0.217,0.213,0.253
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,0.228,0.220,0.280
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,0.246,0.283,0.308
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,0.382,0.264,0.288
