GROUP,CONAME,DIST,DISTNAME,DE120,DE220,DE320,DE420
A. K-6,BERGEN,1270,EDGEWATER BORO,3373242,577203,3950445,-203398
A. K-6,BERGEN,3870,ORADELL BORO,562555,21009,583564,265567
A. K-6,BERGEN,4410,RIVER EDGE BORO,1292820,-11570,1281250,102268
A. K-6,BERGEN,4620,SADDLE RIVER BORO,1965196,-68767,1896429,-32008
A. K-6,BURLINGTON,200,BASS RIVER TWP,343142,12406,355548,714
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,697586,248276,945862,-373621
A. K-6,BURLINGTON,2960,MANSFIELD TWP,685171,-93213,591958,54348
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,28667352,21509,28688861,-384694
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,667201,42336,709537,-13886
A. K-6,CAMDEN,810,CHESILHURST,1005818,90688,1071267,-875034
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,427108,44376,471484,-207272
A. K-6,CAMDEN,5560,WATERFORD TWP,3867634,226296,4093930,-2062459
A. K-6,CAPE MAY,710,CAPE MAY CITY,684784,948086,1632870,25256
A. K-6,CAPE MAY,2840,LOWER TWP,3157353,875341,4032694,-1179063
A. K-6,CAPE MAY,4700,SEA ISLE CITY,1131121,-129445,1001676,-106151
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,290040,137888,427928,153928
A. K-6,ESSEX,1400,ESSEX FELLS BORO,329387,28942,358329,254540
A. K-6,ESSEX,1465,FAIRFIELD TWP,1717237,479460,2196697,-960502
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,456811,517202,974013,655025
A. K-6,ESSEX,4530,ROSELAND BORO,1329299,-614594,714705,-165897
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,661049,278124,939173,148394
A. K-6,GLOUCESTER,1330,ELK TWP,959425,198312,1157737,-397038
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,1214695,1087339,2302034,360465
A. K-6,GLOUCESTER,2070,HARRISON TWP,1341362,532738,1874100,-583415
A. K-6,GLOUCESTER,2990,MANTUA TWP,669162,393750,1062912,-103268
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,339418,-14592,324826,155481
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,716660,-134212,582448,-79750
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,2968072,239684,3207756,-1361607
A. K-6,GLOUCESTER,5590,WENONAH BORO,260651,-25775,234876,-90883
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,854316,47869,902185,-182638
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,229294,24094,253388,2358
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,148416,47686,196102,119790
A. K-6,HUNTERDON,2590,LEBANON BORO,514864,213058,727922,86278
A. K-6,HUNTERDON,5050,STOCKTON BORO,92383,-2406,91222,35665
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,615937,287967,903904,45489
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,873162,36488,909650,-157776
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,631485,301425,932910,944
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,948247,-142131,806116,-319175
A. K-6,MORRIS,3240,MINE HILL TWP,794544,-61325,733219,-25470
A. K-6,OCEAN,230,BEACH HAVEN BORO,325011,16304,341315,1613
A. K-6,OCEAN,320,BERKELEY TWP,3822285,718247,4540532,-466493
A. K-6,OCEAN,1150,EAGLESWOOD TWP,95350,-9028,86322,-53434
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,562806,-15010,547796,-245313
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,3322155,-893386,2428769,-1163770
A. K-6,OCEAN,2760,LONG BEACH ISLAND,1511534,76638,1588172,-458282
A. K-6,OCEAN,3800,OCEAN GATE BORO,837421,331450,1168871,-67666
A. K-6,OCEAN,3820,OCEAN TWP,3405523,-655392,2750131,-144846
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,1532916,154455,1687371,-392317
A. K-6,OCEAN,5020,STAFFORD TWP,1781787,905938,2687725,-810507
A. K-6,OCEAN,5220,TUCKERTON BORO,606019,334009,632821,-57699
A. K-6,SUSSEX,1630,FREDON TWP,466448,57284,523732,69283
A. K-6,SUSSEX,1980,HAMPTON TWP,722854,367420,1090274,68404
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,1004229,-65052,939177,-140186
A. K-6,SUSSEX,5040,STILLWATER TWP,632168,459763,1091931,-135470
A. K-6,WARREN,400,BLAIRSTOWN TWP,683725,236957,920682,-202442
A. K-6,WARREN,1620,FRANKLIN TWP,293991,415471,709462,154668
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,391440,11478,402918,18003
A. K-6,WARREN,2470,KNOWLTON TWP,359031,124703,483734,116573
A. K-6,WARREN,2970,MANSFIELD TWP,659043,292635,951678,-387496
A. K-6,WARREN,5480,WASHINGTON BORO,1316751,-13282,1303469,-288107
A. K-6,WARREN,5530,WASHINGTON TWP,1132680,-445381,687299,73254
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,549702,-181540,368162,-213570
B. K-8 / 0 - 400,ATLANTIC,1540,FOLSOM BORO,1246856,855991,2102847,121743
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,203918,105509,309427,129338
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,503941,-13282,490659,181983
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,516370,108635,625005,-273182
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,985915,183581,1169496,215684
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,470118,9837,479955,-52178
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,-569452,682423,112971,673516
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,7047171,-475020,6572151,-3100460
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,419207,37313,456520,7610
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,264391,148338,407629,46496
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,196856,163835,360691,80218
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,510805,-48188,462617,30147
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,701817,141284,843101,-150978
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,309345,30760,340105,177590
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,655576,485131,1140707,-366293
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,770184,207572,977756,140330
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,1360307,593211,1953518,162930
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,633210,122604,755814,285659
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,21644,117901,139545,137045
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,144232,72328,216560,-67866
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,559444,203426,762870,10479
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,1352385,103731,1456116,-868123
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,234898,-7522,227376,64083
B. K-8 / 0 - 400,CUMBERLAND,3050,MAURICE RIVER TWP,1541514,418649,1960163,85523
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,364463,42743,407206,-177914
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,1741149,484925,2226074,-243875
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,164228,186119,350347,343122
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,236550,-41113,195437,71340
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,572080,-133474,438606,-226244
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,409928,-49568,360360,-7944
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,192279,229082,421361,-72861
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,343157,92821,435978,140289
