GROUP,CONAME,DIST,DISTNAME,SSRAT0017,RK0017,SALS0017,RKSAL0017,SSRAT0117,RK0117,SALS0117,RKSAL0117
A. K-6,,,K-6 Average,80.6,,61541,,87.1,,62288,
A. K-6,BERGEN,1270,EDGEWATER BORO,230.8,2,67829,49,123.6,13,54425,25
A. K-6,BERGEN,3870,ORADELL BORO,118.5,13,69877,51,155.9,6,52056,21
A. K-6,BERGEN,4410,RIVER EDGE BORO,74.6,36,73457,55,77.1,39,73375,55
A. K-6,BERGEN,4620,SADDLE RIVER BORO,83.6,29,63482,42,84.4,34,62077,37
A. K-6,BURLINGTON,200,BASS RIVER TWP,69.4,44,56049,30,66.1,46,59085,30
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,137.7,9,77375,59,101.5,23,71547,54
A. K-6,BURLINGTON,2960,MANSFIELD TWP,84.7,28,64139,44,85.5,33,64139,43
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,52,55,62268,40,55.8,54,67389,51
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,74.8,35,66239,47,77.8,38,53644,23
A. K-6,CAMDEN,810,CHESILHURST,,,,,,,,
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,90.5,21,21639,4,87.4,31,15235,4
A. K-6,CAMDEN,5560,WATERFORD TWP,58.3,51,74346,56,63.5,49,76903,57
A. K-6,CAPE MAY,710,CAPE MAY CITY,178,6,61600,37,155,7,67000,49
A. K-6,CAPE MAY,2840,LOWER TWP,87.4,26,76486,58,93.1,30,78589,58
A. K-6,CAPE MAY,4700,SEA ISLE CITY,60,48,57819,33,48,58,57819,28
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,180,5,7819,2,200,3,7975,2
A. K-6,ESSEX,1400,ESSEX FELLS BORO,83.4,30,46807,12,60.5,52,49363,17
A. K-6,ESSEX,1465,FAIRFIELD TWP,71.8,41,77493,60,70.7,45,80564,60
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,71.1,42,48469,16,73.6,40,52916,22
A. K-6,ESSEX,4530,ROSELAND BORO,74.4,37,56000,29,73.2,42,60665,34
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,90.8,20,59516,36,99.3,25,62258,38
A. K-6,GLOUCESTER,1330,ELK TWP,71.9,40,54428,26,107.8,20,64995,45
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,88.4,23,71250,53,117.7,15,59850,32
A. K-6,GLOUCESTER,2070,HARRISON TWP,93.9,19,65415,46,103.1,21,65415,47
A. K-6,GLOUCESTER,2990,MANTUA TWP,78.3,32,68396,50,80,37,69870,53
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,195.6,4,45340,10,169.4,4,41102,11
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,133.3,10,45917,11,137,9,41084,10
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,113.5,15,54313,25,139.4,8,62407,39
A. K-6,GLOUCESTER,5590,WENONAH BORO,223.6,3,28520,5,230,2,28520,6
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,119.3,12,63610,43,110,18,67009,50
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,59,49,53312,23,54.5,55,56492,27
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,88.3,24,73045,54,101.1,24,76284,56
A. K-6,HUNTERDON,2590,LEBANON BORO,42.5,59,46938,13,30,60,47538,14
A. K-6,HUNTERDON,5050,STOCKTON BORO,370,1,3150,1,430,1,3150,1
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,129.5,11,62164,39,122.5,14,65814,48
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,81.7,31,37292,8,130,11,44912,12
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,45.1,58,29334,6,82.4,36,29384,7
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,140,8,47588,15,56.4,53,15573,5
A. K-6,MORRIS,3240,MINE HILL TWP,77.7,33,53788,24,158.8,5,48635,16
A. K-6,OCEAN,230,BEACH HAVEN BORO,47.5,57,15283,3,93.8,28,13231,3
A. K-6,OCEAN,320,BERKELEY TWP,68.4,46,64228,45,72,44,65345,46
A. K-6,OCEAN,1150,EAGLESWOOD TWP,56.9,52,50350,17,61.8,51,50350,19
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,70.6,43,55593,28,111.8,16,46313,13
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,76.5,34,59233,35,87.3,32,68489,52
A. K-6,OCEAN,2760,LONG BEACH ISLAND,37.3,60,51355,19,45.4,59,60350,33
A. K-6,OCEAN,3800,OCEAN GATE BORO,51.6,56,38128,9,52,56,35517,8
A. K-6,OCEAN,3820,OCEAN TWP,58.9,50,59051,34,63.5,49,61969,36
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,111,16,61900,38,73.1,43,63800,41
A. K-6,OCEAN,5020,STAFFORD TWP,89,22,63366,41,95.1,26,62798,40
A. K-6,OCEAN,5220,TUCKERTON BORO,56.8,53,52456,21,73.6,40,47806,15
A. K-6,SUSSEX,1630,FREDON TWP,86.8,27,57160,31,111.7,17,56171,26
A. K-6,SUSSEX,1980,HAMPTON TWP,88,25,51197,18,108.1,19,57827,29
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,163,7,36910,7,131.7,10,39017,9
A. K-6,SUSSEX,5040,STILLWATER TWP,99.5,18,76310,57,93.8,28,79480,59
A. K-6,WARREN,400,BLAIRSTOWN TWP,61.1,47,66775,48,65.7,47,60900,35
A. K-6,WARREN,1620,FRANKLIN TWP,74,38,54950,27,64.2,48,59795,31
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,116.9,14,47183,14,127.1,12,49438,18
A. K-6,WARREN,2470,KNOWLTON TWP,56,54,53210,22,50.7,57,51833,20
A. K-6,WARREN,2970,MANSFIELD TWP,72.3,39,70965,52,94.7,27,63981,42
A. K-6,WARREN,5480,WASHINGTON BORO,104,17,51678,20,101.7,22,53803,24
A. K-6,WARREN,5530,WASHINGTON TWP,68.9,45,57399,32,83.5,35,64444,44
B. K-8 / 0 - 400,,,K-8 Average,77.6,,64795,,80.4,,65967,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,72.9,39,43604,17,87.7,33,52109,33
B. K-8 / 0 - 400,ATLANTIC,1540,FOLSOM BORO,71.3,42,58868,41,72.4,43,61805,48
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,,,,,,,,
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,73.7,35,46091,22,70.3,44,49284,27
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,50,61,53604,32,49.7,63,59507,42
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,195,6,72385,59,193.6,7,72645,60
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,107.8,15,59037,42,94.3,29,61118,45
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,272.5,1,31993,8,440,1,25936,8
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,81.5,28,59107,43,68.8,46,60964,44
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,55.2,59,57833,40,55.8,58,49235,26
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,68,46,49654,28,61,54,51327,32
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,150,9,77700,63,144,12,77700,63
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,255,4,34554,11,243.3,4,34554,10
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,70.3,45,44044,18,72.9,42,53024,34
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,105.6,17,54400,33,126.5,15,56700,38
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,103.1,19,48401,26,92,31,59471,41
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,38.3,65,65044,53,42.8,66,69112,58
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,70.4,44,80376,64,75.3,40,83907,66
B. K-8 / 0 - 400,CAPE MAY,4701,SEA ISLE CITY,,,,,,,,
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,40.7,64,73498,60,50,62,79567,64
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,66,47,80788,65,60.9,55,83163,65
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,,,,,214,5,47518,24
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,213.9,5,38456,12,209.4,6,38456,12
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,86,25,40522,15,101.9,23,41522,15
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,,,,,,,,
B. K-8 / 0 - 400,CUMBERLAND,3050,MAURICE RIVER TWP,129.7,13,48206,25,189.5,8,50912,30
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,134,11,45636,21,135,13,47115,23
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,175,7,15015,1,168.6,10,12012,1
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,156.3,8,22770,4,171.3,9,23807,7
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,65.8,48,18000,2,66.8,48,18050,3
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,70.8,43,45451,20,89.4,32,47018,22
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,62.4,52,44424,19,66.8,48,44424,20
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,57.8,55,33170,9,48.5,64,13652,2
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,55.8,58,59320,44,62.3,53,63853,54
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,57.8,55,29500,6,82.9,34,21321,5
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,73.6,36,25079,5,78.1,37,23075,6
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,105.8,16,61160,47,97.3,27,44067,19
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,108.8,14,74460,62,125,16,77160,62
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,150,9,73556,61,156,11,73556,61
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,100.3,22,30824,7,121.6,17,29169,9
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,102.3,21,38704,13,101.5,24,39753,13
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,74.6,34,64233,52,77.9,38,63340,51
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,72.4,41,56330,36,59.6,56,59280,39
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,85.1,26,56502,37,98.9,25,49104,25
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,48.8,62,61030,45,51.9,61,61200,46
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,53.2,60,69815,56,52.9,60,69515,59
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,81.4,29,71549,57,114.4,18,62765,49
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,72.9,39,48904,27,68.9,45,49534,28
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,270,2,34378,10,292.5,2,35657,11
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,64.3,50,40118,14,76.4,39,54236,35
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,104,18,50354,30,93,30,45910,21
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,102.4,20,50944,31,96.2,28,51294,31
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,268.6,3,61106,46,262.9,3,63491,52
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,81.3,30,49830,29,113.5,19,41680,16
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,78,31,62937,51,78.6,36,62937,50
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,131.3,12,61960,49,128.3,14,64209,55
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,44.5,63,47830,23,43.8,65,50301,29
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,58.1,54,48196,24,56.1,57,43709,18
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,56.4,57,57700,39,53.5,59,59312,40
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,62.4,52,55500,35,63.6,52,42811,17
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,100.3,22,66461,54,108.6,20,54405,36
B. K-8 / 0 - 400,UNION,1710,GARWOOD BORO,85,27,43379,16,103.7,22,41286,14
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,100,24,18438,3,68.1,47,18092,4
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,73.3,37,61645,48,104.8,21,66340,56
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,64.8,49,66876,55,65.8,51,67281,57
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,62.7,51,57675,38,74.3,41,61415,47
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,73.3,37,62342,50,98.3,26,63796,53
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,75.7,32,54912,34,82.4,35,59766,43
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,75.2,33,71905,58,66.5,50,55155,37
C. K-8 / 401 - 750,,,K-8 Average,77.6,,64795,,80.4,,65967,
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,56.6,58,50256,9,57.8,58,51056,8
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,69.4,50,69720,49,70.8,48,83820,60
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,88,20,51705,10,100,11,51305,9
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,93.8,15,65786,41,96.9,13,64916,39
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,61.3,54,63830,36,60.2,56,72116,52
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,57,57,54889,17,68.6,50,54804,15
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,89,18,53950,12,83.8,30,56495,20
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,43.7,63,79803,58,44.6,63,85868,63
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,91.9,16,78975,56,85.7,28,70200,51
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,94.7,14,83049,62,95.3,15,84295,62
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,89,18,65391,39,87.3,25,65392,41
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,78.4,29,87861,63,69.7,49,79551,57
C. K-8 / 401 - 750,BURLINGTON,1030,DELANCO TWP,78.4,29,81306,60,87.6,24,82386,59
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,76.1,38,54250,14,81.9,35,53150,13
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,112.7,7,46259,3,91.2,18,52235,11
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,76.2,36,49264,6,89,22,50064,7
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,91,17,67840,44,83.9,29,55795,16
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,54.8,59,58113,27,55.4,60,59413,28
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,86.3,22,46228,2,63.8,55,48180,3
C. K-8 / 401 - 750,CAMDEN,2890,MAGNOLIA BORO,85,23,47500,4,81.3,36,47500,2
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,97,11,54028,13,118,3,49510,6
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,73.9,42,47698,5,89.1,20,55982,17
C. K-8 / 401 - 750,CAMDEN,5900,WOODLYNNE BORO,77.8,32,57921,26,97.7,12,60210,29
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,50.7,62,49281,7,48.9,62,49181,4
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,96.6,12,55075,18,82,34,56344,19
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,107.9,8,66770,43,154,2,58840,25
