GROUP,CONAME,DIST,DISTNAME,PP112,RK112,PCT112,PP212,RK212,PCT212,PP312,RK312,PCT312
A. K-6,,,1. State average - Operating Type K-6,100,,,87,,,79,,
A. K-6,,,2. State median - Operating Type K-6,62,,,42,,,98,,
A. K-6,,,5. State average - All operating types,68,,,65,,,47,,
A. K-6,,,6. State median - All operating types,46,,,55,,,44,,
A. K-6,BERGEN,1270,EDGEWATER BORO,,,0.000,,,0.000,,,0.000
A. K-6,BERGEN,3870,ORADELL BORO,,,0.000,,,0.000,,,0.000
A. K-6,BERGEN,4410,RIVER EDGE BORO,,,0.000,,,0.000,,,0.000
A. K-6,BERGEN,4620,SADDLE RIVER BORO,,,0.000,,,0.000,,,0.000
A. K-6,BURLINGTON,200,BASS RIVER TWP,300,20,0.018,,,0.000,,,0.000
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,,,0.000,,,0.000,,,0.000
A. K-6,BURLINGTON,2960,MANSFIELD TWP,,,0.000,,,0.000,,,0.000
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,,,0.000,,,0.000,,,0.000
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,52,10,0.004,,,0.000,,,0.000
A. K-6,CAMDEN,810,CHESILHURST,472,22,0.027,,,0.000,,,0.000
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,,,0.000,,,0.000,,,0.000
A. K-6,CAMDEN,5560,WATERFORD TWP,77,14,0.006,113,11,0.008,,,0.000
A. K-6,CAPE MAY,710,CAPE MAY CITY,55,11,0.004,11,2,0.001,331,11,0.019
A. K-6,CAPE MAY,2840,LOWER TWP,91,15,0.008,90,10,0.007,,,0.000
A. K-6,CAPE MAY,4700,SEA ISLE CITY,,,0.000,,,0.000,490,12,0.014
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,249,19,0.012,298,13,0.014,,,0.000
A. K-6,ESSEX,1400,ESSEX FELLS BORO,,,0.000,,,0.000,,,0.000
A. K-6,ESSEX,1465,FAIRFIELD TWP,,,0.000,,,0.000,,,0.000
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,,,0.000,,,0.000,,,0.000
A. K-6,ESSEX,4530,ROSELAND BORO,,,0.000,,,0.000,,,0.000
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,,,0.000,,,0.000,,,0.000
A. K-6,GLOUCESTER,1330,ELK TWP,109,16,0.010,88,9,0.008,69,6,0.006
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,,,0.000,35,7,0.003,10,2,0.001
A. K-6,GLOUCESTER,2070,HARRISON TWP,,,0.000,,,0.000,,,0.000
A. K-6,GLOUCESTER,2990,MANTUA TWP,,,0.000,,,0.000,,,0.000
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,,,0.000,,,0.000,,,0.000
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,21,5,0.002,,,0.000,,,0.000
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,,,0.000,,,0.000,,,0.000
A. K-6,GLOUCESTER,5590,WENONAH BORO,,,0.000,,,0.000,,,0.000
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,,,0.000,,,0.000,,,0.000
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,,,0.000,,,0.000,,,0.000
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,26,6,0.002,,,0.000,,,0.000
A. K-6,HUNTERDON,2590,LEBANON BORO,,,0.000,,,0.000,,,0.000
A. K-6,HUNTERDON,5050,STOCKTON BORO,473,23,0.030,,,0.000,,,0.000
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,45,9,0.004,,,0.000,,,0.000
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,,,0.000,,,0.000,,,0.000
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,12,3,0.001,,,0.000,,,0.000
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,152,17,0.011,12,3,0.001,244,9,0.015
A. K-6,MORRIS,3240,MINE HILL TWP,,,0.000,,,0.000,,,0.000
A. K-6,OCEAN,230,BEACH HAVEN BORO,,,0.000,,,0.000,,,0.000
A. K-6,OCEAN,320,BERKELEY TWP,,,0.000,,,0.000,,,0.000
A. K-6,OCEAN,1150,EAGLESWOOD TWP,366,21,0.024,,,0.000,151,8,0.011
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,19,4,0.001,25,6,0.002,,,0.000
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,,,0.000,,,0.000,,,0.000
A. K-6,OCEAN,2760,LONG BEACH ISLAND,479,24,0.022,672,14,0.028,276,10,0.013
A. K-6,OCEAN,3800,OCEAN GATE BORO,65,13,0.005,,,0.000,,,0.000
A. K-6,OCEAN,3820,OCEAN TWP,196,18,0.013,129,12,0.008,127,7,0.008
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,,,0.000,,,0.000,,,0.000
A. K-6,OCEAN,5020,STAFFORD TWP,,,0.000,,,0.000,,,0.000
A. K-6,OCEAN,5220,TUCKERTON BORO,27,7,0.002,12,3,0.001,10,2,0.001
A. K-6,SUSSEX,1630,FREDON TWP,,,0.000,,,0.000,3,1,0.000
A. K-6,SUSSEX,1980,HAMPTON TWP,,,0.000,,,0.000,,,0.000
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,58,12,0.004,49,8,0.003,55,5,0.004
A. K-6,SUSSEX,5040,STILLWATER TWP,3,1,0.000,,,0.000,,,0.000
A. K-6,WARREN,400,BLAIRSTOWN TWP,,,0.000,,,0.000,,,0.000
A. K-6,WARREN,1620,FRANKLIN TWP,,,0.000,,,0.000,,,0.000
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,43,8,0.004,21,5,0.002,10,2,0.001
A. K-6,WARREN,2470,KNOWLTON TWP,,,0.000,,,0.000,,,0.000
A. K-6,WARREN,2970,MANSFIELD TWP,,,0.000,,,0.000,,,0.000
A. K-6,WARREN,5480,WASHINGTON BORO,,,0.000,,,0.000,,,0.000
A. K-6,WARREN,5530,WASHINGTON TWP,9,2,0.001,4,1,0.000,,,0.000
B. K-8 / 0 - 400,,,1. State average - Operating Type K-8,48,,,40,,,34,,
B. K-8 / 0 - 400,,,2. State median - Operating Type K-8,45,,,51,,,45,,
B. K-8 / 0 - 400,,,5. State average - All operating types,68,,,65,,,47,,
B. K-8 / 0 - 400,,,6. State median - All operating types,46,,,55,,,44,,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,24,6,0.002,31,3,0.003,30,6,0.003
B. K-8 / 0 - 400,ATLANTIC,1540,FOLSOM BORO,,,0.000,,,0.000,,,0.000
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,111,22,0.007,81,10,0.005,,,0.000
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,,,0.000,,,0.000,,,0.000
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,,,0.000,,,0.000,,,0.000
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,201,31,0.011,92,14,0.005,101,15,0.005
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,98,19,0.006,103,15,0.006,70,12,0.004
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,,,0.000,219,25,0.014,,,0.000
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,43,8,0.003,51,6,0.003,,,0.000
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,,,0.000,,,0.000,,,0.000
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,197,29,0.012,143,20,0.007,147,24,0.007
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,98,19,0.007,180,23,0.013,106,18,0.008
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,97,18,0.009,103,15,0.009,124,22,0.010
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,122,24,0.008,126,19,0.008,102,17,0.006
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,,,0.000,,,0.000,,,0.000
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,,,0.000,,,0.000,15,3,0.001
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,822,35,0.026,925,28,0.025,853,26,0.022
