GROUP,CONAME,DIST,DISTNAME,PP19,RK19,PCT19,SBA9,PP29,RK29,PCT29,SBB9,PP39,RK39,PCT39,SBC9
A. K-6,,,1. State average - Operating Type K-6,1118,,,,1104,,,,1096,,,
A. K-6,,,2. State median - Operating Type K-6,1187,,,,1222,,,,1200,,,
A. K-6,,,5. State average - All operating types,1156,,,,1199,,,,1181,,,
A. K-6,,,6. State median - All operating types,1195,,,,1243,,,,1238,,,
A. K-6,BERGEN,1270,EDGEWATER BORO,1067,22,0.086,0.749,1070,24,0.093,0.704,889,17,0.083,0.738
A. K-6,BERGEN,3870,ORADELL BORO,1229,35,0.110,0.816,1253,32,0.110,0.836,1234,32,0.109,0.810
A. K-6,BERGEN,4410,RIVER EDGE BORO,1139,27,0.104,0.854,1190,28,0.108,0.882,1222,31,0.105,0.862
A. K-6,BERGEN,4620,SADDLE RIVER BORO,1528,56,0.083,0.829,1493,56,0.077,0.839,1628,59,0.078,0.874
A. K-6,BURLINGTON,200,BASS RIVER TWP,963,17,0.058,0.629,1181,27,0.084,0.698,1269,35,0.090,0.740
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,1174,29,0.104,0.779,1302,36,0.114,0.817,1192,29,0.103,0.739
A. K-6,BURLINGTON,2960,MANSFIELD TWP,1079,23,0.101,0.823,1222,30,0.103,0.822,1139,26,0.100,0.797
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,1618,59,0.102,0.874,1672,58,0.105,0.881,1487,51,0.091,0.856
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,1416,48,0.116,0.781,1324,40,0.103,0.738,1283,38,0.097,0.786
A. K-6,CAMDEN,810,CHESILHURST,810,7,0.046,0.438,,,0.000,0.000,,,0.000,0.000
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,1304,40,0.118,0.746,1398,48,0.116,0.784,1281,37,0.108,0.738
A. K-6,CAMDEN,5560,WATERFORD TWP,1213,33,0.095,0.820,1303,37,0.095,0.826,1298,40,0.109,0.807
A. K-6,CAPE MAY,710,CAPE MAY CITY,1209,32,0.082,0.765,1192,29,0.075,0.797,1297,39,0.074,0.768
A. K-6,CAPE MAY,2840,LOWER TWP,900,12,0.076,0.863,938,15,0.077,0.897,956,21,0.078,0.843
A. K-6,CAPE MAY,4700,SEA ISLE CITY,,,0.000,0.000,,,0.000,0.000,310,2,0.009,0.179
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,762,3,0.036,0.545,413,2,0.019,0.304,,,0.000,0.000
A. K-6,ESSEX,1400,ESSEX FELLS BORO,1249,37,0.085,0.772,1349,44,0.090,0.766,1525,56,0.097,0.818
A. K-6,ESSEX,1465,FAIRFIELD TWP,938,15,0.083,0.765,1015,22,0.086,0.757,1139,26,0.090,0.787
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,1442,51,0.099,0.860,1450,52,0.103,0.865,1474,50,0.099,0.848
A. K-6,ESSEX,4530,ROSELAND BORO,1330,42,0.109,0.887,1249,31,0.098,0.876,1250,33,0.100,0.869
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,863,11,0.092,0.800,851,11,0.086,0.804,871,15,0.087,0.804
A. K-6,GLOUCESTER,1330,ELK TWP,958,16,0.088,0.697,960,17,0.086,0.694,950,19,0.087,0.685
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,847,10,0.086,0.784,936,14,0.088,0.765,891,18,0.084,0.739
A. K-6,GLOUCESTER,2070,HARRISON TWP,835,9,0.088,0.813,827,7,0.086,0.771,862,14,0.088,0.794
A. K-6,GLOUCESTER,2990,MANTUA TWP,905,13,0.088,0.799,961,18,0.086,0.800,950,19,0.089,0.778
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,713,2,0.061,0.635,540,3,0.047,0.516,500,4,0.041,0.427
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,1035,21,0.106,0.788,978,20,0.104,0.776,835,12,0.094,0.702
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,917,14,0.101,0.828,828,8,0.087,0.783,808,10,0.088,0.760
A. K-6,GLOUCESTER,5590,WENONAH BORO,650,1,0.066,0.601,856,12,0.084,0.745,743,5,0.073,0.664
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,1084,24,0.087,0.743,622,5,0.051,0.560,762,6,0.058,0.551
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,1018,18,0.090,0.687,546,4,0.047,0.394,406,3,0.039,0.311
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,1452,54,0.086,0.847,1343,43,0.075,0.819,1337,43,0.078,0.816
A. K-6,HUNTERDON,2590,LEBANON BORO,790,6,0.040,0.433,961,18,0.048,0.486,835,12,0.040,0.487
A. K-6,HUNTERDON,5050,STOCKTON BORO,2382,60,0.150,0.666,152,1,0.010,0.115,155,1,0.010,0.112
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,1327,41,0.109,0.818,1390,47,0.108,0.773,1269,35,0.097,0.752
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,1342,43,0.092,0.647,1362,46,0.094,0.762,1302,41,0.092,0.765
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,1445,52,0.075,0.794,1309,38,0.072,0.822,1334,42,0.070,0.787
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,1187,30,0.089,0.782,1338,41,0.079,0.575,1034,23,0.062,0.595
A. K-6,MORRIS,3240,MINE HILL TWP,777,5,0.069,0.507,727,6,0.067,0.495,790,8,0.068,0.501
A. K-6,OCEAN,230,BEACH HAVEN BORO,1228,34,0.068,0.818,1341,42,0.068,0.828,1083,24,0.061,0.809
