CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
1,10,8855541,5792779,5600817,128067,63895,1123357,1009470,965797,806835,839311,438596,0,42850,5612,813,ABSECON CITY,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,110,108624913,64802646,60572434,3362115,868097,13532692,11484042,10914689,7014246,16370790,7746084,450000,1467388,761541,6231,ATLANTIC CITY,ATLANTIC,G. K-12 / 3501 +,3,A,,1,ATLANTIC
1,120,9765595,5158843,4596156,340140,222547,923795,811915,1535428,1247654,1993684,812637,0,21522,19509,754,ATLANTIC CO VOCATIONAL,ATLANTIC,J. VOC,8,,,1,ATLANTIC
1,125,18834007,11233017,10646233,174688,412096,3430701,3218301,2111054,1863125,1837965,915021,117503,0,56029,490,ATLANTIC CO SPECIAL SERV,ATLANTIC,I. CSSD,7,,,1,ATLANTIC
1,570,11877012,7156730,6779957,297603,79170,1654052,1531014,1261916,1038319,1638715,836644,0,164344,44955,826,BRIGANTINE CITY,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,590,28702146,17225630,16500587,572652,152391,4279908,4014743,3085617,2503793,2989731,1537127,175000,768650,99316,2547,BUENA REGIONAL,ATLANTIC,F. K-12 / 1801 - 3500,3,A,,1,ATLANTIC
1,1300,6769423,4169226,3975197,164353,29676,1053965,972275,760354,633701,697740,374998,0,88138,0,478,EGG HARBOR CITY,ATLANTIC,C. K-8 / 401 - 750,2,A,,1,ATLANTIC
1,1310,87896614,53015625,50416768,2431225,167632,12616610,11820875,7368275,5975393,12135601,5587994,385033,1457750,443473,7633,EGG HARBOR TWP,ATLANTIC,G. K-12 / 3501 +,3,CD,,1,ATLANTIC
1,1410,2678779,1553464,1492368,53825,7271,330928,282387,361019,289977,414709,186510,5132,9679,18430,210,ESTELL MANOR CITY,ATLANTIC,B. K-8 / 0 - 400,2,DE,,1,ATLANTIC
1,1540,3602938,2141404,1961961,145067,34376,568979,518197,473951,385985,418939,192338,0,21450,74896,407,FOLSOM BORO,ATLANTIC,B. K-8 / 0 - 400,2,CD,,1,ATLANTIC
1,1690,43749320,27997394,27106980,526235,261879,6761252,5964882,4325961,3516719,4439628,2133083,56900,140373,277550,3548,GALLOWAY TWP,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,1790,45626128,26018359,24244915,1737835,35609,4929822,4702785,5627698,4382968,7012638,3747272,0,2015248,168784,3839,GREATER EGG HARBOR REG,ATLANTIC,H. 7-12 / 9-12,5,CD,,1,ATLANTIC
1,1940,32629838,20032289,18756857,1070547,204885,4729345,4458578,3263076,2557615,4456928,2326771,0,145886,96240,3204,HAMILTON TWP,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,1960,33710706,19972924,18948674,558692,76759,4465953,4182870,4366372,3081071,4265054,1390712,0,695032,217565,3362,HAMMONTON TOWN,ATLANTIC,G. K-12 / 3501 +,3,B,,1,ATLANTIC
1,2680,11786200,7139630,6623508,493038,23084,1707384,1604787,1379789,1021951,1502279,682009,0,107118,90965,970,LINWOOD CITY,ATLANTIC,D. K-8 / 751 +,2,GH,,1,ATLANTIC
1,2910,19927714,11628163,11166920,388956,72287,2882074,2593679,1762202,1362838,2333188,1091849,0,1052620,116995,1662,MAINLAND REGIONAL,ATLANTIC,H. 7-12 / 9-12,5,DE,,1,ATLANTIC
1,3020,8969004,5130442,4871313,257265,1864,1437242,1146934,1024302,852425,1188993,0,112613,68609,33688,588,MARGATE CITY,ATLANTIC,C. K-8 / 401 - 750,2,DE,,1,ATLANTIC
1,3480,8044224,5348263,5116064,212783,37241,827071,742679,927152,783577,883945,492866,32397,50703,7801,712,MULLICA TWP,ATLANTIC,C. K-8 / 401 - 750,2,B,,1,ATLANTIC
1,3720,11220544,7476180,7182284,228553,65343,1364453,1220690,1261793,918516,1009511,494170,29000,79607,40722,1095,NORTHFIELD CITY,ATLANTIC,D. K-8 / 751 +,2,DE,,1,ATLANTIC
