GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
A. K-6,,,1. State average - Operating Type K-6,37,,,40,,,40,,
A. K-6,,,2. State median - Operating Type K-6,30,,,33,,,41,,
A. K-6,,,5. State average - All operating types,37,,,39,,,37,,
A. K-6,,,6. State median - All operating types,31,,,33,,,35,,
A. K-6,BERGEN,1270,EDGEWATER BORO,95,52,0.008,49,35,0.005,76,43,0.008
A. K-6,BERGEN,3870,ORADELL BORO,84,46,0.008,94,47,0.008,64,40,0.005
A. K-6,BERGEN,4410,RIVER EDGE BORO,17,15,0.002,20,19,0.002,38,28,0.003
A. K-6,BERGEN,4620,SADDLE RIVER BORO,92,50,0.005,160,53,0.007,107,51,0.005
A. K-6,BURLINGTON,200,BASS RIVER TWP,15,12,0.001,25,22,0.002,74,42,0.005
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,22,20,0.002,26,23,0.002,27,20,0.002
A. K-6,BURLINGTON,2960,MANSFIELD TWP,39,34,0.004,33,28,0.003,42,30,0.003
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,16,13,0.001,11,12,0.001,12,9,0.001
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,164,55,0.013,74,41,0.005,153,57,0.011
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,,,0.000,,,0.000,,,0.000
A. K-6,CAMDEN,5560,WATERFORD TWP,41,35,0.003,34,29,0.003,45,32,0.003
A. K-6,CAPE MAY,710,CAPE MAY CITY,29,26,0.002,26,23,0.001,28,21,0.001
A. K-6,CAPE MAY,2840,LOWER TWP,8,9,0.001,17,17,0.001,17,13,0.001
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,69,42,0.003,147,52,0.009,49,34,0.004
A. K-6,ESSEX,1400,ESSEX FELLS BORO,74,44,0.005,97,49,0.005,107,51,0.006
A. K-6,ESSEX,1465,FAIRFIELD TWP,85,47,0.007,71,40,0.005,111,54,0.008
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,23,22,0.002,45,31,0.003,109,53,0.007
A. K-6,ESSEX,4530,ROSELAND BORO,55,38,0.004,45,31,0.003,41,29,0.003
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,30,27,0.003,22,21,0.002,28,21,0.003
A. K-6,GLOUCESTER,1330,ELK TWP,9,10,0.001,19,18,0.002,13,11,0.001
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,33,31,0.003,79,43,0.007,34,25,0.003
A. K-6,GLOUCESTER,2070,HARRISON TWP,25,24,0.003,45,31,0.004,28,21,0.003
A. K-6,GLOUCESTER,2990,MANTUA TWP,2,2,0.000,15,15,0.001,9,4,0.001
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,6,8,0.001,3,3,0.000,8,2,0.001
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,93,51,0.011,74,41,0.009,55,37,0.005
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,4,7,0.000,7,6,0.001,8,2,0.001
A. K-6,GLOUCESTER,5590,WENONAH BORO,2,2,0.000,7,6,0.001,12,9,0.001
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,16,13,0.001,2,1,0.000,23,17,0.002
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,42,36,0.003,8,9,0.001,9,4,0.001
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,56,40,0.004,3,3,0.000,60,39,0.004
A. K-6,HUNTERDON,2590,LEBANON BORO,20,17,0.001,1065,55,0.047,50,35,0.003
A. K-6,HUNTERDON,5050,STOCKTON BORO,,,0.000,,,0.000,98,48,0.007
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,85,47,0.006,61,38,0.004,85,46,0.006
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,72,43,0.005,95,48,0.007,113,55,0.008
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,85,47,0.006,80,44,0.005,79,44,0.004
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,65,41,0.003,6,5,0.000,53,36,0.003
A. K-6,MORRIS,3240,MINE HILL TWP,169,56,0.017,91,46,0.009,102,49,0.009
A. K-6,OCEAN,230,BEACH HAVEN BORO,101,53,0.006,122,51,0.006,103,50,0.005
