GROUP,CONAME,DIST,DISTNAME,SARAT0018,RK0018,SALAM0018,RKSAL0018,SARAT0118,RK0118,SALAM0118,RKSAL0118
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,42.1,65,111690,53,42.4,59,113924,54
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,93,42,104500,50,94,39,113513,53
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,137.8,19,178531,65,128,16,182032,61
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,137.3,20,77500,19,61.4,54,40000,1
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,153.5,12,75000,15,148.5,10,76425,18
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,135.4,22,76800,18,126.7,17,44111,3
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,140,18,101107,45,141.5,12,102583,41
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,,,,,,,,
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,69.1,61,73000,13,160,6,90000,26
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,341,2,121875,57,279.2,2,79643,19
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,144.7,17,41208,2,156.5,8,41208,2
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,93,42,78508,21,41.9,60,71403,11
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,260.7,5,44500,4,295.2,1,76218,17
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,66,62,60882,10,20.3,61,90000,26
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,79.5,54,90438,33,102.9,29,92880,30
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,79,55,61289,11,,,,
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,131.5,24,76128,16,73.4,50,87078,25
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,71.7,60,81489,22,58.8,56,76132,16
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,176.5,9,99340,41,177,4,104181,44
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,148.3,16,47633,5,157.5,7,49361,4
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,79,55,73500,14,77,48,75301,15
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,121,29,126000,61,55.5,57,126000,58
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,95,41,58204,7,102.4,30,55000,5
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,168.9,11,129963,63,,,,
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,107.7,35,86123,26,101.4,31,62900,9
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,113.8,33,91435,36,109.2,27,100000,34
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,124.6,27,76750,17,72,51,117597,56
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,82.9,50,103868,47,55,58,82250,22
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,98.3,39,99389,42,119.3,20,103546,42
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,95.4,40,71403,12,119,21,100200,38
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,77.1,57,34418,1,58.9,55,55054,6
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,90.7,45,97185,38,94.7,36,100071,36
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,62.5,64,122664,59,,,,
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,76,58,98028,40,75.5,49,98778,32
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,103.3,36,100144,44,99.7,33,100144,37
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,119.7,30,139394,64,68.4,53,103600,43
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,89.7,46,104001,48,86.7,44,112536,51
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,178.5,7,87907,27,180.5,3,109250,46
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,112,34,120000,56,122.7,19,127296,59
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,124.3,28,112980,55,144,11,115240,55
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,281,3,48760,6,125.6,18,70000,10
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,114,32,107100,51,111.3,26,109300,47
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,83.1,49,59220,8,86.3,45,60404,8
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,87.9,47,127500,62,85.3,46,132716,60
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,100,38,89364,32,119,21,91152,28
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,134,23,107616,52,136,14,110844,49
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,149.1,14,43223,3,91,40,80353,20
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,176.9,8,104077,49,88.5,43,84000,23
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,126.2,25,84003,25,130.7,15,85683,24
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,252.7,6,88346,31,,,,
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,137,21,99619,43,139,13,102524,40
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,84.7,48,98000,39,88.7,41,100000,34
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,103,37,91357,35,88.7,41,95011,31
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,80.8,52,87995,28,71.5,52,81783,21
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,150.4,13,87997,29,94.9,35,99600,33
B. K-8 / 0 - 400,UNION,1710,GARWOOD BORO,170,10,91553,37,155.6,9,110952,50
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,75,59,103831,46,79,47,105908,45
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,274,4,124500,60,114.2,25,75297,14
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,148.9,15,60000,9,107.6,28,59081,7
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,65,63,122400,58,94.5,37,72500,12
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,92.7,44,112736,54,101.3,32,112736,52
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,118.3,31,90891,34,116,23,125110,57
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,349,1,81600,23,167,5,72500,12
C. K-8 / 401 - 750,,,K-8 Average,173.9,,111631,,168.2,,111502,
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,100.8,65,94891,11,101,58,98212,16
C. K-8 / 401 - 750,ATLANTIC,1540,FOLSOM BORO,138.7,44,80380,5,139.7,38,81988,4
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,123.5,54,111311,39,95,59,111063,38
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,144.2,40,106365,27,148.4,31,109091,31
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,115.8,60,120232,58,119.4,53,114444,46
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,160.8,29,134639,63,165.8,21,150195,63
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,134.4,46,117424,53,124.5,48,119773,58
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,172.8,20,95000,12,158.3,26,102250,21
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,438,1,158100,65,,,,
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,170.3,22,119883,55,161.8,22,108622,28
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,189.3,11,110500,36,169.3,18,100000,19
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,202,7,85000,6,209.4,9,86700,8
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,226.5,4,121000,59,226.5,6,92730,12
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,173.8,18,112776,41,218.6,7,113944,45
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,231.3,3,79119,3,179.2,13,81555,3
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,133.3,47,100229,18,134,43,104265,23
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,180.6,16,90568,9,160,24,87310,9
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,119.5,57,96622,13,91.3,61,83232,6
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,155.7,32,104406,26,236.5,5,118022,54
C. K-8 / 401 - 750,CAMDEN,2890,MAGNOLIA BORO,217,6,98349,16,139.3,39,89998,10
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,110.5,61,109308,33,113,55,109308,33
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,172.7,21,79560,4,291.4,2,115119,48
C. K-8 / 401 - 750,CAMDEN,5900,WOODLYNNE BORO,153.3,33,90000,8,145.7,34,116059,50
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,153.3,33,101116,20,148.5,30,103653,22
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,186.6,12,103835,25,202.3,10,107689,26
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,153.3,33,85390,7,120,52,82400,5
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,135.3,45,114783,48,87.5,62,84854,7
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,245.3,2,102000,22,168,19,75645,1
C. K-8 / 401 - 750,CUMBERLAND,3050,MAURICE RIVER TWP,179.5,17,77900,2,175.9,17,79847,2
C. K-8 / 401 - 750,GLOUCESTER,1830,GREENWICH TWP,141.4,41,123570,60,127.8,45,98138,15
C. K-8 / 401 - 750,HUNTERDON,20,ALEXANDRIA TWP,104.4,62,114720,47,86.9,63,108502,27
C. K-8 / 401 - 750,HUNTERDON,370,BETHLEHEM TWP,102.6,64,112885,42,151,29,91800,11
C. K-8 / 401 - 750,HUNTERDON,910,CLINTON-GLEN GARDNER,166.3,25,103677,24,160.3,23,105751,25
C. K-8 / 401 - 750,HUNTERDON,1040,DELAWARE TWP,102.9,63,109701,34,105.1,57,110478,36
C. K-8 / 401 - 750,HUNTERDON,1160,EAST AMWELL TWP,132.4,49,97747,15,123.2,49,100935,20
C. K-8 / 401 - 750,HUNTERDON,2220,HOLLAND TWP,161.8,28,108130,30,154.5,27,110833,37
C. K-8 / 401 - 750,HUNTERDON,2450,KINGWOOD TWP,129.1,51,109150,32,127.8,45,111660,41
C. K-8 / 401 - 750,HUNTERDON,2600,LEBANON TWP,149.2,36,117300,52,178.8,14,118213,55
C. K-8 / 401 - 750,HUNTERDON,5180,TEWKSBURY TWP,118,58,108715,31,176,16,108857,29
C. K-8 / 401 - 750,HUNTERDON,5270,UNION TWP,169.7,23,113654,44,121,51,109707,34
C. K-8 / 401 - 750,MIDDLESEX,970,CRANBURY TWP,119.6,56,118102,54,110.8,56,117637,53
C. K-8 / 401 - 750,MIDDLESEX,3220,MILLTOWN BORO,183.6,14,115315,49,139.3,39,116441,51
C. K-8 / 401 - 750,MONMOUTH,270,BELMAR BORO,200,8,114000,46,141.8,36,108900,30
C. K-8 / 401 - 750,MONMOUTH,560,BRIELLE BORO,200,8,113210,43,201.3,11,115475,49
C. K-8 / 401 - 750,MONMOUTH,3500,NEPTUNE CITY,195,10,120156,57,167.9,20,122610,60
C. K-8 / 401 - 750,MONMOUTH,3830,OCEANPORT BORO,130,50,99779,17,127.6,47,97280,13
C. K-8 / 401 - 750,MONMOUTH,4770,SHREWSBURY BORO,163,26,113826,45,160,24,118773,56
C. K-8 / 401 - 750,MONMOUTH,5230,UNION BEACH,147,37,96900,14,145.2,35,98838,17
C. K-8 / 401 - 750,MONMOUTH,5640,WEST LONG BRANCH BORO,181.8,15,100600,19,240,4,114675,47
C. K-8 / 401 - 750,MORRIS,460,BOONTON TWP,139.1,43,116800,50,138.3,41,119688,57
C. K-8 / 401 - 750,MORRIS,3090,MENDHAM BORO,124.6,53,110060,35,116.3,54,111141,39
C. K-8 / 401 - 750,MORRIS,3380,MORRIS PLAINS BORO,157,31,106766,28,153.8,28,111210,40
C. K-8 / 401 - 750,MORRIS,4480,ROCKAWAY BORO,218.8,5,101758,21,334,1,97923,14
C. K-8 / 401 - 750,OCEAN,2500,LAKEHURST BORO,166.5,24,91800,10,213,8,117468,52
C. K-8 / 401 - 750,PASSAIC,420,BLOOMINGDALE BORO,132.8,48,111000,38,93.2,60,99063,18
C. K-8 / 401 - 750,PASSAIC,3640,NORTH HALEDON BORO,162.6,27,103550,23,141.3,37,109250,32
C. K-8 / 401 - 750,SALEM,60,ALLOWAY TWP,146.6,38,61979,1,132.1,44,105372,24
C. K-8 / 401 - 750,SOMERSET,240,BEDMINSTER TWP,117,59,117000,51,146,33,113363,43
C. K-8 / 401 - 750,SOMERSET,4850,SOUTH BOUND BROOK,185.6,13,112200,40,178.4,15,113500,44
C. K-8 / 401 - 750,SOMERSET,5540,WATCHUNG BORO,173.5,19,141662,64,244,3,135000,62
C. K-8 / 401 - 750,SUSSEX,90,ANDOVER REG,121,55,119893,56,,,,
C. K-8 / 401 - 750,SUSSEX,1560,FRANKFORD TWP,144.3,39,107422,29,138,42,110291,35
C. K-8 / 401 - 750,SUSSEX,1570,FRANKLIN BORO,125.3,52,130786,61,122.5,50,130786,61
C. K-8 / 401 - 750,SUSSEX,1800,GREEN TWP,158.3,30,110722,37,183.5,12,112936,42
C. K-8 / 401 - 750,WARREN,30,ALLAMUCHY TWP,141,42,131566,62,146.3,32,122400,59
D. K-8 / 751 +,,,K-8 Average,173.9,,111631,,168.2,,111502,
D. K-8 / 751 +,ATLANTIC,10,ABSECON CITY,208.5,27,103834,22,218,16,103834,20
D. K-8 / 751 +,ATLANTIC,570,BRIGANTINE CITY,150.6,78,109294,30,151.4,71,113597,42
D. K-8 / 751 +,ATLANTIC,1690,GALLOWAY TWP,213.4,24,115790,42,199.4,25,109650,30
D. K-8 / 751 +,ATLANTIC,1940,HAMILTON TWP,252.6,5,102250,17,236.5,10,102250,15
D. K-8 / 751 +,ATLANTIC,2680,LINWOOD CITY,164.8,65,105961,26,147.5,75,119471,51
D. K-8 / 751 +,ATLANTIC,3720,NORTHFIELD CITY,248.8,6,103466,21,316.6,4,95000,7
D. K-8 / 751 +,ATLANTIC,4800,SOMERS POINT CITY,156.6,73,92160,6,135.8,80,96562,8
D. K-8 / 751 +,ATLANTIC,5350,VENTNOR CITY,226.3,15,97612,11,174.4,45,93000,6
D. K-8 / 751 +,BERGEN,40,ALLENDALE BORO,184.8,44,125629,65,180.8,40,126571,68
D. K-8 / 751 +,BERGEN,930,CLOSTER BORO,184.3,46,133239,77,187.2,35,136114,77
D. K-8 / 751 +,BERGEN,1230,EAST RUTHERFORD BORO,161.3,70,105060,24,158.4,65,102450,16
D. K-8 / 751 +,BERGEN,1470,FAIRVIEW BORO,201.2,33,142810,81,173.4,48,138000,78
D. K-8 / 751 +,BERGEN,1580,FRANKLIN LAKES BORO,154.8,76,149736,87,131.1,82,146011,85
D. K-8 / 751 +,BERGEN,2180,HILLSDALE BORO,229.2,12,139841,79,190.3,29,141239,81
