GROUP,CONAME,DIST,DISTNAME,PP110,RK110,PCT110,PP210,RK210,PCT210,PP310,RK310,PCT310
A. K-6,,,1. State average - Operating Type K-6,1365,,,1381,,,1501,,
A. K-6,,,2. State median - Operating Type K-6,1349,,,1357,,,1453,,
A. K-6,,,5. State average - All operating types,1624,,,1643,,,1787,,
A. K-6,,,6. State median - All operating types,1470,,,1498,,,1606,,
A. K-6,BERGEN,1270,EDGEWATER BORO,1087,11,0.087,900,4,0.089,1283,16,0.135
A. K-6,BERGEN,3870,ORADELL BORO,1138,15,0.102,1140,16,0.095,1369,23,0.108
A. K-6,BERGEN,4410,RIVER EDGE BORO,1061,9,0.093,1080,10,0.092,1069,4,0.086
A. K-6,BERGEN,4620,SADDLE RIVER BORO,1551,42,0.077,1534,38,0.070,1873,46,0.090
A. K-6,BURLINGTON,200,BASS RIVER TWP,1920,49,0.133,1766,47,0.121,1858,45,0.120
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,1365,33,0.128,1660,42,0.147,1753,42,0.152
A. K-6,BURLINGTON,2960,MANSFIELD TWP,1304,28,0.120,1132,13,0.102,1223,12,0.102
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,2018,51,0.130,1919,49,0.125,2092,52,0.130
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,1352,31,0.103,1471,35,0.109,1929,49,0.132
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,1229,18,0.113,1243,24,0.107,1453,30,0.106
A. K-6,CAMDEN,5560,WATERFORD TWP,1405,36,0.116,1897,48,0.147,1636,38,0.117
A. K-6,CAPE MAY,710,CAPE MAY CITY,2633,56,0.137,2734,58,0.128,2747,57,0.137
A. K-6,CAPE MAY,2840,LOWER TWP,1484,40,0.121,1497,36,0.117,1558,36,0.118
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,2830,58,0.135,2559,57,0.161,1781,43,0.133
A. K-6,ESSEX,1400,ESSEX FELLS BORO,1560,43,0.103,1999,52,0.111,1991,50,0.112
A. K-6,ESSEX,1465,FAIRFIELD TWP,1254,22,0.100,1700,43,0.124,1192,10,0.084
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,1428,37,0.106,1540,39,0.107,1898,47,0.120
A. K-6,ESSEX,4530,ROSELAND BORO,1224,17,0.101,1212,20,0.093,1349,20,0.097
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,1203,16,0.124,1029,8,0.110,1173,8,0.116
A. K-6,GLOUCESTER,1330,ELK TWP,1100,12,0.107,1152,17,0.106,1314,17,0.110
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,1271,23,0.128,1333,29,0.125,1548,35,0.134
A. K-6,GLOUCESTER,2070,HARRISON TWP,1281,24,0.130,1229,22,0.122,1272,14,0.118
A. K-6,GLOUCESTER,2990,MANTUA TWP,1282,26,0.117,1292,27,0.108,1431,27,0.115
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,1249,19,0.102,1357,30,0.104,1665,40,0.113
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,1064,10,0.130,1133,14,0.133,1432,28,0.137
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,1126,14,0.125,1126,12,0.122,1211,11,0.120
A. K-6,GLOUCESTER,5590,WENONAH BORO,902,3,0.088,888,2,0.082,996,2,0.086
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,1047,7,0.081,961,6,0.076,1157,6,0.084
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,855,2,0.069,899,3,0.073,1108,5,0.081
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,1476,39,0.105,1223,21,0.093,1331,19,0.085
A. K-6,HUNTERDON,2590,LEBANON BORO,2281,54,0.102,1953,51,0.085,2119,53,0.108
A. K-6,HUNTERDON,5050,STOCKTON BORO,2020,52,0.136,2027,53,0.138,1387,24,0.103
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,1281,24,0.096,1390,31,0.102,1350,21,0.089
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,1250,20,0.092,1156,18,0.088,1272,14,0.093
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,1824,48,0.118,1761,45,0.107,2544,56,0.131
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,2362,55,0.127,1757,44,0.117,2178,55,0.137
A. K-6,MORRIS,3240,MINE HILL TWP,978,4,0.098,952,5,0.096,1390,25,0.129
A. K-6,OCEAN,230,BEACH HAVEN BORO,2679,57,0.147,2045,54,0.100,3405,59,0.149
A. K-6,OCEAN,320,BERKELEY TWP,1792,46,0.147,1765,46,0.147,1825,44,0.139
A. K-6,OCEAN,1150,EAGLESWOOD TWP,1799,47,0.122,1138,15,0.087,1316,18,0.088
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,2273,53,0.154,2191,55,0.137,2044,51,0.145
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,1053,8,0.086,1030,9,0.084,1047,3,0.083
A. K-6,OCEAN,2760,LONG BEACH ISLAND,3601,59,0.167,3088,59,0.144,3229,58,0.147
