CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
3,440,14501515,9035135,8456067,324093,254975,2040267,1665861,1721991,1262785,1248634,169484,0,434223,0,1137,BOGOTA BORO,BERGEN,E. K-12 / 0 - 1800,3,DE,,1,BERGEN
3,740,8580120,5417773,5146280,183693,87800,948418,686668,1110103,911703,1080354,437354,0,21912,0,575,CARLSTADT BORO,BERGEN,C. K-8 / 401 - 750,2,DE,,1,BERGEN
3,745,9722237,5276766,5013466,202950,60350,1433187,906837,1073123,732373,1456336,561232,5000,423235,0,552,CARLSTADT-EAST RUTHERFORD,BERGEN,H. 7-12 / 9-12,5,CD,,1,BERGEN
3,890,36896441,24314148,22983792,679059,651297,4683253,3496136,4025744,3113021,2837882,1566744,0,752923,0,2859,CLIFFSIDE PARK BORO,BERGEN,F. K-12 / 1801 - 3500,3,B,,1,BERGEN
3,930,15772579,10141561,9713788,278723,149050,2160209,1763944,1797595,1591149,1587185,875260,0,84430,0,1099,CLOSTER BORO,BERGEN,D. K-8 / 751 +,2,I,,1,BERGEN
3,990,23006933,13955832,13336994,370238,248600,3254276,2718439,2769321,2439967,2395935,1220011,0,631569,24800,1715,CRESSKILL BORO,BERGEN,E. K-12 / 0 - 1800,3,I,,1,BERGEN
3,1070,11248274,6835494,6356941,282076,196477,1825567,1537623,1136612,955512,1220857,515756,33400,124466,0,650,DEMAREST BORO,BERGEN,C. K-8 / 401 - 750,2,I,,1,BERGEN
3,1130,35967031,22143679,21301627,667725,174327,3935306,3556576,4422202,3898852,4506507,2686757,0,900257,10090,2696,DUMONT BORO,BERGEN,F. K-12 / 1801 - 3500,3,FG,,1,BERGEN
3,1230,12512003,7723656,7496299,166223,61134,1996669,1574777,1414804,1234664,1298222,607855,0,44311,0,788,EAST RUTHERFORD BORO,BERGEN,D. K-8 / 751 +,2,CD,,1,BERGEN
3,1270,7869110,4599166,4402872,168474,27820,1178717,721439,1008386,783846,1060269,420970,0,0,0,827,EDGEWATER BORO,BERGEN,A. K-6,1,DE,,1,BERGEN
3,1345,23984049,12977118,12118945,498081,360092,4334908,3484988,3092189,2569336,2955617,1772244,0,607918,0,2545,ELMWOOD PARK,BERGEN,F. K-12 / 1801 - 3500,3,CD,,1,BERGEN
3,1360,15815040,8797686,8380884,266149,150653,2089245,1469338,2245454,2112323,1953621,1149404,0,696038,4000,1304,EMERSON BORO,BERGEN,E. K-12 / 0 - 1800,3,GH,,1,BERGEN
3,1370,49534134,27949034,26492462,986672,469900,8415034,6607228,5220614,4520985,6831052,1251052,0,967342,0,2870,ENGLEWOOD CITY,BERGEN,F. K-12 / 1801 - 3500,3,DE,,1,BERGEN
3,1380,8658866,4589091,4227261,218350,143480,2273535,1671100,970897,605715,792926,378581,0,13637,0,511,ENGLEWOOD CLIFFS BORO,BERGEN,C. K-8 / 401 - 750,2,I,,1,BERGEN
3,1450,72694206,42997773,41682836,858532,456405,11781821,10483283,8372560,7016080,7373326,3781058,0,1561164,96000,4650,FAIR LAWN BORO,BERGEN,G. K-12 / 3501 +,3,GH,,1,BERGEN
3,1470,11150840,6159241,5900307,197900,61034,1167350,1079240,1958768,1570991,1605442,762142,10000,52161,0,1240,FAIRVIEW BORO,BERGEN,D. K-8 / 751 +,2,A,,1,BERGEN
3,1550,50496509,30936233,28986885,1487472,461876,8304600,7332105,5252468,4350673,4814424,1871035,0,1081980,150000,3776,FORT LEE BORO,BERGEN,G. K-12 / 3501 +,3,FG,,1,BERGEN
3,1580,25073375,16161532,15184932,861740,114860,3896049,3603355,2437786,2127390,2447738,234459,0,126523,108626,1387,FRANKLIN LAKES BORO,BERGEN,D. K-8 / 751 +,2,I,,1,BERGEN
3,1700,71503018,43661626,41911342,1593991,156293,12437575,10279512,6497734,5144397,7674310,3786346,0,949344,340000,4919,GARFIELD CITY,BERGEN,G. K-12 / 3501 +,3,B,1,1,BERGEN
3,1760,38162844,20830282,19120701,958878,750703,7449415,4851247,4676258,3963837,4312972,1443722,0,886144,0,2410,GLEN ROCK BORO,BERGEN,F. K-12 / 1801 - 3500,3,J,,1,BERGEN
3,1860,81643536,51907009,49638227,1795913,472869,12954420,11491354,7581838,6293436,7771630,4127768,0,1421950,309220,5518,HACKENSACK CITY,BERGEN,G. K-12 / 3501 +,3,CD,,1,BERGEN
3,2050,9585682,6168840,5944847,112700,111293,1368229,1093184,942408,744876,995287,432673,0,110918,49940,695,HARRINGTON PARK BORO,BERGEN,C. K-8 / 401 - 750,2,I,,1,BERGEN
3,2080,21861061,13059032,12663644,301969,93419,3507755,2951805,2349773,1870298,2269527,1180491,0,659550,0,1772,HASBROUCK HEIGHTS BORO,BERGEN,F. K-12 / 1801 - 3500,3,FG,,1,BERGEN
3,2090,7527247,4730679,4596531,113337,20811,1179144,984426,738671,478898,832043,212064,0,46710,0,422,HAWORTH BORO,BERGEN,C. K-8 / 401 - 750,2,I,,1,BERGEN
3,2180,18640289,11149195,10457778,371709,319708,3287318,2438113,1987215,1591992,2062871,630276,0,136449,0,1398,HILLSDALE BORO,BERGEN,D. K-8 / 751 +,2,GH,,1,BERGEN
3,2200,8692551,5267622,5019346,151010,97266,1392071,1215649,1070955,793690,894801,410731,0,65811,35000,640,HO HO KUS BORO,BERGEN,C. K-8 / 401 - 750,2,J,,1,BERGEN
3,2620,26389813,15287060,14366561,902199,18300,3620704,3259019,3489791,2809146,3127898,1233322,0,718105,131000,1824,LEONIA BORO,BERGEN,F. K-12 / 1801 - 3500,3,GH,,1,BERGEN
3,2710,10206237,6650890,6356923,235773,58194,1142380,905030,1106335,815401,1122131,605572,0,58647,0,1004,LITTLE FERRY BORO,BERGEN,D. K-8 / 751 +,2,CD,,1,BERGEN
3,2740,38711124,22460376,21635457,502690,322229,5868102,4707706,4779933,4170847,4724995,2031474,0,638495,119000,3346,LODI BOROUGH,BERGEN,F. K-12 / 1801 - 3500,3,B,,1,BERGEN
3,2860,30797057,17688712,16811798,841664,35250,4679827,4308719,3843406,3139053,3216675,1530276,285000,845096,0,2371,LYNDHURST TWP,BERGEN,F. K-12 / 1801 - 3500,3,DE,,1,BERGEN
3,2900,49705020,27762420,26946310,654627,161483,8126201,6450371,6205503,4758974,6125350,813511,0,1366905,0,3252,MAHWAH TWP,BERGEN,F. K-12 / 1801 - 3500,3,I,,1,BERGEN
3,3060,10653789,6871829,6484087,202742,185000,1426343,1092742,1189170,858730,1077605,530121,0,83200,0,1232,MAYWOOD BORO,BERGEN,D. K-8 / 751 +,2,FG,,1,BERGEN
3,3170,16328989,9121870,8662587,390551,68732,2712825,2219875,2144774,1799748,1686148,853728,0,626247,0,1105,MIDLAND PARK BORO,BERGEN,E. K-12 / 0 - 1800,3,GH,,1,BERGEN
3,3330,13696075,8476827,8027455,357680,91692,2027852,1670992,1768643,1603728,1315073,782376,0,106118,0,1082,MONTVALE BORO,BERGEN,D. K-8 / 751 +,2,I,,1,BERGEN
3,3350,5662313,3262627,3169549,77318,15760,1155773,545956,553487,420829,585887,325637,28160,30505,0,293,MOONACHIE BORO,BERGEN,B. K-8 / 0 - 400,2,B,,1,BERGEN
