GROUP,CONAME,DIST,DISTNAME,STRAT0016,RK0016,SALT0016,RKSAL0016,STRAT0116,RK0116,SALT0116,RKSAL0116
A. K-6,,,K-6 Average,12.2,,57200,,11.8,,57330,
A. K-6,BERGEN,1270,EDGEWATER BORO,15.1,1,50915,10,14.4,2,51810,10
A. K-6,BERGEN,3870,ORADELL BORO,13.3,10,50410,9,12.3,14,55695,23
A. K-6,BERGEN,4410,RIVER EDGE BORO,13.4,7,58283,37,14.1,3,59430,35
A. K-6,BERGEN,4620,SADDLE RIVER BORO,9.6,48,63145,48,9.2,47,64266,48
A. K-6,BURLINGTON,200,BASS RIVER TWP,10.3,41,55369,21,9.3,44,54119,18
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,13.8,3,54835,18,14,5,53677,13
A. K-6,BURLINGTON,2960,MANSFIELD TWP,13.8,3,55956,26,12.4,13,57605,30
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,11.3,33,62430,47,10.7,34,60585,38
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,11.5,31,57898,32,10.6,36,60828,40
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,12.6,17,58123,34,11.9,18,55924,25
A. K-6,CAMDEN,5560,WATERFORD TWP,12.4,21,56094,29,12.8,12,54816,20
A. K-6,CAPE MAY,710,CAPE MAY CITY,7.2,58,58650,41,5.2,55,53101,12
A. K-6,CAPE MAY,2840,LOWER TWP,13.3,10,64116,52,12.3,14,61733,46
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,8.9,52,50297,8,14.1,3,51120,8
A. K-6,ESSEX,1400,ESSEX FELLS BORO,7.8,57,58558,38,8.1,52,58559,33
A. K-6,ESSEX,1465,FAIRFIELD TWP,12.9,13,55420,22,11.2,26,57319,29
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,10.6,37,54129,17,10,41,54000,16
A. K-6,ESSEX,4530,ROSELAND BORO,12.7,15,65410,54,11.9,18,0,1
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,13.7,5,55937,25,14.9,1,57151,28
A. K-6,GLOUCESTER,1330,ELK TWP,12.5,18,51663,11,11,30,50830,6
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,13.4,7,53615,15,12.9,10,52524,11
A. K-6,GLOUCESTER,2070,HARRISON TWP,13.3,10,52515,12,13.5,7,54430,19
A. K-6,GLOUCESTER,2990,MANTUA TWP,12,27,53858,16,10.9,33,53868,15
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,11.8,29,70134,57,10.7,34,71259,54
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,14.9,2,48729,5,12.9,10,47490,4
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,13.4,7,53056,14,13.1,8,53756,14
A. K-6,GLOUCESTER,5590,WENONAH BORO,11.2,35,57363,30,11.2,26,59418,34
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,10.2,43,63380,49,11.3,25,65610,51
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,11.4,32,57466,31,11,30,55224,22
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,12.7,15,63524,50,13.1,8,64882,49
A. K-6,HUNTERDON,2590,LEBANON BORO,7.9,56,54863,19,4.4,56,47000,3
A. K-6,HUNTERDON,5050,STOCKTON BORO,9.2,50,41973,1,,,,
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,10.3,41,64074,51,8.1,52,60874,41
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,11.3,33,64530,53,11.1,29,65560,50
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,9.8,45,58270,35,9,50,60725,39
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,9.6,48,49676,7,9.2,47,50843,7
A. K-6,MORRIS,3240,MINE HILL TWP,13.7,5,56025,28,13.6,6,57962,31
A. K-6,OCEAN,230,BEACH HAVEN BORO,7.1,59,47439,3,7.7,54,45219,2
A. K-6,OCEAN,320,BERKELEY TWP,12.5,18,55991,27,12.3,14,56216,27
A. K-6,OCEAN,1150,EAGLESWOOD TWP,10.8,36,52950,13,10.1,40,54008,17
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,8.7,54,46131,2,9.5,43,51756,9
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,12.3,24,60750,44,11.7,20,60348,37
A. K-6,OCEAN,2760,LONG BEACH ISLAND,9.1,51,79419,59,9.3,44,80214,56
A. K-6,OCEAN,3800,OCEAN GATE BORO,8.8,53,47953,4,,,,
A. K-6,OCEAN,3820,OCEAN TWP,10.5,38,58582,40,10.6,36,60108,36
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,12,27,59850,42,,,,
A. K-6,OCEAN,5020,STAFFORD TWP,12.9,13,55330,20,11.6,21,56033,26
A. K-6,OCEAN,5220,TUCKERTON BORO,12.1,26,48815,6,11.4,24,48704,5
A. K-6,SUSSEX,1630,FREDON TWP,12.3,24,55787,23,11,30,54882,21
A. K-6,SUSSEX,1980,HAMPTON TWP,9.8,45,61905,45,9.3,44,63752,47
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,8.2,55,55820,24,9.2,47,55820,24
A. K-6,SUSSEX,5040,STILLWATER TWP,9.7,47,65955,56,10.2,39,66480,53
A. K-6,WARREN,400,BLAIRSTOWN TWP,12.4,21,58275,36,11.2,26,58500,32
A. K-6,WARREN,1620,FRANKLIN TWP,10.4,39,58575,39,9.8,42,61360,42
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,10.4,39,57908,33,10.5,38,61482,43
A. K-6,WARREN,2470,KNOWLTON TWP,9.9,44,59888,43,9,50,61658,45
A. K-6,WARREN,2970,MANSFIELD TWP,12.5,18,72390,58,12.1,17,73629,55
A. K-6,WARREN,5480,WASHINGTON BORO,12.4,21,62303,46,11.6,21,61518,44
A. K-6,WARREN,5530,WASHINGTON TWP,11.7,30,65595,55,11.5,23,66255,52
B. K-8 / 0 - 400,,,K-8 Average,12.2,,59238,,12.1,,60112,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,16,1,69635,60,13.6,7,71393,59
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,8.1,61,51928,12,7.2,59,51571,10
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,10.2,40,52586,14,9.2,49,51819,11
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,7.4,63,56151,30,7.3,58,56196,29
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,10.8,27,70894,61,9.7,43,72755,61
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,11.9,17,61527,53,12.4,14,64145,52
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,12.6,13,52307,13,11.4,22,52019,12
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,13.8,5,60699,49,12.4,14,53264,20
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,9.8,48,58212,39,9.3,47,60119,44
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,13.1,9,56249,32,12,18,60711,45
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,8.1,61,55818,28,8.6,54,29796,1
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,11,25,46000,3,21.6,2,49000,7
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,12.7,12,54697,24,12.7,12,55591,27
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,10.2,40,60573,48,10.7,31,58995,38
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,10.3,36,60971,50,19.5,3,62388,50
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,13.7,6,76617,63,12.9,10,78474,63
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,5,66,68111,59,4.5,64,71532,60
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,8.6,58,59130,41,8.7,52,60740,47
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,6.8,64,80245,66,6,60,8170000,64
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,9.3,51,64652,57,8.9,50,58016,33
