GROUP,CONAME,DIST,DISTNAME,PP19,RK19,PCT19,SBA9,PP29,RK29,PCT29,SBB9,PP39,RK39,PCT39,SBC9
A. K-6,,,1. State average - Operating Type K-6,1076,,,,1086,,,,1129,,,
A. K-6,,,2. State median - Operating Type K-6,1153,,,,1120,,,,1155,,,
A. K-6,,,5. State average - All operating types,1177,,,,1191,,,,1223,,,
A. K-6,,,6. State median - All operating types,1233,,,,1229,,,,1259,,,
A. K-6,BERGEN,1270,EDGEWATER BORO,964,20,0.078,0.731,909,17,0.090,0.820,948,19,0.100,0.777
A. K-6,BERGEN,3870,ORADELL BORO,1215,37,0.109,0.811,1281,42,0.106,0.798,1307,42,0.103,0.812
A. K-6,BERGEN,4410,RIVER EDGE BORO,1107,27,0.097,0.887,1235,39,0.105,0.878,1284,40,0.103,0.865
A. K-6,BERGEN,4620,SADDLE RIVER BORO,1611,57,0.080,0.830,1698,58,0.078,0.821,1520,51,0.073,0.785
A. K-6,BURLINGTON,200,BASS RIVER TWP,1333,40,0.092,0.716,1120,30,0.077,0.674,1139,29,0.073,0.634
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,1192,33,0.112,0.798,1150,32,0.102,0.788,1124,28,0.098,0.774
A. K-6,BURLINGTON,2960,MANSFIELD TWP,1095,26,0.101,0.823,1002,23,0.090,0.818,1041,24,0.086,0.780
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,1535,53,0.099,0.900,1486,48,0.096,0.879,1427,46,0.089,0.846
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,1164,32,0.089,0.693,1255,40,0.093,0.730,1280,37,0.088,0.758
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,1296,38,0.119,0.784,1228,37,0.106,0.748,1241,34,0.090,0.793
A. K-6,CAMDEN,5560,WATERFORD TWP,1113,28,0.092,0.800,1081,29,0.084,0.758,1155,30,0.082,0.765
A. K-6,CAPE MAY,710,CAPE MAY CITY,1553,55,0.081,0.773,1717,59,0.080,0.850,1405,45,0.070,0.818
A. K-6,CAPE MAY,2840,LOWER TWP,914,19,0.074,0.900,974,22,0.076,0.904,1026,23,0.077,0.864
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,706,5,0.034,0.514,107,1,0.007,0.111,247,1,0.018,0.241
A. K-6,ESSEX,1400,ESSEX FELLS BORO,1462,48,0.097,0.856,1508,51,0.083,0.777,1564,54,0.088,0.804
A. K-6,ESSEX,1465,FAIRFIELD TWP,1156,31,0.092,0.796,1229,38,0.090,0.803,1282,38,0.091,0.794
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,1414,44,0.105,0.899,1489,49,0.103,0.853,1555,53,0.099,0.828
A. K-6,ESSEX,4530,ROSELAND BORO,1212,35,0.100,0.833,1226,36,0.094,0.832,1269,35,0.092,0.837
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,872,17,0.090,0.811,808,8,0.086,0.836,834,9,0.082,0.817
A. K-6,GLOUCESTER,1330,ELK TWP,811,10,0.079,0.649,809,9,0.074,0.639,876,14,0.073,0.641
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,896,18,0.090,0.776,939,21,0.088,0.743,1002,22,0.087,0.770
A. K-6,GLOUCESTER,2070,HARRISON TWP,870,16,0.089,0.823,911,18,0.090,0.783,962,20,0.089,0.808
A. K-6,GLOUCESTER,2990,MANTUA TWP,988,21,0.090,0.789,1045,25,0.087,0.790,1075,27,0.086,0.803
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,598,3,0.049,0.454,759,5,0.058,0.535,786,6,0.053,0.527
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,828,11,0.101,0.721,814,10,0.096,0.738,870,12,0.083,0.682
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,743,7,0.082,0.783,785,6,0.085,0.805,845,10,0.084,0.761
A. K-6,GLOUCESTER,5590,WENONAH BORO,763,9,0.075,0.728,841,13,0.078,0.684,880,15,0.076,0.702
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,757,8,0.058,0.571,743,4,0.059,0.611,776,5,0.056,0.561
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,490,2,0.039,0.305,1051,28,0.085,0.641,1186,32,0.087,0.674
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,1209,34,0.086,0.816,1019,24,0.077,0.790,1065,25,0.068,0.738
A. K-6,HUNTERDON,2590,LEBANON BORO,991,22,0.044,0.483,1136,31,0.050,0.363,911,17,0.047,0.512
