GROUP,CONAME,DIST,DISTNAME,PP3VV,STPCT01VV,LTPCT01VV,FDPCT01VV,TUPCT01VV,FBPCT01VV,OTPCT01VV,STRAT01VV,SSRAT01VV,SARAT01VV,PCTSEVV,CO,OTHER01
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,21932,0.086,0.893,0.019,0.002,0,0,11.9,145.9,137.8,0.097,3,710
G. K-12 / 3501 +,BERGEN,5150,TEANECK TWP,22894,0.142,0.829,0.026,0.002,0,0.001,11.5,66.3,174.7,0.166,3,328848
G. K-12 / 3501 +,BERGEN,5160,TENAFLY BORO,17788,0.115,0.858,0.014,0.013,0,0,12.8,83.7,149,0.125,3,42
D. K-8 / 751 +,BERGEN,5330,UPPER SADDLE RIVER BORO,16159,0.107,0.869,0.013,0.011,0,0,13.3,71,155.9,0.124,3,7653
E. K-12 / 0 - 1800,BERGEN,5410,WALDWICK BORO,17652,0.122,0.863,0.015,0,0,0,11.6,82.1,150.2,0.139,3,0
E. K-12 / 0 - 1800,BERGEN,5430,WALLINGTON BORO,14381,0.243,0.723,0.035,0,0,0,13.8,90.7,124.7,0.089,3,0
F. K-12 / 1801 - 3500,BERGEN,5755,WESTWOOD REGIONAL,18318,0.109,0.87,0.02,0.001,0,0,13.1,80.9,123.2,0.120,3,0
E. K-12 / 0 - 1800,BERGEN,5830,WOOD-RIDGE BORO,15036,0.113,0.786,0.025,0.076,0,0,14.5,112.2,192.6,0.100,3,2820
D. K-8 / 751 +,BERGEN,5880,WOODCLIFF LAKE BORO,18199,0.107,0.877,0.014,0.003,0,0,11.6,72.6,133.1,0.117,3,0
D. K-8 / 751 +,BERGEN,5920,WYCKOFF TWP,16639,0.108,0.873,0.016,0.003,0,0,12.7,65.7,187.8,0.092,3,0
K. CHARTER,BERGEN,6013,BERGEN ARTS AND SCIENCES CS,15238,0.451,0.524,0.025,0,0,0,12.1,190,228,0.040,80,0
K. CHARTER,BERGEN,6430,ENGLEWOOD ON THE PALISADES CS,17841,0.935,0.017,0.048,0,0,0,10.3,0,93,0.081,80,0
K. CHARTER,BERGEN,7890,TEANECK COMMUNITY CS,16338,0.182,0.802,0.016,0,0,0,11.8,204,139.1,0.085,80,0
A. K-6,BURLINGTON,200,BASS RIVER TWP,17542,0.44,0.522,0.038,0,0,0,10.3,73.3,132,0.121,5,0
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,18603,0.57,0.367,0.063,0,0,0,12.6,431.4,137.3,0.149,5,0
F. K-12 / 1801 - 3500,BURLINGTON,475,BORDENTOWN REGIONAL,16713,0.267,0.675,0.028,0.021,0,0.009,14.4,63.5,154.1,0.129,5,148191
E. K-12 / 0 - 1800,BURLINGTON,600,BURLINGTON CITY,23022,0.654,0.247,0.046,0.051,0,0.002,10.1,63,138.6,0.160,5,10000
I. CSSD,BURLINGTON,605,BURLINGTON CO SPEC SERV,48357,0.076,0.734,0.001,0.19,0,0,5.9,15.5,61.8,0.993,5,0
J. VOC,BURLINGTON,610,BURLINGTON CO VOCATIONAL,22443,0.395,0.433,0.045,0.127,0,0,13.4,78.4,175.7,0.214,5,3.7252903E-9
G. K-12 / 3501 +,BURLINGTON,620,BURLINGTON TWP,15924,0.375,0.595,0.027,0.004,0,0,13.5,101.4,204.3,0.123,5,0
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,16960,0.112,0.813,0.022,0.004,0.049,0,13.8,89.1,144.8,0.107,5,331567
F. K-12 / 1801 - 3500,BURLINGTON,840,CINNAMINSON TWP,17850,0.283,0.695,0.02,0.002,0,0,12.1,76.8,183.5,0.134,5,0
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,15762,0.32,0.645,0.034,0,0,0.001,13.8,86.7,153.5,0.140,5,26428
F. K-12 / 1801 - 3500,BURLINGTON,1060,DELRAN TWP,14753,0.334,0.629,0.035,0.001,0,0.001,14.8,92.4,172.8,0.128,5,0
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,17282,0.52,0.437,0.04,0.001,0.002,0,11.8,69.9,173.8,0.096,5,3309
D. K-8 / 751 +,BURLINGTON,1280,EDGEWATER PARK TWP,15777,0.45,0.483,0.056,0,0,0.011,12.8,85.9,122.7,0.109,5,178895
D. K-8 / 751 +,BURLINGTON,1420,EVESHAM TWP,16332,0.252,0.705,0.027,0,0.014,0.002,12.9,79.1,205.3,0.166,5,28536
E. K-12 / 0 - 1800,BURLINGTON,1520,FLORENCE TWP,17872,0.387,0.564,0.044,0.004,0,0.001,12.6,89.1,179.1,0.088,5,483321
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,14680,0.222,0.741,0.031,0.006,0,0,12.6,78,231.3,0.137,5,23414
H. 7-12 / 9-12,BURLINGTON,2610,LENAPE REGIONAL,20899,0.264,0.717,0.018,0,0,0.001,12.2,84.8,189.8,0.149,5,0
D. K-8 / 751 +,BURLINGTON,2850,LUMBERTON TWP,15658,0.426,0.525,0.034,0.001,0,0.014,14.9,64.6,162.7,0.157,5,0
A. K-6,BURLINGTON,2960,MANSFIELD TWP,15126,0.145,0.821,0.016,0.01,0,0.008,13.8,97.4,185,0.122,5,1272
F. K-12 / 1801 - 3500,BURLINGTON,3010,MAPLE SHADE TWP,16337,0.315,0.642,0.036,0.007,0,0,13.9,97.4,164.8,0.193,5,0
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,13819,0.227,0.748,0.025,0,0,0,13.1,106.6,133.3,0.105,5,0
D. K-8 / 751 +,BURLINGTON,3080,MEDFORD TWP,16191,0.174,0.806,0.02,0,0,0,14.9,70.1,231.8,0.129,5,310083
G. K-12 / 3501 +,BURLINGTON,3360,MOORESTOWN TWP,17417,0.137,0.826,0.025,0.012,0,0,12.9,73.5,185.1,0.107,5,11628
D. K-8 / 751 +,BURLINGTON,3430,MOUNT HOLLY TWP,18077,0.559,0.371,0.065,0.004,0,0.001,11.2,70,140,0.155,5,0
D. K-8 / 751 +,BURLINGTON,3440,MOUNT LAUREL TWP,16313,0.151,0.817,0.024,0,0,0.008,12.8,71.2,200.1,0.143,5,5511
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,29901,0.508,0.305,0.187,0,0,0,9.8,88,135.4,0.124,5,9129
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,19407,0.516,0.102,0.381,0,0,0.001,11.3,60,157.6,0.150,5,405372
H. 7-12 / 9-12,BURLINGTON,3690,NORTHERN BURLINGTON REG,17772,0.421,0.499,0.073,0.004,0,0.003,13.2,100.1,150.9,0.149,5,0
E. K-12 / 0 - 1800,BURLINGTON,3920,PALMYRA BORO,17510,0.354,0.494,0.047,0.105,0,0,12.1,62.3,118.5,0.167,5,59753
G. K-12 / 3501 +,BURLINGTON,4050,PEMBERTON TWP,23010,0.833,0.102,0.063,0.003,0,0,10.9,56.1,152.5,0.132,5,236984
H. 7-12 / 9-12,BURLINGTON,4320,RANCOCAS VALLEY REGIONAL,16679,0.485,0.434,0.032,0.041,0,0.008,16.8,122.4,160.1,0.168,5,0
E. K-12 / 0 - 1800,BURLINGTON,4450,RIVERSIDE TWP,16507,0.552,0.323,0.05,0.074,0,0.001,12.1,92.6,154.3,0.166,5,139479
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,16174,0.159,0.815,0.024,0.002,0,0,13.1,54.9,140,0.136,5,0
D. K-8 / 751 +,BURLINGTON,4740,SHAMONG TWP,16164,0.354,0.614,0.026,0.004,0,0.002,13.1,81.8,200,0.093,5,40528
D. K-8 / 751 +,BURLINGTON,4930,SOUTHAMPTON TWP,17802,0.23,0.742,0.028,0,0,0,11.2,78.1,130.2,0.149,5,0
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,16594,0.31,0.654,0.036,0,0,0,11.5,59.8,102.5,0.105,5,0
D. K-8 / 751 +,BURLINGTON,5130,TABERNACLE TWP,17421,0.455,0.49,0.031,0.021,0,0.003,12.7,60.9,165.6,0.097,5,626
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,23872,0.406,0.564,0.031,0,0,0,8.1,0,0,0.146,5,0
D. K-8 / 751 +,BURLINGTON,5720,WESTAMPTON,14363,0.331,0.638,0.032,0,0,0,13.7,108.8,182,0.116,5,1916
G. K-12 / 3501 +,BURLINGTON,5805,WILLINGBORO TWP,17131,0.587,0.36,0.05,0.003,0,0,13.2,120,144,0.128,5,0
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,16918,0.419,0.542,0.039,0,0,0,11,152,69.1,0.138,5,2298
K. CHARTER,BURLINGTON,6026,RIVERBANK CHARTER SCHOOL OF EXCELLENCE,10000,0.387,0.588,0.025,0,0,0,11.6,139,92.7,0.014,80,0
K. CHARTER,BURLINGTON,6044,RENAISSANCE REGIONAL LEADERSHIP CS,10627,0.742,0.239,0.018,0,0,0.001,0,0,0,0.050,80,0
K. CHARTER,BURLINGTON,6076,BENJAMIN BANNEKER PREP CS,0,0,0,0,0,0,0,0,0,0,0,80,0
E. K-12 / 0 - 1800,CAMDEN,150,AUDUBON BORO,17146,0.384,0.467,0.031,0.118,0,0,12.2,76.1,151.4,0.188,7,0
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,15697,0.281,0.687,0.032,0,0,0,12.3,83,180.6,0.103,7,0
D. K-8 / 751 +,CAMDEN,260,BELLMAWR BORO,12558,0.415,0.525,0.06,0,0,0,14.6,141.9,162.1,0.114,7,0
D. K-8 / 751 +,CAMDEN,330,BERLIN BORO,13374,0.39,0.575,0.034,0.001,0,0,13.6,96.9,169.1,0.120,7,0
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,17612,0.419,0.532,0.035,0.013,0,0.001,10,69.2,119.5,0.198,7,1134
H. 7-12 / 9-12,CAMDEN,390,BLACK HORSE PIKE REGIONAL,16784,0.527,0.435,0.036,0.002,0,0,15.4,107.6,139.9,0.137,7,0
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,13842,0.728,0.207,0.064,0,0,0.001,12.7,284.2,341,0.114,7,0
G. K-12 / 3501 +,CAMDEN,680,CAMDEN CITY,23709,0.883,0.027,0.086,0.001,0,0.003,9.3,65.6,88.8,0.166,7,191386
J. VOC,CAMDEN,700,CAMDEN COUNTY VOCATIONAL,22142,0.527,0.254,0.085,0.134,0,0,11.2,72.6,97.4,0.287,7,0
G. K-12 / 3501 +,CAMDEN,800,CHERRY HILL TWP,16420,0.145,0.823,0.029,0.003,0,0,13.5,74.2,273.9,0.170,7,0
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,18667,0.587,0.35,0.062,0.001,0,0,9.5,77.8,155.7,0.138,7,828
F. K-12 / 1801 - 3500,CAMDEN,940,COLLINGSWOOD BORO,17554,0.385,0.447,0.032,0.136,0,0,11.5,91.3,106.6,0.129,7,0
H. 7-12 / 9-12,CAMDEN,1255,EASTERN CAMDEN COUNTY REG,16453,0.314,0.658,0.025,0.003,0,0,15.1,115.4,159.8,0.115,7,0
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,18712,0.388,0.581,0.031,0,0,0,10.2,57.2,144.7,0.106,7,0
F. K-12 / 1801 - 3500,CAMDEN,1770,GLOUCESTER CITY,22707,0.811,0.086,0.07,0.03,0,0.003,10.2,62.2,146.6,0.159,7,0
D. K-8 / 751 +,CAMDEN,1780,GLOUCESTER TWP,14931,0.535,0.392,0.056,0,0.015,0.002,13.6,83.8,227.1,0.122,7,0
E. K-12 / 0 - 1800,CAMDEN,1880,HADDON HEIGHTS BORO,17133,0.167,0.501,0.019,0.309,0,0.004,11.4,78.7,121.6,0.107,7,31507
F. K-12 / 1801 - 3500,CAMDEN,1890,HADDON TWP,15257,0.325,0.636,0.036,0.004,0,0,14.7,101.7,165.2,0.147,7,0
F. K-12 / 1801 - 3500,CAMDEN,1900,HADDONFIELD BORO,14952,0.117,0.857,0.018,0.008,0,0,14.3,73.2,200.2,0.171,7,0
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,14071,0.406,0.559,0.035,0,0,0,12.6,85.2,179,0.123,7,0
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,20832,0.432,0.483,0.085,0,0,0,10.3,132.9,93,0.139,7,0
F. K-12 / 1801 - 3500,CAMDEN,2670,LINDENWOLD BORO,18211,0.642,0.276,0.076,0.006,0,0,10.5,82.4,109.9,0.129,7,0
C. K-8 / 401 - 750,CAMDEN,2890,MAGNOLIA BORO,15495,0.497,0.446,0.056,0,0,0.001,11.4,80.4,217,0.166,7,0
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,16008,0.356,0.594,0.051,0,0,0,13.7,104.3,260.7,0.149,7,2012
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,16159,0.41,0.54,0.039,0.012,0,0,14.4,88.4,110.5,0.204,7,2124
E. K-12 / 0 - 1800,CAMDEN,3770,OAKLYN BORO,14791,0.353,0.53,0.034,0.083,0,0,11.6,93.8,173.7,0.149,7,0
G. K-12 / 3501 +,CAMDEN,4060,PENNSAUKEN TWP,18546,0.508,0.341,0.049,0.01,0.087,0.005,13.3,110.4,240,0.200,7,18688
