GROUP,CONAME,DIST,DISTNAME,PP3VV,STPCT01VV,LTPCT01VV,FDPCT01VV,TUPCT01VV,FBPCT01VV,OTPCT01VV,STRAT01VV,SSRAT01VV,SARAT01VV,PCTSEVV,CO,OTHER01
D. K-8 / 751 +,ATLANTIC,10,ABSECON CITY,14587,0.186,0.763,0.049,0.002,0,0,12.4,166.8,208.5,0.110,1,0
G. K-12 / 3501 +,ATLANTIC,110,ATLANTIC CITY,25561,0.169,0.724,0.043,0.064,0,0,9.7,98.3,159.1,0.126,1,10279154
J. VOC,ATLANTIC,120,ATLANTIC CO VOCATIONAL,16157,0.284,0.338,0.038,0.34,0,0,12.8,119.6,191.3,0.076,1,0
I. CSSD,ATLANTIC,125,ATLANTIC CO SPECIAL SERV,52725,0.089,0.156,0.007,0.747,0,0.001,6.1,12.8,72.1,1.000,1,0
D. K-8 / 751 +,ATLANTIC,570,BRIGANTINE CITY,20052,0.176,0.79,0.032,0,0,0.002,11.1,69.8,150.6,0.108,1,97103
F. K-12 / 1801 - 3500,ATLANTIC,590,BUENA REGIONAL,18124,0.527,0.299,0.078,0.095,0,0.001,14.4,86.8,156.2,0.159,1,199999
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,21770,0.636,0.252,0.111,0.001,0,0,10.9,63,100.8,0.166,1,0
G. K-12 / 3501 +,ATLANTIC,1310,EGG HARBOR TWP,16173,0.411,0.549,0.036,0.004,0,0,13.6,84.4,202.7,0.104,1,0
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,16810,0.474,0.496,0.03,0,0,0,16,73.7,82.9,0.106,1,0
C. K-8 / 401 - 750,ATLANTIC,1540,FOLSOM BORO,14443,0.731,0.219,0.05,0,0,0,13,74.3,138.7,0.135,1,0
D. K-8 / 751 +,ATLANTIC,1690,GALLOWAY TWP,16733,0.444,0.47,0.037,0.002,0.035,0.012,11.1,84.9,213.4,0.150,1,2607
H. 7-12 / 9-12,ATLANTIC,1790,GREATER EGG HARBOR REG,19127,0.528,0.423,0.037,0.011,0,0.001,12.9,110.3,127,0.176,1,1203
D. K-8 / 751 +,ATLANTIC,1940,HAMILTON TWP,15701,0.538,0.413,0.048,0.001,0,0,12.2,114.4,252.6,0.142,1,0
G. K-12 / 3501 +,ATLANTIC,1960,HAMMONTON TOWN,13691,0.362,0.364,0.044,0.217,0,0.013,14.8,113.3,199.9,0.152,1,6451
D. K-8 / 751 +,ATLANTIC,2680,LINWOOD CITY,17352,0.195,0.758,0.019,0,0.028,0,10.9,78.8,164.8,0.137,1,0
H. 7-12 / 9-12,ATLANTIC,2910,MAINLAND REGIONAL,20068,0.334,0.635,0.028,0,0.003,0,12.5,81.7,153.2,0.142,1,0
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,24179,0.124,0.811,0.017,0.047,0,0.001,10.3,78.4,123.5,0.091,1,0
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,16318,0.574,0.316,0.086,0.023,0,0.001,12.5,109.2,144.2,0.108,1,0
D. K-8 / 751 +,ATLANTIC,3720,NORTHFIELD CITY,14570,0.337,0.627,0.032,0.001,0,0.003,12.7,93.3,248.8,0.136,1,0
G. K-12 / 3501 +,ATLANTIC,4180,PLEASANTVILLE CITY,23863,0.831,0.093,0.064,0.005,0,0.007,9.7,61.3,147.2,0.102,1,245839
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,17655,0.408,0.559,0.033,0,0,0,8.1,0,80,0.083,1,0
D. K-8 / 751 +,ATLANTIC,4800,SOMERS POINT CITY,14688,0.424,0.509,0.064,0.002,0,0.001,10.7,79.4,156.6,0.142,1,0
D. K-8 / 751 +,ATLANTIC,5350,VENTNOR CITY,18848,0.151,0.801,0.045,0,0,0.003,11.8,100.6,226.3,0.083,1,0
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,16400,0.546,0.404,0.05,0,0,0,10.2,64.2,124.7,0.080,1,0
K. CHARTER,ATLANTIC,6612,GALLOWAY COMMUNITY CS,21016,0.607,0.333,0.06,0,0,0,7.1,164,82,0.128,80,0
K. CHARTER,ATLANTIC,7410,CHARTER~TECH HIGH SCHOOL,16223,0.417,0.545,0.038,0,0,0,11,93.6,99.7,0.142,80,0
K. CHARTER,ATLANTIC,7420,OCEANSIDE CS,20569,0.226,0.708,0.065,0,0,0.001,10.2,159.5,79.8,0.148,80,2056
D. K-8 / 751 +,BERGEN,40,ALLENDALE BORO,17475,0.112,0.859,0.021,0.004,0,0.004,14.3,102.7,184.8,0.060,3,791
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,25938,0.088,0.902,0.01,0,0,0,7.4,44.7,42.1,0.098,3,0
I. CSSD,BERGEN,285,BERGEN CO SPECIAL SERVICE,87588,0.175,0.175,0.036,0.614,0,0,3.6,5.4,38.6,1.000,3,-7.450581E-9
J. VOC,BERGEN,290,BERGEN COUNTY VOCATIONAL,35900,0.157,0.454,0.071,0.317,0,0.001,10.2,70.1,159.2,0.179,3,50000
G. K-12 / 3501 +,BERGEN,300,BERGENFIELD BORO,17519,0.242,0.704,0.034,0.02,0,0,13,71.7,167,0.140,3,0
E. K-12 / 0 - 1800,BERGEN,440,BOGOTA BORO,17669,0.33,0.631,0.039,0,0,0,13.3,72.8,181.9,0.153,3,0
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,20522,0.102,0.873,0.022,0.003,0,0,13.7,94.9,115.8,0.096,3,0
H. 7-12 / 9-12,BERGEN,745,CARLSTADT-EAST RUTHERFORD,24738,0.084,0.9,0.017,0,0,0,13.7,129.9,77.1,0.139,3,0
F. K-12 / 1801 - 3500,BERGEN,890,CLIFFSIDE PARK BORO,15307,0.154,0.673,0.035,0.139,0,0,15.7,116.1,232.3,0.148,3,0
D. K-8 / 751 +,BERGEN,930,CLOSTER BORO,16664,0.109,0.863,0.014,0.014,0,0,12.6,76.3,184.3,0.094,3,0
E. K-12 / 0 - 1800,BERGEN,990,CRESSKILL BORO,16415,0.124,0.822,0.014,0.039,0,0.001,13.3,100.6,153.6,0.123,3,0
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,19932,0.094,0.887,0.015,0.004,0,0,11,58.5,160.8,0.115,3,0
F. K-12 / 1801 - 3500,BERGEN,1130,DUMONT BORO,16594,0.262,0.71,0.026,0.001,0,0.001,13.2,87.6,158.2,0.080,3,305
D. K-8 / 751 +,BERGEN,1230,EAST RUTHERFORD BORO,20043,0.133,0.831,0.028,0.007,0,0.001,12.4,73.7,161.3,0.109,3,0
A. K-6,BERGEN,1270,EDGEWATER BORO,16984,0.098,0.88,0.015,0,0,0.007,15.1,112.7,169,0.084,3,0
F. K-12 / 1801 - 3500,BERGEN,1345,ELMWOOD PARK,15214,0.155,0.811,0.033,0.001,0,0,16.5,105.4,173.1,0.147,3,163414
E. K-12 / 0 - 1800,BERGEN,1360,EMERSON BORO,16289,0.111,0.87,0.014,0.004,0,0.001,12.9,79.9,107.5,0.121,3,0
F. K-12 / 1801 - 3500,BERGEN,1370,ENGLEWOOD CITY,23200,0.229,0.714,0.042,0,0,0.015,10.5,56.9,146.5,0.116,3,0
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,21284,0.103,0.879,0.011,0.007,0,0,11.2,73.3,134.4,0.103,3,0
G. K-12 / 3501 +,BERGEN,1450,FAIR LAWN BORO,18647,0.126,0.85,0.018,0.006,0,0,12.6,77.5,193.8,0.178,3,6652
D. K-8 / 751 +,BERGEN,1470,FAIRVIEW BORO,13317,0.363,0.566,0.071,0,0,0,16.9,134.1,201.2,0.109,3,0
G. K-12 / 3501 +,BERGEN,1550,FORT LEE BORO,15626,0.112,0.855,0.029,0,0.004,0,13.6,86.2,229.5,0.107,3,0
D. K-8 / 751 +,BERGEN,1580,FRANKLIN LAKES BORO,20926,0.104,0.824,0.013,0.059,0,0,10,55.7,154.8,0.147,3,34
G. K-12 / 3501 +,BERGEN,1700,GARFIELD CITY,19299,0.716,0.239,0.045,0,0,0,12.4,75.9,214.5,0.123,3,0
F. K-12 / 1801 - 3500,BERGEN,1760,GLEN ROCK BORO,19343,0.109,0.877,0.013,0,0,0.001,12,75.1,160.1,0.128,3,515513
G. K-12 / 3501 +,BERGEN,1860,HACKENSACK CITY,18591,0.217,0.677,0.035,0.069,0,0.002,13.3,81.2,173.2,0.135,3,3065
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,16665,0.134,0.854,0.012,0,0,0,12.3,96,172.8,0.109,3,0
F. K-12 / 1801 - 3500,BERGEN,2080,HASBROUCK HEIGHTS BORO,15614,0.127,0.844,0.023,0.006,0,0,14.9,81.4,210.3,0.098,3,0
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,20194,0.095,0.893,0.012,0,0,0,12.3,48.1,438,0.094,3,0
D. K-8 / 751 +,BERGEN,2180,HILLSDALE BORO,15287,0.124,0.852,0.021,0.003,0,0,13.5,79.9,229.2,0.162,3,448
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,15920,0.098,0.844,0.012,0.031,0.015,0,12.9,78,170.3,0.122,3,0
F. K-12 / 1801 - 3500,BERGEN,2620,LEONIA BORO,17145,0.196,0.605,0.02,0.178,0,0.001,11,63.5,132.1,0.117,3,0
D. K-8 / 751 +,BERGEN,2710,LITTLE FERRY BORO,15029,0.137,0.823,0.035,0.001,0,0.004,14.6,116.8,172.1,0.060,3,0
F. K-12 / 1801 - 3500,BERGEN,2740,LODI BOROUGH,16742,0.309,0.654,0.036,0,0,0.001,14.7,115.6,185,0.085,3,7
F. K-12 / 1801 - 3500,BERGEN,2860,LYNDHURST TWP,16246,0.127,0.847,0.026,0,0,0,14.5,85.9,147.6,0.126,3,0
F. K-12 / 1801 - 3500,BERGEN,2900,MAHWAH TWP,18355,0.106,0.875,0.019,0,0,0,13.2,97.2,177.7,0.123,3,554
D. K-8 / 751 +,BERGEN,3060,MAYWOOD BORO,15601,0.124,0.839,0.024,0.014,0,0,14,101.6,228.5,0.123,3,96658
E. K-12 / 0 - 1800,BERGEN,3170,MIDLAND PARK BORO,18504,0.104,0.878,0.017,0.001,0,0,11.9,60,140.3,0.124,3,0
D. K-8 / 751 +,BERGEN,3330,MONTVALE BORO,14875,0.117,0.864,0.015,0.003,0,0.001,12.3,97.7,162.9,0.099,3,27843
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,20853,0.099,0.82,0.027,0.054,0,0,10.8,398.6,93,0.226,3,0
F. K-12 / 1801 - 3500,BERGEN,3550,NEW MILFORD BORO,15781,0.142,0.832,0.024,0.003,0,0,14.2,84.9,169,0.142,3,4733
E. K-12 / 0 - 1800,BERGEN,3600,NORTH ARLINGTON BORO,15990,0.138,0.825,0.033,0,0,0.004,13.8,107.5,117.4,0.130,3,0
H. 7-12 / 9-12,BERGEN,3700,NORTHERN HIGHLANDS REG,19927,0.104,0.742,0.008,0.146,0,0,12,96.2,137.4,0.117,3,400620
H. 7-12 / 9-12,BERGEN,3710,NORTHERN VALLEY REGIONAL,21970,0.119,0.854,0.017,0.005,0,0.005,11.9,52.8,115.5,0.183,3,150865
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,15869,0.118,0.825,0.014,0.042,0,0.001,12.4,91.6,189.3,0.113,3,0
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,15811,0.111,0.871,0.017,0.002,0,0,13.8,75.8,202,0.106,3,26163
D. K-8 / 751 +,BERGEN,3760,OAKLAND BORO,16514,0.104,0.88,0.016,0,0,0,13.9,57.9,213.6,0.136,3,7230
D. K-8 / 751 +,BERGEN,3850,OLD TAPPAN BORO,16677,0.118,0.868,0.013,0.001,0,0,12.2,85.7,154.2,0.067,3,0
A. K-6,BERGEN,3870,ORADELL BORO,15418,0.114,0.826,0.018,0.008,0,0.034,13.3,106.2,170.9,0.122,3,384375
E. K-12 / 0 - 1800,BERGEN,3910,PALISADES PARK,15228,0.152,0.811,0.037,0,0,0,12.6,89.7,166.3,0.115,3,0
G. K-12 / 3501 +,BERGEN,3930,PARAMUS BORO,19628,0.11,0.859,0.023,0.007,0,0.001,12.9,66.8,185.9,0.149,3,0
E. K-12 / 0 - 1800,BERGEN,3940,PARK RIDGE BORO,20235,0.109,0.865,0.016,0.002,0,0.008,11.3,64.3,111.1,0.158,3,0
H. 7-12 / 9-12,BERGEN,3960,PASCACK VALLEY REGIONAL,22941,0.102,0.874,0.017,0.007,0,0,12.6,80.2,110,0.167,3,4426
H. 7-12 / 9-12,BERGEN,4300,RAMAPO-INDIAN HILL REG,22060,0.103,0.884,0.011,0.002,0,0,11.3,97,91.5,0.144,3,0
F. K-12 / 1801 - 3500,BERGEN,4310,RAMSEY BORO,18107,0.099,0.858,0.016,0.026,0,0.001,12.5,73.8,175.6,0.121,3,1895
E. K-12 / 0 - 1800,BERGEN,4370,RIDGEFIELD BORO,18982,0.156,0.553,0.02,0.26,0,0.011,11,59.2,156.5,0.232,3,1303950
F. K-12 / 1801 - 3500,BERGEN,4380,RIDGEFIELD PARK TWP,16029,0.218,0.63,0.033,0.119,0,0,12.9,80.7,138.1,0.117,3,0
G. K-12 / 3501 +,BERGEN,4390,RIDGEWOOD VILLAGE,17504,0.115,0.863,0.019,0.003,0,0,13.6,85.4,219.4,0.127,3,0
H. 7-12 / 9-12,BERGEN,4405,RIVER DELL REGIONAL,18721,0.11,0.863,0.016,0.011,0,0,13.8,89.8,139.2,0.133,3,0
A. K-6,BERGEN,4410,RIVER EDGE BORO,14456,0.142,0.809,0.022,0.027,0,0,13.4,77.5,211.3,0.112,3,0
D. K-8 / 751 +,BERGEN,4430,RIVER VALE TWP,17925,0.11,0.868,0.021,0.001,0,0,13.7,113.3,265.2,0.112,3,517161
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,17968,0.109,0.871,0.019,0,0,0.001,10.3,71.9,226.5,0.090,3,-109771
F. K-12 / 1801 - 3500,BERGEN,4600,RUTHERFORD BORO,16752,0.147,0.835,0.017,0.002,0,0,12.7,85.4,154.8,0.092,3,0
E. K-12 / 0 - 1800,BERGEN,4610,SADDLE BROOK TWP,18369,0.114,0.865,0.019,0.001,0,0.001,12.8,60.1,212.6,0.181,3,0
A. K-6,BERGEN,4620,SADDLE RIVER BORO,20526,0.096,0.872,0.016,0.016,0,0,9.6,76.7,57.5,0.122,3,0
