GROUP,CONAME,DIST,DISTNAME,PP14,RK14,PCT14,PP24,RK24,PCT24,PP34,RK34,PCT34
A. K-6,,,1. State average - Operating Type K-6,244,,,342,,,325,,
A. K-6,,,2. State median - Operating Type K-6,250,,,313,,,346,,
A. K-6,,,5. State average - All operating types,247,,,295,,,330,,
A. K-6,,,6. State median - All operating types,243,,,278,,,313,,
A. K-6,BERGEN,1270,EDGEWATER BORO,212,22,0.017,157,3,0.016,204,10,0.021
A. K-6,BERGEN,3870,ORADELL BORO,304,40,0.027,467,46,0.039,439,47,0.035
A. K-6,BERGEN,4410,RIVER EDGE BORO,170,14,0.015,241,20,0.021,167,3,0.013
A. K-6,BERGEN,4620,SADDLE RIVER BORO,355,48,0.018,300,28,0.014,299,22,0.014
A. K-6,BURLINGTON,200,BASS RIVER TWP,250,30,0.017,445,45,0.031,330,27,0.021
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,209,21,0.020,206,14,0.018,189,5,0.016
A. K-6,BURLINGTON,2960,MANSFIELD TWP,185,17,0.017,471,47,0.042,437,45,0.036
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,370,50,0.024,327,32,0.021,373,35,0.023
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,133,3,0.010,253,24,0.019,370,33,0.025
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,208,20,0.019,251,23,0.022,597,55,0.043
A. K-6,CAMDEN,5560,WATERFORD TWP,147,7,0.012,165,8,0.013,192,7,0.014
A. K-6,CAPE MAY,710,CAPE MAY CITY,566,58,0.029,658,56,0.031,684,57,0.034
A. K-6,CAPE MAY,2840,LOWER TWP,243,28,0.020,282,25,0.022,198,8,0.015
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,601,59,0.029,487,48,0.031,376,36,0.028
A. K-6,ESSEX,1400,ESSEX FELLS BORO,319,44,0.021,724,58,0.040,370,33,0.021
A. K-6,ESSEX,1465,FAIRFIELD TWP,385,53,0.031,315,31,0.023,381,37,0.027
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,410,54,0.031,618,55,0.043,475,51,0.030
A. K-6,ESSEX,4530,ROSELAND BORO,142,6,0.012,160,5,0.012,228,15,0.016
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,239,27,0.025,231,17,0.025,350,31,0.035
A. K-6,GLOUCESTER,1330,ELK TWP,123,2,0.012,163,7,0.015,184,4,0.015
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,374,51,0.038,430,44,0.040,473,50,0.041
A. K-6,GLOUCESTER,2070,HARRISON TWP,234,26,0.024,294,27,0.029,351,32,0.032
A. K-6,GLOUCESTER,2990,MANTUA TWP,233,25,0.021,359,35,0.030,301,23,0.024
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,316,43,0.026,369,37,0.028,424,42,0.029
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,137,4,0.017,124,1,0.015,218,12,0.021
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,153,10,0.017,159,4,0.017,191,6,0.019
A. K-6,GLOUCESTER,5590,WENONAH BORO,151,8,0.015,179,12,0.017,200,9,0.017
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,206,19,0.016,206,14,0.016,277,20,0.020
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,156,12,0.013,155,2,0.013,241,17,0.018
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,284,38,0.020,243,21,0.018,383,38,0.024
A. K-6,HUNTERDON,2590,LEBANON BORO,260,32,0.012,377,38,0.016,446,49,0.023
A. K-6,HUNTERDON,5050,STOCKTON BORO,272,35,0.018,313,30,0.021,510,53,0.038
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,212,22,0.016,331,33,0.024,335,28,0.022
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,246,29,0.018,310,29,0.024,343,29,0.025
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,228,24,0.015,577,54,0.035,1124,59,0.058
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,315,42,0.017,178,11,0.012,234,16,0.015
A. K-6,MORRIS,3240,MINE HILL TWP,524,57,0.053,282,25,0.028,434,44,0.040
A. K-6,OCEAN,230,BEACH HAVEN BORO,361,49,0.020,539,52,0.026,419,40,0.018
A. K-6,OCEAN,320,BERKELEY TWP,333,46,0.027,686,57,0.057,492,52,0.038
A. K-6,OCEAN,1150,EAGLESWOOD TWP,413,55,0.028,425,43,0.032,687,58,0.046
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,380,52,0.026,395,41,0.025,576,54,0.041
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,116,1,0.009,221,16,0.018,224,14,0.018
A. K-6,OCEAN,2760,LONG BEACH ISLAND,511,56,0.024,530,51,0.025,600,56,0.027
A. K-6,OCEAN,3800,OCEAN GATE BORO,333,46,0.024,522,50,0.035,411,39,0.027
A. K-6,OCEAN,3820,OCEAN TWP,250,30,0.017,394,40,0.026,444,48,0.027
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,139,5,0.010,162,6,0.011,208,11,0.013
A. K-6,OCEAN,5020,STAFFORD TWP,170,14,0.014,502,49,0.040,346,30,0.025
A. K-6,OCEAN,5220,TUCKERTON BORO,154,11,0.014,170,9,0.015,257,19,0.022
A. K-6,SUSSEX,1630,FREDON TWP,326,45,0.027,240,19,0.020,243,18,0.019
A. K-6,SUSSEX,1980,HAMPTON TWP,152,9,0.011,542,53,0.038,302,24,0.021
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,277,36,0.019,342,34,0.021,438,46,0.026
A. K-6,SUSSEX,5040,STILLWATER TWP,192,18,0.014,248,22,0.017,283,21,0.019
A. K-6,WARREN,400,BLAIRSTOWN TWP,283,37,0.026,422,42,0.034,420,41,0.032
A. K-6,WARREN,1620,FRANKLIN TWP,313,41,0.023,846,59,0.055,322,25,0.020
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,263,34,0.022,386,39,0.030,327,26,0.024
A. K-6,WARREN,2470,KNOWLTON TWP,157,13,0.012,174,10,0.012,219,13,0.015
A. K-6,WARREN,2970,MANSFIELD TWP,261,33,0.026,205,13,0.020,114,2,0.010
A. K-6,WARREN,5480,WASHINGTON BORO,184,16,0.017,361,36,0.031,429,43,0.032
A. K-6,WARREN,5530,WASHINGTON TWP,303,39,0.026,235,18,0.019,70,1,0.005
B. K-8 / 0 - 400,,,1. State average - Operating Type K-8,234,,,273,,,307,,
B. K-8 / 0 - 400,,,2. State median - Operating Type K-8,238,,,263,,,303,,
B. K-8 / 0 - 400,,,5. State average - All operating types,247,,,295,,,330,,
B. K-8 / 0 - 400,,,6. State median - All operating types,243,,,278,,,313,,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,132,7,0.012,249,25,0.020,275,22,0.020
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,154,11,0.010,182,15,0.012,128,4,0.008
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,184,14,0.015,146,10,0.011,199,7,0.014
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,522,62,0.024,1162,63,0.048,982,64,0.040
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,475,60,0.025,490,50,0.027,264,19,0.014
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,401,55,0.023,410,46,0.026,277,23,0.015
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,242,30,0.017,985,62,0.073,349,36,0.027
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,116,6,0.009,110,3,0.009,336,34,0.024
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,241,29,0.015,195,17,0.011,751,60,0.040
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,298,42,0.026,274,32,0.023,207,9,0.016
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,201,20,0.010,149,11,0.007,550,56,0.023
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,253,35,0.018,395,42,0.029,382,40,0.028
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,268,39,0.025,214,18,0.021,317,31,0.029
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,337,49,0.023,663,59,0.044,328,33,0.022
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,287,41,0.022,258,29,0.019,350,37,0.022
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,107,5,0.009,275,33,0.022,442,44,0.034
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,1320,66,0.037,2207,66,0.055,1916,66,0.044
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,451,59,0.025,698,60,0.037,757,61,0.036
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,735,65,0.030,1673,65,0.057,1158,65,0.039
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,385,53,0.020,521,55,0.027,762,62,0.038
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,206,22,0.014,61,2,0.004,11,1,0.001
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,151,10,0.015,136,8,0.013,219,11,0.018
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,9,1,0.001,131,6,0.010,314,30,0.021
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,272,40,0.018,284,34,0.020,310,29,0.020
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,191,17,0.019,237,20,0.020,303,26,0.024
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,370,51,0.038,385,40,0.043,413,43,0.038
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,418,57,0.036,371,39,0.029,577,58,0.038
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,309,44,0.023,244,23,0.017,259,18,0.018
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,162,13,0.011,246,24,0.017,318,32,0.022
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,227,23,0.017,356,38,0.025,523,53,0.035
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,100,4,0.005,114,4,0.005,141,5,0.007
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,231,25,0.015,397,43,0.024,279,24,0.016
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,394,54,0.028,570,57,0.039,468,46,0.031
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,326,47,0.024,482,49,0.034,519,52,0.035
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,261,38,0.017,501,51,0.032,399,41,0.023
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,624,63,0.030,1637,64,0.074,835,63,0.046
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,236,27,0.017,19,1,0.001,244,14,0.016
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,313,45,0.027,217,19,0.019,490,49,0.036
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,421,58,0.026,810,61,0.045,466,45,0.025
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,334,48,0.021,400,44,0.023,501,51,0.025
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,140,8,0.013,509,53,0.043,481,48,0.036
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,660,64,0.035,256,27,0.015,340,35,0.018
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,247,33,0.018,401,45,0.028,574,57,0.036
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,246,31,0.020,252,26,0.020,379,39,0.026
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,322,46,0.025,237,20,0.020,258,17,0.022
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,195,19,0.011,177,14,0.011,239,13,0.013
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,189,15,0.012,503,52,0.032,270,20,0.017
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,246,31,0.018,270,31,0.020,544,54,0.042
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,202,21,0.014,321,36,0.023,479,47,0.029
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,256,37,0.020,158,13,0.012,206,8,0.015
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,233,26,0.017,570,57,0.045,237,12,0.019
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,415,56,0.038,257,28,0.024,251,16,0.023
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,159,12,0.015,511,54,0.044,406,42,0.033
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,507,61,0.034,458,48,0.028,703,59,0.039
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,356,50,0.027,393,41,0.029,308,27,0.021
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,94,3,0.007,132,7,0.008,94,2,0.007
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,253,35,0.019,243,22,0.019,249,15,0.019
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,147,9,0.013,143,9,0.012,274,21,0.021
B. K-8 / 0 - 400,UNION,1710,GARWOOD BORO,252,34,0.024,130,5,0.013,364,38,0.034
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,238,28,0.014,348,37,0.022,290,25,0.018
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,190,16,0.014,183,16,0.014,309,28,0.023
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,384,52,0.029,532,56,0.040,493,50,0.032
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,302,43,0.025,300,35,0.022,174,6,0.013
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,82,2,0.006,157,12,0.012,95,3,0.007
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,229,24,0.018,415,47,0.033,548,55,0.039
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,191,17,0.017,264,30,0.020,210,10,0.014
C. K-8 / 401 - 750,,,1. State average - Operating Type K-8,234,,,273,,,307,,
C. K-8 / 401 - 750,,,2. State median - Operating Type K-8,238,,,263,,,303,,
C. K-8 / 401 - 750,,,5. State average - All operating types,247,,,295,,,330,,
C. K-8 / 401 - 750,,,6. State median - All operating types,243,,,278,,,313,,
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,260,35,0.018,192,16,0.014,270,22,0.018
C. K-8 / 401 - 750,ATLANTIC,1540,FOLSOM BORO,400,54,0.039,531,58,0.051,909,65,0.070
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,259,34,0.016,416,51,0.023,632,63,0.033
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,173,12,0.015,222,22,0.019,184,6,0.015
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,255,33,0.019,343,45,0.024,320,38,0.021
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,402,55,0.027,425,53,0.028,434,57,0.025
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,497,59,0.031,585,61,0.035,427,55,0.025
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,183,17,0.014,214,21,0.016,162,4,0.012
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,266,37,0.018,175,11,0.012,269,21,0.015
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,249,32,0.020,289,37,0.023,236,13,0.017
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,588,62,0.048,354,47,0.028,360,47,0.025
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,485,58,0.040,732,64,0.057,511,60,0.036
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,192,21,0.014,135,4,0.010,135,3,0.009
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,170,9,0.015,201,18,0.016,80,2,0.006
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,192,21,0.018,296,40,0.028,375,51,0.033
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,143,7,0.014,123,3,0.011,280,29,0.023
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,178,14,0.016,213,20,0.019,362,48,0.030
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,204,24,0.014,257,27,0.019,262,19,0.018
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,111,4,0.009,163,8,0.012,279,27,0.019
C. K-8 / 401 - 750,CAMDEN,2890,MAGNOLIA BORO,186,18,0.015,193,17,0.015,272,24,0.020
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,174,13,0.015,260,29,0.021,268,20,0.022
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,171,10,0.016,267,33,0.025,272,24,0.024
C. K-8 / 401 - 750,CAMDEN,5900,WOODLYNNE BORO,76,1,0.007,38,1,0.004,169,5,0.014
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,234,31,0.016,259,28,0.017,307,34,0.020
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,447,57,0.037,179,12,0.014,78,1,0.007
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,195,23,0.019,263,31,0.023,323,40,0.027
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,178,14,0.017,264,32,0.025,416,53,0.035
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,704,64,0.056,565,60,0.049,337,44,0.027
