GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31,ABBOTT
A. K-6,,,1. State average - Operating Type K-6,12008,,12359,,13135,,,,,
A. K-6,,,2. State median - Operating Type K-6,12437,,13073,,13835,,,,,
A. K-6,,,5. State average - All operating types,13290,,13735,,14506,,,,,
A. K-6,,,6. State median - All operating types,12774,,13207,,13889,,,,,
A. K-6,BERGEN,1270,EDGEWATER BORO,12437,30,10098,5,9521,1,619,664,827,
A. K-6,BERGEN,3870,ORADELL BORO,11169,17,12045,19,12664,17,798,788,786,
A. K-6,BERGEN,4410,RIVER EDGE BORO,11364,18,11715,16,12487,15,1197,1169,1158,
A. K-6,BERGEN,4620,SADDLE RIVER BORO,20128,56,21837,58,20893,57,231,229,233,
A. K-6,BURLINGTON,200,BASS RIVER TWP,14471,44,14573,43,15494,45,119,133,135,
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,10669,10,11291,13,11513,8,554,583,617,
A. K-6,BURLINGTON,2960,MANSFIELD TWP,10828,12,11090,11,12047,13,710,743,738,
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,15538,52,15404,48,16079,49,1184,1233,1292,
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,13067,33,13519,35,14584,37,289,288,296,
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,10872,13,11623,15,13733,27,167,178,179,
A. K-6,CAMDEN,5560,WATERFORD TWP,12127,22,12869,28,14008,33,897,869,896,
A. K-6,CAPE MAY,710,CAPE MAY CITY,19243,55,21422,56,20123,56,153,144,162,
A. K-6,CAPE MAY,2840,LOWER TWP,12295,27,12783,27,13251,21,1848,1828,1841,
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,20953,57,15918,50,13438,23,42,59,76,
A. K-6,ESSEX,1400,ESSEX FELLS BORO,15072,50,18065,54,17827,53,241,203,234,
A. K-6,ESSEX,1465,FAIRFIELD TWP,12597,31,13665,37,14142,35,694,690,696,
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,13431,36,14446,40,15775,47,670,675,688,
A. K-6,ESSEX,4530,ROSELAND BORO,12139,23,13070,29,13864,31,506,494,485,
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,9707,3,9393,3,10140,3,997,1109,1196,
A. K-6,GLOUCESTER,1330,ELK TWP,10321,9,10905,10,11929,12,384,395,392,
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,9950,6,10669,8,11541,10,1424,1388,1451,
A. K-6,GLOUCESTER,2070,HARRISON TWP,9818,4,10098,5,10788,6,1494,1483,1455,
A. K-6,GLOUCESTER,2990,MANTUA TWP,11004,16,11966,17,12473,14,1430,1393,1384,
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,12273,25,13074,31,14718,39,286,263,261,
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,8191,1,8506,1,10471,4,370,366,366,
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,9034,2,9265,2,10077,2,1746,1728,1797,
A. K-6,GLOUCESTER,5590,WENONAH BORO,10236,8,10811,9,11604,11,250,246,246,
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,12948,32,12674,26,13788,29,335,350,346,
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,12431,29,12299,23,13621,25,220,218,223,
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,14087,42,13215,34,15693,46,182,206,211,
A. K-6,HUNTERDON,2590,LEBANON BORO,22294,59,22897,59,19557,55,75,82,100,
A. K-6,HUNTERDON,5050,STOCKTON BORO,14855,49,14710,44,13408,22,39,46,51,
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,13299,35,13579,36,15133,41,246,247,248,
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,13519,37,13142,33,13676,26,311,327,336,
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,15395,51,16517,53,19361,54,200,192,189,
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,18662,54,15081,46,15843,48,73,94,95,
A. K-6,MORRIS,3240,MINE HILL TWP,9941,5,9930,4,10757,5,398,423,443,
A. K-6,OCEAN,230,BEACH HAVEN BORO,18251,53,20507,55,22819,59,71,62,68,
A. K-6,OCEAN,320,BERKELEY TWP,12160,24,12041,18,13106,19,2035,2022,2059,
A. K-6,OCEAN,1150,EAGLESWOOD TWP,14747,47,13103,32,14876,40,134,141,142,
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,14746,46,15990,51,14094,34,121,110,132,
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,12306,28,12258,22,12612,16,1859,1792,1876,
A. K-6,OCEAN,2760,LONG BEACH ISLAND,21625,58,21508,57,21961,58,238,237,249,
A. K-6,OCEAN,3800,OCEAN GATE BORO,14019,41,15122,47,15139,42,161,154,166,
A. K-6,OCEAN,3820,OCEAN TWP,14849,48,14999,45,16281,50,539,526,551,
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,14177,43,14498,42,15425,44,218,222,230,
A. K-6,OCEAN,5020,STAFFORD TWP,12273,25,12513,24,13737,28,2378,2310,2299,
A. K-6,OCEAN,5220,TUCKERTON BORO,10708,11,11121,12,11533,9,320,347,362,
A. K-6,SUSSEX,1630,FREDON TWP,11894,21,12115,20,12719,18,332,323,339,
A. K-6,SUSSEX,1980,HAMPTON TWP,13903,40,14341,38,14408,36,384,387,393,
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,14658,45,16341,52,17059,52,155,144,150,
A. K-6,SUSSEX,5040,STILLWATER TWP,13540,38,14341,38,15264,43,378,365,366,
A. K-6,WARREN,400,BLAIRSTOWN TWP,10995,15,12256,21,13147,20,637,599,578,
A. K-6,WARREN,1620,FRANKLIN TWP,13890,39,15406,49,16301,51,294,287,280,
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,11778,19,13073,30,13866,32,178,168,164,
A. K-6,WARREN,2470,KNOWLTON TWP,13101,34,14497,41,14601,38,274,270,260,
A. K-6,WARREN,2970,MANSFIELD TWP,10084,7,10225,7,11153,7,696,718,718,
A. K-6,WARREN,5480,WASHINGTON BORO,10952,14,11541,14,13472,24,536,556,538,
A. K-6,WARREN,5530,WASHINGTON TWP,11843,20,12661,25,13835,30,613,597,568,
B. K-8 / 0 - 400,,,1. State average - Operating Type K-8,12250,,12687,,13631,,,,,
B. K-8 / 0 - 400,,,2. State median - Operating Type K-8,12517,,12852,,13998,,,,,
B. K-8 / 0 - 400,,,5. State average - All operating types,13290,,13735,,14506,,,,,
B. K-8 / 0 - 400,,,6. State median - All operating types,12774,,13207,,13889,,,,,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,11350,10,12514,16,13998,25,192,196,191,
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,15232,48,15562,45,15292,41,117,119,121,
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,12010,15,12772,22,14021,26,219,209,205,
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,22179,64,24314,64,24529,64,154,145,154,
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,19198,60,18108,58,19325,58,278,282,293,
