GROUP,CONAME,DIST,DISTNAME,DE120,DE220,DE320,DE420
A. K-6,BERGEN,1270,EDGEWATER BORO,3747047,-813257,2933790,-524875
A. K-6,BERGEN,3870,ORADELL BORO,849131,32083,881214,86208
A. K-6,BERGEN,4410,RIVER EDGE BORO,1383518,-108272,1275246,350133
A. K-6,BERGEN,4620,SADDLE RIVER BORO,1864421,-74999,1789422,-177826
A. K-6,BURLINGTON,200,BASS RIVER TWP,356262,263011,619273,20288
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,572241,220396,792637,-76027
A. K-6,BURLINGTON,2960,MANSFIELD TWP,646306,10534,656840,130186
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,28304167,-798807,27505360,481906
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,695651,149663,845313,360403
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,264212,174104,438316,89459
A. K-6,CAMDEN,5560,WATERFORD TWP,2031471,492795,2524266,851801
A. K-6,CAPE MAY,710,CAPE MAY CITY,1658126,-73698,1584428,20391
A. K-6,CAPE MAY,2840,LOWER TWP,2853631,-45445,2808186,169733
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,581856,53051,634907,-12254
A. K-6,ESSEX,1400,ESSEX FELLS BORO,612869,243815,856684,222680
A. K-6,ESSEX,1465,FAIRFIELD TWP,1236195,88612,1324807,-171132
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,1629038,770463,2399501,482332
A. K-6,ESSEX,4530,ROSELAND BORO,548808,141156,689964,67669
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,1087567,600728,1688295,792354
A. K-6,GLOUCESTER,1330,ELK TWP,760699,422067,1182766,90634
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,2662499,721066,3383565,658216
A. K-6,GLOUCESTER,2070,HARRISON TWP,1290685,103309,1393994,268552
A. K-6,GLOUCESTER,2990,MANTUA TWP,959644,328787,1288431,193514
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,480307,200897,681204,399498
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,502698,157465,660163,429959
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,1846149,163601,2009750,914429
A. K-6,GLOUCESTER,5590,WENONAH BORO,143993,-21438,122555,104129
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,719547,38070,757617,39985
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,255746,13049,268795,303505
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,315892,284637,600529,256421
A. K-6,HUNTERDON,2590,LEBANON BORO,814200,13254,827454,11369
A. K-6,HUNTERDON,5050,STOCKTON BORO,126887,-259,126628,11648
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,949393,-200786,748607,47675
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,748669,144832,893501,211223
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,933854,248488,1182342,300415
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,486941,-167427,319514,105118
A. K-6,MORRIS,3240,MINE HILL TWP,707749,5172,712922,186000
A. K-6,OCEAN,230,BEACH HAVEN BORO,342928,104071,438387,137501
A. K-6,OCEAN,320,BERKELEY TWP,4074039,817532,4891571,1334895
A. K-6,OCEAN,1150,EAGLESWOOD TWP,32888,34947,67835,283964
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,302483,-98866,203617,24376
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,1264999,4712,1269711,2352528
A. K-6,OCEAN,2760,LONG BEACH ISLAND,1129890,11964,1141854,586129
A. K-6,OCEAN,3800,OCEAN GATE BORO,1101205,54338,1155543,112947
A. K-6,OCEAN,3820,OCEAN TWP,2600126,614518,3214644,1393423
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,1295054,164696,1459750,43457
A. K-6,OCEAN,5020,STAFFORD TWP,1877218,454378,2331596,1119430
A. K-6,OCEAN,5220,TUCKERTON BORO,575122,482745,779112,-170416
A. K-6,SUSSEX,1630,FREDON TWP,593015,-137235,455780,-29286
A. K-6,SUSSEX,1980,HAMPTON TWP,1158678,37747,1196425,-3028
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,798991,252457,1051448,144809
A. K-6,SUSSEX,5040,STILLWATER TWP,956461,-15322,941139,225006
A. K-6,WARREN,400,BLAIRSTOWN TWP,718240,321713,1039953,-157461
A. K-6,WARREN,1620,FRANKLIN TWP,864130,-9441,854689,35694
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,420921,78773,499694,14515
A. K-6,WARREN,2470,KNOWLTON TWP,600307,53240,653547,-49784
A. K-6,WARREN,2970,MANSFIELD TWP,564182,330841,895023,579233
A. K-6,WARREN,5480,WASHINGTON BORO,1015362,332139,1347501,71659
A. K-6,WARREN,5530,WASHINGTON TWP,760553,155335,915888,196964
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,154592,83473,238065,117033
