GROUP,CONAME,DIST,DISTNAME,EX121,EX221
A. K-6,BERGEN,1270,EDGEWATER BORO,426434,362190
A. K-6,BERGEN,3870,ORADELL BORO,153920,135316
A. K-6,BERGEN,4410,RIVER EDGE BORO,173504,736709
A. K-6,BERGEN,4620,SADDLE RIVER BORO,231686,228325
A. K-6,BURLINGTON,200,BASS RIVER TWP,40628,49350
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,91703,94664
A. K-6,BURLINGTON,2960,MANSFIELD TWP,0,0
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,0,0
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,216124,396937
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,94649,160721
A. K-6,CAMDEN,5560,WATERFORD TWP,1104757,1222633
A. K-6,CAPE MAY,710,CAPE MAY CITY,0,0
A. K-6,CAPE MAY,2840,LOWER TWP,507648,407534
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,49017,39470
A. K-6,ESSEX,1400,ESSEX FELLS BORO,149719,260206
A. K-6,ESSEX,1465,FAIRFIELD TWP,286366,228317
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,444460,350000
A. K-6,ESSEX,4530,ROSELAND BORO,118966,0
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,828744,1022690
A. K-6,GLOUCESTER,1330,ELK TWP,456167,159829
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,19048,198372
A. K-6,GLOUCESTER,2070,HARRISON TWP,272273,320549
A. K-6,GLOUCESTER,2990,MANTUA TWP,65150,213334
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,125804,274739
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,97775,372583
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,432398,962995
A. K-6,GLOUCESTER,5590,WENONAH BORO,0,0
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,170254,143644
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,0,236417
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,0,0
A. K-6,HUNTERDON,2590,LEBANON BORO,3893,117460
A. K-6,HUNTERDON,5050,STOCKTON BORO,0,0
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,986,0
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,66885,312670
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,439785,460410
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,152739,0
