CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
80,6612,2568017,1413645,1350119,23578,39948,342873,185576,707014,360574,87066,0,17419,0,30689,213,Galloway Community CS,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,7410,3760584,1790959,1713304,33406,44249,722686,591730,564757,393163,682182,0,0,0,0,274,chARTer~TECH HIGH SCHOOL,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,7420,4689407,2386927,2092230,224234,70463,456114,272839,1313797,866017,466369,0,66200,0,124015,343,Oceanside CS,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,6013,5092988,2473185,1911409,467482,94294,610228,610228,416263,285298,1593312,812713,0,0,25512,505,Bergen Arts and Sciences CS,BERGEN,K. CHARTER,C,,,1,BERGEN
80,6430,2926596,1743425,1639038,59306,45081,0,0,767032,371007,299632,0,0,0,8078,194,Englewood on the Palisades CS,BERGEN,K. CHARTER,C,,,1,BERGEN
80,7890,4302260,2439768,2351926,46514,41328,0,0,500975,435874,1361517,213556,0,0,0,306,Teaneck Community CS,BERGEN,K. CHARTER,C,,,1,BERGEN
80,6026,955105,423781,362230,52051,9500,110077,110077,282225,223800,139022,0,0,0,0,118,Riverbank Charter School of Excellence,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,6044,1088801,456346,452859,0,3487,0,0,447874,338757,184581,0,0,0,0,136,Renaissance Regional Leadership CS,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,6076,,,,,,,,,,,,,,,,Benjamin Banneker Prep CS,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,6024,2459524,1040460,918510,63091,58859,0,0,613237,386870,805827,0,0,0,132429,167,Camden's Pride Charter School,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6027,3129689,1742558,1434839,253026,54693,70870,0,710849,502506,600412,0,5000,0,44006,320,Institute of Excellence Charter School,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6083,,,,,,,,,,,,,,,,Knowledge A to Z Charter School,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6088,,,,,,,,,,,,,,,,City Invincible CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6212,5579446,3123090,2846964,116124,160002,0,0,1459782,940688,996574,0,0,0,86500,409,Camden Academy Charter HS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6215,5193231,2855789,2579477,167868,108444,0,0,1075226,558727,1262216,0,0,0,0,399,Camden's Promise CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6232,1821838,1007109,955873,41044,10192,90253,22534,482620,421528,241856,0,0,0,0,196,Environment Community CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6240,2695796,1240606,1067561,49712,123333,0,0,889636,592906,565554,309067,0,0,0,236,Freedom Academy CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6325,6482558,3503450,3283230,195304,24916,0,0,2133798,1572227,840524,0,0,0,42118,499,D.U.E. Season CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,7109,9637644,5212100,4736812,312689,162599,2389996,843192,1599020,1255561,436528,0,0,0,3220,836,LEAP Academy University CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6028,1266246,672848,569780,69782,33286,127116,71389,274547,217432,191734,0,0,0,2126,148,Vineland Public Charter School,CUMBERLAND,K. CHARTER,C,,,1,CUMBERLAND
80,6016,3624951,1453317,1121511,188453,143353,0,0,1126346,1033101,1019969,267567,25319,0,0,287,Adelaide L. Sandford CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6020,3189951,1285917,1206833,44796,34288,0,0,1463837,1214820,440197,0,0,0,1775,239,Pride Academy Charter School,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6022,2127375,866720,749123,83016,34581,0,0,523638,362271,706168,204816,30849,0,0,213,Burch Charter School of Excellence,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6029,3208127,1501342,1391035,72606,37701,175857,156394,690741,575300,781187,44564,59000,0,0,249,Newark Educators Charter School,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6037,1427808,736534,633007,58755,44772,0,0,398269,224333,225664,55327,67341,0,0,116,Newark Legacy CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6038,2049556,934324,807459,77017,49848,0,0,682548,286882,432684,0,0,0,40402,147,Visions Academy CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6059,,,,,,,,,,,,,,,,Newark Prep,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6075,,,,,,,,,,,,,,,,100 Legacy Academy CS,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6090,,,,,,,,,,,,,,,,Paulo Freire CS for Liberty Ed,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6091,,,,,,,,,,,,,,,,Merit Prep CS of Newark,ESSEX,K. CHARTER,C,,,1,ESSEX
