CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
80,6612,2543372,1325855,1193153,37330,95372,251118,196978,794624,479229,171775,0,0,0,142007,164,Galloway Community CS,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,7410,4511745,1974715,1857909,33791,83015,570246,412067,868744,691489,1098040,0,0,0,0,309,chARTer~TECH HIGH SCHOOL,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,7420,5122281,2808296,2464709,302428,41159,495888,300166,1301836,840908,441261,0,75000,0,46925,319,Oceanside CS,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,6013,7563663,3994293,3097325,698968,198000,1498761,1347568,914835,669814,1155774,0,0,0,303708,570,Bergen Arts and Sciences CS,BERGEN,K. CHARTER,C,,,1,BERGEN
80,6430,2822915,1695614,1604616,40898,50100,0,0,829537,434040,297764,0,0,0,20088,186,Englewood on the Palisades CS,BERGEN,K. CHARTER,C,,,1,BERGEN
80,7890,4245338,2457762,2356370,54443,46949,0,0,492986,439096,1294589,196708,0,0,37761,306,Teaneck Community CS,BERGEN,K. CHARTER,C,,,1,BERGEN
80,6026,1246324,713858,617023,66462,30373,0,0,380578,311706,151888,0,0,0,0,139,Riverbank Charter School of Excellence,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,6044,1358551,603850,514429,72684,16737,0,0,448808,320588,304713,0,0,0,0,140,Renaissance Regional Leadership CS,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,6076,,,,,,,,,,,,,,,,Benjamin Banneker Prep CS,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,6024,2899470,1410584,1286170,76811,47603,0,0,654787,502081,834099,0,0,0,16681,213,Camden's Pride Charter School,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6027,4798262,2495101,2158390,297027,39684,63335,0,1345476,882453,878850,0,15500,0,0,401,Institute of Excellence Charter School,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6083,,,,,,,,,,,,,,,,Knowledge A to Z Charter School,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6088,,,,,,,,,,,,,,,,City Invincible CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6212,5983007,3322868,2968920,125350,228598,0,0,1482066,969173,1178073,0,0,0,0,409,Camden Academy Charter HS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6215,6576782,3394252,2950295,281853,162104,0,0,1439048,763304,1743482,0,0,0,0,422,Camden's Promise CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6232,1791072,946163,883073,32837,30253,118289,0,458211,364762,249219,0,19190,0,0,206,Environment Community CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6240,2963195,1630216,1330650,177094,122472,233984,233984,765606,288299,333388,146407,0,0,0,245,Freedom Academy CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6325,6489453,2823864,2705698,105461,12705,0,0,2714700,2308215,950889,0,0,0,34822,537,D.U.E. Season CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,7109,10888185,6003687,5548502,299348,155837,2232159,951162,2039536,1765807,612803,0,0,0,5148,861,LEAP Academy University CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6028,1624736,992450,760034,151426,80990,116490,68367,356350,285662,159446,0,0,0,0,188,Vineland Public Charter School,CUMBERLAND,K. CHARTER,C,,,1,CUMBERLAND
