CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM
CAMDEN,390,BLACK HORSE PIKE REGIONAL,67975452,4241.7,16025,5,68673988,4091.7,16784,6,"G. G9-12|7-12,9-12",GG9-127-129-12
CAMDEN,580,BROOKLAWN BORO,5558582,400.6,13875,3,6020483,434.9,13842,2,"I. K-12|K-8,0-400",IK-12K-80-400
CAMDEN,680,CAMDEN CITY,320312367,14359.7,22306,100,336146343,14177.8,23709,104,"N. K-12|K-12,3500+",NK-12K-123500plus
CAMDEN,700,CAMDEN COUNTY VOCATIONAL,45394653,2376.4,19102,10,45780679,2067.6,22142,10,Q. COUNTY VOC,QCOUNTYVOC
CAMDEN,800,CHERRY HILL TWP,180708667,11507.3,15704,33,187954001,11446.3,16420,34,"N. K-12|K-12,3500+",NK-12K-123500plus
CAMDEN,880,CLEMENTON BORO,12064044,685.8,17590,45,12078679,647.1,18667,46,"J. K-12|K-8,401-750",JK-12K-8401-750
CAMDEN,940,COLLINGSWOOD BORO,33045716,1913,17274,48,33410076,1903.2,17554,42,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
CAMDEN,1255,EASTERN CAMDEN COUNTY REG,33897901,2155.8,15724,4,34776603,2113.7,16453,3,"G. G9-12|7-12,9-12",GG9-127-129-12
CAMDEN,1720,GIBBSBORO BORO,4644822,251.2,18488,39,4677332,250,18712,37,"C. K-8|K-8,0-400",CK-8K-80-400
CAMDEN,1770,GLOUCESTER CITY,46151325,2095.6,22023,64,48493560,2135.6,22707,65,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
CAMDEN,1780,GLOUCESTER TWP,101719715,7445.3,13662,11,106871785,7157.6,14931,20,"E. K-8|K-8,751+",EK-8K-8751plus
CAMDEN,1880,HADDON HEIGHTS BORO,22668272,1340.4,16912,25,22710674,1325.5,17133,21,"L. K-12|K-12,0-1800",LK-12K-120-1800
CAMDEN,1890,HADDON TWP,31640412,2158.4,14659,7,32584309,2135.6,15257,9,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
CAMDEN,1900,HADDONFIELD,36553043,2482.7,14723,8,37737662,2523.9,14952,5,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
CAMDEN,2540,LAUREL SPRINGS BORO,4512561,324.2,13917,12,4719144,335.4,14071,7,H. K-12|K-6,HK-12K-6
CAMDEN,2560,LAWNSIDE BORO,9204215,436,21110,55,8872940,425.9,20832,50,"I. K-12|K-8,0-400",IK-12K-80-400
CAMDEN,2670,LINDENWOLD BORO,41911711,2296.3,18252,57,42881105,2354.7,18211,53,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
CAMDEN,2890,MAGNOLIA BORO,7257460,431.9,16805,36,6955571,448.9,15495,11,"D. K-8|K-8,401-750",DK-8K-8401-750
CAMDEN,3110,MERCHANTVILLE BORO,6405304,388.6,16483,21,6867613,429,16008,11,"I. K-12|K-8,0-400",IK-12K-80-400
CAMDEN,3420,MOUNT EPHRAIM BORO,10017068,645.1,15528,18,10377839,642.2,16159,21,"J. K-12|K-8,401-750",JK-12K-8401-750
CAMDEN,3770,OAKLYN BORO,8488453,542.2,15657,13,8582148,580.2,14791,5,"L. K-12|K-12,0-1800",LK-12K-120-1800
CAMDEN,4060,PENNSAUKEN TWP,95417706,5639.7,16919,53,101913224,5495.2,18546,69,"N. K-12|K-12,3500+",NK-12K-123500plus
CAMDEN,4110,PINE HILL BORO,37391098,1957.3,19103,60,36889552,1923.8,19175,57,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
CAMDEN,4590,RUNNEMEDE BORO,12487305,853.4,14632,19,12124795,854.7,14186,10,"E. K-8|K-8,751+",EK-8K-8751plus
CAMDEN,4790,SOMERDALE BORO,7146579,512.1,13954,4,7436542,531.2,13998,3,"D. K-8|K-8,401-750",DK-8K-8401-750
CAMDEN,5035,STERLING HIGH SCHOOL DIST,16481941,984.8,16736,9,17226270,955,18039,11,"G. G9-12|7-12,9-12",GG9-127-129-12
CAMDEN,5080,STRATFORD BORO,11873971,842.8,14089,13,12605106,792.3,15909,36,"E. K-8|K-8,751+",EK-8K-8751plus
CAMDEN,5400,VOORHEES TWP,51925827,3211.5,16169,54,51180981,3205.6,15966,38,"E. K-8|K-8,751+",EK-8K-8751plus
CAMDEN,5560,WATERFORD TWP,25784101,1756.7,14678,18,25839761,1732.4,14916,12,H. K-12|K-6,HK-12K-6
CAMDEN,5820,WINSLOW TWP,97674295,5368.4,18194,80,99097061,5029,19705,82,"N. K-12|K-12,3500+",NK-12K-123500plus
CAMDEN,5900,WOODLYNNE BORO,10111568,609.7,16584,32,9882365,638.3,15481,10,"J. K-12|K-8,401-750",JK-12K-8401-750
CAMDEN,6024,CAMDEN'S PRIDE CHARTER SCHOOL,3148838,167.1,18844,66,3489107,213.3,16360,43,O. CHARTER,OCHARTER
CAMDEN,6027,INSTITUTE OF EXCELLENCE CHARTER SCHOOL,3639524,320,11374,8,5290476,401.1,13190,12,O. CHARTER,OCHARTER
CAMDEN,6212,CAMDEN ACADEMY CHARTER HIGH SCHOOL,7253851,409.2,17727,60,7184235,408.6,17582,53,O. CHARTER,OCHARTER
CAMDEN,6215,CAMDEN'S PROMISE CHARTER SCHOOL,9538591,398.7,23924,68,8404987,422.3,19901,64,O. CHARTER,OCHARTER
CAMDEN,6232,ENVIRONMENT COMMUNITY OPPORTUNITY CHARTE,2468258,195.9,12600,13,2606139,206.4,12627,8,O. CHARTER,OCHARTER
CAMDEN,6240,FREEDOM ACADEMY CHARTER SCHOOL,3307722,236,14016,21,3764163,244.7,15383,31,O. CHARTER,OCHARTER
CAMDEN,6325,D.U.E. SEASON CHARTER SCHOOL,8973913,499,17986,61,8479106,537.1,15787,35,O. CHARTER,OCHARTER
CAMDEN,7109,LEAP ACADEMY UNIVERSITY HIGH CHARTER SCH,14610973,836,17478,59,16755131,861.3,19453,61,O. CHARTER,OCHARTER
CAPE MAY,170,AVALON BORO,4108874,103,39898,66,4733924,113.6,41656,66,"I. K-12|K-8,0-400",IK-12K-80-400
CAPE MAY,710,CAPE MAY CITY,3467480,154.2,22493,56,3574164,143.8,24847,58,A. K-6|K-6,AK-6K-6
CAPE MAY,715,CAPE MAY CO SPECIAL SERV,14146055,229.6,61624,6,13073961,235.3,55555,6,P. CSSD,PCSSD
CAPE MAY,720,CAPE MAY CO VOCATIONAL,16934090,691,24506,18,17175057,687.8,24972,17,Q. COUNTY VOC,QCOUNTYVOC
CAPE MAY,1080,DENNIS TWP,16473135,872.8,18875,54,17228975,858,20079,56,"J. K-12|K-8,401-750",JK-12K-8401-750
CAPE MAY,2820,LOWER CAPE MAY REGIONAL,31863981,1662.7,19165,27,31754764,1584,20047,26,"F. G7-12|7-12,9-12",FG7-127-129-12
CAPE MAY,2840,LOWER TWP,28005770,1867.7,14995,20,29460673,1855,15881,21,A. K-6|K-6,AK-6K-6
CAPE MAY,3130,MIDDLE TWP,45117829,2868,15731,23,46533238,2780.5,16735,25,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
CAPE MAY,3680,NORTH WILDWOOD CITY,9071685,373.4,24296,62,8958159,358.7,24976,59,"I. K-12|K-8,0-400",IK-12K-80-400
CAPE MAY,3780,OCEAN CITY,41902098,2059.8,20343,63,41786748,2076.8,20121,63,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
CAPE MAY,5060,STONE HARBOR BORO,2351605,94.8,24818,63,3439608,112,30711,65,"I. K-12|K-8,0-400",IK-12K-80-400
CAPE MAY,5340,UPPER TWP,34940901,2191.3,15945,47,34002270,2172.1,15654,27,"K. K-12|K-8,751+",KK-12K-8751plus
CAPE MAY,5610,WEST CAPE MAY BORO,1154375,44,26236,59,1275037,61.1,20876,54,A. K-6|K-6,AK-6K-6
CAPE MAY,5790,WILDWOOD CITY,21196464,798.9,26532,47,21858581,822.6,26571,47,"L. K-12|K-12,0-1800",LK-12K-120-1800
CAPE MAY,5800,WILDWOOD CREST BORO,7336798,318.9,23006,58,7736087,294.3,26288,61,"I. K-12|K-8,0-400",IK-12K-80-400
CAPE MAY,5840,WOODBINE BORO,5821885,286.7,20304,53,6132544,280.6,21854,55,"I. K-12|K-8,0-400",IK-12K-80-400
CUMBERLAND,540,BRIDGETON CITY,91510864,5652.6,16189,41,99413252,5814.7,17097,43,"N. K-12|K-12,3500+",NK-12K-123500plus
CUMBERLAND,950,COMMERCIAL TWP,14712534,930.6,15809,22,14975980,893.5,16761,28,"J. K-12|K-8,401-750",JK-12K-8401-750
CUMBERLAND,995,CUMBERLAND CO VOCATIONAL,7806605,581.5,13424,2,8225319,460,17883,6,Q. COUNTY VOC,QCOUNTYVOC
CUMBERLAND,997,CUMBERLAND REGIONAL,24071691,1239.2,19426,31,24735941,1278.8,19343,21,"G. G9-12|7-12,9-12",GG9-127-129-12
CUMBERLAND,1020,DEERFIELD TWP,5723611,383.2,14935,11,6008810,369.1,16278,14,"C. K-8|K-8,0-400",CK-8K-80-400
CUMBERLAND,1120,DOWNE TWP,3676884,201.8,18222,37,3675654,204.7,17959,33,"I. K-12|K-8,0-400",IK-12K-80-400
CUMBERLAND,1460,FAIRFIELD TWP,10110065,637.9,15849,26,10691115,613.1,17437,36,"D. K-8|K-8,401-750",DK-8K-8401-750
CUMBERLAND,1820,GREENWICH TWP,1327705,75.9,17503,32,1367790,79.2,17281,24,"C. K-8|K-8,0-400",CK-8K-80-400
CUMBERLAND,2270,HOPEWELL TWP,8601756,543.4,15830,23,8391138,521.6,16087,19,"D. K-8|K-8,401-750",DK-8K-8401-750
CUMBERLAND,2570,LAWRENCE TWP,9544902,574,16629,34,9954427,585.9,16989,30,"J. K-12|K-8,401-750",JK-12K-8401-750
