CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
1,10,9313216,6269481,6107315,139314,22852,1087957,936079,1044316,874269,860193,501885,0,45024,0,836,ABSECON CITY,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,110,120476636,71412103,66905160,3025715,1481228,19797127,18513944,9823532,8063716,16552390,8974444,250000,1243451,581153,6592,ATLANTIC CITY,ATLANTIC,G. K-12 / 3501 +,3,A,,1,ATLANTIC
1,120,11260681,5566844,5221163,292142,53539,1131884,1082569,1497551,1099157,2619839,1296106,0,197562,231599,1022,ATLANTIC CO VOCATIONAL,ATLANTIC,J. VOC,8,,,1,ATLANTIC
1,125,19372771,11200560,10825924,112826,261810,3830439,3670008,2239679,1967855,1820466,899466,215544,0,60658,438,ATLANTIC CO SPECIAL SERV,ATLANTIC,I. CSSD,7,,,1,ATLANTIC
1,570,12292949,7840070,7541942,252525,45603,1619224,1534351,1190075,1004031,1488429,853951,0,152536,49742,774,BRIGANTINE CITY,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,590,29874309,18848171,18275586,397120,175465,3631686,3305187,3579163,2962650,3031896,1595299,0,765113,49643,2349,BUENA REGIONAL,ATLANTIC,F. K-12 / 1801 - 3500,3,A,,1,ATLANTIC
1,1300,6846129,4014954,3882171,93635,39148,1245539,1131419,803029,695181,730970,404223,0,51637,8754,489,EGG HARBOR CITY,ATLANTIC,C. K-8 / 401 - 750,2,A,,1,ATLANTIC
1,1310,90147246,54564182,52788232,1718262,57688,15023664,14040596,7647700,6304488,10819656,6383249,0,1197540,463625,7732,EGG HARBOR TWP,ATLANTIC,G. K-12 / 3501 +,3,CD,,1,ATLANTIC
1,1410,2450540,1318708,1263825,48790,6093,371591,291366,332819,273394,407843,215001,10654,8069,0,196,ESTELL MANOR CITY,ATLANTIC,B. K-8 / 0 - 400,2,DE,,1,ATLANTIC
1,1540,4316565,2607167,2354628,220009,32530,698158,656619,494061,372960,428226,216642,0,38051,24472,414,FOLSOM BORO,ATLANTIC,C. K-8 / 401 - 750,2,CD,,1,ATLANTIC
