GROUP,CONAME,DIST,DISTNAME,SSRAT0017,RK0017,SALS0017,RKSAL0017,SSRAT0117,RK0117,SALS0117,RKSAL0117
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,44.7,62,63818,47,45,58,66052,52
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,398.6,2,69141,56,56.1,49,71910,56
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,145.9,9,62286,43,49.2,55,62238,49
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,431.4,1,27186,7,43.9,59,48166,23
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,86.7,32,83636,62,71.5,32,82811,61
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,88,28,62721,44,71.7,31,1,1
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,54.9,53,49235,24,60.2,44,48937,25
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,,,,,60.3,43,31416,12
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,152,7,77800,60,,,,
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,284.2,3,36144,11,302.5,3,36966,14
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,57.2,50,42681,17,69.1,34,42681,18
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,132.9,11,53949,32,66.6,36,51637,30
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,104.3,24,59471,41,102.5,15,61893,48
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,47.1,61,56757,37,33.9,60,74982,58
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,74,37,73723,58,59.1,46,59503,45
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,87.8,30,59039,39,1114.3,1,1590000,62
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,48.7,59,54400,34,69.5,33,52341,33
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,215,6,49528,28,,,,
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,121.7,15,44447,20,86.3,21,45475,21
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,111.3,20,41424,15,189,5,52661,34
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,,,,,77,26,37636,15
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,121,16,50841,29,111,12,45922,22
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,126.7,12,13860,2,104.5,14,13200,3
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,84.4,33,28901,9,,,,
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,63.6,44,19158,5,59.2,45,14410,4
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,105.7,23,49051,23,94.7,17,44665,20
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,64.8,42,42580,16,57.6,48,24899,6
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,48.3,60,13035,1,33.3,61,12686,2
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,56.1,52,54945,35,51.1,53,57230,41
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,88.6,27,21911,6,119,8,73165,57
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,52.3,58,17972,4,55.7,50,42860,19
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,71.6,39,28000,8,74.7,29,28000,7
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,,,,,,,,
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,152,7,74500,59,83.9,24,28333,9
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,124,14,29784,10,112,11,29027,10
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,119.7,17,68351,55,68.4,35,57246,42
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,61.1,48,61614,42,61.9,39,59385,44
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,79.3,35,49500,27,88,19,51204,27
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,52.5,57,57950,38,59.1,46,58330,43
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,54.9,53,79696,61,50,54,81236,59
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,82.6,34,63084,46,78.5,25,65631,50
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,69.8,41,39848,13,72.6,30,51720,31
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,266,4,72874,57,125.5,7,38648,16
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,87.9,29,54236,33,60.9,41,59513,46
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,142.9,10,47227,22,170,6,48727,24
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,105.8,22,51644,30,226.7,4,55700,40
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,234.3,5,64282,49,31.9,62,51600,29
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,115,19,37459,12,115,9,52082,32
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,87.1,31,62937,45,90.5,18,67497,53
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,126.3,13,65189,51,383,2,55480,39
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,52.7,56,49277,25,60.4,42,51326,28
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,59.1,49,45730,21,55.4,51,55385,37
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,56.2,51,59312,40,48.4,56,60870,47
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,63.6,44,43983,19,64.1,38,33281,13
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,94,25,55440,36,76.3,27,55440,38
B. K-8 / 0 - 400,UNION,1710,GARWOOD BORO,107.4,21,41286,14,86.3,21,39147,17
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,71.4,40,16804,3,47.9,57,19412,5
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,62.3,46,52930,31,65.9,37,54619,36
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,61.5,47,67916,54,96.1,16,81870,60
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,75,36,63888,48,105,13,65969,51
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,92.7,26,64440,50,76,28,31000,11
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,118.3,18,66506,53,87,20,53574,35
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,52.9,55,65962,52,51.4,52,67752,54
C. K-8 / 401 - 750,,,K-8 Average,78.9,,66095,,76.9,,65508,
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,63,59,54755,16,56.1,57,55153,17
C. K-8 / 401 - 750,ATLANTIC,1540,FOLSOM BORO,74.3,44,65325,42,80.6,32,51725,7
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,78.4,35,72660,54,52.8,60,72850,54
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,109.2,7,55825,19,112.4,8,60285,33
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,94.9,16,61344,35,78.6,36,63131,35
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,58.5,62,69642,51,73.7,41,67809,46
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,73.3,45,58135,27,51.9,61,57501,24
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,96,14,54724,15,76.7,37,52208,8
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,48.1,65,103144,65,,,,
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,78,36,80714,61,99.5,12,76898,59
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,91.6,20,77732,59,81.9,30,77732,61
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,75.8,42,68841,49,82.6,28,74441,57
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,71.9,48,53076,12,63.8,48,52914,10
