GROUP,CONAME,DIST,DISTNAME,PP115,PP215,PP315
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,173,0,0
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,208,31,69
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,40,42,0
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,0,36,47
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,0,0,0
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,38,151,1056
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,247,76,106
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,40,101,98
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,0,0,45
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,0,0,0
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,0,0,0
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,494,0,0
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,0,0,0
B. K-8 / 0 - 400,CUMBERLAND,3050,MAURICE RIVER TWP,311,930,111
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,0,552,639
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,728,468,0
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,27,79,197
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,7,0,0
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,0,0,0
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,62,0,35
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,0,0,0
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,31,0,0
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,0,0,0
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,473,413,58
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,41,12,31
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,0,0,0
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,0,0,0
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,0,0,0
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,0,0,78
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,194,165,0
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,365,30,49
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,18,64,60
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,0,5,0
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,17,0,0
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,0,0,76
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,0,30,0
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,0,0,0
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,0,75,0
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,0,0,0
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,148,430,1352
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,0,0,0
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,502,211,832
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,295,44,0
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,167,29,417
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,55,39,0
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,212,128,0
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,0,0,0
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,74,85,24
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,3,24,5
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,95,93,74
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,25,8,0
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,0,0,0
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,51,0,0
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,71,0,0
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,60,232,0
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,0,0,0
C. K-8 / 401 - 750,,,1. State average - Operating Type K-8,86,71,68
C. K-8 / 401 - 750,,,2. State median - Operating Type K-8,42,35,51
C. K-8 / 401 - 750,,,5. State average - All operating types,69,59,50
C. K-8 / 401 - 750,,,6. State median - All operating types,49,44,45
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,0,0,0
C. K-8 / 401 - 750,ATLANTIC,1540,FOLSOM BORO,196,25,61
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,111,24,207
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,4,54,0
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,0,0,0
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,0,0,0
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,60,45,0
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,65,18,0
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,0,15,0
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,27,0,0
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,50,28,109
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,31,58,17
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,0,5,0
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,0,0,0
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,33,0,0
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,32,14,5
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,20,0,0
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,57,0,0
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,76,11,0
C. K-8 / 401 - 750,CAMDEN,2890,MAGNOLIA BORO,0,0,0
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,0,5,0
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,101,0,0
C. K-8 / 401 - 750,CAMDEN,5900,WOODLYNNE BORO,0,33,0
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,0,0,0
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,82,236,0
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,9,4,159
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,0,24,35
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,28,0,0
C. K-8 / 401 - 750,GLOUCESTER,1830,GREENWICH TWP,0,171,28
C. K-8 / 401 - 750,HUNTERDON,20,ALEXANDRIA TWP,65,30,9
C. K-8 / 401 - 750,HUNTERDON,370,BETHLEHEM TWP,0,26,0
C. K-8 / 401 - 750,HUNTERDON,910,CLINTON-GLEN GARDNER,0,0,0
C. K-8 / 401 - 750,HUNTERDON,1040,DELAWARE TWP,33,0,0
C. K-8 / 401 - 750,HUNTERDON,1160,EAST AMWELL TWP,53,33,89
C. K-8 / 401 - 750,HUNTERDON,2220,HOLLAND TWP,0,9,0
C. K-8 / 401 - 750,HUNTERDON,2450,KINGWOOD TWP,114,104,9
C. K-8 / 401 - 750,HUNTERDON,2600,LEBANON TWP,0,0,0
C. K-8 / 401 - 750,HUNTERDON,5180,TEWKSBURY TWP,106,0,119
C. K-8 / 401 - 750,HUNTERDON,5270,UNION TWP,13,201,0
C. K-8 / 401 - 750,MIDDLESEX,970,CRANBURY TWP,2,0,0
C. K-8 / 401 - 750,MIDDLESEX,2370,JAMESBURG BORO,0,0,0
C. K-8 / 401 - 750,MIDDLESEX,3220,MILLTOWN BORO,66,28,127
C. K-8 / 401 - 750,MONMOUTH,270,BELMAR BORO,31,33,0
C. K-8 / 401 - 750,MONMOUTH,560,BRIELLE BORO,62,0,24
C. K-8 / 401 - 750,MONMOUTH,3830,OCEANPORT BORO,0,120,219
C. K-8 / 401 - 750,MONMOUTH,4770,SHREWSBURY BORO,0,11,0
C. K-8 / 401 - 750,MONMOUTH,5230,UNION BEACH,0,0,0
C. K-8 / 401 - 750,MONMOUTH,5640,WEST LONG BRANCH BORO,13,0,381
C. K-8 / 401 - 750,MORRIS,460,BOONTON TWP,50,101,51
C. K-8 / 401 - 750,MORRIS,3090,MENDHAM BORO,0,0,0
C. K-8 / 401 - 750,MORRIS,3380,MORRIS PLAINS BORO,0,29,0
C. K-8 / 401 - 750,MORRIS,4480,ROCKAWAY BORO,16,34,0
C. K-8 / 401 - 750,OCEAN,2500,LAKEHURST BORO,0,0,59
C. K-8 / 401 - 750,PASSAIC,420,BLOOMINGDALE BORO,77,29,0
C. K-8 / 401 - 750,PASSAIC,3640,NORTH HALEDON BORO,40,22,0
C. K-8 / 401 - 750,SALEM,60,ALLOWAY TWP,8,9,0
C. K-8 / 401 - 750,SOMERSET,240,BEDMINSTER TWP,17,60,122
C. K-8 / 401 - 750,SOMERSET,4850,SOUTH BOUND BROOK,245,29,0
C. K-8 / 401 - 750,SOMERSET,5540,WATCHUNG BORO,57,0,0
C. K-8 / 401 - 750,SUSSEX,90,ANDOVER REG,108,217,0
C. K-8 / 401 - 750,SUSSEX,1560,FRANKFORD TWP,314,4,119
C. K-8 / 401 - 750,SUSSEX,1570,FRANKLIN BORO,7,176,0
C. K-8 / 401 - 750,SUSSEX,1800,GREEN TWP,42,0,47
C. K-8 / 401 - 750,UNION,1710,GARWOOD BORO,0,0,0
C. K-8 / 401 - 750,WARREN,30,ALLAMUCHY TWP,28,0,27
D. K-8 / 751 +,,,1. State average - Operating Type K-8,86,71,68
D. K-8 / 751 +,,,2. State median - Operating Type K-8,42,35,51
D. K-8 / 751 +,,,5. State average - All operating types,69,59,50
D. K-8 / 751 +,,,6. State median - All operating types,49,44,45
D. K-8 / 751 +,ATLANTIC,10,ABSECON CITY,3,64,0
D. K-8 / 751 +,ATLANTIC,570,BRIGANTINE CITY,54,50,66
D. K-8 / 751 +,ATLANTIC,1690,GALLOWAY TWP,44,17,30
D. K-8 / 751 +,ATLANTIC,1940,HAMILTON TWP,14,3,35
D. K-8 / 751 +,ATLANTIC,2680,LINWOOD CITY,180,46,32
D. K-8 / 751 +,ATLANTIC,3720,NORTHFIELD CITY,71,64,56
D. K-8 / 751 +,ATLANTIC,4800,SOMERS POINT CITY,27,30,10
D. K-8 / 751 +,ATLANTIC,5350,VENTNOR CITY,10,6,25
D. K-8 / 751 +,BERGEN,40,ALLENDALE BORO,17,73,179
D. K-8 / 751 +,BERGEN,930,CLOSTER BORO,10,74,0
D. K-8 / 751 +,BERGEN,1230,EAST RUTHERFORD BORO,40,22,0
D. K-8 / 751 +,BERGEN,1470,FAIRVIEW BORO,2,0,4
D. K-8 / 751 +,BERGEN,1580,FRANKLIN LAKES BORO,48,157,77
D. K-8 / 751 +,BERGEN,2180,HILLSDALE BORO,0,14,0
D. K-8 / 751 +,BERGEN,2710,LITTLE FERRY BORO,17,9,0
D. K-8 / 751 +,BERGEN,3060,MAYWOOD BORO,5,0,0
D. K-8 / 751 +,BERGEN,3330,MONTVALE BORO,8,0,2
D. K-8 / 751 +,BERGEN,3760,OAKLAND BORO,13,24,5
D. K-8 / 751 +,BERGEN,3850,OLD TAPPAN BORO,8,15,0
D. K-8 / 751 +,BERGEN,4430,RIVER VALE TWP,35,10,0
D. K-8 / 751 +,BERGEN,5330,UPPER SADDLE RIVER BORO,25,99,11
D. K-8 / 751 +,BERGEN,5880,WOODCLIFF LAKE BORO,13,492,0
D. K-8 / 751 +,BERGEN,5920,WYCKOFF TWP,41,89,0
D. K-8 / 751 +,BURLINGTON,1280,EDGEWATER PARK TWP,82,16,53
D. K-8 / 751 +,BURLINGTON,1420,EVESHAM TWP,239,3,2
D. K-8 / 751 +,BURLINGTON,2850,LUMBERTON TWP,53,13,52
D. K-8 / 751 +,BURLINGTON,3080,MEDFORD TWP,65,47,71
D. K-8 / 751 +,BURLINGTON,3430,MOUNT HOLLY TWP,72,12,86
D. K-8 / 751 +,BURLINGTON,3440,MOUNT LAUREL TWP,84,95,102
D. K-8 / 751 +,BURLINGTON,4740,SHAMONG TWP,14,0,44
D. K-8 / 751 +,BURLINGTON,4930,SOUTHAMPTON TWP,70,123,43
D. K-8 / 751 +,BURLINGTON,5130,TABERNACLE TWP,58,0,0
D. K-8 / 751 +,BURLINGTON,5720,WESTAMPTON,0,0,0
D. K-8 / 751 +,CAMDEN,260,BELLMAWR BORO,71,203,263
D. K-8 / 751 +,CAMDEN,330,BERLIN BORO,33,35,22
D. K-8 / 751 +,CAMDEN,1780,GLOUCESTER TWP,9,45,0
D. K-8 / 751 +,CAMDEN,4590,RUNNEMEDE BORO,44,11,19
D. K-8 / 751 +,CAMDEN,5080,STRATFORD BORO,77,18,0
D. K-8 / 751 +,CAMDEN,5400,VOORHEES TWP,38,23,31
D. K-8 / 751 +,CAPE MAY,5340,UPPER TWP,214,100,20
D. K-8 / 751 +,CUMBERLAND,5300,UPPER DEERFIELD TWP,29,100,0
D. K-8 / 751 +,GLOUCESTER,2750,LOGAN TWP,141,95,6
D. K-8 / 751 +,HUDSON,1850,GUTTENBERG TOWN,39,6,0
D. K-8 / 751 +,HUNTERDON,920,CLINTON TWP,14,71,82
D. K-8 / 751 +,HUNTERDON,1510,FLEMINGTON-RARITAN REG,102,66,54
D. K-8 / 751 +,HUNTERDON,4350,READINGTON TWP,144,40,4
D. K-8 / 751 +,MONMOUTH,945,COLTS NECK TWP,38,52,0
D. K-8 / 751 +,MONMOUTH,1260,EATONTOWN BORO,143,76,125
D. K-8 / 751 +,MONMOUTH,1440,FAIR HAVEN BORO,38,12,0
D. K-8 / 751 +,MONMOUTH,1640,FREEHOLD BORO,41,21,0
D. K-8 / 751 +,MONMOUTH,1660,FREEHOLD TWP,5,2,6
D. K-8 / 751 +,MONMOUTH,2290,HOWELL TWP,641,484,187
D. K-8 / 751 +,MONMOUTH,2720,LITTLE SILVER BORO,43,122,78
D. K-8 / 751 +,MONMOUTH,2920,MANALAPAN-ENGLISHTOWN REG,57,40,25
D. K-8 / 751 +,MONMOUTH,3030,MARLBORO TWP,38,9,5
D. K-8 / 751 +,MONMOUTH,3200,MILLSTONE TWP,6,4,0
D. K-8 / 751 +,MONMOUTH,4360,RED BANK BORO,19,45,0
D. K-8 / 751 +,MONMOUTH,4570,RUMSON BORO,0,26,0
D. K-8 / 751 +,MONMOUTH,5185,TINTON FALLS,77,28,22
D. K-8 / 751 +,MORRIS,820,CHESTER TWP,139,159,0
D. K-8 / 751 +,MORRIS,1090,DENVILLE TWP,30,0,0
D. K-8 / 751 +,MORRIS,1190,EAST HANOVER TWP,6,37,0
D. K-8 / 751 +,MORRIS,1530,FLORHAM PARK BORO,166,59,0
D. K-8 / 751 +,MORRIS,2000,HANOVER TWP,8,0,74
D. K-8 / 751 +,MORRIS,2650,LINCOLN PARK BORO,49,17,0
D. K-8 / 751 +,MORRIS,3100,MENDHAM TWP,230,13,0
D. K-8 / 751 +,MORRIS,4000,LONG HILL TWP,28,112,0
D. K-8 / 751 +,MORRIS,4490,ROCKAWAY TWP,19,25,284
D. K-8 / 751 +,MORRIS,5520,WASHINGTON TWP,2,6,24
D. K-8 / 751 +,MORRIS,5770,WHARTON BORO,34,27,19
D. K-8 / 751 +,PASSAIC,1920,HALEDON BORO,194,171,91
D. K-8 / 751 +,PASSAIC,2700,LITTLE FALLS TWP,14,1,0
D. K-8 / 751 +,PASSAIC,4270,PROSPECT PARK BORO,19,3,0
D. K-8 / 751 +,PASSAIC,4400,RINGWOOD BORO,0,0,24
D. K-8 / 751 +,PASSAIC,5200,TOTOWA BORO,15,0,0
D. K-8 / 751 +,PASSAIC,5440,WANAQUE BORO,49,11,4
D. K-8 / 751 +,PASSAIC,5690,WOODLAND PARK,151,20,0
D. K-8 / 751 +,SOMERSET,510,BRANCHBURG TWP,2,8,11
D. K-8 / 751 +,SOMERSET,1810,GREEN BROOK TWP,69,78,0
D. K-8 / 751 +,SOMERSET,5470,WARREN TWP,142,167,55
D. K-8 / 751 +,SUSSEX,640,BYRAM TWP,13,59,0
D. K-8 / 751 +,SUSSEX,2030,HARDYSTON TWP,0,45,51
D. K-8 / 751 +,SUSSEX,5100,SUSSEX-WANTAGE REGIONAL,28,7,0
D. K-8 / 751 +,UNION,3470,MOUNTAINSIDE BORO,4,15,0
D. K-8 / 751 +,WARREN,1785,GREAT MEADOWS REGIONAL,30,0,0
D. K-8 / 751 +,WARREN,1840,GREENWICH TWP,87,24,0
D. K-8 / 751 +,WARREN,2790,LOPATCONG TWP,190,75,13
E. K-12 / 0 - 1800,,,1. State average - Operating Type K-12,53,48,41
E. K-12 / 0 - 1800,,,2. State median - Operating Type K-12,35,35,24
E. K-12 / 0 - 1800,,,5. State average - All operating types,69,59,50
E. K-12 / 0 - 1800,,,6. State median - All operating types,49,44,45
E. K-12 / 0 - 1800,BERGEN,440,BOGOTA BORO,3,7,6
E. K-12 / 0 - 1800,BERGEN,990,CRESSKILL BORO,44,59,4
E. K-12 / 0 - 1800,BERGEN,1360,EMERSON BORO,3,28,3
E. K-12 / 0 - 1800,BERGEN,2080,HASBROUCK HEIGHTS BORO,0,2,0
E. K-12 / 0 - 1800,BERGEN,3170,MIDLAND PARK BORO,18,25,0
E. K-12 / 0 - 1800,BERGEN,3600,NORTH ARLINGTON BORO,0,13,0
E. K-12 / 0 - 1800,BERGEN,3910,PALISADES PARK,12,0,29
E. K-12 / 0 - 1800,BERGEN,3940,PARK RIDGE BORO,224,91,17
E. K-12 / 0 - 1800,BERGEN,4370,RIDGEFIELD BORO,5,5,0
E. K-12 / 0 - 1800,BERGEN,4610,SADDLE BROOK TWP,22,19,8
E. K-12 / 0 - 1800,BERGEN,5410,WALDWICK BORO,59,110,23
E. K-12 / 0 - 1800,BERGEN,5430,WALLINGTON BORO,25,16,8
E. K-12 / 0 - 1800,BERGEN,5830,WOOD-RIDGE BORO,31,112,0
E. K-12 / 0 - 1800,BURLINGTON,1520,FLORENCE TWP,7,0,0
E. K-12 / 0 - 1800,BURLINGTON,3920,PALMYRA BORO,0,20,291
E. K-12 / 0 - 1800,BURLINGTON,4450,RIVERSIDE TWP,122,0,20
E. K-12 / 0 - 1800,CAMDEN,150,AUDUBON BORO,66,12,9
E. K-12 / 0 - 1800,CAMDEN,1880,HADDON HEIGHTS BORO,39,7,11
E. K-12 / 0 - 1800,CAMDEN,3770,OAKLYN BORO,5,18,0
E. K-12 / 0 - 1800,CAPE MAY,5790,WILDWOOD CITY,43,3,53
E. K-12 / 0 - 1800,ESSEX,760,CEDAR GROVE TWP,75,60,0
E. K-12 / 0 - 1800,GLOUCESTER,860,CLAYTON BORO,126,38,44
E. K-12 / 0 - 1800,GLOUCESTER,4020,PAULSBORO BORO,0,28,135
E. K-12 / 0 - 1800,GLOUCESTER,4140,PITMAN BORO,16,12,11
E. K-12 / 0 - 1800,GLOUCESTER,5860,WOODBURY CITY,108,85,5
E. K-12 / 0 - 1800,HUDSON,5580,WEEHAWKEN TWP,16,149,0
E. K-12 / 0 - 1800,MIDDLESEX,1140,DUNELLEN BORO,6,0,0
E. K-12 / 0 - 1800,MIDDLESEX,2150,HIGHLAND PARK BORO,25,26,0
E. K-12 / 0 - 1800,MIDDLESEX,4830,SOUTH AMBOY CITY,7,55,0
E. K-12 / 0 - 1800,MIDDLESEX,4970,SPOTSWOOD BORO,85,190,135
E. K-12 / 0 - 1800,MONMOUTH,2400,KEANSBURG BORO,4,11,44
E. K-12 / 0 - 1800,MONMOUTH,2430,KEYPORT BORO,0,18,216
E. K-12 / 0 - 1800,MONMOUTH,2930,MANASQUAN BORO,75,21,12
E. K-12 / 0 - 1800,MORRIS,450,BOONTON TOWN,23,0,0
E. K-12 / 0 - 1800,MORRIS,630,BUTLER BORO,5,25,23
E. K-12 / 0 - 1800,MORRIS,3460,MOUNTAIN LAKES BORO,6,8,75
E. K-12 / 0 - 1800,OCEAN,4190,PLUMSTED TWP,20,10,8
E. K-12 / 0 - 1800,OCEAN,4220,POINT PLEASANT BEACH BORO,3,34,4
E. K-12 / 0 - 1800,PASSAIC,4230,POMPTON LAKES BORO,59,107,0
E. K-12 / 0 - 1800,SALEM,4150,PITTSGROVE TWP,2,10,2
E. K-12 / 0 - 1800,SALEM,4630,SALEM CITY,144,143,0
E. K-12 / 0 - 1800,SALEM,5910,WOODSTOWN-PILESGROVE REG,8,0,0
E. K-12 / 0 - 1800,SOMERSET,490,BOUND BROOK BORO,67,69,59
E. K-12 / 0 - 1800,SOMERSET,3000,MANVILLE BORO,0,0,0
E. K-12 / 0 - 1800,SUSSEX,3590,NEWTON TOWN,106,112,65
E. K-12 / 0 - 1800,UNION,2420,KENILWORTH BORO,122,19,16
E. K-12 / 0 - 1800,WARREN,280,BELVIDERE TOWN,86,216,42
F. K-12 / 1801 - 350,,,1. State average - Operating Type K-12,53,48,41
F. K-12 / 1801 - 350,,,2. State median - Operating Type K-12,35,35,24
F. K-12 / 1801 - 350,,,5. State average - All operating types,69,59,50
F. K-12 / 1801 - 350,,,6. State median - All operating types,49,44,45
F. K-12 / 1801 - 3500,ATLANTIC,590,BUENA REGIONAL,49,50,0
F. K-12 / 1801 - 3500,BERGEN,890,CLIFFSIDE PARK BORO,27,0,0
F. K-12 / 1801 - 3500,BERGEN,1130,DUMONT BORO,51,4,4
F. K-12 / 1801 - 3500,BERGEN,1345,ELMWOOD PARK,75,0,0
F. K-12 / 1801 - 3500,BERGEN,1370,ENGLEWOOD CITY,13,148,0
