GROUP,CONAME,DIST,DISTNAME,DE120,DE220,DE320,DE420
A. K-6,BERGEN,1270,EDGEWATER BORO,3950445,-203398,3747047,-813257
A. K-6,BERGEN,3870,ORADELL BORO,583564,265567,849131,32083
A. K-6,BERGEN,4410,RIVER EDGE BORO,1281250,102268,1383518,-108272
A. K-6,BERGEN,4620,SADDLE RIVER BORO,1896429,-32008,1864421,-74999
A. K-6,BURLINGTON,200,BASS RIVER TWP,355548,714,356262,263011
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,945862,-373621,572241,220396
A. K-6,BURLINGTON,2960,MANSFIELD TWP,591958,54348,646306,10534
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,28688861,-384694,28304167,-798807
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,709537,-13886,695651,149663
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,471484,-207272,264212,174104
A. K-6,CAMDEN,5560,WATERFORD TWP,4093930,-2062459,2031471,492795
A. K-6,CAPE MAY,710,CAPE MAY CITY,1632870,25256,1658126,-73698
A. K-6,CAPE MAY,2840,LOWER TWP,4032694,-1179063,2853631,-45445
A. K-6,CAPE MAY,4700,SEA ISLE CITY,1001676,-106151,895525,138179
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,427928,153928,581856,53051
A. K-6,ESSEX,1400,ESSEX FELLS BORO,358329,254540,612869,243815
A. K-6,ESSEX,1465,FAIRFIELD TWP,2196697,-960502,1236195,88612
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,974013,655025,1629038,770463
A. K-6,ESSEX,4530,ROSELAND BORO,714705,-165897,548808,141156
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,939173,148394,1087567,600728
A. K-6,GLOUCESTER,1330,ELK TWP,1157737,-397038,760699,422067
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,2302034,360465,2662499,721066
A. K-6,GLOUCESTER,2070,HARRISON TWP,1874100,-583415,1290685,103309
A. K-6,GLOUCESTER,2990,MANTUA TWP,1062912,-103268,959644,328787
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,324826,155481,480307,200897
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,582448,-79750,502698,157465
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,3207756,-1361607,1846149,163601
A. K-6,GLOUCESTER,5590,WENONAH BORO,234876,-90883,143993,-21438
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,902185,-182638,719547,38070
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,253388,2358,255746,13049
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,196102,119790,315892,284637
A. K-6,HUNTERDON,2590,LEBANON BORO,727922,86278,814200,13254
A. K-6,HUNTERDON,5050,STOCKTON BORO,91222,35665,126887,-259
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,903904,45489,949393,-200786
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,909650,-157776,748669,144832
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,932910,944,933854,248488
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,806116,-319175,486941,-167427
A. K-6,MORRIS,3240,MINE HILL TWP,733219,-25470,707749,5172
A. K-6,OCEAN,230,BEACH HAVEN BORO,341315,1613,342928,104071
A. K-6,OCEAN,320,BERKELEY TWP,4540532,-466493,4074039,817532
A. K-6,OCEAN,1150,EAGLESWOOD TWP,86322,-53434,32888,34947
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,547796,-245313,302483,-98866
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,2428769,-1163770,1264999,4712
A. K-6,OCEAN,2760,LONG BEACH ISLAND,1588172,-458282,1129890,11964
A. K-6,OCEAN,3800,OCEAN GATE BORO,1168871,-67666,1101205,54338
A. K-6,OCEAN,3820,OCEAN TWP,2750131,-144846,2600126,614518
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,1687371,-392317,1295054,164696
A. K-6,OCEAN,5020,STAFFORD TWP,2687725,-810507,1877218,454378
A. K-6,OCEAN,5220,TUCKERTON BORO,632821,-57699,575122,482745
A. K-6,SUSSEX,1630,FREDON TWP,523732,69283,593015,-137235
A. K-6,SUSSEX,1980,HAMPTON TWP,1090274,68404,1158678,37747
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,939177,-140186,798991,252457
A. K-6,SUSSEX,5040,STILLWATER TWP,1091931,-135470,956461,-15322
A. K-6,WARREN,400,BLAIRSTOWN TWP,920682,-202442,718240,321713
A. K-6,WARREN,1620,FRANKLIN TWP,709462,154668,864130,-9441
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,402918,18003,420921,78773
A. K-6,WARREN,2470,KNOWLTON TWP,483734,116573,600307,53240
A. K-6,WARREN,2970,MANSFIELD TWP,951678,-387496,564182,330841
A. K-6,WARREN,5480,WASHINGTON BORO,1303469,-288107,1015362,332139
A. K-6,WARREN,5530,WASHINGTON TWP,687299,73254,760553,155335
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,368162,-213570,154592,83473
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,309427,129338,438765,220990
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,490659,181983,672642,-37234
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,625005,-273182,351823,210488
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,1169496,215684,1385180,-332085
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,479955,-52178,427777,446896
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,112971,673516,786487,245864
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,1720339,-528936,1191403,150724
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,6572151,-3100460,3337233,532032
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,456520,7610,464130,117315
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,407629,46496,454125,325691
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,360691,80218,440909,7294
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,462617,30147,492764,218467
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,843101,-150978,692123,-87421
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,340105,177590,517695,-109093
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,1140707,-366293,774414,631490
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,977756,140330,1118086,-102770
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,1953518,162930,2116448,354464
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,755814,285659,1041473,250235
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,139545,137045,276590,6060
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,216560,-67866,148694,-157711
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,762870,10479,773349,-49025
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,1456116,-868123,587993,298931
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,227376,64083,291459,69709
B. K-8 / 0 - 400,CUMBERLAND,3050,MAURICE RIVER TWP,1960163,85523,2045686,-340712
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,407206,-177914,229292,1989
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,2226074,-243875,1982199,203287
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,350347,343122,693469,236330
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,195437,71340,266777,-63389
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,438606,-226244,212362,133948
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,360360,-7944,352416,86449
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,421361,-72861,348500,-86459
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,435978,140289,576267,258707
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,352712,33372,386084,47082
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,488539,151714,640253,189375
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,2681543,-433577,2247966,-161353
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,839451,-19664,819787,-250889
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,440278,15265,455543,-33972
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,1481345,-103071,1217149,336008
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,2438112,-498740,1939372,194751
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,554483,165789,720272,5707
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,3398869,-62683,3336186,121265
