GROUP,CONAME,DIST,DISTNAME,DE120,DE220,DE320,DE420
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,350458,108237,457396,441252
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,754270,36772,791042,-141691
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,1048747,493838,1542585,345799
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,225121,-6069,219052,288192
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,713899,13723,727622,402375
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,256362,139831,396193,164364
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,597947,19368,617315,-18595
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,764606,-107339,657267,-52069
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,1404438,58482,1462920,213281
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,561611,-116257,445354,13421
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,582928,61215,644143,366613
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,1323625,-346736,976889,203740
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,536907,200731,737638,117086
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,347370,172206,519576,248121
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,432579,231826,664405,220741
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,286415,289595,576010,183399
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,307598,-407,307191,-107209
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,838143,-511716,326427,166184
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,286188,126837,413025,-16399
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,1422876,-348774,1074102,89870
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,1361864,-394458,967406,-31932
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,485206,31659,516865,219953
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,686277,233171,919448,-274844
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,2003175,-304413,1698762,570132
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,417745,164336,582081,506350
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,1548300,-456353,1091947,342314
C. K-8 / 401 - 750,ATLANTIC,1540,FOLSOM BORO,2102847,121743,2224590,-66777
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,2572431,-861719,1710712,578897
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,943510,264443,1207953,490028
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,151226,17160,168386,335545
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,2359328,-57542,2301786,229151
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,1525170,-402975,1122195,1084163
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,661917,-81625,580292,586648
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,280225,232094,512319,293505
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,826382,42953,869335,311903
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,1519353,571281,2090634,-156674
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,384721,224578,609299,631078
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,755827,-550378,205449,-24329
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,573170,-124196,448974,88615
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,806916,-279180,527736,272226
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,652831,24728,677559,189045
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,3168257,-1027882,2140375,-946620
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,2044402,-508802,1535600,-444096
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,2063412,-495843,1567569,28411
C. K-8 / 401 - 750,CAMDEN,2890,MAGNOLIA BORO,931128,93734,1024862,156424
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,470478,227276,697754,403326
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,933795,-283824,649971,52167
C. K-8 / 401 - 750,CAMDEN,5900,WOODLYNNE BORO,1220258,-202626,1017632,-107336
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,768182,-71935,696247,141259
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,2319587,-447451,1872136,-135777
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,1112559,-758654,353905,74136
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,324456,-17701,306755,285752
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,2110385,-318486,1791899,-66383
C. K-8 / 401 - 750,GLOUCESTER,1830,GREENWICH TWP,978153,434757,1185004,214454
C. K-8 / 401 - 750,HUNTERDON,20,ALEXANDRIA TWP,865069,-122581,742488,18
C. K-8 / 401 - 750,HUNTERDON,370,BETHLEHEM TWP,1010518,-32943,977575,-235155
C. K-8 / 401 - 750,HUNTERDON,910,CLINTON-GLEN GARDNER,205497,29924,235421,227318
C. K-8 / 401 - 750,HUNTERDON,1040,DELAWARE TWP,805041,347458,1152499,216746
C. K-8 / 401 - 750,HUNTERDON,1160,EAST AMWELL TWP,748480,141588,890068,-48498
C. K-8 / 401 - 750,HUNTERDON,2220,HOLLAND TWP,1177675,66207,1243882,-178504
C. K-8 / 401 - 750,HUNTERDON,2450,KINGWOOD TWP,951589,380377,1331966,91563
C. K-8 / 401 - 750,HUNTERDON,2600,LEBANON TWP,2532233,190581,2722814,902002
C. K-8 / 401 - 750,HUNTERDON,5180,TEWKSBURY TWP,2730863,-653308,2077555,218440
C. K-8 / 401 - 750,HUNTERDON,5270,UNION TWP,740803,697129,1437932,862227
C. K-8 / 401 - 750,MIDDLESEX,970,CRANBURY TWP,3132136,202078,3334214,-259362
C. K-8 / 401 - 750,MIDDLESEX,2370,JAMESBURG BORO,392747,-10895,381852,157017
C. K-8 / 401 - 750,MIDDLESEX,3220,MILLTOWN BORO,968882,50706,1019588,179744
C. K-8 / 401 - 750,MONMOUTH,270,BELMAR BORO,1610726,9944,1620670,-31309
C. K-8 / 401 - 750,MONMOUTH,560,BRIELLE BORO,356338,-92291,264047,480841
C. K-8 / 401 - 750,MONMOUTH,3830,OCEANPORT BORO,151443,117469,268912,364215
C. K-8 / 401 - 750,MONMOUTH,4770,SHREWSBURY BORO,428724,-118031,310693,256257
C. K-8 / 401 - 750,MONMOUTH,5230,UNION BEACH,3906271,-1307215,2599056,-117806
C. K-8 / 401 - 750,MONMOUTH,5640,WEST LONG BRANCH BORO,1603252,47559,1650811,800050
C. K-8 / 401 - 750,MORRIS,460,BOONTON TWP,664532,-19535,644997,267845
C. K-8 / 401 - 750,MORRIS,3090,MENDHAM BORO,906324,-118983,787341,94019
C. K-8 / 401 - 750,MORRIS,3380,MORRIS PLAINS BORO,1273033,5585,1278618,268760
C. K-8 / 401 - 750,MORRIS,4480,ROCKAWAY BORO,431748,84474,516222,225126
C. K-8 / 401 - 750,OCEAN,2500,LAKEHURST BORO,1384732,-2067,1382665,-65606
C. K-8 / 401 - 750,PASSAIC,420,BLOOMINGDALE BORO,1614843,23998,1638841,667923
C. K-8 / 401 - 750,PASSAIC,3640,NORTH HALEDON BORO,703139,363409,1066548,-348418
C. K-8 / 401 - 750,SALEM,60,ALLOWAY TWP,1416122,-138156,1277966,151632
C. K-8 / 401 - 750,SOMERSET,240,BEDMINSTER TWP,786197,-10269,775928,6598
C. K-8 / 401 - 750,SOMERSET,4850,SOUTH BOUND BROOK,1425269,-204926,1220343,642957
C. K-8 / 401 - 750,SOMERSET,5540,WATCHUNG BORO,2582073,-128598,2453475,300673
C. K-8 / 401 - 750,SUSSEX,90,ANDOVER REG,738010,-255447,482563,-107028
C. K-8 / 401 - 750,SUSSEX,1560,FRANKFORD TWP,743000,123546,866546,55431
C. K-8 / 401 - 750,SUSSEX,1570,FRANKLIN BORO,1039188,-41818,997370,-116301
C. K-8 / 401 - 750,SUSSEX,1800,GREEN TWP,1236550,302841,1539391,-212040
C. K-8 / 401 - 750,UNION,1710,GARWOOD BORO,1766645,-889887,876758,-272605
C. K-8 / 401 - 750,WARREN,30,ALLAMUCHY TWP,463697,-234935,228762,25906
D. K-8 / 751 +,ATLANTIC,10,ABSECON CITY,1139581,-86730,1052851,152603
D. K-8 / 751 +,ATLANTIC,570,BRIGANTINE CITY,3332935,-1462929,1870006,25126
D. K-8 / 751 +,ATLANTIC,1690,GALLOWAY TWP,9326299,-4465150,4861149,2735767
D. K-8 / 751 +,ATLANTIC,1940,HAMILTON TWP,3359529,1050908,4410437,1746106
D. K-8 / 751 +,ATLANTIC,2680,LINWOOD CITY,2359497,-561285,1798212,704098
D. K-8 / 751 +,ATLANTIC,3720,NORTHFIELD CITY,1291659,55394,1347053,149367
D. K-8 / 751 +,ATLANTIC,4800,SOMERS POINT CITY,1719301,-300663,1418638,161619
D. K-8 / 751 +,ATLANTIC,5350,VENTNOR CITY,1771870,-613813,1158057,-6386
D. K-8 / 751 +,BERGEN,40,ALLENDALE BORO,3263171,1069323,4332494,1515887
D. K-8 / 751 +,BERGEN,930,CLOSTER BORO,2033573,323013,2356586,1119051
D. K-8 / 751 +,BERGEN,1230,EAST RUTHERFORD BORO,328909,23223,352132,845235
D. K-8 / 751 +,BERGEN,1470,FAIRVIEW BORO,1121276,-79478,1041798,211270
D. K-8 / 751 +,BERGEN,1580,FRANKLIN LAKES BORO,1751052,941632,2692684,-42806
D. K-8 / 751 +,BERGEN,2180,HILLSDALE BORO,608276,363741,972017,314250
D. K-8 / 751 +,BERGEN,2710,LITTLE FERRY BORO,1438097,-660589,655150,-292463
D. K-8 / 751 +,BERGEN,3060,MAYWOOD BORO,2628468,-582159,2046309,-745366
D. K-8 / 751 +,BERGEN,3330,MONTVALE BORO,1585811,-228562,1357249,-14905
D. K-8 / 751 +,BERGEN,3760,OAKLAND BORO,1701821,-404278,1297543,338265
D. K-8 / 751 +,BERGEN,3850,OLD TAPPAN BORO,5610333,589902,6200235,556343
D. K-8 / 751 +,BERGEN,4430,RIVER VALE TWP,1269565,74946,1344511,212838
D. K-8 / 751 +,BERGEN,5330,UPPER SADDLE RIVER BORO,1952598,292134,2244732,570207
D. K-8 / 751 +,BERGEN,5880,WOODCLIFF LAKE BORO,1265342,-168375,1296967,181427
D. K-8 / 751 +,BERGEN,5920,WYCKOFF TWP,2895001,61906,2956907,1090163
D. K-8 / 751 +,BURLINGTON,1280,EDGEWATER PARK TWP,2284995,247405,2532400,216793
D. K-8 / 751 +,BURLINGTON,1420,EVESHAM TWP,11077142,-4662557,6414585,-1164253
D. K-8 / 751 +,BURLINGTON,2850,LUMBERTON TWP,4210787,-914712,3296075,734962
D. K-8 / 751 +,BURLINGTON,3080,MEDFORD TWP,5616159,-1728007,3888152,356170
D. K-8 / 751 +,BURLINGTON,3430,MOUNT HOLLY TWP,2458513,350456,2808969,740952
D. K-8 / 751 +,BURLINGTON,3440,MOUNT LAUREL TWP,9196403,-68804,9127599,-1065151
D. K-8 / 751 +,BURLINGTON,4740,SHAMONG TWP,1163170,-206174,956996,377801
D. K-8 / 751 +,BURLINGTON,4930,SOUTHAMPTON TWP,814082,315573,1069446,245845
D. K-8 / 751 +,BURLINGTON,5130,TABERNACLE TWP,1810932,-779267,1031665,468558
D. K-8 / 751 +,BURLINGTON,5720,WESTAMPTON,464270,-52798,411472,254577
D. K-8 / 751 +,CAMDEN,260,BELLMAWR BORO,1108888,294891,1403779,7028
D. K-8 / 751 +,CAMDEN,330,BERLIN BORO,481498,-56248,425250,439370
D. K-8 / 751 +,CAMDEN,1780,GLOUCESTER TWP,13170881,-2396012,10774869,5028636
D. K-8 / 751 +,CAMDEN,4590,RUNNEMEDE BORO,2009956,-575760,1434196,-328456
D. K-8 / 751 +,CAMDEN,5080,STRATFORD BORO,1092880,-631922,460959,211496
D. K-8 / 751 +,CAMDEN,5400,VOORHEES TWP,8224830,-1841005,5913325,156390
D. K-8 / 751 +,CAPE MAY,5340,UPPER TWP,2273559,454937,2728496,651659
D. K-8 / 751 +,CUMBERLAND,5300,UPPER DEERFIELD TWP,1663066,-174860,1488206,-278953
D. K-8 / 751 +,GLOUCESTER,2750,LOGAN TWP,1995563,-358224,1637339,785438
D. K-8 / 751 +,HUDSON,1850,GUTTENBERG TOWN,2243959,-1730781,513178,406613
D. K-8 / 751 +,HUNTERDON,920,CLINTON TWP,1471094,73375,1544469,721101
D. K-8 / 751 +,HUNTERDON,1510,FLEMINGTON-RARITAN REG,4205033,379640,4584673,344303
D. K-8 / 751 +,HUNTERDON,4350,READINGTON TWP,5340421,-1921186,3419235,522974
D. K-8 / 751 +,MONMOUTH,945,COLTS NECK TWP,2440450,-782692,1657758,581566
D. K-8 / 751 +,MONMOUTH,1260,EATONTOWN BORO,4660048,-1598052,3061996,-3212
D. K-8 / 751 +,MONMOUTH,1440,FAIR HAVEN BORO,1027353,-26595,1000758,557338
D. K-8 / 751 +,MONMOUTH,1640,FREEHOLD BORO,2294106,-337807,1956299,-224054
D. K-8 / 751 +,MONMOUTH,1660,FREEHOLD TWP,8927039,-1008000,7919039,-464279
D. K-8 / 751 +,MONMOUTH,2290,HOWELL TWP,5699121,122343,5306355,3115465
D. K-8 / 751 +,MONMOUTH,2720,LITTLE SILVER BORO,2001179,-58945,1942234,262276
D. K-8 / 751 +,MONMOUTH,2920,MANALAPAN-ENGLISHTOWN REG,6653404,-7820,6645584,1271586
D. K-8 / 751 +,MONMOUTH,3030,MARLBORO TWP,8600594,-1653116,6947478,924153
D. K-8 / 751 +,MONMOUTH,3200,MILLSTONE TWP,640609,453717,1094326,-8379
D. K-8 / 751 +,MONMOUTH,4360,RED BANK BORO,2397969,-1372269,1025700,10935
D. K-8 / 751 +,MONMOUTH,4570,RUMSON BORO,1257873,516242,1774115,-3477
D. K-8 / 751 +,MONMOUTH,5185,TINTON FALLS,10824129,-1388815,9435314,-81159
D. K-8 / 751 +,MORRIS,820,CHESTER TWP,2940932,-907147,2033785,501272
D. K-8 / 751 +,MORRIS,1090,DENVILLE TWP,494452,260444,754896,-34445
D. K-8 / 751 +,MORRIS,1190,EAST HANOVER TWP,1141002,331032,1472034,253120
D. K-8 / 751 +,MORRIS,1530,FLORHAM PARK BORO,945934,4182,950116,12496
D. K-8 / 751 +,MORRIS,2000,HANOVER TWP,2069458,-237899,1831559,-158443
D. K-8 / 751 +,MORRIS,2650,LINCOLN PARK BORO,1071339,579479,1650818,503320
D. K-8 / 751 +,MORRIS,3100,MENDHAM TWP,1283201,-244632,1038569,180535
D. K-8 / 751 +,MORRIS,4000,LONG HILL TWP,200008,612188,812196,926317
D. K-8 / 751 +,MORRIS,4490,ROCKAWAY TWP,4605587,-1976077,2629510,381251
D. K-8 / 751 +,MORRIS,5520,WASHINGTON TWP,3805691,-770713,3034978,355039
D. K-8 / 751 +,MORRIS,5770,WHARTON BORO,511548,300599,812147,818092
D. K-8 / 751 +,PASSAIC,1920,HALEDON BORO,2754684,905992,3660676,-630189
D. K-8 / 751 +,PASSAIC,2700,LITTLE FALLS TWP,975897,185182,1161079,618232
D. K-8 / 751 +,PASSAIC,4270,PROSPECT PARK BORO,2937992,39618,2977610,743486
D. K-8 / 751 +,PASSAIC,4400,RINGWOOD BORO,979315,412108,1391423,117452
D. K-8 / 751 +,PASSAIC,5200,TOTOWA BORO,2981953,-135374,2846579,-25836
D. K-8 / 751 +,PASSAIC,5440,WANAQUE BORO,897986,173098,1071084,355988
D. K-8 / 751 +,PASSAIC,5690,WOODLAND PARK,1231281,-11117,1220164,123090
D. K-8 / 751 +,SOMERSET,510,BRANCHBURG TWP,3334133,583244,3917377,-375979
D. K-8 / 751 +,SOMERSET,1810,GREEN BROOK TWP,2303930,-567131,1736799,-456617
D. K-8 / 751 +,SOMERSET,5470,WARREN TWP,3349620,-491298,2858322,2156103
D. K-8 / 751 +,SUSSEX,640,BYRAM TWP,-141803,805857,664054,713131
D. K-8 / 751 +,SUSSEX,2030,HARDYSTON TWP,499725,370002,869727,198873
D. K-8 / 751 +,SUSSEX,5100,SUSSEX-WANTAGE REGIONAL,1041311,-464453,576858,173074
D. K-8 / 751 +,UNION,3470,MOUNTAINSIDE BORO,2807750,-972392,1835358,-664793
D. K-8 / 751 +,WARREN,1785,GREAT MEADOWS REGIONAL,1722869,-418903,1303966,-698065
D. K-8 / 751 +,WARREN,1840,GREENWICH TWP,2016795,-962155,1054640,-21244
D. K-8 / 751 +,WARREN,2790,LOPATCONG TWP,1328095,576051,1904146,77822
E. K-12 / 0 - 1800,BERGEN,440,BOGOTA BORO,940803,-190050,750753,112488
E. K-12 / 0 - 1800,BERGEN,990,CRESSKILL BORO,778176,314011,1092187,86367
E. K-12 / 0 - 1800,BERGEN,1360,EMERSON BORO,1907633,-563733,1343900,1046950
E. K-12 / 0 - 1800,BERGEN,2080,HASBROUCK HEIGHTS BORO,577018,-3057,573977,132618
E. K-12 / 0 - 1800,BERGEN,3170,MIDLAND PARK BORO,1263293,98229,1361522,720716
E. K-12 / 0 - 1800,BERGEN,3600,NORTH ARLINGTON BORO,2679555,-281201,2398354,223788
E. K-12 / 0 - 1800,BERGEN,3910,PALISADES PARK,1228672,-179280,1049392,722775
E. K-12 / 0 - 1800,BERGEN,3940,PARK RIDGE BORO,2323214,537716,2860930,751753
E. K-12 / 0 - 1800,BERGEN,4370,RIDGEFIELD BORO,2656990,-71375,2585615,-486447
E. K-12 / 0 - 1800,BERGEN,4610,SADDLE BROOK TWP,812245,-298300,513945,462875
E. K-12 / 0 - 1800,BERGEN,5410,WALDWICK BORO,1957348,382031,2339379,566421
E. K-12 / 0 - 1800,BERGEN,5430,WALLINGTON BORO,2046478,-791947,1254531,67510
E. K-12 / 0 - 1800,BERGEN,5830,WOOD-RIDGE BORO,1270401,237758,1508159,1280
E. K-12 / 0 - 1800,BURLINGTON,1520,FLORENCE TWP,2025693,-111689,1914004,-41978
E. K-12 / 0 - 1800,BURLINGTON,3920,PALMYRA BORO,2276928,-105435,2171493,180831
