CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM
,,STATE AVERAGE - ALL OPERATING TYPES,,,17787,,,,17352,,,
,,STATE MEDIAN - ALL OPERATING TYPES,,,16782,,,,16609,,,
ATLANTIC,10,ABSECON CITY,13380208,890.1,15033,23,12658555,938.3,13491,8,"K. K-12|K-8,751+",KK-12K-8751plus
ATLANTIC,110,ATLANTIC CITY,162570985,6734,24142,106,170848727,6702.6,25490,105,"N. K-12|K-12,3500+",NK-12K-123500plus
ATLANTIC,120,ATLANTIC CO VOCATIONAL,13419242,800.1,16771,6,14698542,830.9,17691,7,Q. COUNTY VOC,QCOUNTYVOC
ATLANTIC,125,ATLANTIC CO SPECIAL SERV,23025513,476.5,48327,4,23089951,456.9,50536,3,P. CSSD,PCSSD
ATLANTIC,570,BRIGANTINE CITY,21619021,1049.9,20591,85,21568341,1020.7,21131,87,"K. K-12|K-8,751+",KK-12K-8751plus
ATLANTIC,590,BUENA REGIONAL,46065334,2565.5,17955,52,43119522,2496,17275,47,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
ATLANTIC,1300,EGG HARBOR CITY,10957646,479.4,22859,64,10603572,473.3,22402,65,"D. K-8|K-8,401-750",DK-8K-8401-750
ATLANTIC,1310,EGG HARBOR TWP,129038688,7822,16497,39,122370179,8020.8,15257,27,"N. K-12|K-12,3500+",NK-12K-123500plus
ATLANTIC,1410,ESTELL MANOR CITY,4990869,311.7,16011,19,4732288,283.9,16670,26,"I. K-12|K-8,0-400",IK-12K-80-400
ATLANTIC,1540,FOLSOM BORO,6995929,507.2,13793,4,7682221,505.1,15211,12,"J. K-12|K-8,401-750",JK-12K-8401-750
ATLANTIC,1690,GALLOWAY TWP,60253656,3537.7,17032,65,56607329,3509.3,16130,50,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,1790,GREATER EGG HARBOR REG,68130963,3971,17157,10,71760820,3930.8,18256,15,"G. G9-12|7-12,9-12",GG9-127-129-12
ATLANTIC,1940,HAMILTON TWP,49707481,3363.9,14777,17,47770222,3248.2,14707,21,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,1960,HAMMONTON TOWN,46372154,3446.8,13454,1,46340780,3552.2,13046,1,"N. K-12|K-12,3500+",NK-12K-123500plus
ATLANTIC,2680,LINWOOD CITY,15172519,935.5,16218,50,14976546,905.8,16533,59,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,2910,MAINLAND REGIONAL,27711157,1629.3,17008,8,29015157,1547.6,18749,21,"G. G9-12|7-12,9-12",GG9-127-129-12
ATLANTIC,3020,MARGATE CITY,15563159,711,21890,63,13632579,647.2,21064,63,"J. K-12|K-8,401-750",JK-12K-8401-750
ATLANTIC,3480,MULLICA TWP,11627828,720.2,16145,25,11423118,719.6,15875,27,"D. K-8|K-8,401-750",DK-8K-8401-750
ATLANTIC,3720,NORTHFIELD CITY,15125358,1070,14136,8,14917027,1058.6,14091,14,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,4180,PLEASANTVILLE CITY,84030898,4086.1,20565,91,86801865,3362.8,25812,106,"N. K-12|K-12,3500+",NK-12K-123500plus
ATLANTIC,4240,PORT REPUBLIC CITY,2600738,149.4,17412,33,2476686,152.1,16283,20,"I. K-12|K-8,0-400",IK-12K-80-400
ATLANTIC,4800,SOMERS POINT CITY,17114028,1102.5,15523,36,16620594,1061.2,15663,38,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,5350,VENTNOR CITY,24407656,1337,18256,76,23980880,1306.8,18351,79,"K. K-12|K-8,751+",KK-12K-8751plus
ATLANTIC,5760,WEYMOUTH TWP,4906038,324.6,15115,9,4947727,315,15709,18,"I. K-12|K-8,0-400",IK-12K-80-400
ATLANTIC,6612,GALLOWAY COMMUNITY CHARTER SCHOOL,4107241,272.4,15080,34,3332819,213.1,15641,42,O. CHARTER,OCHARTER
ATLANTIC,7410,CHARTER-TECH H.S. FOR PRF. ARTS,4337084,261.4,16594,50,4223391,273.9,15419,37,O. CHARTER,OCHARTER
ATLANTIC,7420,OCEANSIDE CHARTER SCHOOL,6274122,341.9,18351,59,5969738,342.7,17418,58,O. CHARTER,OCHARTER
ATLANTIC,7520,PLEASANTECH ACADEMY CHARTER SCHOOL,7735532,525.1,14732,29,0,0,,,O. CHARTER,OCHARTER
BERGEN,40,ALLENDALE BORO,15080087,972,15514,34,14996920,972,15429,32,"E. K-8|K-8,751+",EK-8K-8751plus
BERGEN,80,ALPINE BORO,6141343,214.9,28576,65,5605650,225.8,24823,65,"I. K-12|K-8,0-400",IK-12K-80-400
BERGEN,285,BERGEN CO SPECIAL SERVICE,66624077,802.9,82983,8,69393180,772.5,89831,8,P. CSSD,PCSSD
BERGEN,290,BERGEN COUNTY VOCATIONAL,69119164,2056,33618,19,71742128,2096.1,34227,20,Q. COUNTY VOC,QCOUNTYVOC
BERGEN,300,BERGENFIELD BORO,62255424,3567.6,17450,58,59204334,3498,16925,54,"N. K-12|K-12,3500+",NK-12K-123500plus
BERGEN,440,BOGOTA BORO,21946183,1250,17557,35,20919322,1225.2,17074,27,"L. K-12|K-12,0-1800",LK-12K-120-1800
BERGEN,740,CARLSTADT BORO,11911777,594,20055,60,11481470,601.9,19077,56,"D. K-8|K-8,401-750",DK-8K-8401-750
BERGEN,745,CARLSTADT-EAST RUTHERFORD,13699314,526.9,25999,46,12603646,513,24567,44,"G. G9-12|7-12,9-12",GG9-127-129-12
BERGEN,890,CLIFFSIDE PARK BORO,42896671,2744.6,15630,14,42732422,2790.3,15315,15,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BERGEN,930,CLOSTER BORO,18518445,1166.4,15877,43,17688348,1139.9,15518,35,"E. K-8|K-8,751+",EK-8K-8751plus
BERGEN,990,CRESSKILL BORO,28122666,1761.3,15967,17,28399683,1780.1,15954,20,"L. K-12|K-12,0-1800",LK-12K-120-1800
BERGEN,1070,DEMAREST BORO,13340679,683.2,19528,58,13425085,686.8,19547,58,"D. K-8|K-8,401-750",DK-8K-8401-750
BERGEN,1130,DUMONT BORO,44610317,2884.8,15464,12,45344241,2815.6,16105,27,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BERGEN,1230,EAST RUTHERFORD BORO,15366881,717.7,21410,87,14554842,767.4,18966,82,"E. K-8|K-8,751+",EK-8K-8751plus
BERGEN,1270,EDGEWATER BORO,14962145,898.8,16647,33,16266717,952.9,17071,35,H. K-12|K-6,HK-12K-6
BERGEN,1345,ELMWOOD PARK,37722026,2394.9,15751,17,37265928,2484.5,14999,11,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
BERGEN,1360,EMERSON BORO,20621710,1258.7,16383,22,19124231,1217.9,15702,15,"L. K-12|K-12,0-1800",LK-12K-120-1800
