GROUP,CONAME,DIST,DISTNAME,SARAT0018,RK0018,SALAM0018,RKSAL0018,SARAT0118,RK0118,SALAM0118,RKSAL0118
A. K-6,,,K-6 Average,165.4,,102000,,160.3,,102773,
A. K-6,BERGEN,1270,EDGEWATER BORO,206,12,103525,37,169,23,104093,37
A. K-6,BERGEN,3870,ORADELL BORO,172.8,21,108637,46,170.9,22,110810,49
A. K-6,BERGEN,4410,RIVER EDGE BORO,217.3,8,138896,59,211.3,8,142764,59
A. K-6,BERGEN,4620,SADDLE RIVER BORO,57,57,143063,60,57.5,56,148106,60
A. K-6,BURLINGTON,200,BASS RIVER TWP,119,39,102979,35,132,34,106274,42
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,137,31,104714,40,144.8,33,108386,46
A. K-6,BURLINGTON,2960,MANSFIELD TWP,177.5,19,98093,30,185,14,101540,33
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,146.4,30,116780,51,157.6,26,115545,51
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,102.9,44,112014,48,102.5,42,87750,18
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,207.5,11,53485,5,179,17,21907,2
A. K-6,CAMDEN,5560,WATERFORD TWP,161.6,25,118808,52,195.1,12,112765,50
A. K-6,CAPE MAY,710,CAPE MAY CITY,86.1,49,93951,25,82.8,50,92820,22
A. K-6,CAPE MAY,2840,LOWER TWP,305.7,1,123298,53,263,2,126996,56
A. K-6,CAPE MAY,4700,SEA ISLE CITY,80,51,50000,4,76.7,52,46800,6
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,26.7,59,35100,2,37.3,60,35100,5
A. K-6,ESSEX,1400,ESSEX FELLS BORO,121,38,103300,36,102,44,105366,40
A. K-6,ESSEX,1465,FAIRFIELD TWP,173.3,20,116484,50,171.3,20,119848,53
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,165.5,23,106714,43,168.8,24,125000,55
A. K-6,ESSEX,4530,ROSELAND BORO,177.9,18,109200,47,173.2,19,116150,52
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,202.6,13,87000,16,184.3,15,87938,19
A. K-6,GLOUCESTER,1330,ELK TWP,194,16,90192,19,197,11,90192,20
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,201.7,14,93000,24,197.1,10,94860,26
A. K-6,GLOUCESTER,2070,HARRISON TWP,212.1,9,104545,39,212,7,106636,44
A. K-6,GLOUCESTER,2990,MANTUA TWP,286.4,2,126543,57,200.6,9,101605,35
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,102.9,44,75900,11,145,31,28570,3
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,137,31,85591,14,166.4,25,85591,15
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,249,5,94640,26,245.7,3,98331,29
A. K-6,GLOUCESTER,5590,WENONAH BORO,253,4,99567,32,245,4,101558,34
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,126.9,36,87975,17,67.6,54,28570,3
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,155.7,27,63138,7,154.3,27,80500,12
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,91,47,106750,44,102.5,42,110058,48
A. K-6,HUNTERDON,2590,LEBANON BORO,75,53,126232,56,89,48,130183,58
A. K-6,HUNTERDON,5050,STOCKTON BORO,53.8,58,107000,45,55,57,104639,38
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,122.5,37,136001,58,122,37,108250,45
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,107.6,43,82983,12,120.7,38,47500,7
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,57.2,56,84435,13,52.8,58,86000,16
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,23.8,60,47872,3,45,59,86994,17
A. K-6,MORRIS,3240,MINE HILL TWP,283.6,3,85967,15,299.3,1,82387,13
A. K-6,OCEAN,230,BEACH HAVEN BORO,75,53,125000,54,67,55,122675,54
A. K-6,OCEAN,320,BERKELEY TWP,224.1,7,126000,55,183.6,16,128000,57
A. K-6,OCEAN,1150,EAGLESWOOD TWP,68,55,74188,10,71,53,77442,10
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,102.5,46,56840,6,92.5,46,58330,8
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,166.7,22,98989,31,178,18,102125,36
A. K-6,OCEAN,2760,LONG BEACH ISLAND,84.3,50,68060,8,94.6,45,93811,24
A. K-6,OCEAN,3800,OCEAN GATE BORO,78,52,92242,21,79,51,92789,21
A. K-6,OCEAN,3820,OCEAN TWP,154.3,29,103819,38,152,28,105895,41
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,212,10,1,1,232,6,10000,1
A. K-6,OCEAN,5020,STAFFORD TWP,197.3,15,97069,27,191.6,13,99444,30
A. K-6,OCEAN,5220,TUCKERTON BORO,162,24,98000,29,171,21,100298,31
A. K-6,SUSSEX,1630,FREDON TWP,111.7,42,97818,28,109,41,97818,27
A. K-6,SUSSEX,1980,HAMPTON TWP,129.7,35,106304,42,129.7,35,108430,47
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,158,26,105000,41,145,31,105000,39
A. K-6,SUSSEX,5040,STILLWATER TWP,117.2,40,115066,49,114.1,40,85000,14
A. K-6,WARREN,400,BLAIRSTOWN TWP,135.6,33,90500,20,119.8,39,93125,23
A. K-6,WARREN,1620,FRANKLIN TWP,115.6,41,101809,33,126.1,36,97848,28
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,89,48,102458,34,83,49,106553,43
A. K-6,WARREN,2470,KNOWLTON TWP,132.9,34,70000,9,90,47,73000,9
A. K-6,WARREN,2970,MANSFIELD TWP,227.3,6,92365,22,239,5,94222,25
A. K-6,WARREN,5480,WASHINGTON BORO,179.7,17,88800,18,147.6,29,79140,11
A. K-6,WARREN,5530,WASHINGTON TWP,154.5,28,92524,23,146.8,30,101011,32
B. K-8 / 0 - 400,,,K-8 Average,174.8,,111070,,174.4,,111597,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,83.9,51,65728,13,82.9,51,82160,25
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,78,55,73646,16,80,54,77992,21
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,105.5,34,94156,39,124.7,28,88076,31
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,45.3,66,109500,53,42.1,66,111690,53
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,90.3,46,104500,51,93,43,104500,50
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,155,12,139162,66,137.8,21,178531,66
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,264,4,120000,59,137.3,22,77500,19
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,155,12,81267,20,153.5,14,75000,15
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,68.8,63,93940,38,135.4,24,76800,18
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,139.5,19,101107,47,140,20,101107,45
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,,,,,,,,
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,80,53,83410,24,69.1,62,73000,13
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,292,2,117400,58,341,2,121875,58
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,145.9,15,40400,2,144.7,19,41208,2
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,84.3,50,61400,7,93,43,78508,22
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,322,1,126622,64,260.7,5,44500,4
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,77,56,64293,9,66,63,60882,10
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,83.1,52,88018,33,79.5,55,90438,34
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,75,57,64293,9,79,56,61289,11
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,140,17,73955,17,131.5,26,76128,16
