GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
A. K-6,WARREN,2970,MANSFIELD TWP,15,15,0.001,21,18,0.002,21,15,0.002
A. K-6,WARREN,5480,WASHINGTON BORO,24,19,0.002,17,15,0.002,24,18,0.002
A. K-6,WARREN,5530,WASHINGTON TWP,4,3,0.000,1,1,0.000,14,10,0.001
B. K-8 / 0 - 400,,,1. State average - Operating Type K-8,37,,,37,,,37,,
B. K-8 / 0 - 400,,,2. State median - Operating Type K-8,37,,,35,,,37,,
B. K-8 / 0 - 400,,,5. State average - All operating types,38,,,37,,,36,,
B. K-8 / 0 - 400,,,6. State median - All operating types,32,,,31,,,34,,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,39,31,0.003,52,35,0.005,52,46,0.004
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,210,64,0.014,145,54,0.010,202,67,0.014
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,20,18,0.002,27,20,0.002,48,44,0.004
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,111,56,0.005,163,57,0.007,33,28,0.001
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,71,48,0.004,104,53,0.005,71,54,0.004
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,47,36,0.003,87,50,0.005,44,40,0.002
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,175,63,0.011,186,60,0.013,95,62,0.007
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,16,14,0.001,20,16,0.002,36,31,0.003
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,51,39,0.003,322,64,0.021,46,42,0.003
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,19,17,0.001,27,20,0.002,43,35,0.004
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,72,49,0.004,80,47,0.004,109,65,0.004
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,83,51,0.006,61,38,0.004,84,59,0.006
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,49,38,0.004,51,34,0.005,51,45,0.004
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,20,18,0.001,,,0.000,59,50,0.004
