GROUP,CONAME,DIST,DISTNAME,PP113,RK113,PCT113,PP213,RK213,PCT213,PP313,RK313,PCT313
A. K-6,,,1. State average - Operating Type K-6,35,,,31,,,30,,
A. K-6,,,2. State median - Operating Type K-6,42,,,23,,,34,,
A. K-6,,,5. State average - All operating types,263,,,242,,,263,,
A. K-6,,,6. State median - All operating types,192,,,175,,,194,,
A. K-6,BERGEN,1270,EDGEWATER BORO,40,18,0.003,77,39,0.006,59,28,0.006
A. K-6,BERGEN,3870,ORADELL BORO,20,10,0.002,11,12,0.001,15,11,0.001
A. K-6,BERGEN,4410,RIVER EDGE BORO,,,0.000,,,0.000,,,0.000
A. K-6,BERGEN,4620,SADDLE RIVER BORO,201,37,0.010,168,41,0.008,166,42,0.008
A. K-6,BURLINGTON,200,BASS RIVER TWP,91,35,0.007,99,40,0.007,109,40,0.007
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,32,17,0.003,2,1,0.000,18,14,0.002
A. K-6,BURLINGTON,2960,MANSFIELD TWP,,,0.000,,,0.000,,,0.000
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,61,31,0.004,59,35,0.004,74,37,0.004
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,,,0.000,,,0.000,,,0.000
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,,,0.000,8,7,0.001,20,15,0.001
A. K-6,CAMDEN,5560,WATERFORD TWP,,,0.000,,,0.000,,,0.000
A. K-6,CAPE MAY,710,CAPE MAY CITY,162,36,0.010,181,43,0.009,123,41,0.006
A. K-6,CAPE MAY,2840,LOWER TWP,,,0.000,,,0.000,,,0.000
A. K-6,CAPE MAY,4700,SEA ISLE CITY,,,0.000,,,0.000,,,0.000
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,,,0.000,14,15,0.001,10,5,0.000
A. K-6,ESSEX,1400,ESSEX FELLS BORO,12,5,0.001,13,14,0.001,14,9,0.001
A. K-6,ESSEX,1465,FAIRFIELD TWP,,,0.000,,,0.000,,,0.000
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,1,1,0.000,5,4,0.000,2,2,0.000
A. K-6,ESSEX,4530,ROSELAND BORO,,,0.000,23,21,0.002,20,15,0.002
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,,,0.000,,,0.000,,,0.000
A. K-6,GLOUCESTER,1330,ELK TWP,12,5,0.001,12,13,0.001,14,9,0.001
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,21,11,0.002,10,9,0.001,10,5,0.001
A. K-6,GLOUCESTER,2070,HARRISON TWP,,,0.000,,,0.000,,,0.000
A. K-6,GLOUCESTER,2990,MANTUA TWP,22,13,0.002,20,17,0.002,28,19,0.002
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,17,9,0.001,22,20,0.002,30,20,0.002
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,,,0.000,,,0.000,,,0.000
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,21,11,0.002,17,16,0.002,7,4,0.001
A. K-6,GLOUCESTER,5590,WENONAH BORO,57,27,0.006,40,25,0.004,41,24,0.004
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,49,23,0.004,26,24,0.002,62,30,0.005
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,56,26,0.005,45,28,0.004,49,26,0.004
A. K-6,HUNTERDON,2530,LAMBERTVILLE CITY,12,5,0.001,9,8,0.001,12,8,0.001
A. K-6,HUNTERDON,2590,LEBANON BORO,40,18,0.002,52,32,0.002,74,37,0.003
A. K-6,HUNTERDON,5050,STOCKTON BORO,,,0.000,,,0.000,,,0.000
A. K-6,HUNTERDON,5600,WEST AMWELL TWP,,,0.000,,,0.000,,,0.000
