GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,e21,E11,E31
B. K-8 / 0 - 400,,,1. State average - Operating Type K-8,12506,,12250,,13087,,,,
B. K-8 / 0 - 400,,,2. State median - Operating Type K-8,12730,,12517,,13332,,,,
B. K-8 / 0 - 400,,,5. State average - All operating types,13599,,13291,,13946,,,,
B. K-8 / 0 - 400,,,6. State median - All operating types,12935,,12774,,13352,,,,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,11925,12,11350,10,12904,17,192,207,191
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,15184,39,15232,49,14772,40,117,117,122
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,11462,8,12010,16,13641,27,219,224,203
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,23900,65,22179,65,24311,64,154,142,151
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,19262,62,19198,61,18978,59,278,273,283
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,16980,53,17628,56,19104,60,219,236,225
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,15702,43,14167,39,14565,39,252,227,283
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,12533,16,12317,19,13352,23,386,397,387
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,17845,57,15698,51,14941,41,174,164,195
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,12875,21,11457,13,11917,9,279,269,282
B. K-8 / 0 - 400,BURLINGTON,5490,WASHINGTON TWP,20096,63,20329,63,25896,65,60,70,46
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,13548,32,14206,40,13334,22,144,148,155
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,11375,7,10926,7,12407,12,303,311,292
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,15381,41,14937,46,15260,43,250,251,255
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,13155,26,13161,28,13685,29,254,252,256
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,13090,25,12567,20,13833,31,315,350,324
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,37130,67,35502,67,39325,67,75,70,71
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,18064,59,18003,57,20159,63,320,317,321
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,29109,66,24726,66,27900,66,79,63,82
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,17343,56,18810,59,17894,56,263,288,277
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,12806,18,14627,43,14181,36,221,227,224
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,10080,2,10163,3,10702,1,373,385,380
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,15710,44,13431,30,16369,51,167,174,164
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,16584,51,14753,45,16345,50,76,69,74
B. K-8 / 0 - 400,CUMBERLAND,3050,MAURICE RIVER TWP,11992,15,11431,11,11935,10,372,388,379
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,10992,5,10148,2,11210,3,135,135,133
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,8997,1,9684,1,10869,2,224,242,245
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,13329,29,11604,15,13512,24,140,133,160
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,12997,22,13518,32,13926,32,148,157,148
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,13957,34,14156,38,13681,28,304,340,325
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,15248,40,13019,23,12534,14,165,153,173
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,17880,58,20194,62,18364,57,130,149,137
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,15946,46,15906,52,15594,47,390,399,404
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,15486,42,14286,41,14543,38,117,106,122
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,13759,33,13509,31,13625,26,161,162,174
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,16313,49,15180,48,15705,49,285,274,292
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,22938,64,21090,64,15578,46,103,90,142
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,14312,36,13867,36,15561,45,158,152,150
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,11056,6,11437,12,13053,18,306,319,312
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,10185,3,10213,4,11401,5,389,398,385
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,17172,54,16381,54,17321,54,188,180,192
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,17248,55,16156,53,18915,58,270,265,272
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,11967,14,11142,9,11962,11,348,338,355
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,18797,60,19029,60,19930,61,311,312,311
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,14611,38,13856,35,15418,44,385,377,380
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,13158,27,12109,17,12465,13,285,283,314
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,13021,23,12707,21,11638,8,318,309,375
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,18805,61,18284,58,20002,62,116,111,124
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,15944,45,15577,50,15605,48,167,149,169
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,13391,31,13606,34,14017,35,97,99,98
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,14519,37,14713,44,16490,52,200,219,206
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,11952,13,13068,27,13729,30,178,190,181
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,16422,50,13582,33,15115,42,197,177,190
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,11755,11,10840,6,11329,4,352,346,347
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,10560,4,10839,5,11508,7,378,391,386
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,16169,48,15079,47,17350,55,281,281,273
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,12584,17,13028,24,13957,33,257,282,260
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,16014,47,14453,42,14188,37,302,290,307
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,12829,19,13181,29,13116,20,286,312,297
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,11537,9,10998,8,11428,6,380,393,375
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,16717,52,16694,55,17045,53,140,139,141
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,14265,35,13919,37,13305,21,256,264,262
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,12838,20,13036,26,12854,16,294,298,320
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,13275,28,12127,18,13054,19,206,204,207
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,13056,24,13034,25,12788,15,281,287,293
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,13351,30,12728,22,13997,34,344,350,331
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,11655,10,11525,14,13607,25,381,407,370
C. K-8 / 401 - 750,,,1. State average - Operating Type K-8,12506,,12250,,13087,,,,
C. K-8 / 401 - 750,,,2. State median - Operating Type K-8,12730,,12517,,13332,,,,
C. K-8 / 401 - 750,,,5. State average - All operating types,13599,,13291,,13946,,,,
C. K-8 / 401 - 750,,,6. State median - All operating types,12935,,12774,,13352,,,,
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,14742,56,14414,53,14481,45,466,472,483
C. K-8 / 401 - 750,ATLANTIC,1540,FOLSOM BORO,9379,1,10350,6,11311,14,400,400,409
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,16200,64,16494,65,18551,65,512,575,508
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,10960,11,11245,17,12035,21,713,712,713
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,14013,49,13409,43,14179,42,592,575,591
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,14956,57,15130,59,17269,62,665,662,634
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,19580,65,16070,64,18350,64,452,449,453
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,12604,28,12744,37,12991,28,688,712,691
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,13985,48,14757,55,15623,55,463,486,458
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,12648,29,12490,31,13436,35,659,673,639
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,11618,17,12368,27,13100,30,587,617,592
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,12421,25,12238,25,12090,22,611,623,685
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,13125,38,14132,51,12458,24,452,504,495
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,12764,33,11549,19,11985,20,683,694,672
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,11556,15,10361,8,10969,6,700,696,710
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,10782,9,10538,11,11659,17,544,558,541
