GROUP,CONAME,DIST,DISTNAME,PP3VV,STPCT01VV,LTPCT01VV,FDPCT01VV,TUPCT01VV,FBPCT01VV,OTPCT01VV,STRAT01VV,SSRAT01VV,SARAT01VV,PCTSEVV,CO,OTHER01
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,18490,0.081,0.86,0.019,0.04,0,0,9.9,76.4,88.4,0.071,29,-1.74623E-10
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,15633,0.554,0.408,0.036,0.002,0,0,12.2,87.3,166.7,0.123,29,1.8626451E-9
A. K-6,OCEAN,2760,LONG BEACH ISLAND,25376,0.101,0.87,0.021,0.007,0,0.001,8.8,45.4,84.3,0.165,29,4.656613E-10
F. K-12 / 1801 - 3500,OCEAN,2940,MANCHESTER TWP,16615,0.162,0.76,0.034,0.041,0,0.003,11.5,57.4,176,0.153,29,-1.862645E-9
J. VOC,OCEAN,3790,OCEAN COUNTY VOCATIONAL,15428,0.243,0.653,0.034,0.07,0,0,14,113.5,154.7,0.205,29,-9.31323E-10
A. K-6,OCEAN,3800,OCEAN GATE BORO,17947,0.415,0.545,0.039,0,0,0.001,8.7,52,78,0.128,29,0
A. K-6,OCEAN,3820,OCEAN TWP,18051,0.426,0.548,0.026,0,0,0,10.5,63.5,154.3,0.150,29,31985
H. 7-12 / 9-12,OCEAN,4105,PINELANDS REGIONAL,19364,0.43,0.537,0.033,0,0,0,9.9,68.5,110.9,0.193,29,0
E. K-12 / 0 - 1800,OCEAN,4190,PLUMSTED TWP,15849,0.408,0.337,0.05,0.005,0,0.2,12.2,64.9,157.5,0.152,29,0
F. K-12 / 1801 - 3500,OCEAN,4210,POINT PLEASANT BORO,13191,0.206,0.761,0.03,0.003,0,0,13.4,103.3,187.2,0.132,29,0
E. K-12 / 0 - 1800,OCEAN,4220,POINT PLEASANT BEACH BORO,16908,0.102,0.748,0.022,0.128,0,0,12,72.2,125.3,0.117,29,9.313226E-10
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,18882,0.255,0.625,0.11,0.01,0,0,10.8,73.1,212,0.132,29,0
H. 7-12 / 9-12,OCEAN,4950,SOUTHERN REGIONAL,18715,0.07,0.666,0.015,0.116,0.133,0,13.4,96.7,166.6,0.174,29,3.7252903E-9
A. K-6,OCEAN,5020,STAFFORD TWP,16141,0.295,0.666,0.036,0.004,0,0,13.4,95.1,197.3,0.163,29,1.8626451E-9
G. K-12 / 3501 +,OCEAN,5190,TOMS RIVER REGIONAL,13426,0.351,0.607,0.038,0.004,0,0,14.3,121.5,229.5,0.131,29,-1.490116E-8
A. K-6,OCEAN,5220,TUCKERTON BORO,13843,0.36,0.562,0.04,0.01,0,0.028,11.1,73.6,162,0.179,29,27665
C. K-8 / 401 - 750,PASSAIC,420,BLOOMINGDALE BORO,17951,0.144,0.825,0.018,0.012,0,0.001,12.2,73.1,124.2,0.130,31,0
